,code
0,012030
1,001250
2,003560
3,092220
4,004060
5,001380
6,002360
7,001510
8,084870
9,037270
10,011420
11,005320
12,001140
13,214330
14,013700
15,014160
16,006340
17,024890
18,002880
19,000300
20,012800
21,001440
22,024900
23,001520
24,002900
25,008970
26,018500
27,002690
28,092200
29,000400
30,027740
31,090370
32,007120
33,096300
34,007210
35,002760
36,000890
37,005030
38,008040
39,001470
40,003720
41,002450
42,001290
43,004410
44,011300
45,000180
46,027970
47,017550
48,011930
49,005390
50,009270
51,002870
52,102280
53,008700
54,011090
55,023960
56,085310
57,012280
58,012160
59,010050
60,016880
61,008600
62,047400
63,011330
64,025820
65,015020
66,093230
67,014990
68,129260
69,013360
70,018470
71,009310
72,033250
73,001620
74,145270
75,071950
76,144620
77,031820
78,015590
79,004100
80,004870
81,090080
82,006200
83,025890
84,007280
85,010100
86,010420
87,009180
88,025750
89,011700
90,005110
91,088350
92,000370
93,003530
94,003535
95,093240
96,133820
97,045890
98,024840
99,052900
100,058400
101,219550
102,019550
103,255220
104,040610
105,049470
106,184230
107,048550
108,063440
109,089230
110,052300
111,024910
112,038530
113,900280
114,053270
115,900070
116,049080
117,187790
118,267320
119,253590
120,065170
121,137940
122,060260
123,085670
124,007720
125,025440
126,027830
127,104040
128,020180
129,003310
130,096350
131,060900
132,021040
133,021045
134,090410
135,099410
136,217620
137,214680
138,134580
139,113810
140,106520
141,131180
142,036170
143,050120
144,217500
145,281740
146,900260
147,039980
148,019570
149,029480
150,141070
151,096640
152,012860
153,208710
154,032980
155,036620
156,066410
157,019010
158,066980
159,009620
160,111870
161,046390
162,027580
163,101000
164,042940
165,043710
166,027040
167,140070
168,011370
169,035890
170,043260
171,036630
172,051980
173,053110
174,032680
175,258790
176,066910
177,084180
178,033170
179,131090
180,001000
181,036710
182,010280
183,208640
184,222420
185,037760
186,900120
187,127710
188,068940
189,038880
190,101390
191,078860
192,027360
193,085810
194,310200
195,205500
196,097780
197,042110
198,096630
199,043340
200,054630
201,043220
202,044780
203,021080
204,089530
205,109960
206,038110
207,064090
208,054940
209,031860
210,048830
211,143540
212,900300
213,014940
214,031510
215,193250
216,032820
217,082850
218,073560
219,153490
220,037400
221,014190
222,076080
223,196700
224,038620
225,036090
226,900340
227,065440
228,096040
229,024810
230,037330
231,035080
232,254120
233,043910
234,049630
235,208140
236,045510
237,072520
238,033050
239,064800
240,041590
241,053050
242,270520
243,065060
244,204840
245,047820
246,016920
247,900310
248,192250
249,089150
250,073010
251,217600
252,094860
253,078650
254,101670
255,082660
256,121850
257,051780
258,016600
259,900250
260,073640
261,215480
262,033830
263,057680
264,049120
265,131760
266,032800
267,027710
268,225590
269,054300
270,016670
271,214270
272,032580
273,024850
274,023760
275,053590
276,226440
277,024740
278,005860
279,123840
280,076610
281,900270
282,011080
283,060560
284,126640
285,050090
286,090710
287,189980
