,word,emoji
0,출시,1
1,진행,1
2,서비스,1
3,상승,1
4,업데이트,1
5,대비,0
6,글로벌,1
7,지난,0
8,신규,1
9,기록,1
10,증가,1
11,예정,1
12,개발,1
13,다양,1
14,이익,1
15,신작,1
16,성장,1
17,획득,1
18,하락,0
19,추가,1
20,포인트,1
21,가능,1
22,높,1
23,기대,1
24,시작,1
25,제공,1
26,조정,0
27,보상,1
28,반면,0
29,지원,1
30,상장,1
31,상위,1
32,인기,1
33,올랐,1
34,지속,1
35,강화,1
36,개선,1
37,않,0
38,이상,0
39,확대,1
40,지급,1
41,달성,1
42,예약,1
43,최대,1
44,흥행,1
45,기대감,1
46,최고,1
47,새로운,1
48,기반,1
49,없,0
50,제작,1
51,특별,1
52,등장,1
53,출발,1
54,성공,1
55,선물,1
56,전설,1
57,많,1
58,감소,0
59,재미,1
60,확보,1
61,즐길,1
62,오픈,1
63,역시,1
64,누적,1
65,최초,1
66,차지,1
67,협력,1
68,풍성,1
69,상승세,1
70,다만,0
71,확장,1
72,히트,1
73,안정,1
74,순이익,1
75,좋,1
76,컸,1
77,혜택,1
78,선보이,1
79,처음,1
80,즐기,1
81,긍정,1
82,기회,1
83,소통,1
84,합병,1
85,손해,0
86,완료,1
87,꾸준히,1
88,하락세,0
89,수혜,1
90,제한,0
91,플러스,1
92,손실,0
93,도움,1
94,발전,1
95,선보일,1
96,기여,1
97,소송,0
98,낙폭,0
99,체결,1
100,부진,0
101,떨어졌,0
102,내리,0
103,상향,1
104,급등,1
105,중요,1
106,규제,0
107,우려,0
108,완화,1
109,성장세,1
110,유명,1
111,대작,1
112,뉴딜,1
113,승소,1
114,업그레이드,1
115,할인,1
116,늘어난,1
117,선보였,1
118,혁신,1
119,선보인다,1
120,증정,1
121,떨어진,0
122,상회,1
123,발행,1
124,침해,0
125,호재,1
126,급증,1
127,올라,1
128,핫,1
129,다운로드,1
130,분쟁,0
131,선호,1
132,최적,1
133,탄탄,1
134,양호,1
135,여파,0
136,한계,0
137,협약,1
138,우승자,1
139,발굴,1
140,하한가,0
141,늘어나,1
142,선도,1
143,높였,1
144,향상,1
145,한정판,1
146,비해,0
147,적자,0
148,바캉스,1
149,늘어날,1
150,희망,1
151,반대,0
152,강점,1
153,급락,0
154,질병,0
155,정상,1
156,오름세,1
157,넓,1
158,위축,0
159,넘어섰,1
160,성수기,1
161,인정받,1
162,탄력,1
163,호평,1
164,최강,1
165,치료제,1
166,실패,0
167,중단,0
168,창출,1
169,순익,1
170,그러나,0
171,폭락,0
172,쏠쏠,1
173,강자,1
174,무효,0
175,축제,1
176,미쳤,0
177,당부,0
178,도약,1
179,사망,0
180,덕분,1
181,저주,0
182,위반,0
183,금지,0
184,방치,0
185,어려운,0
186,재미있,1
187,늘어났,1
188,취약,0
189,감염,0
190,무산,0
191,예방,1
192,담합,0
193,장애,0
194,사고,0
195,부작용,0
196,고발,0
197,어려움,0
198,악화,0
199,폐쇄,0
200,심각,0
201,감축,0
202,통과,1
203,저렴,1
204,비정규직,0
205,공헌,1
206,정지,0
207,제제,0
208,안심,1
209,적발,0
210,미흡,0
211,억제,0
212,양해,0
213,논란,0
214,반타,0
215,행복,1
216,고위험,0
217,저하,0
218,상한,1
219,내릴,0
220,남용,0
221,최악,0
222,낭비,0
223,하향,0
224,회복세,1
225,성실,1
226,우세,1
227,어려웠,0
228,단점,0
229,보복,1
230,민감,0
231,손절,0
232,불매,0
233,어긋나,0
234,훼손,0
235,미약,0
236,단속,0
237,엇갈린다,0
238,충분히,1
239,특혜,1
240,격리,0
241,급감,0
242,비판,0
243,고통,0
244,포기,0
245,불발,0
246,파산,0
247,어려울,0
248,염두,0
249,해고,0
250,불가,0
251,견제,0
252,붕괴,0
253,피해자,0
254,삭감,0
255,못할,0
256,꼬집,0
257,절박,0
258,재난,0
259,불편,0
260,악영향,0
261,거절,0
262,이벤트,1
263,중국,1
264,중국발,0
265,매수,1
266,오른,1
267,특히,1
268,진출,1
269,오르,1
270,성과,1
271,정식,1
272,수익,1
273,이하,0
274,영입,1
275,내렸,0
276,골든크로스,1
277,데드크로스,0
278,퍼블리싱,1
279,상한가,1
280,회복,1
281,하지만,0
282,증자,0
283,문제,0
284,우승,1
285,차세대,1
286,힘입,1
287,시너지,1
288,우수,1
289,취득,1
290,부각,1
291,유상,0
292,열풍,1
293,반등,1
294,강보합,1
295,피해,0
296,부정,0
297,대통령,1
298,컨퍼런스,1
299,가속,1
300,처분,1
301,프리미엄,1
302,최고가,1
303,인상,1
304,두드러졌,1
305,치솟,1
306,증가세,1
307,승인,1
308,리스크,0
309,펼쳐진다,1
310,추천,1
311,유치,1
312,수여,1
313,신사업,1
314,재판,0
315,호가,1
316,불리,0
317,잠재력,1
318,출자,0
319,내림세,0
320,융자,0
321,순손실,0
322,혐의,0
323,효능,1
324,부족,0
325,징계,0
326,국산화,1
327,손상,0
328,중증,0
329,부과,0
330,수주,1
331,압수수색,0
332,증후군,0
333,컨소시엄,1
334,증거,0
335,차질,0
336,기소,0
337,파업,1
338,증진,1
339,독점,1
340,항바이러스제,1
341,오염,0
342,범죄,0
343,부담금,0
344,과태료,0
345,특허,1
346,차손,0
347,해체,0
348,악재,0
349,부실,0
350,낙제점,0
351,신축,1
352,대통령상,1
353,유증,0
354,혈세,0
355,경영난,0
356,패소,0
357,마이너스,0
