,code,date,count
0,012030,2020-12-07,1
1,012030,2020-11-19,1
2,012030,2020-11-18,1
3,012030,2020-10-07,1
4,012030,2020-09-17,1
5,012030,2020-09-02,1
6,012030,2020-08-28,1
7,012030,2020-08-06,1
8,012030,2020-07-27,1
9,012030,2020-07-22,2
10,012030,2020-07-20,1
11,012030,2020-07-07,1
12,012030,2020-06-22,1
13,012030,2020-06-04,2
14,012030,2020-06-03,1
15,012030,2020-06-02,1
16,012030,2020-05-27,2
17,012030,2020-05-11,2
18,012030,2020-05-08,1
19,012030,2020-04-07,1
20,012030,2020-03-30,2
21,012030,2020-03-24,1
22,012030,2020-03-19,1
23,012030,2020-03-15,1
24,012030,2020-03-06,1
25,012030,2020-02-21,4
26,012030,2020-01-31,1
27,012030,2020-01-22,1
28,012030,2020-01-17,3
29,012030,2020-01-16,7
30,012030,2020-01-15,4
31,012030,2020-01-09,1
32,001250,2020-11-09,1
33,001250,2020-10-12,1
34,001250,2020-09-28,1
35,001250,2020-09-25,1
36,001250,2020-04-16,1
37,001250,2020-04-06,1
38,001250,2020-03-24,1
39,001250,2020-03-17,1
40,001250,2020-02-09,1
41,001250,2020-02-07,1
42,001250,2020-01-06,1
43,003560,2020-12-13,1
44,003560,2020-12-11,3
45,003560,2020-12-04,1
46,003560,2020-11-10,1
47,003560,2020-11-05,2
48,003560,2020-10-29,7
49,003560,2020-09-07,10
50,003560,2020-08-31,10
51,003560,2020-07-29,10
52,003560,2020-07-24,5
53,003560,2020-07-22,6
54,003560,2020-07-13,6
55,003560,2020-06-30,5
56,003560,2020-06-09,6
57,003560,2020-06-03,7
58,003560,2020-05-29,4
59,003560,2020-05-19,1
60,003560,2020-05-14,1
61,003560,2020-05-13,2
62,003560,2020-05-12,5
63,003560,2020-05-07,1
64,003560,2020-05-03,1
65,003560,2020-04-21,1
66,003560,2020-04-10,11
67,003560,2020-03-17,2
68,003560,2020-02-26,7
69,003560,2020-02-25,4
70,003560,2020-02-24,1
71,003560,2020-02-14,1
72,003560,2020-01-21,2
73,003560,2020-01-20,7
74,092220,2020-12-09,1
75,092220,2020-12-07,1
76,092220,2020-12-05,1
77,092220,2020-12-03,2
78,092220,2020-12-02,19
79,092220,2020-11-27,1
80,092220,2020-11-25,8
81,092220,2020-11-24,8
82,092220,2020-11-12,1
83,092220,2020-11-09,2
84,092220,2020-11-08,1
85,092220,2020-11-06,1
86,092220,2020-10-30,1
87,092220,2020-10-28,1
88,092220,2020-10-27,2
89,092220,2020-10-23,2
90,092220,2020-10-22,2
91,092220,2020-10-21,4
92,092220,2020-10-20,14
93,092220,2020-10-19,16
94,092220,2020-10-17,1
95,092220,2020-10-16,2
96,092220,2020-10-15,5
97,092220,2020-10-14,6
98,092220,2020-09-28,1
99,092220,2020-09-24,2
100,092220,2020-09-22,1
101,092220,2020-09-17,6
102,092220,2020-09-09,1
103,092220,2020-09-07,2
104,092220,2020-09-06,2
105,092220,2020-09-02,2
106,092220,2020-09-01,5
107,092220,2020-08-31,3
108,092220,2020-06-19,1
109,092220,2020-05-07,1
110,092220,2020-04-18,1
111,092220,2020-04-10,1
112,092220,2020-03-25,1
113,092220,2020-03-23,1
114,092220,2020-03-18,1
115,092220,2020-01-08,1
116,004060,2020-12-01,1
117,004060,2020-09-01,1
118,004060,2020-07-31,4
119,004060,2020-07-24,2
120,004060,2020-07-22,1
121,004060,2020-07-19,1
122,004060,2020-07-17,2
123,004060,2020-07-16,1
124,004060,2020-07-15,8
125,004060,2020-07-12,1
126,004060,2020-07-10,1
127,004060,2020-07-09,4
128,004060,2020-07-08,3
129,004060,2020-07-07,5
130,004060,2020-07-06,1
131,004060,2020-07-03,2
132,004060,2020-05-08,2
133,004060,2020-02-28,3
134,004060,2020-02-27,8
135,004060,2020-02-25,1
136,004060,2020-02-18,2
137,004060,2020-02-17,5
138,004060,2020-02-16,4
139,004060,2020-02-15,2
140,004060,2020-02-14,3
141,004060,2020-02-10,2
142,004060,2020-02-09,3
143,004060,2020-02-08,3
144,004060,2020-02-07,2
145,004060,2020-02-05,3
146,004060,2020-02-04,1
147,004060,2020-02-03,2
148,004060,2020-02-02,5
149,004060,2020-01-21,2
150,004060,2020-01-20,1
151,004060,2020-01-17,1
152,004060,2020-01-13,1
153,004060,2020-01-12,2
154,004060,2020-01-11,1
155,004060,2020-01-08,1
156,004060,2020-01-07,4
157,004060,2020-01-06,4
158,004060,2020-01-05,2
159,004060,2020-01-04,3
160,004060,2020-01-03,5
161,004060,2020-01-02,5
162,004060,2020-01-01,2
163,001380,2020-12-08,1
164,001380,2020-11-26,1
165,001380,2020-11-20,1
166,001380,2020-11-18,6
167,001380,2020-11-17,1
168,001380,2020-11-13,2
169,001380,2020-11-10,1
170,001380,2020-11-09,1
171,001380,2020-11-07,1
172,001380,2020-10-07,1
173,001380,2020-09-28,2
174,001380,2020-09-07,1
175,001380,2020-08-26,3
176,001380,2020-08-25,2
177,001380,2020-08-23,1
178,001380,2020-07-29,5
179,001380,2020-07-28,3
180,001380,2020-07-27,1
181,001380,2020-07-24,2
182,001380,2020-07-23,4
183,001380,2020-07-22,8
184,001380,2020-07-21,7
185,001380,2020-07-20,1
186,001380,2020-07-16,1
187,001380,2020-07-15,2
188,001380,2020-07-13,3
189,001380,2020-07-10,1
190,001380,2020-07-09,5
191,001380,2020-07-08,2
192,001380,2020-07-07,3
193,001380,2020-07-06,1
