,word,count
0,.,12465
1,다,8546
2,',8064
3,을,6792
4,는,6720
5,이,5952
6,의,5286
7,를,4981
8,은,4416
9,",",4280
10,에,4266
11,하,3803
12,한,3606
13,있,3354
14,고,3319
15,(,3253
16,했,2936
17,으로,2806
18,게임,2786
19,가,2410
20,"""",2291
21,일,1994
22,),1980
23,원,1944
24,로,1933
25,등,1776
26,도,1776
27,에서,1686
28,2,1682
29,수,1652
30,과,1537
31,억,1494
32,들,1457
33,할,1388
34,와,1335
35,1,1315
36,인,1217
37,며,1144
38,만,1143
39,적,1140
40,'',1110
41,해,1098
42,%,1068
43,것,1052
44,3,998
45, ,984
46,월,849
47,"%),",821
48,4,818
49,이벤트,810
50,출시,785
51,어,783
52,까지,782
53,되,781
54,분기,775
55,게,770
56,한다,760
57,매출,727
58,통해,720
59,진행,716
60,-,668
61,모바일,655
62,중,653
63,=,652
64,0,646
65,년,630
66,된다,623
67,면,610
68,서비스,605
69,시장,594
70,즈,588
71,상승,571
72,업데이트,563
73,%),561
74,기,539
75,대표,538
76,대비,534
77,글로벌,532
78,기자,527
79,],527
80,[,522
81,된,519
82,컴투스,514
83,지난,503
84,5,494
85,10,492
86,펄,485
87,전,482
88,어비스,478
89,및,476
90,밝혔,476
91,·,475
92,신규,465
93,기록,464
94,시,457
95,사막,456
96,실적,448
97,받,433
98,됐,427
99,영업,427
100,8,424
101,게임즈,418
102,콘텐츠,418
103,증가,410
104,중국,407
105,6,404
106,7,403
107,부터,401
108,기업,401
109,위,401
110,워,400
111,예정,399
112,개발,399
113,검,397
114,성,391
115,면서,391
116,다양,388
117,이익,384
118,신작,380
119,2020,379
120,9,377
121,이번,376
122,개,374
123,이용자,370
124,었,369
125,지,361
126,19,358
127,성장,357
128,유저,353
129,종목,353
130,될,351
131,"',",349
132,너,349
133,다고,348
134,서머,344
135,투자,343
136,획득,338
137,웹젠,337
138,카카오,334
139,권,334
140,명,327
141,하락,327
142,대,326
143,대한,324
144,각각,323
145,경제,322
146,코로나,322
147,아시아,314
148,이후,314
149,추가,313
150,주,311
151,코스닥,311
152,국내,308
153,주가,305
154,IP,297
155,아이템,297
156,M,297
157,서울,296
158,보다,294
159,한국,293
160,캐릭터,293
161,에게,292
162,던,292
163,내,290
164,뉴스,289
165,공개,289
166,지수,289
167,포인트,288
168,가능,287
169,오,286
170,함께,284
171,별,283
172,:,282
173,장,281
174,핌,281
175,com,280
176,@,279
177,newspim,278
178,플레이,278
179,PC,275
180,공식,274
181,순,274
182,아,273
183,게임빌,273
184,11,272
185,전망,272
186,위메이드,271
187,높,269
188,코스피,266
189,화,264
190,올해,263
191,기대,260
192,12,258
193,사전,258
194,엔,258
195,온라인,257
196,말,257
197,R,255
198,기관,254
199,이날,254
200,시작,253
201,지역,253
202,규모,252
203,씨,252
204,제공,247
205,사,244
206,조정,244
207,지만,240
208,판,237
209,전년,237
210,총,236
211,플랫폼,236
212,보상,236
213,사업,234
214,미르,231
215,90,229
216,연구원,229
217,개인,223
218,았,221
219,조,220
220,확인,219
221,20,219
222,외국인,219
223,계획,217
224,기준,217
225,업종,217
226,해외,216
227,매수,216
228,30,213
229,소프트,212
230,같,212
231,이라고,209
232,반면,207
233,현재,206
234,기간,205
235,호,205
236,지원,204
237,셀,204
238,상장,204
239,세계,203
240,전기,201
241,으며,201
242,야구,201
243,상위,199
244,인기,197
245,산업,195
246,giveit,195
247,MMORPG,195
248,관련,193
249,온,190
250,예상,190
251,다는,189
252,순위,189
253,따라,185
254,치,184
255,시스템,184
256,증권,182
257,"%,",182
258,결제,182
259,올랐,181
260,지속,180
261,가장,180
262,위해,179
263,또한,177
264,강화,176
265,동기,176
266,참여,174
267,거래일,173
268,수소,172
269,기존,171
270,투자자,171
271,트리,171
272,아레나,171
273,전투,170
274,오른,170
275,개선,170
276,발표,170
277,신,169
278,장비,169
279,크,169
280,프로,168
281,스토리,168
282,사용,167
283,간,166
284,않,166
285,이상,165
286,한편,165
287,서버,165
288,확대,162
289,한다고,160
290,지급,160
291,달성,160
292,예약,160
293,도록,159
294,보,159
295,차,159
296,최대,159
297,업계,158
298,16,157
299,내년,157
300,따르,156
301,분,156
302,더,156
303,▲,155
304,정보,154
305,기념,153
306,넷마블,153
307,나,152
308,마감,151
309,13,151
310,선,151
311,콘솔,151
312,라며,150
313,그,150
314,더욱,149
315,최근,149
316,거래,149
317,15,148
318,위한,148
319,영상,148
320,제,147
321,14,147
322,유지,146
323,번,146
324,지난해,146
325,준비,145
326,SK,144
327,흥행,144
328,토,142
329,주요,141
330,25,141
331,대상,141
332,분석,141
333,후,140
334,시가총액,139
335,특히,138
336,현대차,138
337,기대감,138
338,회사,137
339,기술,137
340,얻,136
341,최고,136
342,시즌,135
343,경우,135
344,새로운,134
345,내용,134
346,설명,134
347,기반,133
348,큰,133
349,비,133
350,관계자,133
351,폭,133
352,자,132
353,미국,131
354,넥슨,131
355,시간,131
356,주식,130
357,없,130
358,운영,129
359,뮤,129
360,액,128
361,결정,128
362,100,127
363,모두,127
364,자체,127
365,순매도,127
366,선수,126
367,또,126
368,자세,126
369,관심,126
370,24,125
371,활용,125
372,스토어,125
373,하반기,124
374,트레이너,124
375,션,123
376,29,123
377,제작,123
378,지스타,123
379,대만,123
380,섀도우,122
381,등급,122
382,전환,121
383,특별,121
384,트,121
385,점,120
386,~,120
387,대해,119
388,계약,119
389,대회,119
390,수행,119
391,18,119
392,구글,119
393,등장,118
394,출발,118
395,RPG,118
396,22,118
397,진출,118
398,전략,117
399,웹툰,117
400,오르,116
401,카드,116
402,달,115
403,유럽,115
404,이달,115
405,넵튠,115
406,라이선스,114
407,모든,114
408,미션,114
409,삼성,114
410,두,114
411,월드,113
412,21,113
413,약,113
414,라,113
415,증시,113
416,성공,113
417,선물,112
418,업체,112
419,북미,112
420,매출액,112
421,웹,112
422,전설,111
423,돼,110
424,LG,110
425,비롯,109
426,◆,108
427,상황,108
428,포함,108
429,률,108
430,가치,108
431,23,107
432,영웅,107
433,전날,107
434,야,107
435,발급,107
436,역할,106
437,많,106
438,평가,105
439,블루,105
440,송병준,105
441,형,104
442,감소,104
443,재미,104
444,라는,103
445,이용,103
446,지난달,103
447,효과,103
448,성과,103
449,정식,103
450,따른,102
451,자회사,102
452,부문,102
453,아니,102
454,실시,102
455,일본,102
456,겠,102
457,라고,101
458,50,101
459,스포츠,101
460,홈페이지,101
461,동안,101
462,네오,101
463,넘,101
464,레벨,100
465,상자,100
466,필요,100
467,방식,99
468,만큼,99
469,젠,99
470,확보,98
471,향후,98
472,시리즈,98
473,동시,97
474,수준,96
475,새롭,96
476,째,96
477,오전,96
478,프,96
479,27,95
480,회,95
481,보이,95
482,반영,95
483,의견,95
484,회원,95
485,여,94
486,즐길,94
487,전일,94
488,에선,94
489,앞두,94
490,28,93
491,컵,93
492,더블유,93
493,해당,92
494,%(,92
495,강력,92
496,육성,92
497,맞,92
498,공격,92
499,위즈,92
500,던전,91
501,직접,91
502,첫,91
503,길드,91
504,2017,90
505,레드,90
506,오픈,89
507,다시,89
508,제약,89
509,적극,89
510,미스터,89
511,영향,88
512,업,88
513,배,87
514,서,87
515,목표,87
516,때문,87
517,접속,86
518,종,86
519,보유,86
520,앱,86
521,스킬,85
522,때,85
523,김,85
524,26,85
525,상,85
526,돌파,85
527,정부,84
528,모,84
529,작,84
530,초반,84
531,역시,84
532,다음,84
533,올,84
534,“,83
535,커뮤니티,83
536,오후,83
537,날,83
538,측,82
539,”,82
540,세,82
541,일정,82
542,재산,82
543,마케팅,82
544,바이오,82
545,화학,82
546,연속,82
547,전장,82
548,‘,82
549,누적,81
550,최초,81
551,차지,81
552,팀,81
553,선택,80
554,17,80
555,전체,80
556,경험,80
557,수익,80
558,정경인,80
559,리니지,80
560,사신,80
561,래프,80
562,톤,80
563,카,79
564,뿐,79
565,다른,79
566,콘셉트,79
567,협력,79
568,주년,78
569,마련,78
570,어치,78
571,헬스,78
572,모바일게임,78
573,△,78
574,풍성,78
575,상승세,77
576,이하,77
577,능력,77
578,액션,76
579,다만,76
580,클래스,76
581,상반기,76
582,외,75
583,보였,75
584,확장,75
585,늘,75
586,에오스,75
587,바,74
588,&,74
589,삼성전자,73
590,바이러스,73
591,버전,73
592,신종,72
593,금융,72
594,만들,72
595,/,72
596,부,72
597,추석,72
598,영입,72
599,했으며,71
600,판매,71
601,감염증,71
602,문화,71
603,중심,71
604,초,71
605,아크,71
606,비중,71
607,A,71
608,’,71
609,애니팡,71
610,데,70
611,지분,70
612,상대,70
613,31,70
614,모습,70
615,겜,70
616,40,69
617,개최,69
618,판단,69
619,!,69
620,방송,69
621,적용,69
622,줄,69
623,볼,69
624,내렸,69
625,아울러,68
626,스튜디오,68
627,거래소,68
628,결과,68
629,히트,68
630,안정,68
631,미래,68
632,NHN,68
633,스,67
634,먼저,67
635,케어,67
636,정도,67
637,선정,67
638,대부분,67
639,바탕,67
640,순이익,67
641,보인다,66
642,"'',",66
643,프로모션,65
644,집중,65
645,넥,65
646,경기,65
647,MLB,65
648,연결,64
649,좋,64
650,역대,64
651,알테,64
652,확산,64
653,컸,64
654,팩,64
655,확률,64
656,전쟁,64
657,카페,64
658,제휴,63
659,여기,63
660,장기,63
661,공시,62
662,건,62
663,앞서,62
664,는데,62
665,재,62
666,혜택,62
667,선보이,62
668,처음,62
669,현지,62
670,우리,62
671,마쳤,62
672,주목,62
673,나라,62
674,모빌리티,62
675,상품,61
676,전했,61
677,즐기,61
678,추정,61
679,모드,61
680,신청,60
681,지식,60
682,시나리오,60
683,해야,60
684,붉,60
685,각,60
686,리온,60
687,장르,60
688,엔젤,60
689,e,59
690,거나,59
691,다중접속,59
692,장중,59
693,사이트,59
694,크로스,59
695,비대,59
696,앞,58
697,상태,58
698,발생,58
699,특징,58
700,하나,58
701,광고,58
702,뒤,58
703,긍정,58
704,유통,58
705,기능,58
706,물론,58
707,SWC,58
708,히어로즈,58
709,령,57
710,제외,57
711,추진,57
712,먼,57
713,구매,57
714,구성,57
715,하이닉스,57
716,유튜브,57
717,도입,57
718,연,57
719,드래곤,57
720,각종,57
721,리그,57
722,단계,56
723,전용,56
724,담,56
725,85,56
726,층,56
727,2000,56
728,조이,56
729,분야,56
730,작품,56
731,자금,55
732,인수,55
733,일반,55
734,란,55
735,달러,55
736,이미,55
737,무기,55
738,출석,55
739,브랜드,55
740,없이,55
741,기회,55
742,소통,55
743,고객,55
744,참가,54
745,52,54
746,합병,54
747,덧붙였,54
748,네,54
749,몬스터,54
750,변화,54
751,가운데,54
752,페이,54
753,손해,53
754,완료,53
755,임사,53
756,이브,53
757,오늘,53
758,백,53
759,진흥,53
760,레전드,53
761,TV,52
762,지적,52
763,계속,52
764,KT,52
765,알,52
766,이나,52
767,꾸준히,52
768,통한,52
769,하락세,52
770,투,52
771,작년,52
772,패키지,52
773,수혜,52
774,외자,52
775,채널,52
776,슈퍼스타즈,52
777,블,52
778,60,51
779,제한,51
780,배틀,51
781,경신,51
782,택트,51
783,대형,51
784,경쟁,51
785,생성,51
786,국가,51
787,변경,51
788,플러스,51
789,손실,51
790,휴대폰,51
791,37,50
792,소폭,50
793,로직스,50
794,가지,50
795,끌,50
796,이끌,50
797,퍼블리싱,50
798,공략,50
