,word,count
0,.,8855
1,다,7154
2,을,6522
3,이,6085
4,는,5557
5,에,4610
6,의,3953
7,",",3904
8,은,3779
9,를,3744
10,하,3634
11,고,2875
12,으로,2776
13,"""",2448
14,했,2412
15,한,2305
16,(,2240
17,',2233
18,있,2230
19,가,2151
20,),1968
21,등,1769
22,로,1765
23,에서,1592
24,원,1569
25,과,1423
26,도,1373
27,억,1344
28,해,1261
29,·,1258
30,것,1186
31,인,1174
32,적,1168
33,일,1132
34,년,1085
35,와,1054
36,할,1048
37, ,930
38,19,917
39,백신,917
40,1,902
41,2,890
42,코로나,888
43,만,875
44,수소,864
45,3,844
46,개발,813
47,%,810
48,수,806
49,사업,791
50,들,773
51,중,751
52,기,741
53,성,647
54,한다,642
55,되,608
56,게,606
57,기업,576
58,월,570
59,며,567
60,어,566
61,임상,565
62,=,563
63,개,561
64,치료제,546
65,기관,537
66,산업,529
67,경제,523
68,에너지,522
69,기자,505
70,까지,500
71,],498
72,면,497
73,받,493
74,됐,492
75,[,491
76,지,483
77,지원,474
78,및,471
79,밝혔,471
80,명,468
81,된,466
82,화,461
83,-,450
84,다고,422
85,정부,421
86,5,420
87,4,411
88,국내,410
89,위해,405
90,계획,403
91,LNG,400
92,공급,398
93,기술,397
94,지난,391
95,된다,388
96,말,383
97,대,381
98,생산,381
99,면서,377
100,대한,370
101,이번,369
102,통해,359
103,분기,359
104,전,355
105,제,355
106,투자,335
107,발전,331
108,위한,329
109,녹십자,326
110,안전,322
111,부,321
112,았,320
113,었,320
114,관련,315
115,6,314
116,올해,311
117,시험,307
118,부터,306
119,한국,305
120,대비,305
121,진행,304
122,공사,302
123,가스,300
124,▲,300
125,추진,295
126,영업,291
127,상,288
128,7,281
129,아,279
130,이익,279
131,사장,277
132,구축,275
133,평가,273
134,10,271
135,가스공사,270
136,GC,269
137,대상,267
138,않,267
139,될,267
140,뉴스,265
141,증가,264
142,간,263
143,차,261
144,서울,259
145,확대,259
146,@,257
147,핌,256
148,다는,255
149,newspim,255
150,com,255
151,시장,255
152,조,254
153,관계자,249
154,공공,247
155,자원,247
156,지난해,246
157,실적,246
158,9,244
159,바이오,243
160,대표,242
161,아시아,242
162,8,239
163,연구,239
164,개선,238
165,지만,237
166,미국,237
167,사용,235
168,기준,234
169,따르,234
170,총,233
171,협력,233
172,약,231
173,제약,230
174,제품,230
175,매출,230
176,접종,229
177,관리,228
178,가능,227
179,규모,227
180,한국가스공사,226
181,확보,224
182,건,221
183,겠,221
184,경영,220
185,도록,220
186,환자,219
187,이상,217
188,지역,217
189,현재,215
190,같,214
191,보다,214
192,주,213
193,이라고,213
194,결과,212
195,승인,208
196,회사,207
197,사회,207
198,%),206
199,기록,203
200,바이러스,203
201,최근,202
202,자,202
203,계약,201
204,충전,200
205,세계,198
206,SPC,198
207,예정,197
208,운영,195
209,내,194
210,공동,192
211,전망,192
212,위원회,191
213,도입,191
214,혈장,191
215,분야,189
216,수요,188
217,전년,187
218,던,185
219,높,184
220,업체,183
221,20,181
222,국가,180
223,해외,179
224,등급,179
225,‘,178
226,정책,175
227,형,174
228,감소,173
229,없,173
230,라고,172
231,의약품,171
232,용,171
233,효과,169
234,전환,169
235,상황,168
236,나,167
237,~,167
238,대해,166
239,내년,165
240,회장,164
241,후,164
242,소,164
243,에게,163
244,단계,162
245,’,162
246,신,161
247,기대,160
248,30,159
249,시,159
250,사,157
251,12,157
252,0,156
253,기간,156
254,제도,156
255,이후,155
256,예상,155
257,참여,155
258,따라,154
259,그린,154
260,성장,153
261,강화,153
262,그룹,152
263,체결,152
264,라,152
265,설비,151
266,특히,150
267,유한양행,149
268,별,149
269,통상,149
270,권,147
271,경우,147
272,필요,147
273,국민,147
274,곳,146
275,도시,146
276,함께,146
277,가장,144
278,11,144
279,연구원,144
280,시작,143
281,△,142
282,전기,142
283,요금,142
284,혁신,141
285,두,140
286,비용,140
287,삼립,140
288,위,139
289,글로벌,138
290,발표,138
291,오,138
292,적극,138
293,2018,137
294,돼,137
295,점,137
296,이날,137
297,다양,136
298,SK,135
299,시스템,135
300,그,134
301,라며,134
302,지속,134
303,추가,134
304,목표,134
305,한전,132
306,전력,131
307,항체,130
308,최종,130
309,시설,130
310,15,128
311,부문,127
312,주가,127
313,때문,127
314,장관,127
315,설명,126
316,치료,126
317,조사,125
318,식품,125
319,상승,124
320,엔,124
321,각각,123
322,거래,123
323,가격,122
324,유지,121
325,천연가스,121
326,선정,120
327,비율,119
328,마련,119
329,활용,118
330,여,117
331,시간,117
332,제공,116
333,안정,116
334,효율,116
335,분석,115
336,신종,115
337,판매,115
338,"%),",114
339,주요,114
340,허가,114
341,감염증,114
342,벙커,114
343,링,114
344,많,113
345,데,113
346,수출,113
347,동기,113
348,개별,113
349,씨,113
350,경쟁력,112
351,처,112
352,발생,112
353,이사,111
354,앞,111
355,장,111
356,수사,111
357,더,110
358,번,110
359,협약,110
360,영향,109
361,달러,109
362,나타났,107
363,22,107
364,가운데,107
365,기반,107
366,제조,107
367,요금제,107
368,문제,107
369,또한,106
370,물질,106
371,온,106
372,의원,106
373,최대,105
374,업무,105
375,공정,104
376,첫,104
377,데이터,104
378,수준,103
379,크,103
380,의료,103
381,전문,102
382,계,102
383,따른,102
384,감사,102
385,안,102
386,40,102
387,네,102
388,CEO,101
389,보,101
390,금융,101
391,중심,101
392,기존,101
393,또,101
394,물량,101
395,부채,101
396,&,100
397,100,100
398,한편,100
399,셀,100
400,확인,99
401,세종,99
402,친환경,99
403,선,98
404,라는,98
405,독감,98
406,호기,98
407,A,98
408,13,97
409,확산,97
410,만큼,97
411,과정,97
412,화이자,97
413,후보,96
414,적용,96
415,병원,96
416,검찰,96
417,환경,96
418,원전,96
419,비,95
420,영국,95
421,사례,95
422,14,94
423,향후,94
424,센터,94
425,줄,93
426,서비스,93
427,카,93
428,21,92
429,분,92
430,진단,92
431,검사,92
432,“,92
433,제약사,91
434,늘,91
435,아스트라,91
436,포함,90
437,창출,90
438,활성,90
439,업종,90
440,2020,89
441,전체,89
442,으며,89
443,구매,89
444,재단,89
445,신약,88
446,우수,88
447,브랜드,88
448,측,88
449,"%,",88
450,수익,88
451,”,88
452,24,87
453,내용,87
454,예방,87
455,반영,87
456,면역,87
457,하락,86
458,좋,86
459,건강,86
460,발전소,86
461,신규,85
462,수급,85
463,식,85
464,다만,84
465,핵심,84
466,중소기업,84
467,신청,84
468,노력,83
469,입찰,83
470,인증,83
471,뉴딜,83
472,연료,83
473,매출액,82
474,해야,82
475,불,82
476,현장,82
477,B,82
478,보유,82
479,자료,82
480,순,81
481,25,81
482,대회,81
483,본부,81
484,로이터,81
485,바,80
486,아니,80
487,보급,80
488,취임,80
489,때,79
490,+,79
491,인프라,79
492,올,79
493,본격,79
494,조정,79
495,민간,79
496,동화약품,79
497,저장,79
498,기지,79
499,트리,78
500,이용,78
501,17,77
502,국제,77
503,선박,77
504,월성,77
505,최고,76
506,모두,76
507,방식,76
508,가치,76
509,결정,76
510,조성,76
511,한다는,76
512,세,76
513,법,76
514,복합,76
515,대구,76
516,심사,75
517,지난달,75
518,관심,75
519,재생,75
520,성공,74
521,지적,74
522,스마트,74
523,문,74
524,대학,73
525,2019,73
526,활동,73
527,행사,73
528,16,73
529,장기,73
530,무역,73
531,평균,73
532,점검,73
533,만들,73
534,역할,73
535,지역난방,73
536,건설,73
537,LG,72
538,질환,72
539,는데,72
540,시행,72
541,통신,72
542,설치,72
543,회의,72
544,앞서,71
545,힘,71
546,정보,71
547,큰,71
548,18,71
549,대응,71
550,생,71
551,5000,70
552,률,70
553,하나,70
554,달성,70
555,주식,70
556,◆,70
557,한국지역난방공사,70
558,출신,69
559,이나,69
560,자체,69
561,대책,69
562,설립,69
563,최초,69
564,목적,69
565,총장,69
566,초,69
567,한다고,68
568,증권,68
569,서,68
570,상반기,68
571,재,68
572,삼,68
573,삼천리,68
574,치,67
575,적자,67
576,외,67
577,열,67
578,방역,67
579,플랫폼,67
580,다른,67
581,달,67
582,구조,67
583,속,66
584,낮,66
585,26,66
586,비롯,66
587,구성,66
588,유통,66
589,보이,66
590,전국,66
591,우리,65
592,함,65
593,완료,65
594,중소,65
595,통영,65
596,항만,65
597,외국인,65
598,1000,64
599,거나,64
600,29,64
601,각,64
602,미래,64
603,23,64
604,50,64
605,매수,64
606,금액,64
607,중국,64
608,부담,64
609,검토,64
610,동안,64
611,생태,64
612,규제,64
613,현지,64
614,공기업,64
615,로부터,63
616,강조,63
617,2022,63
618,업계,63
619,회,63
620,복지,63
621,해당,63
622,전담,63
623,t,63
624,27,62
625,배,62
626,감염,62
627,일반,62
628,체계,62
629,제주,62
630,티,61
631,테크,61
632,내부,61
633,과제,61
634,통한,61
635,담합,61
636,C,61
637,우선,61
638,참석,61
639,채석,61
640,01,61
641,계열사,61
642,S,60
643,화학,60
644,D,60
645,프로젝트,60
646,전했,60
647,실시,60
648,방안,60
649,발전사,60
650,미,59
651,보였,59
652,소비자,59
653,생활,59
654,자산,59
655,장애,59
656,2017,59
657,중앙,58
658,투여,58
659,일부,58
660,방침,58
661,실증,58
662,풍력,58
663,시멘트,58
664,고려,57
665,다음,57
666,새로운,57
667,전략,57
668,연결,57
669,판단,57
670,보인다,57
671,벤처,57
672,수행,57
673,3000,57
674,임은석,57
675,영장,57
676,종목,57
677,5131,57
678,였,56
679,삼성,56
680,없이,56
681,역량,56
682,2000,56
683,확진,56
684,약물,56
685,맞,56
686,신재,56
687,산하,56
688,fedor,56
689,윤,56
690,광동,55
691,뒤,55
692,뿐,55
693,출시,55
694,모든,55
695,완치,55
696,신속,55
697,유가,55
698,산단,55
699,공정위,55
700,COVID,55
701,차지,54
702,향상,54
703,율,54
704,우려,54
705,직접,54
706,이하,54
707,부사장,54
708,손실,54
709,김선미,54
710,gong,54
711,인사,53
712,하지만,53
713,째,53
714,당시,53
715,성과,53
716,나갈,53
717,발굴,53
718,의견,53
719,했으며,53
720,란,53
721,인해,53
722,기능,53
723,파,53
724,임원,52
725,500,52
726,약품,52
727,중요,52
728,60,52
729,하반기,52
