,word,count
0,.,1311
1,다,936
2,을,734
3,는,730
4,이,718
5,에,641
6,",",531
7,를,508
8,의,484
9,하,441
10,은,421
11,고,380
12,으로,356
13,(,346
14,원,340
15,있,316
16,"""",310
17,했,304
18,),280
19,가,276
20,한,261
21,억,242
22,도,242
23, ,228
24,로,210
25,에서,205
26,등,190
27,적,187
28,',172
29,일,163
30,것,163
31,만,163
32,과,152
33,2,149
34,할,132
35,%,131
36,인,130
37,들,130
38,와,123
39,=,118
40,기술,117
41,차,115
42,해,114
43,되,113
44,개발,113
45,5,113
46,며,112
47,수,109
48,어,103
49,3,99
50,시장,97
51,및,96
52,투자,96
53,주,96
54,업체,95
55,기업,95
56,주행,95
57,자율,87
58,사업,86
59,된다,85
60,[,84
61,],84
62,기,83
63,기자,80
64,1,79
65,게,79
66,·,77
67,까지,76
68,관련,75
69,된,74
70,테크놀로지,71
71,디에이,68
72,4,68
73,전지,67
74,년,67
75,통해,66
76,-,66
77,말,65
78,장비,64
79,규모,64
80,성,64
81,한다,63
82,국내,63
83,위해,63
84,경제,62
85,제품,62
86,지,61
87,면,60
88,면서,60
89,◆,60
90,6,59
91,월,58
92,배터리,58
93,스마트폰,58
94,지난,57
95,협력,57
96,밝혔,56
97,반도체,56
98,결정,55
99,개,55
100,아시아,54
101,다고,54
102,됐,54
103,대한,54
104,지원,54
105,외국인,54
106,삼성전자,53
107,상승,52
108,이번,52
109,차량,52
110,주가,51
111,중,51
112,자동차,51
113,분기,51
114,G,51
115,부품,50
116,시스템,50
117,될,49
118,코로나,49
119,20,49
120,"%),",49
121,부터,48
122,19,48
123,공급,47
124,올해,47
125,대비,45
126,아,44
127,진행,43
128,화,43
129,매출,43
130,사,42
131,‘,41
132,셀,41
133,높,41
134,산업,41
135,조,41
136,’,40
137,부문,40
138,가능,40
139,8,40
140,▲,39
141,영업,38
142,연구원,38
143,강화,37
144,기대,37
145,받,37
146,개선,37
147,기관,37
148,수익,37
149,한국,37
150,팅크,37
151,서비스,37
152,대표,36
153,관계자,36
154,상,36
155,블랙박스,36
156,확대,35
157,성장,35
158,통신,35
159,신,34
160,주식,34
161,따르,34
162,증권,34
163,었,34
164,증가,34
165,않,34
166,전,33
167,회사,33
168,“,33
169,실적,33
170,대,33
171,기능,33
172,확보,32
173,”,32
174,시,32
175,연구,32
176,최근,32
177,테슬라,32
178,LG,32
179,만도,32
180,기존,31
181,10,31
182,설비,31
183,이라고,31
184,후,31
185,던,31
186,생산,31
187,예상,31
188,겠,31
189,미국,31
190,발표,31
191,아이나비,31
192,중견,31
193,속도,30
194,성공,30
195,배,30
196,캠,30
197,적용,30
198,+,30
199,이익,30
200,지속,29
201,9,29
202,운영,29
203,사용,29
204,전망,29
205,전자,29
206,경우,28
207,분야,28
208,자금,28
209,위한,28
210,용,28
211,다는,28
212,기준,28
213,우수,28
214,중국,28
215,시스,28
216,장,27
217,노,27
218,서울,27
219,뉴스,27
220,핌,27
221,내,27
222,최대,27
223,종목,27
224,금융,27
225,레이저,26
