,word,count
0,.,20727
1,이,18003
2,다,17021
3,을,16382
4,는,13483
5,에,11058
6,의,10715
7,은,10668
8,하,9497
9,"""",8608
10,를,8432
11,고,7622
12,",",7377
13,있,6345
14,으로,6021
15,한,5696
16,가,5682
17,했,5411
18,',5078
19,로,4149
20,(,4125
21,과,4088
22,도,3996
23,),3669
24,에서,3644
25,것,3554
26,일,3300
27,등,3214
28,원,3097
29,할,3029
30,아시아나항공,2967
31,인,2891
32,항공,2883
33,적,2872
34,수,2806
35,해,2534
36,들,2358
37,억,2213
38,코로나,2166
39,되,2053
40,기,2053
41,3,1967
42,와,1961
43,대한항공,1851
44,한진,1823
45,인수,1801
46,1,1798
47,만,1794
48,며,1788
49,게,1763
50,19,1757
51,지,1707
52,면,1703
53,%,1639
54,한다,1628
55,아시아,1593
56,2,1574
57,·,1509
58,월,1508
59,대한,1446
60,성,1407
61,어,1405
62,나,1394
63,회장,1266
64,칼,1245
65,까지,1243
66,된다,1218
67,경영,1216
68,면서,1198
69,않,1183
70,항공사,1174
71,화,1173
72,=,1165
73,기자,1148
74,가능,1144
75,될,1136
76, ,1114
77,된,1106
78,말,1097
79,조,1092
80,지원,1061
81,년,1055
82,없,1048
83,통해,1045
84,],1029
85,[,1012
86,매각,986
87,위해,971
88,서울,963
89,지난,960
90,권,956
91,다는,950
92,및,941
93,상황,933
94,부터,931
95,중,917
96,기업,916
97,산업,909
98,그룹,905
99,경우,895
100,자,893
101,구조,889
102,산업은행,889
103,됐,864
104,이번,858
105,받,857
106,지만,841
107,-,834
108,다고,833
109,대,829
110,여행,817
111,통합,810
112,시,803
113,밝혔,793
114,경제,784
115,전,775
116,주,774
117,관련,771
118,었,769
119,증자,758
120,진행,750
121,10,745
122,던,738
123,조정,738
124,시장,731
125,산은,730
126,이라고,724
127,4,719
128,현산,718
129,유상,701
130,규모,692
131,자금,678
132,HDC,675
133,업계,671
134,5,668
135,사업,661
136,주주,649
137,결정,638
138,국내,635
139,위한,633
140,겠,628
141,6,623
142,명,618
143,관계자,614
144,A,595
145,합병,594
146,KCGI,592
147,개,585
148,7,585
149,계약,585
150,이후,583
151,이날,579
152,뉴스,578
153,채,576
154,예정,576
155,필요,571
156,측,571
157,계획,565
158,지분,552
159,화물,548
160,파크,547
161,금융,546
162,재,546
163,두,544
164,@,543
165,▲,540
166,아,534
167,따르,532
168,핌,531
169,제,528
170,점,523
171,추진,521
172,항공업,519
173,간,519
174,com,518
175,보다,517
176,내,517
177,정부,516
178,았,513
179,투자,511
180,인터,510
