,thema,date,score
0,112040,2020.12.24,67
1,112040,2020-12-24,62
2,112040,2020-12-23,95
3,112040,2020.12.18,84
4,112040,2020.12.12,81
5,112040,2020-12-10,74
6,112040,2020-12-04,80
7,112040,2020-12-02,87
8,112040,2020-12-01,80
9,112040,2020-11-26,89
10,112040,2020-11-25,87
11,112040,2020.11.24,88
12,112040,2020-11-20,82
13,112040,2020-11-12,82
14,112040,2020.11.11,76
15,112040,2020.11.10,98
16,112040,2020-11-04,90
17,112040,2020-10-30,90
18,112040,2020-10-13,90
19,112040,2020-09-17,95
20,112040,2020-09-16,47
21,112040,2020-09-15,82
22,112040,2020.09.14,30
23,112040,2020-09-12,96
24,112040,2020-09-10,75
25,112040,2020.08.31,87
26,112040,2020.08.18,38
27,112040,2020.08.13,76
28,112040,2020.08.12,12
29,112040,2020.07.24,47
30,112040,2020-07-24,47
31,112040,2020-07-21,71
32,112040,2020.07.20,69
33,112040,2020.07.15,50
34,112040,2020-07-15,49
35,112040,2020.06.29,55
36,112040,2020-06-29,63
37,112040,2020-06-27,47
38,112040,2020.06.26,58
