,thema,date,score
0,000100,2020-12-22,87
1,000100,2020-12-19,87
2,000100,2020.12.18,87
3,000100,2020-12-15,68
4,000100,2020-12-10,88
5,000100,2020.12.09,60
6,000100,2020-12-07,84
7,000100,2020-12-05,92
8,000100,2020.12.02,75
9,000100,2020-12-02,92
10,000100,2020.11.24,78
11,000100,2020-11-24,82
12,000100,2020.11.23,67
13,000100,2020-11-19,80
14,000100,2020-11-16,60
15,000100,2020.11.14,81
16,000100,2020.11.11,89
17,000100,2020-11-11,74
18,000100,2020.11.10,74
19,000100,2020-11-05,63
20,000100,2020.11.04,86
21,000100,2020.10.30,78
22,000100,2020-10-30,72
23,000100,2020-10-27,76
24,000100,2020-10-23,31
25,000100,2020-10-20,68
26,000100,2020.10.16,95
27,000100,2020-09-26,89
28,000100,2020-09-23,35
29,000100,2020-09-22,40
30,000100,2020.09.21,48
31,000100,2020.09.18,72
32,000100,2020-09-16,87
33,000100,2020-09-14,72
34,000100,2020.09.11,77
35,000100,2020.09.09,85
36,000100,2020-09-09,80
37,000100,2020-09-05,73
38,000100,2020-08-27,76
39,000100,2020-08-26,84
40,000100,2020-08-25,56
41,000100,2020.08.24,33
42,000100,2020-08-22,65
43,000100,2020.08.21,72
44,000100,2020-08-21,84
45,000100,2020.08.20,78
46,000100,2020-08-18,0
47,000100,2020-08-15,80
48,000100,2020.08.10,100
49,000100,2020.08.08,82
50,000100,2020-08-06,66
51,000100,2020-08-04,85
52,000100,2020.08.03,80
53,000100,2020-08-03,42
54,000100,2020-08-01,85
55,000100,2020-07-31,70
56,000100,2020.07.27,90
57,000100,2020-07-22,74
58,000100,2020.07.21,84
59,000100,2020-07-21,97
60,000100,2020.07.15,80
61,000100,2020-07-16,65
62,000100,2020.07.09,61
63,000100,2020-07-03,46
64,000100,2020-07-02,78
65,000100,2020.07.01,78
66,000100,2020-06-29,66
67,000100,2020.06.24,43
