,thema,date,score
0,091810,2020-12-22,80
1,091810,2020.12.21,89
2,091810,2020.12.17,46
3,091810,2020-12-17,65
4,091810,2020-12-15,40
5,091810,2020-12-09,77
6,091810,2020.12.08,71
7,091810,2020-12-08,33
8,091810,2020.12.06,70
9,091810,2020.12.04,83
10,091810,2020-12-03,84
11,091810,2020-12-01,83
12,091810,2020-11-27,60
13,091810,2020-11-26,60
14,091810,2020-11-24,95
15,091810,2020-11-20,64
16,091810,2020.11.19,50
17,091810,2020-11-19,67
18,091810,2020-11-18,60
19,091810,2020.11.17,60
20,091810,2020-11-17,61
21,091810,2020.11.16,58
22,091810,2020-11-15,48
23,091810,2020-11-14,46
24,091810,2020-11-13,53
25,091810,2020-11-12,79
26,091810,2020.11.11,84
27,091810,2020-11-11,57
28,091810,2020-11-07,56
29,091810,2020-11-06,55
30,091810,2020-11-05,37
31,091810,2020.10.30,45
32,091810,2020-10-26,92
33,091810,2020-10-24,52
34,091810,2020-10-23,44
35,091810,2020-10-22,65
36,091810,2020-10-20,75
37,091810,2020-10-16,67
38,091810,2020.10.15,59
39,091810,2020-10-13,61
40,091810,2020.10.12,65
41,091810,2020-10-08,84
42,091810,2020.10.05,48
43,091810,2020-10-01,90
44,091810,2020.09.30,83
45,091810,2020.09.29,42
46,091810,2020-09-29,72
47,091810,2020-09-24,85
48,091810,2020.09.23,74
49,091810,2020-09-22,100
50,091810,2020-09-16,54
51,091810,2020.09.15,57
52,091810,2020-09-13,40
53,091810,2020-09-12,47
54,091810,2020.09.11,68
55,091810,2020-09-11,39
56,091810,2020.09.08,79
57,091810,2020.09.06,62
58,091810,2020-09-04,65
59,091810,2020-09-03,83
60,091810,2020-08-28,70
61,091810,2020.08.26,39
62,091810,2020-08-26,51
63,091810,2020.08.21,38
64,091810,2020.08.20,83
65,091810,2020-08-20,52
66,091810,2020-08-19,74
67,091810,2020-08-18,62
68,091810,2020-08-15,45
69,091810,2020-08-12,58
70,091810,2020-08-11,50
71,091810,2020.08.06,75
72,091810,2020-08-06,45
73,091810,2020-08-05,42
74,091810,2020-08-04,33
75,091810,2020-08-02,65
76,091810,2020-08-01,80
77,091810,2020.07.31,63
78,091810,2020-07-31,46
79,091810,2020-07-30,37
80,091810,2020-07-29,64
81,091810,2020-07-24,49
82,091810,2020-07-23,57
83,091810,2020-07-22,68
84,091810,2020-07-15,71
85,091810,2020-07-14,52
86,091810,2020-07-04,70
87,091810,2020-06-27,89
88,091810,2020-06-26,44
