,thema,score,change
0,게임,2,1
1,게임,2,1
2,게임,2,1
3,게임,2,1
4,게임,2,0
5,게임,0,0
6,게임,2,1
7,게임,2,1
8,게임,1,0
9,게임,2,0
10,게임,2,0
11,게임,2,0
12,게임,2,1
13,게임,1,1
14,게임,0,0
15,게임,2,0
16,게임,2,1
17,게임,2,1
18,게임,2,0
19,게임,2,0
20,게임,2,0
21,게임,2,0
22,게임,2,1
23,게임,2,1
24,게임,2,1
25,게임,2,0
26,게임,2,0
27,게임,2,1
28,게임,2,1
29,게임,2,1
30,게임,1,0
31,게임,2,1
32,게임,2,0
33,게임,2,0
34,게임,2,1
35,게임,2,0
36,게임,2,1
37,게임,2,1
38,게임,2,0
39,게임,2,1
40,게임,2,0
41,게임,2,1
42,게임,2,1
43,게임,2,1
44,게임,2,1
45,게임,2,1
46,게임,2,1
47,게임,2,0
48,게임,2,1
49,게임,2,1
50,게임,2,1
51,게임,2,1
52,게임,2,0
53,게임,2,1
54,게임,1,1
55,게임,1,1
56,게임,1,1
57,게임,2,1
58,게임,1,1
59,게임,0,1
60,게임,0,0
61,게임,2,0
62,게임,2,1
63,게임,2,1
64,게임,0,1
65,게임,2,1
66,게임,2,1
67,게임,2,0
68,게임,2,1
69,게임,2,0
70,게임,2,0
71,게임,2,1
72,게임,2,1
73,게임,2,0
74,게임,1,0
75,게임,2,0
76,게임,2,1
77,게임,1,1
78,게임,2,0
79,게임,1,0
80,게임,2,0
81,게임,2,0
82,게임,2,1
83,게임,2,1
84,게임,1,0
85,게임,2,0
86,게임,2,1
87,게임,2,1
88,게임,2,1
89,게임,2,1
90,게임,2,1
91,게임,2,0
92,게임,2,0
93,게임,2,1
94,게임,2,1
95,게임,2,1
96,게임,2,1
97,게임,2,1
98,게임,2,1
99,게임,2,1
100,게임,2,1
101,게임,2,1
102,게임,2,1
103,게임,2,0
104,게임,2,1
105,게임,2,0
106,게임,2,1
107,게임,2,1
108,게임,2,0
109,게임,2,0
110,게임,2,1
111,게임,2,1
112,게임,2,0
113,게임,2,0
114,게임,2,1
115,게임,2,1
116,게임,2,0
117,게임,2,1
118,게임,2,1
119,게임,2,0
120,게임,2,0
121,게임,2,0
122,게임,2,1
123,게임,2,1
124,게임,2,1
125,게임,2,1
126,게임,2,0
127,게임,2,0
128,게임,2,1
129,게임,2,0
130,게임,2,0
131,게임,2,1
132,게임,2,0
133,게임,2,0
134,게임,2,1
135,게임,2,0
136,게임,2,1
137,게임,2,1
138,게임,0,0
139,게임,2,1
140,게임,2,1
141,게임,2,1
142,게임,2,1
143,게임,2,1
144,게임,2,0
145,게임,2,0
146,게임,2,0
147,게임,2,0
148,게임,2,1
149,게임,2,1
150,게임,2,0
151,게임,2,1
152,게임,2,1
153,게임,2,0
154,게임,2,0
155,게임,2,0
156,게임,2,1
157,게임,2,1
158,게임,2,1
159,게임,2,1
160,게임,2,1
161,게임,2,1
162,게임,2,0
163,게임,2,0
164,게임,2,1
165,게임,2,0
166,게임,2,1
167,게임,2,1
168,게임,2,1
169,게임,2,0
170,게임,2,1
171,게임,2,1
172,게임,2,0
173,게임,2,1
174,게임,2,0
175,게임,1,0
176,게임,2,0
