,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,55500,55800,53000,53100,54984,-0.051785714000000004,54700,55790,55455.0,57876.666670000006,60904.166670000006,6840,AK홀딩스,0,0
1,2017-01-03,53100,53400,51900,52100,57379,-0.018832392,54220,55240,55400.0,57723.333329999994,60770.0,6840,AK홀딩스,0,0
2,2017-01-04,52500,52500,50900,51100,66983,-0.019193858,53520,54620,55255.0,57563.333329999994,60613.333329999994,6840,AK홀딩스,0,0
3,2017-01-05,51000,51900,51000,51900,34418,0.015655577,52840,54120,55160.0,57415.0,60445.0,6840,AK홀딩스,0,0
4,2017-01-06,52100,52200,51200,52100,32076,0.003853565,52060,53640,55070.0,57273.333329999994,60285.0,6840,AK홀딩스,0,0
5,2017-01-09,51600,52100,50900,51100,27143,-0.019193858,51660,53180,54865.0,57115.0,60129.166670000006,6840,AK홀딩스,0,0
6,2017-01-10,51000,51600,50900,51400,33092,0.005870841,51520,52870,54660.0,56951.666670000006,59985.833329999994,6840,AK홀딩스,0,0
7,2017-01-11,51400,51600,51100,51500,27154,0.001945525,51600,52560,54435.0,56810.0,59853.333329999994,6840,AK홀딩스,1,1
8,2017-01-12,51600,52300,51100,51200,48403,-0.005825243000000001,51460,52150,54210.0,56658.333329999994,59718.333329999994,6840,AK홀딩스,0,0
9,2017-01-13,51400,52800,51400,52600,28924,0.02734375,51560,51810,54005.0,56546.666670000006,59589.166670000006,6840,AK홀딩스,0,0
10,2017-01-16,52800,52900,52200,52900,24246,0.005703422,51920,51790,53790.0,56426.666670000006,59465.0,6840,AK홀딩스,0,0
11,2017-01-17,52900,53300,52400,52700,20350,-0.0037807179999999998,52180,51850,53545.0,56300.0,59345.833329999994,6840,AK홀딩스,0,0
12,2017-01-18,52800,53100,52500,53000,28053,0.0056926,52480,52040,53330.0,56175.0,59226.666670000006,6840,AK홀딩스,0,0
13,2017-01-19,53200,53400,52500,52900,29897,-0.0018867920000000002,52820,52140,53130.0,56071.666670000006,59125.0,6840,AK홀딩스,1,1
14,2017-01-20,53100,53100,52400,52800,17364,-0.0018903589999999999,52860,52210,52925.0,55961.666670000006,59010.833329999994,6840,AK홀딩스,0,0
15,2017-01-23,53000,53000,52100,52900,16789,0.0018939389999999999,52860,52390,52785.0,55833.333329999994,58899.166670000006,6840,AK홀딩스,0,0
16,2017-01-24,53000,53000,51600,51900,17571,-0.018903592,52700,52440,52655.0,55671.666670000006,58773.333329999994,6840,AK홀딩스,0,0
17,2017-01-25,51800,52100,51400,51700,18097,-0.003853565,52440,52460,52510.0,55545.0,58612.5,6840,AK홀딩스,0,0
18,2017-01-26,51900,52300,51100,51400,13736,-0.005802708,52140,52480,52315.0,55453.333329999994,58434.166670000006,6840,AK홀딩스,0,0
19,2017-01-31,51400,51400,50200,50500,14149,-0.017509728000000002,51680,52270,52040.0,55335.0,58255.0,6840,AK홀딩스,0,0
20,2017-02-01,50500,52200,50500,51800,22610,0.025742574,51460,52160,51975.0,55225.0,58115.833329999994,6840,AK홀딩스,0,0
21,2017-02-02,52100,54300,52100,52700,48823,0.017374517,51620,52160,52005.0,55131.666670000006,57990.0,6840,AK홀딩스,0,0
22,2017-02-03,53000,53900,52200,52500,19898,-0.0037950659999999997,51780,52110,52075.0,55038.333329999994,57855.833329999994,6840,AK홀딩스,0,0
23,2017-02-06,52400,52500,51500,51800,18946,-0.013333333000000001,51860,52000,52070.0,54961.666670000006,57712.5,6840,AK홀딩스,0,1
24,2017-02-07,51300,52700,51300,51800,20104,0.0,52120,51900,52055.0,54868.333329999994,57555.833329999994,6840,AK홀딩스,0,0
25,2017-02-08,52000,53300,52000,52900,25582,0.021235521,52340,51900,52145.0,54763.333329999994,57413.333329999994,6840,AK홀딩스,1,1
26,2017-02-09,53000,53600,52000,52300,21331,-0.011342155,52260,51940,52190.0,54650.0,57275.833329999994,6840,AK홀딩스,0,0
27,2017-02-10,52800,55100,52700,54100,53749,0.034416826,52580,52180,52320.0,54558.333329999994,57179.166670000006,6840,AK홀딩스,1,3
28,2017-02-13,54100,55500,54100,55500,23569,0.025878004,53320,52590,52535.0,54451.666670000006,57105.0,6840,AK홀딩스,0,0
29,2017-02-14,55700,55900,55100,55700,24946,0.0036036040000000003,54100,53110,52690.0,54350.0,57040.0,6840,AK홀딩스,0,0
30,2017-02-15,55700,56000,55100,55600,15370,-0.0017953320000000002,54640,53490,52825.0,54278.333329999994,56987.5,6840,AK홀딩스,0,0
31,2017-02-16,56000,56000,55100,55200,13263,-0.007194245,55220,53740,52950.0,54221.666670000006,56950.833329999994,6840,AK홀딩스,0,0
32,2017-02-17,55200,55300,54500,54700,10694,-0.009057971,55340,53960,53035.0,54153.333329999994,56899.166670000006,6840,AK홀딩스,-1,1
33,2017-02-20,55000,55000,53700,54900,16755,0.003656307,55220,54270,53135.0,54093.333329999994,56845.0,6840,AK홀딩스,0,0
34,2017-02-21,55000,55900,54500,55500,26836,0.010928962,55180,54640,53270.0,54063.333329999994,56785.833329999994,6840,AK홀딩스,-1,1
35,2017-02-22,55900,56100,55300,55900,15741,0.007207206999999999,55240,54940,53420.0,54040.0,56747.5,6840,AK홀딩스,0,0
36,2017-02-23,55300,57300,55300,57300,41052,0.025044722999999998,55660,55440,53690.0,54043.333329999994,56716.666670000006,6840,AK홀딩스,0,0
37,2017-02-24,57400,59200,57100,58500,63009,0.020942408,56420,55880,54030.0,54055.0,56705.833329999994,6840,AK홀딩스,0,0
38,2017-02-27,59100,59100,57500,57700,21326,-0.013675214,56980,56100,54345.0,54056.666670000006,56677.5,6840,AK홀딩스,0,0
39,2017-02-28,57800,57800,56300,56400,32714,-0.022530328999999998,57160,56170,54640.0,54066.666670000006,56635.0,6840,AK홀딩스,0,0
40,2017-03-02,56100,57100,55200,56100,17887,-0.0053191490000000004,57200,56220,54855.0,54095.0,56589.166670000006,6840,AK홀딩스,0,0
41,2017-03-03,55600,56500,53100,53300,54223,-0.049910873,56400,56030,54885.0,54096.666670000006,56524.166670000006,6840,AK홀딩스,0,0
42,2017-03-06,52800,52800,51600,52400,62016,-0.016885553,55180,55800,54880.0,54070.0,56460.833329999994,6840,AK홀딩스,0,0
43,2017-03-07,52400,52700,51700,52300,55560,-0.001908397,54100,55540,54905.0,54045.0,56420.0,6840,AK홀딩스,0,0
44,2017-03-08,52200,52300,51600,51700,31866,-0.011472275,53160,55160,54900.0,54008.333329999994,56377.5,6840,AK홀딩스,0,0
45,2017-03-09,51900,52500,51700,52100,22967,0.007736944,52360,54780,54860.0,53956.666670000006,56345.833329999994,6840,AK홀딩스,0,0
