,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,2020,2050,1995,2000,89381,-0.00990099,2023.0,2058.0,1991.0,2021.083333,2135.0,48550,SM C&C,0,0
1,2017-01-03,2035,2035,1975,1980,74729,-0.01,2008.0,2047.5,1997.75,2018.0,2131.5,48550,SM C&C,0,0
2,2017-01-04,1985,2015,1930,1950,247370,-0.015151515,1998.0,2032.5,2001.5,2014.583333,2127.666667,48550,SM C&C,0,0
3,2017-01-05,1970,1995,1950,1970,234138,0.01025641,1984.0,2019.5,2005.75,2011.333333,2123.958333,48550,SM C&C,0,0
4,2017-01-06,1960,2395,1950,2165,3087130,0.098984772,2013.0,2026.0,2019.0,2011.25,2121.916667,48550,SM C&C,0,0
5,2017-01-09,2240,2320,2165,2205,1473723,0.018475751,2054.0,2038.5,2032.0,2012.0,2120.458333,48550,SM C&C,0,0
6,2017-01-10,2205,2215,2145,2200,546568,-0.002267574,2098.0,2053.0,2045.75,2012.75,2118.833333,48550,SM C&C,0,0
7,2017-01-11,2200,2220,2100,2190,220981,-0.004545455,2146.0,2072.0,2057.5,2013.416667,2117.041667,48550,SM C&C,0,0
8,2017-01-12,2190,2230,2105,2195,329181,0.002283105,2191.0,2087.5,2068.75,2014.666667,2115.541667,48550,SM C&C,0,0
9,2017-01-13,2160,2285,2160,2200,288525,0.002277904,2198.0,2105.5,2081.25,2015.166667,2114.208333,48550,SM C&C,0,0
10,2017-01-16,2210,2215,2150,2195,135287,-0.002272727,2196.0,2125.0,2091.5,2015.75,2113.083333,48550,SM C&C,0,0
11,2017-01-17,2195,2195,2120,2175,145356,-0.009111617,2191.0,2144.5,2096.0,2016.5,2111.75,48550,SM C&C,0,0
12,2017-01-18,2130,2165,2085,2160,423324,-0.006896552,2185.0,2165.5,2099.0,2017.666667,2110.208333,48550,SM C&C,0,0
13,2017-01-19,2170,2170,2090,2150,247985,-0.00462963,2176.0,2183.5,2101.5,2019.25,2108.625,48550,SM C&C,0,0
14,2017-01-20,2125,2170,2110,2110,149242,-0.018604651,2158.0,2178.0,2102.0,2019.75,2106.208333,48550,SM C&C,0,0
15,2017-01-23,2115,2125,2050,2060,137998,-0.023696682,2131.0,2163.5,2101.0,2019.833333,2103.625,48550,SM C&C,0,0
16,2017-01-24,2030,2050,1950,2000,227977,-0.029126214,2096.0,2143.5,2098.25,2019.5,2100.75,48550,SM C&C,0,0
17,2017-01-25,1995,2090,1970,2055,322101,0.0275,2075.0,2130.0,2101.0,2020.416667,2099.041667,48550,SM C&C,0,0
18,2017-01-26,2030,2155,2030,2145,466359,0.04379562,2074.0,2125.0,2106.25,2024.0,2098.333333,48550,SM C&C,0,0
19,2017-01-31,2145,2160,2090,2145,209879,0.0,2081.0,2119.5,2112.5,2027.75,2097.583333,48550,SM C&C,0,0
20,2017-02-01,2140,2160,2090,2120,287213,-0.011655012,2093.0,2112.0,2118.5,2030.25,2097.666667,48550,SM C&C,0,0
21,2017-02-02,2140,2145,2040,2040,99379,-0.037735849,2101.0,2098.5,2121.5,2031.166667,2096.5,48550,SM C&C,0,0
22,2017-02-03,2020,2060,1960,1995,211409,-0.022058824,2089.0,2082.0,2123.75,2031.916667,2094.333333,48550,SM C&C,0,0
23,2017-02-06,2025,2070,1990,2000,200276,0.002506266,2060.0,2067.0,2125.25,2034.5,2091.625,48550,SM C&C,0,0
24,2017-02-07,2000,2060,1995,2025,92527,0.0125,2036.0,2058.5,2118.25,2034.166667,2089.25,48550,SM C&C,0,0
25,2017-02-08,2000,2050,2000,2000,132501,-0.012345679,2012.0,2052.5,2108.0,2032.833333,2086.0,48550,SM C&C,0,0
26,2017-02-09,2000,2030,1970,2000,109406,0.0,2004.0,2052.5,2098.0,2030.333333,2083.125,48550,SM C&C,0,0
27,2017-02-10,1995,2035,1975,2000,163112,0.0,2005.0,2047.0,2088.5,2028.583333,2080.083333,48550,SM C&C,0,0
28,2017-02-13,2015,2075,2000,2060,342239,0.03,2017.0,2038.5,2081.75,2027.583333,2077.625,48550,SM C&C,0,0
29,2017-02-14,2060,2135,2040,2085,262713,0.012135922,2029.0,2032.5,2076.0,2026.916667,2075.291667,48550,SM C&C,0,0
30,2017-02-15,2085,2115,2055,2090,90991,0.002398082,2047.0,2029.5,2070.75,2027.416667,2073.291667,48550,SM C&C,0,0
31,2017-02-16,2090,2125,2055,2095,120659,0.002392344,2066.0,2035.0,2066.75,2030.583333,2071.75,48550,SM C&C,0,0
32,2017-02-17,2095,2125,2070,2120,196574,0.011933174,2090.0,2047.5,2064.75,2033.416667,2070.625,48550,SM C&C,0,0
33,2017-02-20,2105,2110,1995,2035,326879,-0.04009434,2085.0,2051.0,2059.0,2035.083333,2069.083333,48550,SM C&C,0,0
34,2017-02-21,2040,2200,2040,2195,1121108,0.078624079,2107.0,2068.0,2063.25,2039.75,2068.75,48550,SM C&C,0,0
35,2017-02-22,2190,2275,2190,2195,811758,0.0,2128.0,2087.5,2070.0,2044.583333,2068.625,48550,SM C&C,0,0
36,2017-02-23,2210,2345,2195,2295,1635163,0.045558087,2168.0,2117.0,2084.75,2050.916667,2069.458333,48550,SM C&C,0,0
37,2017-02-24,2310,2350,2290,2305,719487,0.004357298,2205.0,2147.5,2097.25,2057.25,2070.541667,48550,SM C&C,0,0
38,2017-02-27,2345,2345,2240,2240,429241,-0.028199566,2246.0,2165.5,2102.0,2062.416667,2070.791667,48550,SM C&C,0,0
39,2017-02-28,2210,2265,2175,2265,457328,0.011160714,2260.0,2183.5,2108.0,2068.333333,2071.25,48550,SM C&C,0,0
40,2017-03-02,2250,2285,2200,2210,456229,-0.024282561,2263.0,2195.5,2112.5,2074.0,2071.208333,48550,SM C&C,0,0
41,2017-03-03,2155,2200,2060,2105,603643,-0.047511312,2225.0,2196.5,2115.75,2078.333333,2070.25,48550,SM C&C,0,0
42,2017-03-06,2080,2095,2020,2075,222132,-0.014251781,2179.0,2192.0,2119.75,2081.666667,2069.166667,48550,SM C&C,0,0
43,2017-03-07,2095,2140,2040,2080,322436,0.002409639,2147.0,2196.5,2123.75,2084.916667,2068.666667,48550,SM C&C,0,0
44,2017-03-08,2085,2100,2020,2085,233326,0.002403846,2111.0,2185.5,2126.75,2088.0,2068.291667,48550,SM C&C,0,0
45,2017-03-09,2100,2195,2085,2145,262000,0.028776978,2098.0,2180.5,2134.0,2091.333333,2069.25,48550,SM C&C,0,0
46,2017-03-10,2145,2245,2120,2240,550547,0.044289044,2125.0,2175.0,2146.0,2096.583333,2070.833333,48550,SM C&C,1,1
47,2017-03-13,2280,2315,2200,2210,360849,-0.013392857,2152.0,2165.5,2156.5,2100.833333,2071.916667,48550,SM C&C,0,0
48,2017-03-14,2220,2270,2175,2235,201881,0.011312217,2183.0,2165.0,2165.25,2105.25,2072.875,48550,SM C&C,0,0
49,2017-03-15,2255,2255,2150,2175,214048,-0.026845638,2201.0,2156.0,2169.75,2109.0,2072.833333,48550,SM C&C,0,0
50,2017-03-16,2175,2240,2175,2240,216740,0.029885057,2220.0,2159.0,2177.25,2113.166667,2073.416667,48550,SM C&C,0,0
51,2017-03-17,2240,2250,2175,2240,405066,0.0,2220.0,2172.5,2184.5,2115.75,2074.041667,48550,SM C&C,0,0
52,2017-03-20,2160,2200,2110,2130,635271,-0.049107143,2204.0,2178.0,2185.0,2116.25,2073.916667,48550,SM C&C,0,0
53,2017-03-21,2135,2155,2115,2150,202568,0.009389671,2187.0,2185.0,2190.75,2117.083333,2074.0,48550,SM C&C,0,0
54,2017-03-22,2150,2150,2050,2090,336199,-0.027906977,2170.0,2185.5,2185.5,2116.916667,2073.75,48550,SM C&C,0,0
55,2017-03-23,2090,2120,2065,2070,172415,-0.009569378,2136.0,2178.0,2179.25,2116.75,2073.333333,48550,SM C&C,0,0
56,2017-03-24,2070,2120,2045,2120,123955,0.024154589,2112.0,2166.0,2170.5,2117.833333,2073.708333,48550,SM C&C,0,0
57,2017-03-27,2120,2120,2050,2070,187652,-0.023584906,2100.0,2152.0,2158.75,2119.0,2073.375,48550,SM C&C,0,0
58,2017-03-28,2060,2135,2055,2115,139892,0.02173913,2093.0,2140.0,2152.5,2120.25,2073.25,48550,SM C&C,0,0
59,2017-03-29,2110,2235,2100,2115,326905,0.0,2098.0,2134.0,2145.0,2121.833333,2072.833333,48550,SM C&C,0,0
60,2017-03-30,2115,2150,2100,2120,237374,0.002364066,2108.0,2122.0,2140.5,2123.833333,2072.458333,48550,SM C&C,0,0
61,2017-03-31,2125,2215,2120,2215,396897,0.044811321,2127.0,2119.5,2146.0,2127.75,2072.875,48550,SM C&C,0,0
62,2017-04-03,2215,2225,2170,2210,314919,-0.002257336,2155.0,2127.5,2152.75,2132.083333,2073.333333,48550,SM C&C,0,0
63,2017-04-04,2215,2220,2155,2185,302827,-0.011312217,2169.0,2131.0,2158.0,2135.666667,2073.5,48550,SM C&C,0,0
64,2017-04-05,2180,2195,2145,2170,238357,-0.006864989,2180.0,2139.0,2162.25,2135.75,2073.5,48550,SM C&C,0,0
65,2017-04-06,2170,2170,2100,2140,261252,-0.013824885,2184.0,2146.0,2162.0,2134.666667,2073.333333,48550,SM C&C,0,0
66,2017-04-07,2140,2150,2060,2100,371718,-0.018691589,2161.0,2144.0,2155.0,2133.0,2072.875,48550,SM C&C,0,0
67,2017-04-10,2100,2115,2075,2080,174433,-0.00952381,2135.0,2145.0,2148.5,2131.166667,2072.291667,48550,SM C&C,0,0
68,2017-04-11,2075,2110,2075,2095,61170,0.007211538,2117.0,2143.0,2141.5,2129.5,2072.083333,48550,SM C&C,0,0
69,2017-04-12,2090,2100,2025,2065,233757,-0.014319809,2096.0,2138.0,2136.0,2127.25,2071.208333,48550,SM C&C,0,0
70,2017-04-13,2070,2105,2045,2090,204619,0.012106538,2086.0,2135.0,2128.5,2125.5,2070.625,48550,SM C&C,0,0
71,2017-04-14,2060,2095,2050,2055,150014,-0.016746411,2077.0,2119.0,2119.25,2123.5,2070.0,48550,SM C&C,0,0
72,2017-04-17,2055,2120,2055,2070,189862,0.00729927,2075.0,2105.0,2116.25,2122.0,2069.833333,48550,SM C&C,0,0
73,2017-04-18,2070,2095,2050,2070,189948,0.0,2070.0,2093.5,2112.25,2120.666667,2069.958333,48550,SM C&C,0,0
74,2017-04-19,2070,2095,2050,2095,163029,0.012077295,2076.0,2086.0,2112.5,2120.416667,2070.083333,48550,SM C&C,0,0
75,2017-04-20,2100,2115,2075,2090,163281,-0.002386635,2076.0,2081.0,2113.5,2120.916667,2070.375,48550,SM C&C,0,0
76,2017-04-21,2110,2130,2070,2085,107088,-0.002392344,2082.0,2079.5,2111.75,2122.333333,2070.916667,48550,SM C&C,0,0
77,2017-04-24,2090,2090,2055,2070,151607,-0.007194245,2082.0,2078.5,2111.75,2122.583333,2071.5,48550,SM C&C,0,0
78,2017-04-25,2070,2075,2060,2075,136680,0.002415459,2083.0,2076.5,2109.75,2121.416667,2072.708333,48550,SM C&C,0,0
79,2017-04-26,2065,2100,2050,2090,230468,0.007228916,2082.0,2079.0,2108.5,2120.5,2074.125,48550,SM C&C,0,0
80,2017-04-27,2070,2085,2070,2085,86640,-0.002392344,2081.0,2078.5,2106.75,2119.916667,2075.083333,48550,SM C&C,0,0
