,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,48600,48600,47200,47900,46092,-0.016427105,47850,48105,48317.5,53074.16667,61957.916670000006,63080,게임빌,0,0
1,2017-01-03,47900,52200,47400,51800,205032,0.08141962400000001,48740,48415,48482.5,52957.5,61678.75,63080,게임빌,0,0
2,2017-01-04,51500,52400,50800,51900,67942,0.0019305020000000002,49700,48695,48640.0,52844.16667,61382.916670000006,63080,게임빌,0,0
3,2017-01-05,51900,51900,50400,50400,57592,-0.028901734,50140,48835,48817.5,52717.5,61053.75,63080,게임빌,0,0
4,2017-01-06,50700,51600,50400,50900,43890,0.009920635,50580,49155,49000.0,52649.16667,60748.75,63080,게임빌,0,0
5,2017-01-09,51200,51300,49200,49200,89417,-0.033398821,50840,49345,49050.0,52542.5,60451.25,63080,게임빌,0,0
6,2017-01-10,49650,49850,47850,47850,69447,-0.027439024,50050,49395,48990.0,52435.0,60152.5,63080,게임빌,0,0
7,2017-01-11,47700,48200,47600,47750,61121,-0.002089864,49220,49460,48945.0,52354.16667,59859.583329999994,63080,게임빌,0,0
8,2017-01-12,47350,48800,47350,48700,60209,0.019895288,48880,49510,48905.0,52280.83333,59601.25,63080,게임빌,0,0
9,2017-01-13,48050,48500,47000,47700,67111,-0.020533881,48240,49410,48807.5,52125.83333,59345.416670000006,63080,게임빌,0,0
10,2017-01-16,47800,47950,46400,46600,78626,-0.023060797,47720,49280,48692.5,51924.16667,59088.75,63080,게임빌,0,0
11,2017-01-17,46650,47350,46100,46200,61250,-0.008583691,47390,48720,48567.5,51737.5,58832.083329999994,63080,게임빌,0,0
12,2017-01-18,46100,46400,45300,45850,70615,-0.007575758,47010,48115,48405.0,51551.66667,58553.333329999994,63080,게임빌,0,0
13,2017-01-19,46300,46550,45600,46000,43965,0.003271538,46470,47675,48255.0,51348.33333,58280.0,63080,게임빌,0,0
14,2017-01-20,46100,46550,45350,45500,73346,-0.010869565,46030,47135,48145.0,51118.33333,58002.5,63080,게임빌,0,0
15,2017-01-23,45750,46150,45050,45050,65482,-0.00989011,45720,46720,48032.5,50902.5,57727.916670000006,63080,게임빌,0,0
16,2017-01-24,44800,45300,44300,44500,56200,-0.012208657,45380,46385,47890.0,50717.5,57463.75,63080,게임빌,0,0
17,2017-01-25,44550,44750,43200,43250,70578,-0.028089887999999997,44860,45935,47697.5,50516.66667,57185.0,63080,게임빌,0,0
18,2017-01-26,43100,44200,43100,44200,26788,0.021965317999999998,44500,45485,47497.5,50336.66667,56913.333329999994,63080,게임빌,0,0
19,2017-01-31,43750,44450,43750,44450,26358,0.005656109,44290,45160,47285.0,50140.83333,56648.75,63080,게임빌,0,0
20,2017-02-01,44200,45450,44200,45400,51969,0.021372328,44360,45040,47160.0,49955.83333,56417.083329999994,63080,게임빌,0,0
21,2017-02-02,45400,46600,45200,46200,74832,0.017621145,44700,45040,46880.0,49759.16667,56187.083329999994,63080,게임빌,0,0
22,2017-02-03,45650,46100,45300,45500,42184,-0.015151515,45150,45005,46560.0,49555.83333,55944.583329999994,63080,게임빌,0,0
23,2017-02-06,46000,46000,45100,45500,21903,0.0,45410,44955,46315.0,49405.83333,55693.75,63080,게임빌,0,0
24,2017-02-07,45350,46850,45350,46450,58628,0.020879121,45810,45050,46092.5,49275.0,55484.166670000006,63080,게임빌,0,0
25,2017-02-08,46300,50900,45850,49200,279380,0.059203445,46570,45465,46092.5,49196.66667,55305.833329999994,63080,게임빌,0,0
26,2017-02-09,49200,50200,48750,49200,151802,0.0,47170,45935,46160.0,49101.66667,55130.833329999994,63080,게임빌,0,0
27,2017-02-10,50000,52700,49300,51400,254796,0.044715447,48350,46750,46342.5,49033.33333,54984.166670000006,63080,게임빌,0,0
28,2017-02-13,51700,53500,51100,52700,151449,0.025291829,49790,47600,46542.5,48943.33333,54850.0,63080,게임빌,0,0
29,2017-02-14,53200,53300,52100,53100,78117,0.007590133000000001,51120,48465,46812.5,48860.0,54730.0,63080,게임빌,0,0
30,2017-02-15,52400,52700,51500,52200,91624,-0.016949153,51720,49145,47092.5,48796.66667,54617.5,63080,게임빌,0,0
31,2017-02-16,52200,52300,50600,52000,69814,-0.003831418,52280,49725,47382.5,48768.33333,54475.833329999994,63080,게임빌,0,0
32,2017-02-17,51800,55200,51800,53600,169157,0.030769231,52720,50535,47770.0,48765.0,54354.166670000006,63080,게임빌,0,0
33,2017-02-20,53600,55400,53000,54200,101942,0.01119403,53020,51405,48180.0,48775.0,54229.166670000006,63080,게임빌,0,0
34,2017-02-21,55000,55000,53600,54500,74292,0.005535055,53300,52210,48630.0,48790.0,54112.5,63080,게임빌,0,0
35,2017-02-22,55600,56000,54700,55900,105722,0.025688073,54040,52880,49172.5,48840.0,54020.0,63080,게임빌,0,0
36,2017-02-23,56200,56600,55500,56500,95117,0.010733453,54940,53610,49772.5,48916.66667,53938.333329999994,63080,게임빌,0,0
37,2017-02-24,56500,59900,56200,58700,188642,0.038938053,55960,54340,50545.0,49038.33333,53890.833329999994,63080,게임빌,0,0
38,2017-02-27,59200,59300,57000,57100,102814,-0.02725724,56540,54780,51190.0,49100.0,53806.666670000006,63080,게임빌,1,4
39,2017-02-28,57400,58200,56900,58000,51322,0.015761821000000002,57240,55270,51867.5,49201.66667,53727.5,63080,게임빌,1,26
40,2017-03-02,58000,59800,57700,59200,89379,0.020689655,57900,55970,52557.5,49345.0,53658.33333,63080,게임빌,1,2
41,2017-03-03,59100,59300,57500,57900,60918,-0.021959459,58180,56560,53142.5,49501.66667,53578.33333,63080,게임빌,1,24
42,2017-03-06,57500,57500,54700,55700,100709,-0.037996546,57580,56770,53652.5,49617.5,53494.16667,63080,게임빌,1,1
43,2017-03-07,54300,56000,53100,55600,114317,-0.0017953320000000002,57280,56910,54157.5,49763.33333,53402.5,63080,게임빌,1,4
44,2017-03-08,56000,56900,54900,54900,40184,-0.012589928,56660,56950,54580.0,49890.83333,53318.33333,63080,게임빌,1,22
45,2017-03-09,55300,56800,54700,55200,41028,0.005464481,55860,56880,54880.0,50007.5,53236.66667,63080,게임빌,1,41
46,2017-03-10,55500,57800,53500,57800,81678,0.047101449000000004,55840,57010,55310.0,50153.33333,53188.33333,63080,게임빌,1,41
47,2017-03-13,58500,58500,56700,57100,42727,-0.012110727,56120,56850,55595.0,50294.16667,53145.0,63080,게임빌,1,2
48,2017-03-14,57000,57700,55600,55700,49446,-0.024518388999999998,56140,56710,55745.0,50397.5,53088.33333,63080,게임빌,1,25
