Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,테마명
2017-01-02,22380.2,23058.93333,21966.06667,22749.53333,102198.8667,0.010814065,22291.17333,22218.25333,21861.57333,22951.81333,25681.77278,123456,게임
2017-01-03,22811.33333,23794.8,22613.86667,23622.33333,171364.3333,0.030279388,22643.26667,22346.65333,22006.69,22918.13222,25620.64889,123456,게임
2017-01-04,23624.73333,24197.2,23153.8,23862.86667,171312.5333,0.013864824,22988.8,22501.17333,22162.69,22888.39889,25558.29056,123456,게임
2017-01-05,23864.06667,23985.86667,23295.86667,23522.53333,118609.6667,-0.005403045,23219.29333,22636.30667,22302.98333,22855.74778,25489.73444,123456,게임
2017-01-06,23684.33333,24147.8,23333.6,23543.4,120265.4,-0.000385934,23460.13333,22794.90667,22430.44333,22833.71667,25424.84444,123456,게임
2017-01-09,23596.33333,23872.46667,23133,23411.2,90638.4,-0.007635347,23592.46667,22941.82,22528.66667,22805.84556,25360.63,123456,게임
2017-01-10,23436.8,23603.26667,22656.33333,22826.86667,121242.6667,-0.02373793,23433.37333,23038.32,22583.15333,22773.55444,25293.1,123456,게임
2017-01-11,22865,23106,22610.66667,22852.06667,82042.93333,0.001062973,23231.21333,23110.00667,22638.27,22748.85111,25225.72667,123456,게임
2017-01-12,22820.8,23384.6,22548.6,22847.2,341293.2,0.002985136,23096.14667,23157.72,22669.66333,22725.52556,25163.62222,123456,게임
2017-01-13,22816.46667,23321,22508.73333,22886.66667,1639556.733,0.011038429,22964.8,23212.46667,22693.41667,22698.2,25102.50944,123456,게임
2017-01-16,22955.33333,23127.33333,22330.26667,22606.73333,667123.6,-0.008958497,22803.90667,23198.18667,22708.22,22666.28778,25037.28778,123456,게임
2017-01-17,22564.33333,22860.6,22129.06667,22253.53333,277895.1333,-0.013847059,22689.24,23061.30667,22703.98,22628.76333,24972.545,123456,게임
2017-01-18,22323.6,22535.46667,21959.8,22324.26667,444283.4667,0.001108638,22583.68,22907.44667,22704.31,22591.95556,24905.68611,123456,게임
2017-01-19,22429.73333,22641.8,21984.66667,22177.33333,203136.9333,-0.003878511,22449.70667,22772.92667,22704.61667,22549.98667,24838.53056,123456,게임
2017-01-20,22133.13333,22408.53333,21782.73333,22006.93333,172005.7333,-0.01294579,22273.76,22619.28,22707.09333,22500.36889,24771.68,123456,게임
2017-01-23,22037.93333,22951.66667,21836.6,22531.66667,458264.6667,0.023842867,22258.74667,22531.32667,22736.57333,22464.32889,24710.685,123456,게임
2017-01-24,22553.93333,22911.73333,22000.06667,22168.53333,1995527.067,-0.002359299,22241.74667,22465.49333,22751.90667,22431.39556,24653.86944,123456,게임
2017-01-25,22209.13333,22475.33333,21622,21903.06667,747939.3333,-0.008563944,22157.50667,22370.59333,22740.3,22399.95444,24592.80722,123456,게임
2017-01-26,21911.13333,22349.4,21672.2,22042.2,262677.4667,0.002095974,22130.48,22290.09333,22723.90667,22383.34222,24533.99111,123456,게임
2017-01-31,21966.2,22248.4,21625.86667,21903.93333,313721.1333,-0.00073496,22109.88,22191.82,22702.14333,22362.25556,24474.395,123456,게임
2017-02-01,22029.6,22888.33333,21917.93333,22779.6,517307.8,0.053153401,22159.46667,22209.10667,22703.64667,22355.59889,24425.42722,123456,게임
2017-02-02,22804.6,23213,22393.6,22710.13333,2051210.133,-0.006120844,22267.78667,22254.76667,22658.03667,22337.39,24375.79611,123456,게임
2017-02-03,22653,22935.26667,22246.6,22448.93333,601402.3333,-0.01254945,22376.96,22267.23333,22587.34,22314.64333,24321.81944,123456,게임
2017-02-06,22413.4,22998.13333,22044.4,22710.53333,739575.4,0.004450041,22510.62667,22320.55333,22546.74,22321.38333,24263.93278,123456,게임
2017-02-07,22821.13333,23541.13333,22604,23143.4,3154017.733,0.019645421,22758.52,22434.2,22526.74,22327.66778,24215.75111,123456,게임
2017-02-08,23095.26667,24660,22543.73333,23816.53333,870183.0667,-0.003914317,22965.90667,22562.68667,22547.00667,22348.43667,24174.87778,123456,게임
2017-02-09,23914.6,24796.4,23605.53333,24419.06667,2275110.067,0.021875344,23307.69333,22787.74,22626.61667,22380.30556,24140.62278,123456,게임
2017-02-10,24455,25268.2,24155.8,24745.93333,1323829.867,0.013383369,23767.09333,23072.02667,22721.31,22419.42333,24111.35722,123456,게임
2017-02-13,24848.46667,25697.4,24637,25309.26667,774937.2,0.019178966,24286.84,23398.73333,22844.41333,22455.93556,24086.50389,123456,게임
2017-02-14,25433.66667,25622.6,24787.13333,25223.8,474569.8,-0.010790981,24702.92,23730.72,22961.27,22490.25556,24063.65278,123456,게임
2017-02-15,25134.53333,25529.33333,24760.33333,25183.4,518424.0667,0.00148811,24976.29333,23971.1,23090.10333,22532.33889,24045.25389,123456,게임
2017-02-16,25207.46667,25448.13333,24643.6,25197.06667,345312.8667,-0.000611419,25131.89333,24219.79333,23237.28,22581.90444,24022.77611,123456,게임
2017-02-17,25053,25969.8,24885.8,25334.73333,387494.4,0.00653223,25249.65333,24508.37333,23387.80333,22629.99,24004.20444,123456,게임
2017-02-20,25363.86667,26074.13333,25123.2,25687.33333,374052.1333,0.010446837,25325.26667,24806.05333,23563.30333,22687.32,23986.32556,123456,게임
2017-02-21,25842.66667,26285.33333,25389.73333,26017.86667,568361.6,0.01548997,25484.08,25093.5,23763.85,22753.13889,23971.07389,123456,게임
2017-02-22,26370.06667,26861.86667,25930.66667,26572.66667,1087282.333,0.016267074,25761.93333,25369.11333,23965.9,22825.95111,23964.64278,123456,게임
2017-02-23,26590.73333,26838.93333,26056.46667,26323.8,268521.5333,-0.009241084,25987.28,25559.58667,24173.66333,22894.95556,23954.99333,123456,게임
2017-02-24,26354.46667,27072.33333,26089.26667,26594.2,337379.6667,0.000297237,26239.17333,25744.41333,24408.22,22970.13,23950.24389,123456,게임
2017-02-27,26565.46667,26810,25593.8,25715.73333,254098.8,-0.023113216,26244.85333,25785.06,24591.89667,23030.54333,23931.7,123456,게임
2017-02-28,25766.73333,26540.46667,25456.8,26111.86667,304413.1333,0.015904947,26263.65333,25873.86667,24802.29333,23100.51333,23915.07056,123456,게임
2017-03-02,26247.06667,27100.33333,25850.73333,26414.4,286406.0667,0.002086153,26232,25996.96667,24984.03333,23183.08444,23900.66444,123456,게임
2017-03-03,26373.46667,26858.13333,25717.66667,26165,246492.4667,-0.012803931,26200.24,26093.76,25156.77667,23273.83444,23883.82889,123456,게임
2017-03-06,26205.4,26378.46667,25296.73333,25628.2,203826.6,-0.008448088,26007.04,26123.10667,25315.74,23355.25667,23865.91611,123456,게임
2017-03-07,25243.6,25823.33333,24489.93333,25514.53333,316729.7333,-0.011540706,25966.8,26105.82667,25455.94,23435.22111,23847.04056,123456,게임
2017-03-08,25651.06667,25899.6,25147.93333,25267.8,145019.2,-0.002354392,25797.98667,26030.82,25562.16,23506.44778,23828.15111,123456,게임
