,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,46000,46200,45100,45100,35246,-0.002212389,44700,44990,44985.0,44316.66667,44498.75,98460,고영,0,0
1,2017-01-03,45100,45950,44500,44700,36677,-0.00886918,44800,44850,45047.5,44304.16667,44523.75,98460,고영,0,0
2,2017-01-04,45300,45300,44500,44500,59096,-0.004474273,44800,44765,45050.0,44293.33333,44540.83333,98460,고영,0,0
3,2017-01-05,44500,44650,43650,43750,55779,-0.016853933,44650,44620,44995.0,44264.16667,44557.5,98460,고영,0,0
4,2017-01-06,43650,44450,43600,44000,153127,0.005714286,44410,44505,44955.0,44255.83333,44576.66667,98460,고영,0,0
5,2017-01-09,44250,45000,43900,44350,34841,0.007954545,44260,44480,44935.0,44247.5,44598.75,98460,고영,0,0
6,2017-01-10,44250,44350,43100,43350,110084,-0.022547914,43990,44395,44877.5,44221.66667,44616.25,98460,고영,0,0
7,2017-01-11,43350,43900,42850,43500,48700,0.003460208,43790,44295,44800.0,44200.0,44623.33333,98460,고영,0,0
8,2017-01-12,43500,43900,42800,43550,53123,0.001149425,43750,44200,44682.5,44179.16667,44620.41667,98460,고영,0,0
9,2017-01-13,43150,44100,43050,43600,67320,0.001148106,43670,44040,44557.5,44165.83333,44600.83333,98460,고영,0,0
10,2017-01-16,43800,44250,43100,43750,50771,0.003440367,43550,43905,44447.5,44165.0,44580.41667,98460,고영,0,0
11,2017-01-17,43750,43850,43400,43500,50212,-0.005714286,43580,43785,44317.5,44168.33333,44563.75,98460,고영,0,0
12,2017-01-18,43450,44600,43250,44600,38018,0.025287356,43800,43795,44280.0,44195.83333,44562.91667,98460,고영,0,0
13,2017-01-19,44100,44200,43300,43500,112889,-0.024663677,43790,43770,44195.0,44200.83333,44544.16667,98460,고영,0,0
14,2017-01-20,43300,43300,42350,42350,70392,-0.026436782,43540,43605,44055.0,44170.0,44517.08333,98460,고영,0,0
15,2017-01-23,42350,43400,42200,42750,40711,0.0094451,43340,43445,43962.5,44147.5,44483.75,98460,고영,1,2
16,2017-01-24,42550,43500,42000,42450,84657,-0.007017544,43130,43355,43875.0,44108.33333,44446.66667,98460,고영,0,0
17,2017-01-25,43000,44600,42750,44450,183619,0.047114252,43100,43450,43872.5,44102.5,44424.16667,98460,고영,0,0
18,2017-01-26,44800,44900,43700,44200,61294,-0.005624297,43240,43515,43857.5,44114.16667,44406.25,98460,고영,1,1
19,2017-01-31,44150,44200,43450,43750,48881,-0.010180995,43520,43530,43785.0,44096.66667,44390.83333,98460,고영,0,0
20,2017-02-01,43550,44000,43350,43900,34983,0.003428571,43750,43545,43725.0,44081.66667,44372.08333,98460,고영,0,0
21,2017-02-02,44050,44450,43900,44300,57154,0.009111617,44120,43625,43705.0,44085.0,44359.16667,98460,고영,0,0
22,2017-02-03,44200,45000,44050,44650,96110,0.007900677,44160,43630,43712.5,44106.66667,44357.91667,98460,고영,0,0
23,2017-02-06,44600,45050,44400,45050,61764,0.008958567,44330,43785,43777.5,44133.33333,44364.16667,98460,고영,0,0
24,2017-02-07,44950,45300,44800,45300,56497,0.00554939,44640,44080,43842.5,44155.83333,44366.66667,98460,고영,0,0
25,2017-02-08,45300,45550,44850,45250,52614,-0.001103753,44910,44330,43887.5,44190.0,44361.66667,98460,고영,0,0
26,2017-02-09,45250,45400,45000,45000,120052,-0.005524862,45050,44585,43970.0,44225.0,44363.33333,98460,고영,0,0
27,2017-02-10,45000,46000,45000,45950,54855,0.021111111,45310,44735,44092.5,44272.5,44370.0,98460,고영,0,0
28,2017-02-13,46000,46300,44600,45300,45699,-0.014145811,45360,44845,44180.0,44295.83333,44366.25,98460,고영,1,2
29,2017-02-14,44900,45950,44900,45600,26829,0.006622517,45420,45030,44280.0,44321.66667,44373.33333,98460,고영,0,0
30,2017-02-15,45950,45950,44950,45700,28084,0.002192982,45510,45210,44377.5,44364.16667,44379.16667,98460,고영,0,0
31,2017-02-16,46000,46100,45300,46000,45072,0.006564551,45710,45380,44502.5,44420.83333,44387.08333,98460,고영,0,0
32,2017-02-17,46100,47850,46050,47650,134520,0.035869565,46050,45680,44655.0,44484.16667,44410.0,98460,고영,0,0
33,2017-02-20,47800,47800,46750,47200,31739,-0.009443861,46430,45895,44840.0,44531.66667,44432.91667,98460,고영,0,0
34,2017-02-21,47050,47700,46650,47100,57489,-0.002118644,46730,46075,45077.5,44577.5,44450.83333,98460,고영,1,3
35,2017-02-22,47300,47850,47200,47650,143893,0.011677282,47120,46315,45322.5,44640.0,44485.41667,98460,고영,0,0
36,2017-02-23,48050,48950,47650,48950,90517,0.027282267,47710,46710,45647.5,44726.66667,44527.08333,98460,고영,0,0
37,2017-02-24,49300,49900,48950,49850,144039,0.018386108,48150,47100,45917.5,44834.16667,44579.16667,98460,고영,0,0
38,2017-02-27,50000,54000,50000,51600,205221,0.035105316,49030,47730,46287.5,44985.83333,44641.66667,98460,고영,0,0
39,2017-02-28,51800,51800,50300,50500,97094,-0.021317829,49710,48220,46625.0,45100.0,44695.0,98460,고영,0,0
40,2017-03-02,50500,51300,49350,49950,99266,-0.010891089,50170,48645,46927.5,45212.5,44741.25,98460,고영,0,0
41,2017-03-03,49950,50000,49100,49600,85127,-0.007007007,50300,49005,47192.5,45315.0,44785.83333,98460,고영,0,0
42,2017-03-06,49650,50500,49200,49900,45615,0.006048387,50310,49230,47455.0,45405.83333,44832.91667,98460,고영,0,0
43,2017-03-07,50000,51600,49900,50900,72437,0.02004008,50170,49600,47747.5,45506.66667,44888.33333,98460,고영,0,0
44,2017-03-08,51600,51600,50600,51000,160271,0.001964637,50270,49990,48032.5,45610.0,44950.83333,98460,고영,0,0
45,2017-03-09,51100,51400,50000,51100,60266,0.001960784,50500,50335,48325.0,45715.83333,45022.91667,98460,고영,0,0
46,2017-03-10,50600,51800,50100,51800,59169,0.01369863,50940,50620,48665.0,45837.5,45092.5,98460,고영,0,0
47,2017-03-13,52000,52000,50600,51300,41569,-0.00965251,51220,50765,48932.5,45941.66667,45155.0,98460,고영,0,0
48,2017-03-14,51600,51600,49900,50000,50271,-0.025341131,51040,50605,49167.5,46010.0,45209.58333,98460,고영,1,1
49,2017-03-15,50100,50600,49550,50500,61727,0.01,50940,50605,49412.5,46083.33333,45267.91667,98460,고영,0,0
50,2017-03-16,50200,50600,49050,50200,87385,-0.005940594,50760,50630,49637.5,46154.16667,45307.91667,98460,고영,0,0
51,2017-03-17,50000,50700,49200,50700,56541,0.009960159,50540,50740,49872.5,46230.83333,45357.08333,98460,고영,0,0
52,2017-03-20,50700,50700,49500,49800,42734,-0.017751479,50240,50730,49980.0,46305.0,45388.75,98460,고영,0,0
53,2017-03-21,50300,50300,49050,49550,51298,-0.00502008,50150,50595,50097.5,46377.5,45418.75,98460,고영,0,0
54,2017-03-22,49150,49150,48500,48600,61122,-0.019172553,49770,50355,50172.5,46435.0,45442.91667,98460,고영,0,0
55,2017-03-23,48750,49900,48600,49400,71096,0.016460905,49610,50185,50260.0,46515.0,45476.25,98460,고영,0,0
56,2017-03-24,50300,50300,48850,49300,72070,-0.002024291,49330,49935,50277.5,46600.0,45506.66667,98460,고영,0,0
57,2017-03-27,49200,49700,49050,49650,36672,0.007099391,49300,49770,50267.5,46685.83333,45535.41667,98460,고영,0,0
58,2017-03-28,49650,50700,49200,50300,51486,0.013091641,49450,49800,50202.5,46782.5,45567.08333,98460,고영,0,0
59,2017-03-29,50700,50800,50200,50500,27598,0.003976143,49830,49800,50202.5,46870.83333,45600.83333,98460,고영,0,0
60,2017-03-30,50500,51200,49850,50600,24456,0.001980198,50070,49840,50235.0,46962.5,45639.58333,98460,고영,0,0
61,2017-03-31,51100,52100,50500,51300,60782,0.013833992,50470,49900,50320.0,47072.5,45688.33333,98460,고영,1,2
62,2017-04-03,53100,53600,52000,53200,86426,0.037037037,51180,50240,50485.0,47217.5,45755.41667,98460,고영,0,0
63,2017-04-04,52600,58400,52500,56300,183459,0.058270677,52380,50915,50755.0,47426.66667,45845.41667,98460,고영,0,0
64,2017-04-05,55900,56200,53300,55000,157341,-0.023090586,53280,51555,50955.0,47610.0,45932.91667,98460,고영,0,0
65,2017-04-06,54400,54900,53800,54400,68248,-0.010909091,54040,52055,51120.0,47777.5,46012.5,98460,고영,0,0
66,2017-04-07,54600,55000,53300,53300,86452,-0.020220588,54440,52455,51195.0,47943.33333,46082.5,98460,고영,0,0
67,2017-04-10,53200,53500,52200,52300,54072,-0.018761726,54260,52720,51245.0,48090.0,46145.0,98460,고영,0,0
68,2017-04-11,52000,53200,52000,53100,39904,0.015296367,53620,53000,51400.0,48249.16667,46214.16667,98460,고영,0,0
69,2017-04-12,53000,53300,52700,53200,35456,0.001883239,53260,53270,51535.0,48409.16667,46287.5,98460,고영,1,2
70,2017-04-13,53200,53300,52700,53300,32044,0.001879699,53040,53540,51690.0,48568.33333,46366.66667,98460,고영,0,0
71,2017-04-14,53400,53400,52500,52900,31037,-0.00750469,52960,53700,51800.0,48725.0,46446.66667,98460,고영,0,0
72,2017-04-17,52900,53300,52400,52900,41067,0.0,53080,53670,51955.0,48863.33333,46529.58333,98460,고영,0,0
73,2017-04-18,53000,54100,52900,54000,75087,0.020793951,53260,53440,52177.5,49038.33333,46619.58333,98460,고영,0,0
74,2017-04-19,53800,54200,53500,53800,52782,-0.003703704,53380,53320,52437.5,49229.16667,46699.58333,98460,고영,0,0
75,2017-04-20,54000,54000,53100,53200,31168,-0.011152416,53360,53200,52627.5,49403.33333,46775.41667,98460,고영,0,0
76,2017-04-21,53200,53900,52500,53500,40204,0.005639098,53480,53220,52837.5,49587.5,46847.91667,98460,고영,0,0
77,2017-04-24,53300,53600,53000,53100,36632,-0.007476636,53520,53300,53010.0,49731.66667,46917.08333,98460,고영,0,0
78,2017-04-25,53400,54000,52600,54000,40672,0.016949153,53520,53390,53195.0,49895.0,47004.58333,98460,고영,0,0
79,2017-04-26,54200,55100,53900,55000,63858,0.018518519,53760,53570,53420.0,50082.5,47089.58333,98460,고영,1,1
80,2017-04-27,55100,55300,53500,53700,57381,-0.023636364,53860,53610,53575.0,50245.83333,47163.75,98460,고영,0,0
81,2017-04-28,53100,54600,53000,53700,60155,0.0,53900,53690,53695.0,50402.5,47243.75,98460,고영,1,2
82,2017-05-02,53800,54500,52000,53700,30701,0.0,54020,53770,53720.0,50553.33333,47330.0,98460,고영,0,0
83,2017-05-04,53400,55000,52900,54700,60287,0.018621974,54160,53840,53640.0,50714.16667,47423.75,98460,고영,0,0
84,2017-05-08,54700,58100,54100,58100,137263,0.062157221,54780,54270,53795.0,50927.5,47541.66667,98460,고영,1,1
85,2017-05-10,57500,60300,57200,60200,177955,0.036144578,56080,54970,54085.0,51176.66667,47683.33333,98460,고영,1,1
86,2017-05-11,59500,60100,59100,59700,135095,-0.008305648,57280,55590,54405.0,51421.66667,47823.33333,98460,고영,0,0
87,2017-05-12,59700,60200,57800,57800,82158,-0.031825796,58100,56060,54680.0,51619.16667,47945.83333,98460,고영,0,0
88,2017-05-15,57900,59200,57300,58700,67545,0.015570934,58900,56530,54960.0,51842.5,48069.16667,98460,고영,0,0
89,2017-05-16,58700,58700,57500,58400,77848,-0.005110733,58960,56870,55220.0,52055.83333,48188.75,98460,고영,0,0
90,2017-05-17,57900,58600,56700,58500,81320,0.001712329,58620,57350,55480.0,52269.16667,48316.66667,98460,고영,0,0
91,2017-05-18,57600,58800,57500,58800,34833,0.005128205,58440,57860,55775.0,52482.5,48451.66667,98460,고영,0,0
92,2017-05-19,58700,58900,57400,57500,63384,-0.022108844,58380,58240,56005.0,52646.66667,48565.41667,98460,고영,0,0
93,2017-05-22,57700,58300,57200,57600,55242,0.00173913,58160,58530,56185.0,52820.0,48675.83333,98460,고영,0,0
94,2017-05-23,58000,59400,57600,59000,56669,0.024305556,58280,58620,56445.0,53018.33333,48797.91667,98460,고영,0,0
95,2017-05-24,59000,59100,58100,58500,26688,-0.008474576,58280,58450,56710.0,53199.16667,48919.58333,98460,고영,0,0
96,2017-05-25,59000,59000,57600,58000,38056,-0.008547009,58120,58280,56935.0,53350.0,49038.33333,98460,고영,0,0
