,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,8480,8510,8420,8430,51854,-0.01056338,8542,8447.0,8339.0,8470.333333,8887.416667,9290,광동제약,0,0
1,2017-01-03,8410,8580,8390,8500,87754,0.008303676999999999,8524,8465.0,8359.0,8463.0,8874.916667,9290,광동제약,0,0
2,2017-01-04,8470,8630,8460,8600,132740,0.011764706000000002,8524,8493.0,8381.0,8454.0,8863.416667,9290,광동제약,0,0
3,2017-01-05,8630,8780,8580,8730,161610,0.015116279,8556,8535.0,8419.0,8447.0,8853.333333,9290,광동제약,0,0
4,2017-01-06,8790,8790,8620,8650,71585,-0.009163803,8582,8564.0,8445.0,8442.333333,8843.25,9290,광동제약,0,0
5,2017-01-09,8650,8700,8600,8600,78033,-0.005780347,8616,8579.0,8464.0,8437.666667,8833.666667,9290,광동제약,0,0
6,2017-01-10,8620,8750,8620,8700,152098,0.011627907,8656,8590.0,8486.5,8435.666667,8823.333333,9290,광동제약,0,0
7,2017-01-11,8690,8700,8500,8600,125837,-0.011494253000000001,8656,8590.0,8495.0,8432.166667,8813.416667,9290,광동제약,0,0
8,2017-01-12,8610,8640,8500,8570,118345,-0.003488372,8624,8590.0,8506.0,8428.0,8803.75,9290,광동제약,1,1
9,2017-01-13,8510,8710,8510,8710,101222,0.016336056,8636,8609.0,8523.5,8427.0,8795.083333,9290,광동제약,0,0
10,2017-01-16,8710,8740,8600,8650,74333,-0.006888634,8646,8631.0,8539.0,8426.333333,8785.916667,9290,광동제약,0,0
11,2017-01-17,8650,8690,8560,8570,102336,-0.009248555,8620,8638.0,8551.5,8425.5,8776.583333,9290,광동제약,1,1
12,2017-01-18,8600,8640,8520,8600,51842,0.003500583,8620,8638.0,8565.5,8426.833333,8768.166667,9290,광동제약,0,0
13,2017-01-19,8660,8660,8540,8550,62582,-0.005813953,8616,8620.0,8577.5,8430.0,8760.583333,9290,광동제약,0,0
14,2017-01-20,8550,8650,8520,8590,57801,0.004678363,8592,8614.0,8589.0,8429.833333,8753.333333,9290,광동제약,0,0
15,2017-01-23,8610,8620,8510,8510,64278,-0.009313155,8564,8605.0,8592.0,8430.833333,8745.0,9290,광동제약,0,0
16,2017-01-24,8510,8520,8450,8510,71159,0.0,8552,8586.0,8588.0,8434.833333,8737.166667,9290,광동제약,0,0
17,2017-01-25,8510,8540,8300,8310,110395,-0.023501763,8494,8557.0,8573.5,8434.5,8727.75,9290,광동제약,1,1
18,2017-01-26,8310,8320,8150,8220,86804,-0.010830325,8428,8522.0,8556.0,8436.166667,8719.0,9290,광동제약,0,0
