,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,16500,16600,16250,16250,12320,-0.015151515,16490,16410,16250.0,15936.666669999999,15612.916669999999,42420,네오위즈홀딩스,0,0
1,2017-01-03,16450,16450,16150,16350,15361,0.006153846,16470,16415,16285.0,15935.833330000001,15627.916669999999,42420,네오위즈홀딩스,0,0
2,2017-01-04,16250,16400,15600,16350,45945,0.0,16410,16420,16315.0,15934.166669999999,15642.5,42420,네오위즈홀딩스,0,0
3,2017-01-05,16350,16600,16200,16600,19448,0.01529052,16410,16450,16355.0,15937.5,15657.5,42420,네오위즈홀딩스,0,0
4,2017-01-06,16600,16650,16450,16600,8159,0.0,16430,16475,16392.5,15939.166669999999,15673.75,42420,네오위즈홀딩스,0,0
5,2017-01-09,16700,16900,16650,16750,14989,0.009036145,16530,16510,16425.0,15945.0,15692.083330000001,42420,네오위즈홀딩스,0,0
6,2017-01-10,16750,16750,16200,16500,34331,-0.014925373,16560,16515,16432.5,15946.666669999999,15707.083330000001,42420,네오위즈홀딩스,0,0
7,2017-01-11,16500,16600,16350,16550,12058,0.003030303,16600,16505,16442.5,15950.0,15722.916669999999,42420,네오위즈홀딩스,0,0
8,2017-01-12,16600,16600,16250,16550,11172,0.0,16590,16500,16450.0,15956.666669999999,15740.833330000001,42420,네오위즈홀딩스,0,0
9,2017-01-13,16550,16600,16200,16400,15001,-0.009063444,16550,16490,16452.5,15962.5,15758.75,42420,네오위즈홀딩스,0,0
10,2017-01-16,16400,16400,15950,15950,17187,-0.027439024,16390,16460,16435.0,15961.666669999999,15770.0,42420,네오위즈홀딩스,0,0
11,2017-01-17,16000,16100,15850,16050,15089,0.006269591999999999,16300,16430,16422.5,15964.166669999999,15784.583330000001,42420,네오위즈홀딩스,0,0
12,2017-01-18,16150,16200,15950,16150,7922,0.00623053,16220,16410,16415.0,15965.833330000001,15800.416669999999,42420,네오위즈홀딩스,0,0
13,2017-01-19,16000,16200,15800,16100,14014,-0.003095975,16130,16360,16405.0,15969.166669999999,15815.416669999999,42420,네오위즈홀딩스,0,0
14,2017-01-20,16150,16150,15750,16050,14528,-0.00310559,16060,16305,16390.0,15971.666669999999,15829.583330000001,42420,네오위즈홀딩스,0,0
15,2017-01-23,15850,16050,15700,16000,34541,-0.003115265,16070,16230,16370.0,15974.166669999999,15842.916669999999,42420,네오위즈홀딩스,0,0
16,2017-01-24,16000,16100,15850,15900,12607,-0.00625,16040,16170,16342.5,15976.666669999999,15855.0,42420,네오위즈홀딩스,0,0
17,2017-01-25,16050,16050,15750,15900,15511,0.0,15990,16105,16305.0,15984.166669999999,15867.5,42420,네오위즈홀딩스,0,0
18,2017-01-26,16000,16100,15800,16050,10043,0.009433961999999999,15980,16055,16277.5,16000.833330000001,15881.25,42420,네오위즈홀딩스,0,0
19,2017-01-31,16100,16200,15900,16100,11492,0.003115265,15990,16025,16257.5,16014.166669999999,15894.583330000001,42420,네오위즈홀딩스,0,0
20,2017-02-01,16100,16400,15700,16350,12900,0.01552795,16060,16065,16262.5,16032.5,15908.333330000001,42420,네오위즈홀딩스,0,0
21,2017-02-02,16350,16350,16100,16300,15762,-0.0030581040000000003,16140,16090,16260.0,16043.333330000001,15920.833330000001,42420,네오위즈홀딩스,0,0
22,2017-02-03,16300,16300,16100,16300,6766,0.0,16220,16105,16257.5,16052.5,15934.166669999999,42420,네오위즈홀딩스,0,0
23,2017-02-06,16300,16350,16050,16100,11848,-0.012269938999999999,16230,16105,16232.5,16063.333330000001,15945.833330000001,42420,네오위즈홀딩스,0,0
24,2017-02-07,16150,16300,16050,16200,12762,0.00621118,16250,16120,16212.5,16070.0,15957.083330000001,42420,네오위즈홀딩스,0,0
25,2017-02-08,16250,16350,16050,16300,11763,0.00617284,16240,16150,16190.0,16085.0,15967.916669999999,42420,네오위즈홀딩스,0,0
26,2017-02-09,16200,16700,16150,16700,26059,0.024539877,16320,16230,16200.0,16106.666669999999,15980.0,42420,네오위즈홀딩스,0,0
27,2017-02-10,16300,17150,16300,16950,55800,0.01497006,16450,16335,16220.0,16135.833330000001,15994.166669999999,42420,네오위즈홀딩스,0,0
28,2017-02-13,17050,17050,16550,16750,30415,-0.01179941,16580,16405,16230.0,16157.5,16001.666669999999,42420,네오위즈홀딩스,0,0
29,2017-02-14,16850,16850,16400,16600,17641,-0.008955224,16660,16455,16240.0,16180.0,16006.666669999999,42420,네오위즈홀딩스,0,0
30,2017-02-15,16700,16750,16400,16650,15098,0.003012048,16730,16485,16275.0,16204.166669999999,16003.75,42420,네오위즈홀딩스,0,0
31,2017-02-16,16650,16650,16400,16550,5199,-0.0060060059999999995,16700,16510,16300.0,16217.5,16001.666669999999,42420,네오위즈홀딩스,0,0
32,2017-02-17,16450,16600,16350,16500,14389,-0.003021148,16610,16530,16317.5,16226.666669999999,15998.333330000001,42420,네오위즈홀딩스,0,0
33,2017-02-20,16650,16650,16400,16500,8746,0.0,16560,16570,16337.5,16237.5,15996.25,42420,네오위즈홀딩스,0,0
34,2017-02-21,16400,16650,16350,16650,21225,0.009090909,16570,16615,16367.5,16254.166669999999,16001.666669999999,42420,네오위즈홀딩스,0,0
35,2017-02-22,16700,16750,16450,16550,21131,-0.0060060059999999995,16550,16640,16395.0,16270.0,16006.25,42420,네오위즈홀딩스,0,0
36,2017-02-23,16550,16550,16350,16450,12753,-0.006042296,16530,16615,16422.5,16284.166669999999,16012.916669999999,42420,네오위즈홀딩스,0,0
37,2017-02-24,16550,16550,16150,16450,11435,0.0,16520,16565,16450.0,16296.666669999999,16021.25,42420,네오위즈홀딩스,0,0
38,2017-02-27,16400,16500,16200,16500,11967,0.003039514,16520,16540,16472.5,16309.166669999999,16029.166669999999,42420,네오위즈홀딩스,1,4
39,2017-02-28,16550,16550,16250,16300,10447,-0.012121212,16450,16510,16482.5,16320.0,16037.5,42420,네오위즈홀딩스,1,26
40,2017-03-02,16300,16500,16150,16200,16049,-0.0061349690000000005,16380,16465,16475.0,16329.166669999999,16045.416669999999,42420,네오위즈홀딩스,1,2
41,2017-03-03,16300,16300,16150,16200,15573,0.0,16330,16430,16470.0,16338.333330000001,16051.25,42420,네오위즈홀딩스,1,23
42,2017-03-06,16200,16350,16100,16200,19441,0.0,16280,16400,16465.0,16345.833330000001,16056.25,42420,네오위즈홀딩스,1,1
43,2017-03-07,16150,16300,16050,16300,11609,0.00617284,16240,16380,16475.0,16354.166669999999,16063.75,42420,네오위즈홀딩스,1,3
44,2017-03-08,16200,16300,16150,16300,9864,0.0,16240,16345,16480.0,16361.666669999999,16073.75,42420,네오위즈홀딩스,1,22
45,2017-03-09,16150,16300,16150,16300,8836,0.0,16260,16320,16480.0,16365.0,16084.583330000001,42420,네오위즈홀딩스,1,38
46,2017-03-10,16300,16400,16000,16350,21335,0.003067485,16290,16310,16462.5,16365.0,16093.333330000001,42420,네오위즈홀딩스,1,41
47,2017-03-13,16400,16400,16200,16350,16190,0.0,16320,16300,16432.5,16365.0,16102.083330000001,42420,네오위즈홀딩스,1,2
48,2017-03-14,16400,16400,16250,16350,10216,0.0,16330,16285,16412.5,16364.166669999999,16111.25,42420,네오위즈홀딩스,1,24
49,2017-03-15,16250,16450,16150,16400,10594,0.0030581040000000003,16350,16295,16402.5,16365.0,16122.916669999999,42420,네오위즈홀딩스,1,14
50,2017-03-16,16250,16400,16150,16350,21073,-0.00304878,16360,16310,16387.5,16365.833330000001,16131.666669999999,42420,네오위즈홀딩스,1,11
51,2017-03-17,16250,16400,16200,16300,5762,-0.0030581040000000003,16350,16320,16375.0,16365.833330000001,16139.166669999999,42420,네오위즈홀딩스,1,21
52,2017-03-20,16400,16400,16200,16250,5589,-0.003067485,16330,16325,16362.5,16365.0,16137.916669999999,42420,네오위즈홀딩스,1,1
53,2017-03-21,16200,16300,16000,16150,31682,-0.006153846,16290,16310,16345.0,16362.5,16136.25,42420,네오위즈홀딩스,1,20
54,2017-03-22,16150,16200,16000,16150,16435,0.0,16240,16295,16320.0,16359.166669999999,16135.416669999999,42420,네오위즈홀딩스,1,9
55,2017-03-23,16200,16250,15900,16100,17256,-0.003095975,16190,16275,16297.5,16354.166669999999,16134.166669999999,42420,네오위즈홀딩스,1,6
56,2017-03-24,16050,16250,16000,16150,11294,0.00310559,16160,16255,16282.5,16349.166669999999,16135.0,42420,네오위즈홀딩스,1,25
57,2017-03-27,16150,16150,15900,16000,14942,-0.009287926,16110,16220,16260.0,16338.333330000001,16132.916669999999,42420,네오위즈홀딩스,0,0
58,2017-03-28,16000,16100,15900,15950,16599,-0.003125,16070,16180,16232.5,16327.5,16130.0,42420,네오위즈홀딩스,1,12
59,2017-03-29,16050,16050,15900,15900,9174,-0.0031347959999999996,16020,16130,16212.5,16317.5,16126.666669999999,42420,네오위즈홀딩스,1,23
60,2017-03-30,15900,16050,15850,16050,8956,0.009433961999999999,16010,16100,16205.0,16314.166669999999,16125.416669999999,42420,네오위즈홀딩스,1,21
61,2017-03-31,16100,16100,15950,16050,3319,0.0,15990,16075,16197.5,16309.166669999999,16122.5,42420,네오위즈홀딩스,1,26
62,2017-04-03,16050,16100,15950,16050,6696,0.0,16000,16055,16190.0,16304.166669999999,16119.166669999999,42420,네오위즈홀딩스,1,1
63,2017-04-04,16050,16100,15900,16100,10064,0.003115265,16030,16050,16180.0,16295.833330000001,16116.666669999999,42420,네오위즈홀딩스,1,16
64,2017-04-05,16100,16200,16000,16200,10318,0.00621118,16090,16055,16175.0,16289.166669999999,16114.166669999999,42420,네오위즈홀딩스,1,13
65,2017-04-06,16200,16250,16000,16250,9152,0.00308642,16130,16070,16172.5,16280.833330000001,16112.916669999999,42420,네오위즈홀딩스,1,11
66,2017-04-07,16250,16400,16250,16300,9025,0.003076923,16180,16085,16170.0,16277.5,16112.083330000001,42420,네오위즈홀딩스,1,14
67,2017-04-10,16300,16450,15900,15900,33821,-0.024539877,16150,16075,16147.5,16266.666669999999,16108.333330000001,42420,네오위즈홀딩스,1,4
68,2017-04-11,16100,16100,15850,16000,15974,0.006289308,16130,16080,16130.0,16257.5,16107.083330000001,42420,네오위즈홀딩스,1,17
69,2017-04-12,16000,16100,15900,15950,10046,-0.003125,16080,16085,16107.5,16250.0,16106.25,42420,네오위즈홀딩스,1,13
70,2017-04-13,15950,16050,15850,15900,15704,-0.0031347959999999996,16010,16070,16085.0,16249.166669999999,16105.416669999999,42420,네오위즈홀딩스,1,26
71,2017-04-14,16000,16000,15850,15850,14142,-0.003144654,15920,16050,16062.5,16245.833330000001,16105.0,42420,네오위즈홀딩스,1,28
72,2017-04-17,15950,16100,15900,16100,17191,0.015772871,15960,16055,16055.0,16245.0,16105.416669999999,42420,네오위즈홀딩스,1,1
73,2017-04-18,15900,16100,15900,16050,9662,-0.00310559,15970,16050,16050.0,16244.166669999999,16106.666669999999,42420,네오위즈홀딩스,1,9
74,2017-04-19,15950,16100,15950,16100,9889,0.003115265,16000,16040,16047.5,16245.0,16108.333330000001,42420,네오위즈홀딩스,1,17
75,2017-04-20,16150,16150,15950,16100,8744,0.0,16040,16025,16047.5,16246.666669999999,16110.416669999999,42420,네오위즈홀딩스,1,17
76,2017-04-21,16000,16100,15750,16000,30319,-0.00621118,16070,15995,16040.0,16248.333330000001,16112.5,42420,네오위즈홀딩스,1,22
77,2017-04-24,16000,16000,15500,15700,52547,-0.01875,15990,15975,16025.0,16245.0,16114.583330000001,42420,네오위즈홀딩스,1,4
78,2017-04-25,15800,15800,15600,15800,14321,0.0063694269999999996,15940,15955,16017.5,16240.833330000001,16120.833330000001,42420,네오위즈홀딩스,1,13
79,2017-04-26,15650,15900,15650,15800,8792,0.0,15880,15940,16012.5,16235.833330000001,16125.0,42420,네오위즈홀딩스,1,22
