,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,8350,8350,7975,8125,68544,-0.006116208000000001,8205,8532.5,9001.25,9569.583333,10102.08333,217270,넵튠,0,0
1,2017-01-03,8200,8275,7975,8150,154224,0.003076923,8165,8462.5,8923.75,9526.25,10082.5,217270,넵튠,0,0
2,2017-01-04,8200,8325,8050,8300,122186,0.018404908,8175,8390.0,8876.25,9482.5,10064.16667,217270,넵튠,0,0
3,2017-01-05,8500,8525,8275,8400,49243,0.012048193,8230,8340.0,8818.75,9444.166667,10046.66667,217270,넵튠,0,0
4,2017-01-06,8375,8475,8275,8425,40159,0.00297619,8280,8292.5,8768.75,9407.916667,10029.375,217270,넵튠,0,0
5,2017-01-09,8500,8500,8325,8475,49318,0.005934718,8350,8277.5,8711.25,9372.083333,10012.5,217270,넵튠,0,0
6,2017-01-10,8475,8475,8150,8350,51561,-0.014749263,8390,8277.5,8628.75,9333.75,9994.583333,217270,넵튠,0,0
7,2017-01-11,8250,8500,8175,8350,42482,0.0,8400,8287.5,8566.25,9295.833333,9976.666667,217270,넵튠,0,0
8,2017-01-12,8350,10700,8350,8700,3835209,0.041916168,8460,8345.0,8530.0,9266.25,9961.666667,217270,넵튠,0,0
9,2017-01-13,8750,11300,8500,10100,23433300,0.16091954,8795,8537.5,8573.75,9260.416667,9958.333333,217270,넵튠,0,0
10,2017-01-16,10350,11325,9875,10425,8526404,0.032178218,9185,8767.5,8650.0,9261.666667,9957.708333,217270,넵튠,0,0
11,2017-01-17,10550,10750,10075,10325,2824792,-0.009592326,9580,8985.0,8723.75,9262.5,9956.25,217270,넵튠,0,0
12,2017-01-18,10225,10550,9600,9700,5447844,-0.060532688,9850,9125.0,8757.5,9254.166667,9949.583333,217270,넵튠,0,0
13,2017-01-19,9750,9925,9400,9775,1910426,0.007731959,10065,9262.5,8801.25,9249.166667,9943.541667,217270,넵튠,0,0
14,2017-01-20,9650,9725,9275,9350,1356507,-0.043478261,9915,9355.0,8823.75,9238.333333,9933.958333,217270,넵튠,0,0
15,2017-01-23,9250,9375,8800,8800,2275367,-0.058823529000000006,9590,9387.5,8832.5,9220.833333,9919.791667,217270,넵튠,0,0
16,2017-01-24,8800,9225,8500,8525,2099905,-0.03125,9230,9405.0,8841.25,9202.083333,9903.333333,217270,넵튠,0,0
17,2017-01-25,8575,8825,8375,8525,786110,0.0,8995,9422.5,8855.0,9182.5,9886.875,217270,넵튠,0,0
18,2017-01-26,8650,8950,8550,8625,427017,0.011730205,8765,9415.0,8880.0,9165.416667,9871.25,217270,넵튠,0,0
19,2017-01-31,8625,9225,8425,9075,1294862,0.052173912999999995,8710,9312.5,8925.0,9155.0,9859.375,217270,넵튠,0,0
20,2017-02-01,11700,11775,11675,11775,3453730,0.297520661,9305,9447.5,9107.5,9187.5,9870.0,217270,넵튠,1,8
21,2017-02-02,11750,12650,11100,12075,27766706,0.025477707000000002,10015,9622.5,9303.75,9224.166667,9883.125,217270,넵튠,0,0
22,2017-02-03,11550,11625,10900,11375,7093695,-0.057971014,10585,9790.0,9457.5,9250.0,9890.416667,217270,넵튠,0,0
23,2017-02-06,11500,12150,11175,11500,9078002,0.010989011000000002,11160,9962.5,9612.5,9281.666667,9898.75,217270,넵튠,0,0
24,2017-02-07,12275,14125,12125,12950,43898541,0.126086957,11935,10322.5,9838.75,9337.083333,9919.166667,217270,넵튠,0,0
25,2017-02-08,12150,12425,11225,11225,10450361,-0.13320463300000002,11825,10565.0,9976.25,9363.75,9925.208333,217270,넵튠,1,1
26,2017-02-09,11150,13525,11150,12050,30471705,0.073496659,11820,10917.5,10161.25,9404.583333,9938.125,217270,넵튠,1,1
27,2017-02-10,11925,13475,11875,12575,17135720,0.043568465,12060,11322.5,10372.5,9457.5,9955.416667,217270,넵튠,1,1
28,2017-02-13,12450,13175,12200,12400,8062405,-0.013916501000000001,12240,11700.0,10557.5,9510.833333,9971.25,217270,넵튠,0,0
29,2017-02-14,12350,12800,11650,11825,4780479,-0.046370968,12015,11975.0,10643.75,9555.833333,9982.291667,217270,넵튠,0,0
30,2017-02-15,12150,12450,11400,11500,5085787,-0.027484144,12070,11947.5,10697.5,9600.833333,9991.458333,217270,넵튠,0,0
31,2017-02-16,11575,11975,11300,11875,3515699,0.032608696,12035,11927.5,10775.0,9649.166667,9999.583333,217270,넵튠,0,0
32,2017-02-17,12050,12200,11375,11400,3343452,-0.04,11800,11930.0,10860.0,9687.916667,10002.29167,217270,넵튠,0,0
33,2017-02-20,11600,11750,11075,11225,2796704,-0.015350876999999999,11565,11902.5,10932.5,9722.916667,10004.16667,217270,넵튠,1,2
34,2017-02-21,11275,11675,11075,11675,4751470,0.040089087,11535,11775.0,11048.75,9764.583333,10011.25,217270,넵튠,0,0
35,2017-02-22,12675,13250,11800,11800,12385126,0.010706638000000001,11595,11832.5,11198.75,9807.5,10018.125,217270,넵튠,0,0
36,2017-02-23,11650,11900,11475,11900,2016119,0.008474576,11600,11817.5,11367.5,9845.416667,10025.41667,217270,넵튠,0,0
37,2017-02-24,11750,11900,11025,11025,2546769,-0.073529412,11525,11662.5,11492.5,9865.0,10025.625,217270,넵튠,0,0
38,2017-02-27,10950,11100,10500,10650,1664446,-0.034013605,11410,11487.5,11593.75,9877.916667,10015.20833,217270,넵튠,0,0
39,2017-02-28,10650,10950,10475,10725,1475557,0.007042254,11220,11377.5,11676.25,9896.25,10011.875,217270,넵튠,0,0
40,2017-03-02,10725,10900,10174,10175,1365421,-0.051282050999999995,10895,11245.0,11596.25,9901.666667,10003.95833,217270,넵튠,0,0
41,2017-03-03,10075,10424,9924,10225,1261141,0.004914005,10560,11080.0,11503.75,9910.416667,9996.666667,217270,넵튠,0,0
42,2017-03-06,10300,10525,10000,10500,1155076,0.026894866,10455,10990.0,11460.0,9931.25,9989.583333,217270,넵튠,1,1
43,2017-03-07,10600,10725,10175,10200,1250590,-0.028571429,10365,10887.5,11395.0,9942.083333,9981.458333,217270,넵튠,0,0
44,2017-03-08,10200,10350,10100,10175,534555,-0.00245098,10255,10737.5,11256.25,9954.583333,9972.708333,217270,넵튠,0,0
45,2017-03-09,10375,12125,10375,10900,19489798,0.071253071,10400,10647.5,11240.0,9975.833333,9970.208333,217270,넵튠,0,3
46,2017-03-10,10750,10775,10000,10450,3402822,-0.041284404,10445,10502.5,11160.0,9983.333333,9966.666667,217270,넵튠,0,0
47,2017-03-13,10450,10675,10325,10325,1939910,-0.011961722,10410,10432.5,11047.5,9995.416667,9963.125,217270,넵튠,0,0
48,2017-03-14,10400,10450,10075,10225,1323393,-0.00968523,10415,10390.0,10938.75,10008.75,9959.791667,217270,넵튠,0,0
49,2017-03-15,10275,10650,10050,10300,1903040,0.007334963000000001,10440,10347.5,10862.5,10026.66667,9958.541667,217270,넵튠,0,0
50,2017-03-16,10425,10550,10175,10325,1231420,0.0024271839999999998,10325,10362.5,10803.75,10050.41667,9956.458333,217270,넵튠,0,0
51,2017-03-17,10225,10450,10050,10150,1064170,-0.016949153,10265,10355.0,10717.5,10072.08333,9954.166667,217270,넵튠,0,0
52,2017-03-20,10100,10175,9900,9900,757520,-0.024630542000000002,10180,10295.0,10642.5,10086.66667,9950.208333,217270,넵튠,0,0
53,2017-03-21,9950,10025,9775,9800,664624,-0.01010101,10095,10255.0,10571.25,10101.66667,9945.625,217270,넵튠,1,3
54,2017-03-22,9775,9850,9425,9500,1023894,-0.030612245,9935,10187.5,10462.5,10111.66667,9938.541667,217270,넵튠,0,0
55,2017-03-23,9500,10625,9450,9775,10795555,0.028947367999999998,9825,10075.0,10361.25,10130.83333,9933.958333,217270,넵튠,0,0
56,2017-03-24,9850,9850,9274,9375,2729372,-0.040920716,9670,9967.5,10235.0,10147.91667,9927.708333,217270,넵튠,0,0
57,2017-03-27,9250,9275,8650,8725,2520284,-0.069333333,9435,9807.5,10120.0,10155.83333,9915.416667,217270,넵튠,0,0
58,2017-03-28,8675,9100,8650,8925,1567841,0.022922636,9260,9677.5,10033.75,10169.16667,9905.416667,217270,넵튠,0,0
59,2017-03-29,9050,9050,8775,8775,638655,-0.016806723,9115,9525.0,9936.25,10179.16667,9892.916667,217270,넵튠,0,0
60,2017-03-30,8700,8750,8550,8600,837121,-0.01994302,8880,9352.5,9857.5,10187.08333,9878.333333,217270,넵튠,0,0
61,2017-03-31,8550,9475,8500,8800,3002594,0.023255814,8765,9217.5,9786.25,10197.91667,9862.083333,217270,넵튠,0,0
62,2017-04-03,8800,9275,8650,9000,1392144,0.022727273,8820,9127.5,9711.25,10209.58333,9846.041667,217270,넵튠,0,0
63,2017-04-04,8975,9075,8850,9025,875336,0.002777778,8840,9050.0,9652.5,10220.0,9832.083333,217270,넵튠,0,0
