,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,21501,21619,20951,21031,382705,-0.021904939,22013.4,22371.1,22807.25,23940.533330000002,23929.525,3490,대한항공,1,3
1,2017-01-03,21069,21305,20990,21306,422614,0.013075936000000002,21746.2,22229.6,22693.3,23873.05,23938.7,3490,대한항공,1,7
2,2017-01-04,21305,21305,20911,21267,445005,-0.00183047,21486.8,22068.5,22577.4,23802.95,23947.55,3490,대한항공,1,1
3,2017-01-05,21226,21619,21226,21542,643999,0.012930832,21329.6,21962.4,22512.55,23728.91667,23957.70833,3490,대한항공,1,3
4,2017-01-06,20518,21265,20401,21070,2380202,-0.021910686000000002,21243.2,21785.5,22414.3,23652.266669999997,23964.25833,3490,대한항공,0,19
5,2017-01-09,20951,20990,20322,20480,749120,-0.028001897999999997,21133.0,21573.2,22278.7,23574.3,23959.341669999998,3490,대한항공,1,8
6,2017-01-10,20597,20715,20322,20480,380018,0.0,20967.8,21357.0,22160.75,23498.3,23952.13333,3490,대한항공,1,2
7,2017-01-11,20558,20715,20401,20716,390851,0.011523437,20857.6,21172.2,22036.95,23436.06667,23946.233330000003,3490,대한항공,1,8
8,2017-01-12,20715,21422,20636,21384,648337,0.032245607,20826.0,21077.8,21930.8,23383.0,23948.19167,3490,대한항공,1,12
9,2017-01-13,21147,21344,20951,21306,370633,-0.0036475870000000003,20873.2,21058.2,21822.7,23327.983330000003,23945.575,3490,대한항공,1,1
10,2017-01-16,21422,21540,21108,21345,306630,0.00183047,21046.2,21089.6,21730.35,23270.983330000003,23944.91667,3490,대한항공,1,3
11,2017-01-17,21344,21383,21147,21188,232121,-0.007355353,21187.8,21077.8,21653.7,23202.85,23942.3,3490,대한항공,1,3
12,2017-01-18,21305,21658,21305,21542,322413,0.01670757,21353.0,21105.3,21586.9,23146.516669999997,23945.25,3490,대한항공,0,29
13,2017-01-19,21422,22091,21422,21935,622337,0.018243431,21463.2,21144.6,21553.5,23106.56667,23948.858330000003,3490,대한항공,1,5
14,2017-01-20,22012,22051,21658,22013,398907,0.003555961,21604.6,21238.9,21512.2,23056.783330000002,23945.908330000002,3490,대한항공,1,3
15,2017-01-23,21698,22327,21698,22328,563275,0.014309726000000002,21801.2,21423.7,21498.45,23010.266669999997,23945.25833,3490,대한항공,0,6
16,2017-01-24,22327,22578,22035,22119,432065,-0.009360444,21987.4,21587.6,21472.3,22959.61667,23939.91667,3490,대한항공,1,4
17,2017-01-25,22118,22244,21575,21659,285310,-0.0207966,22010.8,21681.9,21427.05,22902.61667,23928.45,3490,대한항공,-1,2
18,2017-01-26,21700,22202,21198,22119,419953,0.021238284,22047.6,21755.4,21416.6,22861.8,23925.075,3490,대한항공,0,3
19,2017-01-31,22076,22244,21742,22035,262626,-0.00379764,22052.0,21828.3,21443.25,22817.61667,23924.275,3490,대한항공,1,5
20,2017-02-01,22160,22578,22035,22579,363021,0.024687996,22102.2,21951.7,21520.65,22783.81667,23928.658330000002,3490,대한항공,1,1
21,2017-02-02,22620,22954,22369,22704,299115,0.0055361180000000005,22219.2,22103.3,21590.55,22752.75,23933.43333,3490,대한항공,-1,4
22,2017-02-03,22829,22871,22035,22453,360592,-0.011055321000000002,22378.0,22194.4,21649.85,22710.3,23934.475,3490,대한항공,1,2
23,2017-02-06,22327,22494,22076,22119,194877,-0.014875518,22378.0,22212.8,21678.7,22675.38333,23924.875,3490,대한항공,1,3
24,2017-02-07,22118,22536,22076,22495,197581,0.01699896,22470.0,22261.0,21749.95,22648.033330000002,23913.16667,3490,대한항공,1,2
25,2017-02-08,22369,22369,22118,22244,242499,-0.011158035,22403.0,22252.6,21838.15,22639.43333,23893.475,3490,대한항공,-1,2
26,2017-02-09,22160,22536,22160,22411,240182,0.0075076430000000005,22344.4,22281.8,21934.7,22626.41667,23877.79167,3490,대한항공,0,3
27,2017-02-10,22704,22996,22453,22997,405822,0.026147873999999998,22453.2,22415.6,22048.75,22615.3,23873.216669999998,3490,대한항공,1,17
28,2017-02-13,22996,23122,22620,22955,248072,-0.001826325,22620.4,22499.2,22127.3,22602.83333,23868.29167,3490,대한항공,0,5
29,2017-02-14,22871,23289,22829,23248,297848,0.012764103999999998,22771.0,22620.5,22224.4,22595.25,23862.858330000003,3490,대한항공,1,1
30,2017-02-15,23331,23456,22787,22829,351461,-0.018023056000000003,22888.0,22645.5,22298.6,22576.1,23854.591669999998,3490,대한항공,-1,22
31,2017-02-16,22787,22829,22076,22202,597523,-0.027465066,22846.2,22595.3,22349.3,22546.5,23855.83333,3490,대한항공,-1,3
32,2017-02-17,22118,22160,21700,22077,611549,-0.005630123000000001,22662.2,22557.7,22376.05,22514.81667,23852.43333,3490,대한항공,0,4
