,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,39550,39750,38400,38500,56182,-0.033877039,39000,38335,36230.0,34744.16667,36463.33333,192080,더블유게임즈,0,0
1,2017-01-03,38400,39300,38100,39100,65800,0.015584416,39410,38580,36560.0,34787.5,36463.33333,192080,더블유게임즈,0,1
2,2017-01-04,38800,38850,37800,38350,117113,-0.019181586,39200,38670,36842.5,34813.33333,36461.25,192080,더블유게임즈,0,0
3,2017-01-05,38450,38600,37450,38000,88289,-0.009126467,38760,38565,37087.5,34830.0,36450.41667,192080,더블유게임즈,0,0
4,2017-01-06,38050,38400,37200,38100,76409,0.002631579,38410,38605,37302.5,34850.0,36438.75,192080,더블유게임즈,0,0
5,2017-01-09,37650,38100,37350,37800,44589,-0.007874016,38270,38635,37500.0,34850.83333,36428.75,192080,더블유게임즈,0,0
6,2017-01-10,37800,39200,37800,38850,113182,0.027777778,38220,38815,37707.5,34866.66667,36432.08333,192080,더블유게임즈,0,0
7,2017-01-11,38850,39050,38350,38350,51902,-0.012870013000000001,38220,38710,37912.5,34880.0,36434.58333,192080,더블유게임즈,0,0
8,2017-01-12,38400,39650,38400,38700,74348,0.009126467,38360,38560,38102.5,34909.16667,36429.58333,192080,더블유게임즈,0,0
9,2017-01-13,38600,39050,37750,38200,52873,-0.012919897,38380,38395,38240.0,34941.66667,36419.58333,192080,더블유게임즈,0,0
10,2017-01-16,38200,38300,37300,37750,39319,-0.011780105,38370,38320,38327.5,34975.83333,36406.66667,192080,더블유게임즈,0,0
11,2017-01-17,37300,37800,37250,37300,50578,-0.01192053,38060,38140,38360.0,34990.83333,36397.91667,192080,더블유게임즈,0,0
12,2017-01-18,37400,37650,36350,37050,91641,-0.006702413000000001,37800,38010,38340.0,35010.0,36387.5,192080,더블유게임즈,0,0
13,2017-01-19,37100,37450,36800,37100,37235,0.0013495279999999998,37480,37920,38242.5,35036.66667,36376.66667,192080,더블유게임즈,0,0
14,2017-01-20,36850,37400,36800,37250,22703,0.0040431270000000005,37290,37835,38220.0,35049.16667,36372.91667,192080,더블유게임즈,1,2
15,2017-01-23,37250,38700,37050,38300,77463,0.028187919,37400,37885,38260.0,35085.83333,36377.08333,192080,더블유게임즈,0,0
16,2017-01-24,38000,38050,37350,37350,93430,-0.024804178,37410,37735,38275.0,35116.66667,36382.5,192080,더블유게임즈,0,0
17,2017-01-25,37350,37850,36850,37600,54898,0.00669344,37520,37660,38185.0,35144.16667,36385.0,192080,더블유게임즈,1,1
18,2017-01-26,37600,38150,37300,37800,34501,0.0053191490000000004,37660,37570,38065.0,35232.5,36389.16667,192080,더블유게임즈,0,0
19,2017-01-31,37850,38650,37750,38650,45965,0.022486772000000002,37940,37615,38005.0,35329.16667,36392.08333,192080,더블유게임즈,0,0
20,2017-02-01,38650,39300,38400,39300,64384,0.016817593999999998,38140,37770,38045.0,35443.33333,36386.66667,192080,더블유게임즈,0,0
21,2017-02-02,40300,40700,38650,39300,145819,0.0,38530,37970,38055.0,35557.5,36379.58333,192080,더블유게임즈,1,7
22,2017-02-03,39550,40200,39000,39150,64861,-0.003816794,38840,38180,38095.0,35666.66667,36377.08333,192080,더블유게임즈,1,7
23,2017-02-06,39100,40300,39000,40300,133748,0.029374202000000002,39340,38500,38210.0,35816.66667,36379.58333,192080,더블유게임즈,0,0
24,2017-02-07,40400,40500,39500,40300,70037,0.0,39670,38805,38320.0,35945.0,36387.91667,192080,더블유게임즈,0,0
25,2017-02-08,40450,40450,39200,39900,53384,-0.009925558000000001,39790,38965,38425.0,36073.33333,36391.25,192080,더블유게임즈,0,0
26,2017-02-09,40100,40100,39450,39950,37800,0.001253133,39920,39225,38480.0,36195.83333,36390.41667,192080,더블유게임즈,0,0
27,2017-02-10,40000,40350,39750,40000,43688,0.001251564,40090,39465,38562.5,36322.5,36380.41667,192080,더블유게임즈,0,0
28,2017-02-13,40000,40200,39550,39900,31107,-0.0025,40010,39675,38622.5,36430.83333,36367.08333,192080,더블유게임즈,0,0
29,2017-02-14,40000,40000,38950,39750,61618,-0.0037593979999999997,39900,39785,38700.0,36538.33333,36360.83333,192080,더블유게임즈,0,0
30,2017-02-15,39750,39900,39150,39550,44958,-0.0050314470000000005,39830,39810,38790.0,36660.0,36354.58333,192080,더블유게임즈,0,0
31,2017-02-16,39550,39550,38950,39400,31922,-0.003792668,39720,39820,38895.0,36790.83333,36352.91667,192080,더블유게임즈,0,0
32,2017-02-17,38950,39650,38900,39350,26200,-0.001269036,39590,39840,39010.0,36930.0,36355.83333,192080,더블유게임즈,0,0
33,2017-02-20,39350,39550,38750,38950,33701,-0.010165184,39400,39705,39102.5,37060.0,36355.83333,192080,더블유게임즈,0,0
34,2017-02-21,39300,41450,39300,41300,256106,0.060333761,39710,39805,39305.0,37242.5,36379.58333,192080,더블유게임즈,0,0
