,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,18200,18200,17850,17850,2776,-0.019230769,18260,18340,18275.0,18172.5,17992.08333,38390,레드캡투어,0,1
1,2017-01-03,17850,18050,17850,18050,4206,0.011204482,18150,18315,18265.0,18174.16667,17985.83333,38390,레드캡투어,0,0
2,2017-01-04,18050,18050,17900,18000,1370,-0.002770083,18080,18285,18255.0,18175.83333,17980.41667,38390,레드캡투어,0,0
3,2017-01-05,17900,18200,17900,18150,3272,0.008333333,18050,18255,18252.5,18180.0,17976.66667,38390,레드캡투어,0,1
4,2017-01-06,18200,18250,18000,18100,1357,-0.002754821,18030,18215,18247.5,18184.16667,17974.58333,38390,레드캡투어,0,0
5,2017-01-09,18050,18150,18000,18100,1062,0.0,18080,18170,18247.5,18187.5,17972.91667,38390,레드캡투어,0,1
6,2017-01-10,18100,18100,17800,17950,2421,-0.008287293,18060,18105,18237.5,18186.66667,17969.16667,38390,레드캡투어,0,0
7,2017-01-11,17950,18150,17800,18000,2738,0.002785515,18060,18070,18220.0,18186.66667,17966.66667,38390,레드캡투어,0,0
8,2017-01-12,18200,18200,17800,17900,1769,-0.005555556,18010,18030,18202.5,18185.0,17963.33333,38390,레드캡투어,0,0
9,2017-01-13,18000,18000,17900,18000,397,0.005586592,17990,18010,18192.5,18188.33333,17963.33333,38390,레드캡투어,0,1
10,2017-01-16,18000,18000,17750,17800,2774,-0.011111111,17930,18005,18172.5,18185.0,17961.66667,38390,레드캡투어,0,0
11,2017-01-17,17850,17950,17750,17850,2288,0.002808989,17910,17985,18150.0,18180.83333,17960.41667,38390,레드캡투어,0,0
12,2017-01-18,17950,17950,17450,17750,3603,-0.005602241,17860,17960,18122.5,18174.16667,17959.58333,38390,레드캡투어,0,0
13,2017-01-19,17850,17850,17400,17550,5830,-0.011267606,17790,17900,18077.5,18165.83333,17957.5,38390,레드캡투어,0,0
14,2017-01-20,17500,17500,17150,17300,3928,-0.014245014,17650,17820,18017.5,18151.66667,17952.91667,38390,레드캡투어,0,0
15,2017-01-23,17300,17350,17200,17300,1698,0.0,17550,17740,17955.0,18136.66667,17949.16667,38390,레드캡투어,0,0
16,2017-01-24,17300,17300,17150,17300,1740,0.0,17440,17675,17890.0,18121.66667,17946.25,38390,레드캡투어,0,0
17,2017-01-25,17400,17400,17150,17300,2405,0.0,17350,17605,17837.5,18108.33333,17944.58333,38390,레드캡투어,0,0
18,2017-01-26,17350,17350,17200,17250,1625,-0.002890173,17290,17540,17785.0,18099.16667,17940.41667,38390,레드캡투어,0,0
19,2017-01-31,17300,17450,17200,17250,3117,0.0,17280,17465,17737.5,18088.33333,17936.25,38390,레드캡투어,1,2
20,2017-02-01,17350,17500,17200,17300,4273,0.002898551,17280,17415,17710.0,18070.83333,17932.5,38390,레드캡투어,0,0
21,2017-02-02,17400,17400,17000,17050,3818,-0.014450867,17230,17335,17660.0,18048.33333,17927.5,38390,레드캡투어,0,0
22,2017-02-03,17100,17150,16700,16900,5950,-0.008797654,17150,17250,17605.0,18023.33333,17921.25,38390,레드캡투어,0,5
23,2017-02-06,16850,17500,16850,17300,5391,0.023668639,17160,17225,17562.5,18007.5,17917.08333,38390,레드캡투어,0,0
24,2017-02-07,17500,17600,17150,17600,5290,0.01734104,17230,17255,17537.5,17995.83333,17914.58333,38390,레드캡투어,0,0
25,2017-02-08,17600,17600,17400,17500,433,-0.005681818,17270,17275,17507.5,17980.83333,17910.41667,38390,레드캡투어,0,0
26,2017-02-09,17450,17500,17250,17400,2413,-0.005714286,17340,17285,17480.0,17967.5,17905.83333,38390,레드캡투어,0,0
27,2017-02-10,17450,17650,17450,17450,1108,0.002873563,17450,17300,17452.5,17955.83333,17904.16667,38390,레드캡투어,0,0
28,2017-02-13,17450,17550,17200,17500,4095,0.00286533,17490,17325,17432.5,17942.5,17902.08333,38390,레드캡투어,1,2
29,2017-02-14,17500,17500,17300,17450,574,-0.002857143,17460,17345,17405.0,17927.5,17899.58333,38390,레드캡투어,0,1
30,2017-02-15,17400,17500,17200,17350,5762,-0.005730659,17430,17350,17382.5,17910.83333,17897.5,38390,레드캡투어,0,0
31,2017-02-16,17400,17450,17250,17450,1493,0.005763689,17440,17390,17362.5,17895.83333,17897.91667,38390,레드캡투어,0,0
32,2017-02-17,17450,17500,17250,17350,1796,-0.005730659,17420,17435,17342.5,17881.66667,17897.08333,38390,레드캡투어,0,1
33,2017-02-20,17350,17350,17100,17100,6514,-0.014409222,17340,17415,17320.0,17864.16667,17893.75,38390,레드캡투어,0,0
34,2017-02-21,17200,17300,17100,17200,3848,0.005847953,17290,17375,17315.0,17849.16667,17891.66667,38390,레드캡투어,0,1
35,2017-02-22,17250,17300,17050,17150,2841,-0.002906977,17250,17340,17307.5,17833.33333,17890.83333,38390,레드캡투어,0,0
36,2017-02-23,17100,17200,17100,17200,1376,0.002915452,17200,17320,17302.5,17818.33333,17890.0,38390,레드캡투어,0,0
37,2017-02-24,17250,17250,17050,17200,1885,0.0,17170,17295,17297.5,17802.5,17888.75,38390,레드캡투어,0,0
