,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,20350,20500,19950,20100,48270,-0.019512195,20480,20495,20330.0,24163.33333,29907.08333,123420,선데이토즈,0,0
1,2017-01-03,20100,20750,20100,20750,59686,0.032338307999999996,20570,20510,20272.5,23950.83333,29772.5,123420,선데이토즈,0,0
2,2017-01-04,20800,25550,20500,23100,1021494,0.11325301199999999,21060,20765,20365.0,23799.16667,29650.41667,123420,선데이토즈,0,0
3,2017-01-05,22900,22900,22400,22700,143677,-0.017316017,21430,20995,20565.0,23638.33333,29527.5,123420,선데이토즈,0,0
4,2017-01-06,22700,23200,22500,22600,111441,-0.004405286,21850,21235,20752.5,23477.5,29403.75,123420,선데이토즈,0,0
5,2017-01-09,22750,23700,22450,23350,137095,0.033185841,22500,21490,20960.0,23335.0,29270.83333,123420,선데이토즈,0,0
6,2017-01-10,23450,23650,22100,22400,177661,-0.040685225,22830,21700,21077.5,23192.5,29140.0,123420,선데이토즈,0,0
7,2017-01-11,22600,22600,21800,22000,103288,-0.017857143,22610,21835,21165.0,23067.5,28990.83333,123420,선데이토즈,0,0
8,2017-01-12,22200,22550,21950,22450,93141,0.020454545,22560,21995,21272.5,22954.16667,28852.08333,123420,선데이토즈,0,0
9,2017-01-13,22450,22600,21900,22150,81117,-0.013363028999999998,22470,22160,21352.5,22843.33333,28720.83333,123420,선데이토즈,0,0
10,2017-01-16,22100,22400,21800,22000,36929,-0.006772009,22200,22350,21422.5,22730.0,28587.08333,123420,선데이토즈,0,0
11,2017-01-17,22000,22600,22000,22450,62395,0.020454545,22210,22520,21515.0,22624.16667,28467.08333,123420,선데이토즈,0,0
12,2017-01-18,22450,22450,21950,22100,43538,-0.015590200000000002,22230,22420,21592.5,22505.0,28331.25,123420,선데이토즈,0,0
13,2017-01-19,22350,22350,21600,21650,51744,-0.020361991,22070,22315,21655.0,22387.5,28202.5,123420,선데이토즈,0,0
14,2017-01-20,21500,21700,20800,20850,77249,-0.036951501,21810,22140,21687.5,22243.33333,28067.08333,123420,선데이토즈,0,0
15,2017-01-23,20850,21250,20550,20700,51873,-0.007194245,21550,21875,21682.5,22110.83333,27926.66667,123420,선데이토즈,0,0
16,2017-01-24,20700,21250,20700,20750,40276,0.002415459,21210,21710,21705.0,21986.66667,27810.83333,123420,선데이토즈,0,0
17,2017-01-25,20750,21150,20600,20650,32612,-0.004819277,20920,21575,21705.0,21898.33333,27688.33333,123420,선데이토즈,0,0
18,2017-01-26,20700,20950,20550,20750,34201,0.004842615,20740,21405,21700.0,21848.33333,27567.08333,123420,선데이토즈,0,0
19,2017-01-31,20800,20900,20200,20350,55323,-0.019277108,20640,21225,21692.5,21790.83333,27454.58333,123420,선데이토즈,0,0
20,2017-02-01,20550,21200,20300,21200,69206,0.041769042,20740,21145,21747.5,21762.5,27342.5,123420,선데이토즈,0,0
21,2017-02-02,21200,21350,20800,20850,37569,-0.016509434,20760,20985,21752.5,21713.33333,27229.58333,123420,선데이토즈,0,0
22,2017-02-03,20800,20900,20600,20700,30296,-0.007194245,20770,20845,21632.5,21658.33333,27114.16667,123420,선데이토즈,0,0
23,2017-02-06,20700,21450,20650,21100,50128,0.019323671,20840,20790,21552.5,21641.66667,26997.91667,123420,선데이토즈,0,0
24,2017-02-07,21350,21350,20900,20900,23221,-0.009478673,20950,20795,21467.5,21602.5,26882.08333,123420,선데이토즈,0,0
25,2017-02-08,20850,21700,20700,21700,96122,0.038277512,21050,20895,21385.0,21580.0,26769.16667,123420,선데이토즈,0,0
26,2017-02-09,21750,22000,21350,21700,93366,0.0,21220,20990,21350.0,21557.5,26663.33333,123420,선데이토즈,0,0
27,2017-02-10,21550,21700,21250,21550,58292,-0.0069124419999999995,21390,21080,21327.5,21544.16667,26555.83333,123420,선데이토즈,0,0
28,2017-02-13,21550,22050,21450,21950,83087,0.018561485,21560,21200,21302.5,21521.66667,26455.41667,123420,선데이토즈,0,0
29,2017-02-14,21850,22000,21400,21450,74094,-0.022779043,21670,21310,21267.5,21489.16667,26350.41667,123420,선데이토즈,0,0
30,2017-02-15,21350,21600,21150,21150,54398,-0.013986014,21560,21305,21225.0,21440.0,26254.58333,123420,선데이토즈,0,0
31,2017-02-16,21150,21300,20900,21000,49175,-0.007092199,21420,21320,21152.5,21397.5,26147.91667,123420,선데이토즈,0,0
32,2017-02-17,21100,22000,20950,21950,161797,0.045238095,21500,21445,21145.0,21369.16667,26055.83333,123420,선데이토즈,0,0
33,2017-02-20,21800,22150,21700,22000,69261,0.002277904,21510,21535,21162.5,21353.33333,25970.41667,123420,선데이토즈,0,0
34,2017-02-21,22200,23600,22000,23400,340355,0.063636364,21900,21785,21290.0,21363.33333,25896.25,123420,선데이토즈,0,0
35,2017-02-22,23600,23900,23050,23750,126867,0.014957265,22420,21990,21442.5,21365.0,25831.66667,123420,선데이토즈,0,0
36,2017-02-23,23800,23900,23000,23350,117491,-0.016842105,22890,22155,21572.5,21362.5,25743.75,123420,선데이토즈,0,0
37,2017-02-24,23400,23900,22450,22450,106726,-0.038543897,22990,22245,21662.5,21348.33333,25641.66667,123420,선데이토즈,0,0
38,2017-02-27,22400,22600,21700,21800,138036,-0.028953229,22950,22230,21715.0,21332.5,25533.33333,123420,선데이토즈,1,4
39,2017-02-28,21900,22150,21550,21950,75866,0.006880734,22660,22280,21795.0,21318.33333,25417.91667,123420,선데이토즈,1,26
40,2017-03-02,22200,22350,21500,21550,93052,-0.018223235,22220,22320,21812.5,21296.66667,25299.16667,123420,선데이토즈,1,2
41,2017-03-03,21550,21650,20550,20950,93649,-0.027842227,21740,22315,21817.5,21280.83333,25176.66667,123420,선데이토즈,1,23
42,2017-03-06,20950,21150,20500,21000,47597,0.002386635,21450,22220,21832.5,21276.66667,25060.0,123420,선데이토즈,1,1
43,2017-03-07,20800,20800,20500,20750,68894,-0.011904762,21240,22095,21815.0,21310.83333,24943.75,123420,선데이토즈,1,3
44,2017-03-08,20850,21100,20600,20800,30951,0.002409639,21010,21835,21810.0,21343.33333,24822.08333,123420,선데이토즈,1,22
45,2017-03-09,21000,21600,20900,21250,61442,0.021634615,20950,21585,21787.5,21377.5,24697.91667,123420,선데이토즈,1,38
46,2017-03-10,21250,21550,20600,21450,65962,0.009411765,21050,21395,21775.0,21400.83333,24573.33333,123420,선데이토즈,1,41
47,2017-03-13,21450,21600,21300,21350,32215,-0.004662005,21120,21285,21765.0,21419.16667,24453.33333,123420,선데이토즈,1,2
48,2017-03-14,21600,22400,21500,21600,139710,0.011709602,21290,21265,21747.5,21440.83333,24332.5,123420,선데이토즈,1,24
49,2017-03-15,21650,21700,20900,20950,57766,-0.030092592999999997,21320,21165,21722.5,21447.5,24192.91667,123420,선데이토즈,1,14
50,2017-03-16,21000,21300,20950,21050,28004,0.00477327,21280,21115,21717.5,21455.0,24055.0,123420,선데이토즈,1,11
51,2017-03-17,21150,21550,20950,21450,42431,0.019002375,21280,21165,21740.0,21469.16667,23920.0,123420,선데이토즈,1,21
52,2017-03-20,21500,21850,21400,21650,39634,0.009324009,21340,21230,21725.0,21487.5,23792.91667,123420,선데이토즈,1,1
53,2017-03-21,21550,22050,21400,21650,59811,0.0,21350,21320,21707.5,21508.33333,23657.08333,123420,선데이토즈,1,20
54,2017-03-22,21650,22450,21500,22350,105057,0.032332564,21630,21475,21655.0,21544.16667,23541.25,123420,선데이토즈,1,11
55,2017-03-23,22650,22700,21750,22050,81523,-0.013422818999999999,21830,21555,21570.0,21565.0,23435.41667,123420,선데이토즈,1,6
56,2017-03-24,22150,22200,21750,22200,42559,0.006802720999999999,21980,21630,21512.5,21596.66667,23329.16667,123420,선데이토즈,1,25
57,2017-03-27,22500,22500,21800,22000,44636,-0.009009009,22050,21695,21490.0,21619.16667,23230.41667,123420,선데이토즈,0,0
58,2017-03-28,22000,22150,21750,22100,42573,0.004545455,22140,21745,21505.0,21640.0,23127.91667,123420,선데이토즈,1,12
59,2017-03-29,22300,22350,21950,22250,59816,0.00678733,22120,21875,21520.0,21669.16667,23029.58333,123420,선데이토즈,1,23
60,2017-03-30,22400,23450,22400,23200,195763,0.04269662900000001,22350,22090,21602.5,21720.83333,22942.08333,123420,선데이토즈,1,21
61,2017-03-31,23550,23650,23000,23150,121234,-0.002155172,22540,22260,21712.5,21760.83333,22855.83333,123420,선데이토즈,1,26
62,2017-04-03,23200,23800,23150,23550,96054,0.017278618,22850,22450,21840.0,21768.33333,22783.75,123420,선데이토즈,1,1
63,2017-04-04,23800,23800,23400,23450,72581,-0.004246285,23120,22630,21975.0,21780.83333,22709.58333,123420,선데이토즈,1,16
64,2017-04-05,23650,23850,22900,23550,168930,0.0042643920000000005,23380,22750,22112.5,21796.66667,22637.08333,123420,선데이토즈,1,13
