,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,13400,13400,12750,13100,36638,-0.018726592,13370,13465.0,12897.5,13527.5,16422.08333,52790,액토즈소프트,0,0
1,2017-01-03,13200,14050,12900,13850,55061,0.057251908,13350,13485.0,13002.5,13480.0,16372.083330000001,52790,액토즈소프트,0,0
2,2017-01-04,14000,14150,13550,14050,41209,0.014440433,13540,13580.0,13102.5,13433.333330000001,16324.583330000001,52790,액토즈소프트,0,0
3,2017-01-05,14000,14500,13800,14000,56226,-0.003558719,13670,13665.0,13177.5,13390.0,16261.666669999999,52790,액토즈소프트,0,0
4,2017-01-06,13900,14250,13900,14000,28155,0.0,13800,13715.0,13307.5,13352.5,16192.5,52790,액토즈소프트,0,0
5,2017-01-09,14400,14400,13700,13900,31498,-0.007142857,13960,13665.0,13430.0,13326.66667,16130.0,52790,액토즈소프트,0,0
6,2017-01-10,13900,14000,13500,13700,28926,-0.014388488999999999,13930,13640.0,13520.0,13304.16667,16059.166669999999,52790,액토즈소프트,0,0
7,2017-01-11,13700,13900,13250,13900,16079,0.01459854,13900,13720.0,13610.0,13284.16667,15993.333330000001,52790,액토즈소프트,0,0
8,2017-01-12,13900,13950,13450,13650,31357,-0.017985611999999998,13830,13750.0,13662.5,13259.16667,15925.0,52790,액토즈소프트,0,0
9,2017-01-13,13550,13800,13350,13450,29170,-0.014652015,13720,13760.0,13647.5,13242.5,15850.416669999999,52790,액토즈소프트,0,0
10,2017-01-16,13350,13550,13100,13500,15409,0.0037174720000000003,13640,13800.0,13632.5,13232.5,15766.666669999999,52790,액토즈소프트,0,0
11,2017-01-17,13350,13600,13000,13150,39677,-0.025925926000000002,13530,13730.0,13607.5,13217.5,15689.166669999999,52790,액토즈소프트,0,0
12,2017-01-18,13150,13500,13150,13450,25951,0.022813688,13440,13670.0,13625.0,13205.83333,15618.75,52790,액토즈소프트,0,0
13,2017-01-19,13850,13850,13100,13250,26136,-0.014869888000000001,13360,13595.0,13630.0,13184.16667,15550.416669999999,52790,액토즈소프트,0,0
14,2017-01-20,13200,13400,13100,13200,12465,-0.003773585,13310,13515.0,13615.0,13165.0,15480.0,52790,액토즈소프트,0,0
15,2017-01-23,13400,17150,13350,17150,1209071,0.299242424,14040,13840.0,13752.5,13220.0,15450.833330000001,52790,액토즈소프트,0,0
16,2017-01-24,17150,17400,16200,16300,577870,-0.049562682000000004,14670,14100.0,13870.0,13277.5,15420.0,52790,액토즈소프트,0,0
17,2017-01-25,16500,16850,16150,16700,344868,0.024539877,15320,14380.0,14050.0,13335.83333,15394.166669999999,52790,액토즈소프트,0,0
18,2017-01-26,16450,16600,15500,15500,228559,-0.071856287,15770,14565.0,14157.5,13385.83333,15359.166669999999,52790,액토즈소프트,0,0
19,2017-01-31,15650,15950,15300,15750,135967,0.016129031999999998,16280,14795.0,14277.5,13435.833330000001,15322.916669999999,52790,액토즈소프트,0,0
20,2017-02-01,15750,15900,15350,15800,146407,0.003174603,16010,15025.0,14412.5,13485.833330000001,15291.25,52790,액토즈소프트,0,0
21,2017-02-02,15600,16050,15400,16000,122461,0.012658228,15950,15310.0,14520.0,13530.833330000001,15267.083330000001,52790,액토즈소프트,0,0
22,2017-02-03,15850,16200,15500,15500,132866,-0.03125,15710,15515.0,14592.5,13562.5,15236.25,52790,액토즈소프트,0,0
23,2017-02-06,15400,16100,15200,16000,87174,0.032258065,15810,15790.0,14692.5,13611.666669999999,15203.333330000001,52790,액토즈소프트,0,0
24,2017-02-07,15800,16500,15750,16100,197030,0.00625,15880,16080.0,14797.5,13650.0,15171.25,52790,액토즈소프트,0,0
25,2017-02-08,16100,16250,15600,15850,72824,-0.01552795,15890,15950.0,14895.0,13688.333330000001,15141.666669999999,52790,액토즈소프트,0,0
26,2017-02-09,16300,17300,16000,16100,616823,0.015772871,15910,15930.0,15015.0,13728.333330000001,15114.166669999999,52790,액토즈소프트,0,0
27,2017-02-10,16300,16750,15900,16500,158401,0.02484472,16110,15910.0,15145.0,13778.333330000001,15090.833330000001,52790,액토즈소프트,0,0
28,2017-02-13,16600,18400,16500,17400,824580,0.054545455,16390,16100.0,15332.5,13833.333330000001,15072.916669999999,52790,액토즈소프트,0,0
29,2017-02-14,17500,17500,16650,16650,178547,-0.043103447999999996,16500,16190.0,15492.5,13877.5,15050.833330000001,52790,액토즈소프트,0,0
30,2017-02-15,16750,17200,16600,17100,104563,0.027027027000000002,16750,16320.0,15672.5,13941.666669999999,15037.083330000001,52790,액토즈소프트,0,0
31,2017-02-16,17100,17250,16600,16700,70448,-0.023391812999999997,16870,16390.0,15850.0,14004.166669999999,15018.333330000001,52790,액토즈소프트,0,0
32,2017-02-17,16800,17350,16550,17050,90619,0.020958084,16980,16545.0,16030.0,14065.0,15004.583330000001,52790,액토즈소프트,0,0
33,2017-02-20,17000,18750,16900,18200,291859,0.06744868,17140,16765.0,16277.5,14151.666669999999,15000.833330000001,52790,액토즈소프트,0,0
34,2017-02-21,18100,18600,18000,18200,117340,0.0,17450,16975.0,16527.5,14243.333330000001,14995.416669999999,52790,액토즈소프트,0,0
35,2017-02-22,18450,19200,18300,18650,116698,0.024725275,17760,17255.0,16602.5,14348.333330000001,15000.833330000001,52790,액토즈소프트,0,0
36,2017-02-23,18800,19350,18350,19100,133376,0.024128686,18240,17555.0,16742.5,14460.833330000001,15007.916669999999,52790,액토즈소프트,0,0
37,2017-02-24,19350,20700,19300,20400,384948,0.068062827,18910,17945.0,16927.5,14594.166669999999,15030.833330000001,52790,액토즈소프트,0,0
38,2017-02-27,20200,20400,19200,19200,140446,-0.058823529000000006,19110,18125.0,17112.5,14706.666669999999,15041.666669999999,52790,액토즈소프트,1,4
39,2017-02-28,19200,23700,19200,21350,1079741,0.11197916699999999,19740,18595.0,17392.5,14848.333330000001,15065.416669999999,52790,액토즈소프트,1,26
40,2017-03-02,21700,24700,21200,23650,1073876,0.107728337,20740,19250.0,17785.0,15031.666669999999,15107.5,52790,액토즈소프트,1,2
41,2017-03-03,24300,25800,23150,24300,598114,0.027484144,21780,20010.0,18200.0,15240.833330000001,15155.833330000001,52790,액토즈소프트,1,23
42,2017-03-06,24950,24950,23400,24300,282013,0.0,22560,20735.0,18640.0,15445.0,15205.416669999999,52790,액토즈소프트,1,1
43,2017-03-07,23800,24650,21900,23900,690201,-0.016460905,23500,21305.0,19035.0,15635.0,15252.083330000001,52790,액토즈소프트,1,3
44,2017-03-08,24450,24750,23250,23250,223021,-0.027196652999999998,23880,21810.0,19392.5,15832.5,15298.333330000001,52790,액토즈소프트,1,22
45,2017-03-09,23250,23900,22350,23150,262484,-0.004301075,23780,22260.0,19757.5,16027.5,15350.0,52790,액토즈소프트,1,38
46,2017-03-10,23350,24000,22350,23350,245026,0.008639309,23590,22685.0,20120.0,16218.333330000001,15400.833330000001,52790,액토즈소프트,1,41
47,2017-03-13,23600,24000,23250,23300,131580,-0.002141328,23390,22975.0,20460.0,16405.0,15452.916669999999,52790,액토즈소프트,1,2
48,2017-03-14,23050,23550,22000,22150,240037,-0.049356223,23040,23270.0,20697.5,16564.16667,15486.666669999999,52790,액토즈소프트,1,24
49,2017-03-15,22200,23250,21650,22700,233798,0.0248307,22930,23405.0,21000.0,16713.33333,15524.583330000001,52790,액토즈소프트,1,14
50,2017-03-16,22700,22900,22000,22050,91553,-0.028634361,22710,23245.0,21247.5,16850.83333,15558.333330000001,52790,액토즈소프트,1,11
51,2017-03-17,22400,23250,21700,22700,126273,0.029478458,22580,23085.0,21547.5,17001.66667,15596.25,52790,액토즈소프트,1,21
52,2017-03-20,23000,23000,21900,21900,100936,-0.035242291,22300,22845.0,21790.0,17148.33333,15630.0,52790,액토즈소프트,1,2
53,2017-03-21,22150,22500,20900,21350,167022,-0.025114155,22140,22590.0,21947.5,17285.0,15655.416669999999,52790,액토즈소프트,1,20
54,2017-03-22,21050,22100,21050,21450,99444,0.004683840999999999,21890,22410.0,22110.0,17417.5,15683.75,52790,액토즈소프트,1,9
55,2017-03-23,20800,21350,19800,20300,258379,-0.053613054,21540,22125.0,22192.5,17515.83333,15702.083330000001,52790,액토즈소프트,1,6
56,2017-03-24,20500,20650,19950,20300,111466,0.0,21060,21820.0,22252.5,17621.66667,15722.5,52790,액토즈소프트,1,25
57,2017-03-27,20300,20400,19550,19650,104860,-0.032019703999999996,20610,21455.0,22215.0,17730.83333,15736.25,52790,액토즈소프트,0,0
58,2017-03-28,19850,20050,19500,19600,97774,-0.002544529,20260,21200.0,22235.0,17835.0,15751.666669999999,52790,액토즈소프트,1,12
59,2017-03-29,19950,22350,19600,20800,500326,0.06122449,20130,21010.0,22207.5,17959.16667,15777.5,52790,액토즈소프트,1,23
60,2017-03-30,21100,21400,20550,20600,150291,-0.009615385,20190,20865.0,22055.0,18084.16667,15805.833330000001,52790,액토즈소프트,1,21
61,2017-03-31,20600,20900,19950,20550,139472,-0.0024271839999999998,20240,20650.0,21867.5,18195.83333,15837.916669999999,52790,액토즈소프트,1,26
62,2017-04-03,20550,21150,20300,21050,79795,0.024330900000000003,20520,20565.0,21705.0,18312.5,15872.916669999999,52790,액토즈소프트,1,1
63,2017-04-04,20100,20650,19950,19950,184313,-0.052256532,20590,20425.0,21507.5,18411.66667,15900.833330000001,52790,액토즈소프트,1,16
64,2017-04-05,20100,20650,19900,20450,101929,0.025062657000000002,20520,20325.0,21367.5,18519.16667,15935.833330000001,52790,액토즈소프트,1,13
65,2017-04-06,20700,21150,20200,20400,100611,-0.002444988,20480,20335.0,21230.0,18627.5,15977.083330000001,52790,액토즈소프트,1,11
66,2017-04-07,20550,20600,20050,20100,51652,-0.014705882,20390,20315.0,21067.5,18734.16667,16019.166669999999,52790,액토즈소프트,1,14
67,2017-04-10,19900,21850,19800,20000,295166,-0.004975124,20180,20350.0,20902.5,18835.83333,16060.0,52790,액토즈소프트,1,4
68,2017-04-11,19850,20550,19850,20300,85874,0.015,20250,20420.0,20810.0,18946.66667,16102.916669999999,52790,액토즈소프트,1,17
69,2017-04-12,20350,20550,19700,19750,111129,-0.027093596,20110,20315.0,20662.5,19051.66667,16147.083330000001,52790,액토즈소프트,1,13
70,2017-04-13,19900,20050,19500,19750,71470,0.0,19980,20230.0,20547.5,19155.83333,16194.166669999999,52790,액토즈소프트,1,26
71,2017-04-14,19650,19800,18850,19000,97774,-0.037974684,19760,20075.0,20362.5,19253.33333,16235.416669999999,52790,액토즈소프트,1,28
72,2017-04-17,18800,19450,18750,19150,72273,0.007894736999999999,19590,19885.0,20225.0,19348.33333,16277.083330000001,52790,액토즈소프트,1,1
73,2017-04-18,19250,19550,18800,19400,55701,0.01305483,19410,19830.0,20127.5,19450.83333,16317.5,52790,액토즈소프트,1,9
74,2017-04-19,19450,20300,19300,19600,139428,0.010309278,19380,19745.0,20035.0,19557.5,16361.25,52790,액토즈소프트,1,17
75,2017-04-20,19600,19700,19150,19150,51533,-0.022959184,19260,19620.0,19977.5,19590.83333,16405.41667,52790,액토즈소프트,1,17
76,2017-04-21,19350,19350,18850,18850,63987,-0.015665796000000003,19230,19495.0,19905.0,19633.33333,16455.41667,52790,액토즈소프트,1,22
77,2017-04-24,18750,20450,18600,19600,345237,0.039787798,19320,19455.0,19902.5,19681.66667,16508.75,52790,액토즈소프트,1,4
78,2017-04-25,19750,19850,19400,19500,58476,-0.005102041,19340,19375.0,19897.5,19748.33333,16567.08333,52790,액토즈소프트,1,13
79,2017-04-26,19600,20450,19550,20300,168563,0.041025641,19480,19430.0,19872.5,19824.16667,16630.0,52790,액토즈소프트,1,22
80,2017-04-27,20100,20550,19650,19850,103141,-0.022167488,19620,19440.0,19835.0,19891.66667,16688.75,52790,액토즈소프트,1,29
81,2017-04-28,20050,20050,19450,19550,54907,-0.01511335,19760,19495.0,19785.0,19950.83333,16740.83333,52790,액토즈소프트,1,31
82,2017-05-02,19900,20000,19250,19450,51909,-0.00511509,19730,19525.0,19705.0,20016.66667,16789.58333,52790,액토즈소프트,1,1
83,2017-05-04,18850,19050,18250,18750,231085,-0.035989717000000004,19580,19460.0,19645.0,20062.5,16837.08333,52790,액토즈소프트,0,0
84,2017-05-08,18700,19000,18450,18600,70949,-0.008,19240,19360.0,19552.5,20104.16667,16877.08333,52790,액토즈소프트,1,1
85,2017-05-10,18850,19350,18600,19000,70585,0.021505376,19070,19345.0,19482.5,20156.66667,16922.5,52790,액토즈소프트,1,3
86,2017-05-11,18900,19150,18450,18650,69931,-0.018421053,18890,19325.0,19410.0,20199.16667,16963.75,52790,액토즈소프트,1,16
87,2017-05-12,18700,18900,18400,18450,39502,-0.010723861000000001,18690,19210.0,19332.5,20231.66667,17005.0,52790,액토즈소프트,1,22
88,2017-05-15,18500,18550,18250,18250,35898,-0.010840108000000001,18590,19085.0,19230.0,20245.83333,17039.58333,52790,액토즈소프트,1,9
89,2017-05-16,18300,18400,17200,17200,129741,-0.057534247000000004,18310,18775.0,19102.5,20255.0,17066.25,52790,액토즈소프트,1,24
90,2017-05-17,17350,17800,17200,17250,62778,0.0029069770000000003,17960,18515.0,18977.5,20257.5,17099.58333,52790,액토즈소프트,1,14
91,2017-05-18,16750,17650,16500,17200,74443,-0.0028985509999999996,17670,18280.0,18887.5,20265.83333,17135.0,52790,액토즈소프트,1,50
92,2017-05-19,17150,17450,17100,17300,38820,0.005813953,17440,18065.0,18795.0,20270.0,17167.5,52790,액토즈소프트,1,27
93,2017-05-22,17350,17350,16650,16850,67754,-0.026011561000000002,17160,17875.0,18667.5,20247.5,17199.58333,52790,액토즈소프트,1,6
94,2017-05-23,16650,17300,16650,17100,61506,0.014836795,17140,17725.0,18542.5,20229.16667,17236.25,52790,액토즈소프트,1,15
95,2017-05-24,17250,17350,16650,16800,41664,-0.01754386,17050,17505.0,18425.0,20198.33333,17273.33333,52790,액토즈소프트,1,15
96,2017-05-25,16800,16900,16250,16250,71619,-0.032738095,16860,17265.0,18295.0,20150.83333,17305.83333,52790,액토즈소프트,1,34
97,2017-05-26,16250,16500,16050,16200,71249,-0.003076923,16640,17040.0,18125.0,20080.83333,17337.5,52790,액토즈소프트,1,9
98,2017-05-29,16350,16600,16250,16350,51121,0.009259259,16540,16850.0,17967.5,20033.33333,17370.0,52790,액토즈소프트,1,1
99,2017-05-30,16350,16800,16350,16600,48686,0.01529052,16440,16790.0,17782.5,19954.16667,17401.25,52790,액토즈소프트,1,24
100,2017-05-31,16600,16950,16600,16850,49432,0.015060241,16450,16750.0,17632.5,19840.83333,17436.25,52790,액토즈소프트,1,23
101,2017-06-01,17000,17050,16750,16850,34849,0.0,16570,16715.0,17497.5,19716.66667,17478.75,52790,액토즈소프트,1,15
102,2017-06-02,17050,17050,16650,16750,35828,-0.005934718,16680,16660.0,17362.5,19590.83333,17517.91667,52790,액토즈소프트,1,18
103,2017-06-05,16700,17150,16600,17050,39609,0.017910448,16820,16680.0,17277.5,19476.66667,17555.83333,52790,액토즈소프트,1,2
104,2017-06-07,17150,17150,16500,16700,47200,-0.020527859,16840,16640.0,17182.5,19367.5,17600.0,52790,액토즈소프트,0,0
105,2017-06-08,16550,16700,16300,16500,35769,-0.011976048000000001,16770,16610.0,17057.5,19256.66667,17642.08333,52790,액토즈소프트,1,16
106,2017-06-09,16500,16750,16450,16450,21747,-0.003030303,16690,16630.0,16947.5,19141.66667,17680.0,52790,액토즈소프트,1,18
107,2017-06-12,16500,16500,16100,16200,42137,-0.015197568,16580,16630.0,16835.0,19023.33333,17714.16667,52790,액토즈소프트,1,1
108,2017-06-13,16100,16500,16100,16200,23504,0.0,16410,16615.0,16732.5,18924.16667,17744.16667,52790,액토즈소프트,1,19
109,2017-06-14,15500,15950,15050,15800,395863,-0.024691357999999997,16230,16535.0,16662.5,18809.16667,17761.25,52790,액토즈소프트,1,45
110,2017-06-15,15900,16450,15850,15950,85221,0.009493671,16120,16445.0,16597.5,18707.5,17779.16667,52790,액토즈소프트,1,15
111,2017-06-16,15800,16350,15800,16150,49870,0.012539185,16060,16375.0,16545.0,18598.33333,17800.0,52790,액토즈소프트,1,39
112,2017-06-19,16050,17250,16050,16750,134447,0.037151703,16170,16375.0,16517.5,18512.5,17830.41667,52790,액토즈소프트,0,0
113,2017-06-20,16550,16800,16000,16250,61910,-0.029850746,16180,16295.0,16487.5,18427.5,17856.25,52790,액토즈소프트,0,0
114,2017-06-21,16100,16200,15450,15500,84213,-0.046153846,16120,16175.0,16407.5,18328.33333,17872.91667,52790,액토즈소프트,0,0
115,2017-06-22,15550,15700,14400,14400,84445,-0.070967742,15810,15965.0,16287.5,18230.0,17872.91667,52790,액토즈소프트,1,1
116,2017-06-23,14400,16150,14400,15650,182753,0.08680555599999999,15710,15885.0,16257.5,18152.5,17887.08333,52790,액토즈소프트,0,0
117,2017-06-26,15650,15900,15100,15100,53488,-0.03514377,15380,15775.0,16202.5,18076.66667,17903.75,52790,액토즈소프트,0,0
118,2017-06-27,15300,15300,14850,14950,53240,-0.009933775,15120,15650.0,16132.5,17999.16667,17917.08333,52790,액토즈소프트,0,0
