,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,5030,5400,5030,5310,148976,0.062,5102,5303.0,5653.5,6025.5,7466.75,52020,에스티큐브,0,0
1,2017-01-03,5410,5410,5160,5250,109044,-0.011299435,5132,5226.0,5641.5,5979.5,7417.583333,52020,에스티큐브,0,0
2,2017-01-04,5250,5370,5240,5260,84006,0.001904762,5206,5168.0,5626.5,5934.0,7369.75,52020,에스티큐브,0,0
3,2017-01-05,5240,5330,5210,5250,77396,-0.001901141,5214,5171.0,5614.5,5889.166667,7327.666667,52020,에스티큐브,0,0
4,2017-01-06,5300,5300,5150,5170,61425,-0.015238095,5248,5162.0,5593.5,5841.5,7283.666667,52020,에스티큐브,0,0
5,2017-01-09,5150,5160,4975,5000,112439,-0.032882012,5186,5144.0,5534.0,5791.666667,7247.083333,52020,에스티큐브,0,0
6,2017-01-10,5090,5090,4850,4855,96350,-0.029,5107,5119.5,5464.75,5744.583333,7210.958333,52020,에스티큐브,0,0
7,2017-01-11,4840,4970,4800,4870,94370,0.003089598,5029,5117.5,5391.75,5712.75,7174.041667,52020,에스티큐브,0,0
8,2017-01-12,4850,4990,4850,4855,55626,-0.003080082,4950,5082.0,5314.5,5683.833333,7136.083333,52020,에스티큐브,0,0
9,2017-01-13,4855,5010,4815,4890,84340,0.007209063,4894,5071.0,5224.0,5659.5,7092.666667,52020,에스티큐브,0,0
10,2017-01-16,4970,4980,4740,4810,63148,-0.016359918,4856,5021.0,5162.0,5618.833333,7049.416667,52020,에스티큐브,0,0
11,2017-01-17,4810,5030,4750,4980,101441,0.035343035,4881,4994.0,5110.0,5582.5,7013.916667,52020,에스티큐브,0,0
12,2017-01-18,4880,5030,4840,4860,39210,-0.024096386,4879,4954.0,5061.0,5550.833333,6977.166667,52020,에스티큐브,0,0
13,2017-01-19,4850,5010,4850,4870,35073,0.002057613,4882,4916.0,5043.5,5515.333333,6942.416667,52020,에스티큐브,0,0
