,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,30900,31500,30550,31250,100016,0.019575856,30500,30265,29212.5,30328.33333,33380.83333,111770,영원무역,0,0
1,2017-01-03,31250,31250,29650,29700,260688,-0.0496,30370,30200,29365.0,30180.83333,33303.33333,111770,영원무역,0,0
2,2017-01-04,29700,29850,28800,29400,246868,-0.01010101,30210,30175,29512.5,30037.5,33227.91667,111770,영원무역,0,0
3,2017-01-05,29200,29300,28200,28750,311682,-0.022108844,29950,30080,29645.0,29883.33333,33148.33333,111770,영원무역,0,0
4,2017-01-06,28600,28600,28250,28600,171736,-0.005217391,29540,30030,29740.0,29735.0,33077.5,111770,영원무역,0,0
5,2017-01-09,28700,28700,28050,28250,177856,-0.012237762,28940,29720,29797.5,29612.5,33004.16667,111770,영원무역,0,0
6,2017-01-10,28100,28500,27800,27850,164270,-0.014159292,28570,29470,29780.0,29490.83333,32924.58333,111770,영원무역,1,2
7,2017-01-11,27850,28600,27750,28350,147666,0.017953321,28360,29285,29710.0,29377.5,32840.83333,111770,영원무역,0,0
8,2017-01-12,28350,28750,28200,28550,122747,0.007054674,28320,29135,29647.5,29256.66667,32759.58333,111770,영원무역,0,0
9,2017-01-13,28000,28600,27900,28350,108351,-0.007005254,28270,28905,29522.5,29139.16667,32675.0,111770,영원무역,1,3
10,2017-01-16,28400,28500,27500,27700,151394,-0.02292769,28160,28550,29407.5,29022.5,32593.33333,111770,영원무역,0,0
11,2017-01-17,27750,27800,27200,27200,141986,-0.018050542,28030,28300,29250.0,28909.16667,32513.75,111770,영원무역,-1,1
12,2017-01-18,27150,27800,27150,27500,86890,0.011029412,27860,28110,29142.5,28815.83333,32431.66667,111770,영원무역,0,0
13,2017-01-19,27350,27700,27150,27150,109171,-0.012727273,27580,27950,29015.0,28729.16667,32352.5,111770,영원무역,0,0
14,2017-01-20,27300,27500,26900,27150,96762,0.0,27340,27805,28917.5,28641.66667,32275.83333,111770,영원무역,0,0
15,2017-01-23,27150,27150,26750,26850,92291,-0.011049724,27170,27665,28692.5,28550.83333,32204.16667,111770,영원무역,0,0
16,2017-01-24,26800,27150,26600,27150,135777,0.011173184,27160,27595,28532.5,28467.5,32130.83333,111770,영원무역,1,1
17,2017-01-25,27200,27200,26450,26750,142817,-0.014732965,27010,27435,28360.0,28369.16667,32041.25,111770,영원무역,0,0
18,2017-01-26,26700,26700,26000,26200,157857,-0.020560748,26820,27200,28167.5,28265.83333,31942.91667,111770,영원무역,0,0
19,2017-01-31,26000,26700,26000,26700,103022,0.019083969,26730,27035,27970.0,28160.0,31849.16667,111770,영원무역,0,0
20,2017-02-01,26800,27200,26500,27150,129877,0.016853933,26790,26980,27765.0,28068.33333,31759.16667,111770,영원무역,0,0
21,2017-02-02,27150,27400,27050,27150,185711,0.0,26790,26975,27637.5,28052.5,31674.16667,111770,영원무역,0,0
22,2017-02-03,27150,27150,26450,26900,156022,-0.009208103,26820,26915,27512.5,28032.5,31571.66667,111770,영원무역,1,1
23,2017-02-06,26950,27600,26650,26950,158733,0.001858736,26970,26895,27422.5,28032.5,31471.66667,111770,영원무역,1,1
24,2017-02-07,27100,28200,27050,28100,280074,0.042671614,27250,26990,27397.5,28051.66667,31389.16667,111770,영원무역,0,0
25,2017-02-08,28000,28200,27400,27750,243250,-0.012455516,27370,27080,27372.5,28060.0,31300.0,111770,영원무역,0,0
26,2017-02-09,27800,28050,27450,27750,154393,0.0,27490,27140,27367.5,28066.66667,31214.16667,111770,영원무역,0,0
27,2017-02-10,28000,30000,27900,29150,660921,0.05045045,27940,27380,27407.5,28101.66667,31145.83333,111770,영원무역,0,0
