,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,34585,35024,34234,34937,31202,-0.002512491,35291.2,34772.9,34055.5,36544.0,43197.28333,100,유한양행,0,0
1,2017-01-03,35112,35288,34585,34762,33324,-0.005009016,35130.4,34827.0,34187.65,36384.85,43040.63333,100,유한양행,1,2
2,2017-01-04,34761,35112,34498,34937,58178,0.005034233,34937.2,34898.6,34324.35,36231.41667,42885.44167,100,유한양행,1,4
3,2017-01-05,35024,35990,34937,35991,90680,0.030168589,35130.4,35058.8,34551.6,36094.15,42743.94167,100,유한양행,1,1
4,2017-01-06,35990,36078,35288,35464,31672,-0.01464255,35218.2,35208.3,34697.85,35950.9,42588.23333,100,유한양행,1,1
5,2017-01-09,35463,35551,34761,35113,49375,-0.009897361,35253.4,35272.3,34801.3,35831.23333,42434.50833,100,유한양행,0,0
6,2017-01-10,34937,35287,34849,35200,62346,0.002477715,35341.0,35235.7,34904.9,35700.4,42289.21667,100,유한양행,0,0
7,2017-01-11,35024,35112,34498,35025,53190,-0.004971591,35358.6,35147.9,34903.05,35558.25,42142.46667,100,유한양행,1,1
8,2017-01-12,34849,34849,34322,34674,41093,-0.010021413,35095.2,35112.8,34913.1,35408.85,41991.39167,100,유한양행,0,0
9,2017-01-13,34849,35990,34673,34762,67802,0.002537925,34954.8,35086.5,34906.5,35273.51667,41838.24167,100,유한양행,1,1
10,2017-01-16,34849,35375,34585,35113,30985,0.010097233,34954.8,35104.1,34938.5,35137.03333,41703.43333,100,유한양행,1,1
11,2017-01-17,35288,35288,34849,34937,13436,-0.005012389,34902.2,35121.6,34974.3,34993.41667,41578.375,100,유한양행,0,0
12,2017-01-18,34937,35463,34937,35113,20867,0.005037639,34919.8,35139.2,35018.9,34868.15,41449.875,100,유한양행,1,1
13,2017-01-19,35112,35112,34849,35025,22522,-0.002506194,34990.0,35042.6,35050.7,34744.21667,41330.45,100,유한양행,1,2
