Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,테마명
2017-01-02,17311,17748,17037,17445,137317,0.017965941,17076.91111,17092.8,16733.98889,17206.42222,17436.72963,567890,인공지능
2017-01-03,17474,18023,17241,17619,266565,0.002254597,17239.33333,17122.14444,16840.91667,17191.85741,17441.29907,567890,인공지능
2017-01-04,17753,18011,17312,17518,278117,0.000430779,17353.84444,17166.16667,16929.30556,17174.64074,17444.85648,567890,인공지능
2017-01-05,17570,17729,17263,17555,163463,0.004454343,17460.17778,17214.88889,17020.42222,17152.67407,17449.8963,567890,인공지능
2017-01-06,17508,18146,17409,17915,159210,0.014139657,17611.02222,17305.81111,17121.95,17142.27407,17456.82778,567890,인공지능
2017-01-09,18007,18336,17657,17962,169009,0.002955318,17714.37778,17395.64444,17208.96667,17125.49074,17466.55463,567890,인공지능
2017-01-10,17943,18067,17474,17729,174577,-0.008914527,17736.37778,17487.85556,17271.95556,17104.48889,17475.26111,567890,인공지능
2017-01-11,17785,18191,17587,18001,174370,0.01181416,17832.88889,17593.36667,17342.78333,17087.19074,17485.13056,567890,인공지능
2017-01-12,17998,18238,17714,17937,146695,-0.003892618,17909.2,17684.68889,17397.76111,17070.89444,17492.07593,567890,인공지능
2017-01-13,17840,18209,17646,17930,170096,0.003470226,17912.2,17761.61111,17422.83889,17057.90741,17496.43981,567890,인공지능
2017-01-16,17986,18115,17520,17652,182395,-0.015271934,17850.24444,17782.31111,17437.55556,17040.52593,17499.00463,567890,인공지능
2017-01-17,17614,17789,17267,17423,176595,-0.001641562,17789.08889,17762.73333,17442.43889,17022.89444,17501.1037,567890,인공지능
2017-01-18,17450,17814,17260,17698,130929,0.011802122,17728.53333,17780.71111,17473.43889,17012.1,17505.92315,567890,인공지능
2017-01-19,17631,17983,17364,17530,124566,-0.002719378,17647.08889,17778.14444,17496.51667,16996.46296,17509.58519,567890,인공지능
2017-01-20,17397,17583,17114,17310,124637,-0.007158973,17523.06667,17717.63333,17511.72222,16975.18333,17510.63704,567890,인공지능
2017-01-23,17332,17715,17168,17368,143277,-0.000993857,17466.28889,17658.26667,17526.95556,16955.54074,17511.55648,567890,인공지능
2017-01-24,17358,17721,17100,17324,203851,0.000181708,17446.44444,17617.76667,17552.81111,16936.61852,17507.12222,567890,인공지능
