,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,4990,4990,4890,4900,111791,-0.023904382,4972.0,4986.5,4969.0,5002.416667,5287.708333,35080,인터파크,0,0
1,2017-01-03,4900,4965,4845,4965,109468,0.013265306,4976.0,4971.0,4981.5,4995.833333,5276.75,35080,인터파크,0,0
2,2017-01-04,4975,4975,4910,4965,107394,0.0,4970.0,4963.5,4989.0,4990.583333,5265.625,35080,인터파크,0,0
3,2017-01-05,4940,5120,4940,5070,269067,0.021148036,4984.0,4972.0,5007.5,4984.75,5254.708333,35080,인터파크,0,0
4,2017-01-06,5040,5090,5020,5080,169964,0.001972387,4996.0,4987.0,5018.75,4980.916667,5244.208333,35080,인터파크,0,0
5,2017-01-09,5100,5120,5050,5100,219651,0.003937008,5036.0,5004.0,5022.25,4976.75,5235.041667,35080,인터파크,0,0
6,2017-01-10,5110,5270,5090,5200,508024,0.019607843,5083.0,5029.5,5024.25,4974.916667,5226.458333,35080,인터파크,0,0
7,2017-01-11,5200,5230,5140,5140,186270,-0.011538462,5118.0,5044.0,5026.75,4970.916667,5217.625,35080,인터파크,0,0
8,2017-01-12,5180,5230,5130,5160,270360,0.003891051,5136.0,5060.0,5034.25,4968.416667,5208.875,35080,인터파크,0,0
9,2017-01-13,5180,5180,5060,5080,217249,-0.015503876,5136.0,5066.0,5033.75,4965.083333,5200.125,35080,인터파크,0,0
10,2017-01-16,5120,5140,5010,5030,146777,-0.00984252,5122.0,5079.0,5032.75,4962.75,5191.041667,35080,인터파크,0,0
11,2017-01-17,5030,5090,4970,4970,132607,-0.011928429,5076.0,5079.5,5025.25,4960.25,5182.041667,35080,인터파크,0,0
12,2017-01-18,5000,5020,4925,4950,143480,-0.004024145,5038.0,5078.0,5020.75,4958.583333,5173.291667,35080,인터파크,0,0
13,2017-01-19,4955,4985,4855,4870,284394,-0.016161616,4980.0,5058.0,5015.0,4954.25,5163.708333,35080,인터파크,0,0
14,2017-01-20,4860,4890,4765,4770,302810,-0.020533881,4918.0,5027.0,5007.0,4947.083333,5154.208333,35080,인터파크,0,0
15,2017-01-23,4775,4830,4745,4800,137978,0.006289308,4872.0,4997.0,5000.5,4941.416667,5144.625,35080,인터파크,0,0
16,2017-01-24,4780,4800,4715,4750,171157,-0.010416667,4828.0,4952.0,4990.75,4937.333333,5135.708333,35080,인터파크,0,0
17,2017-01-25,4765,4780,4685,4690,165078,-0.012631579,4776.0,4907.0,4975.5,4934.25,5126.375,35080,인터파크,0,0
18,2017-01-26,4700,4735,4650,4700,133348,0.002132196,4742.0,4861.0,4960.5,4934.916667,5116.125,35080,인터파크,0,0
19,2017-01-31,4700,4755,4640,4730,82080,0.006382979,4734.0,4826.0,4946.0,4933.833333,5105.541667,35080,인터파크,0,0
20,2017-02-01,4720,4835,4720,4820,90164,0.019027484,4738.0,4805.0,4942.0,4932.25,5096.958333,35080,인터파크,0,0
21,2017-02-02,4850,4850,4760,4760,162300,-0.012448133,4740.0,4784.0,4931.75,4929.166667,5087.791667,35080,인터파크,0,0
22,2017-02-03,4750,4805,4650,4685,224187,-0.015756303,4739.0,4757.5,4917.75,4924.25,5077.25,35080,인터파크,0,0
23,2017-02-06,4685,4685,4575,4580,247955,-0.022411953,4715.0,4728.5,4893.25,4920.833333,5066.333333,35080,인터파크,0,0
24,2017-02-07,4520,4645,4510,4645,156043,0.01419214,4698.0,4716.0,4871.5,4916.416667,5058.291667,35080,인터파크,0,0
25,2017-02-08,4650,4665,4560,4640,118906,-0.001076426,4662.0,4700.0,4848.5,4909.916667,5049.875,35080,인터파크,0,0
26,2017-02-09,4640,4725,4580,4690,153742,0.010775862,4648.0,4694.0,4823.0,4906.25,5043.375,35080,인터파크,0,0
27,2017-02-10,4730,4730,4660,4695,64317,0.001066098,4650.0,4694.5,4800.75,4903.25,5037.333333,35080,인터파크,0,0
28,2017-02-13,4695,4720,4630,4675,117687,-0.004259851,4669.0,4692.0,4776.5,4899.5,5031.291667,35080,인터파크,0,0
29,2017-02-14,4645,4725,4635,4715,151504,0.00855615,4683.0,4690.5,4758.25,4895.583333,5025.333333,35080,인터파크,0,0
