,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,8280,8350,8220,8320,16392,-0.005973716,8288,8431.0,8443.0,8350.166667,8348.416667,94850,참좋은여행,0,0
1,2017-01-03,8300,8330,8200,8290,22740,-0.003605769,8292,8396.0,8440.0,8343.833333,8347.666667,94850,참좋은여행,0,0
2,2017-01-04,8240,8300,8220,8260,12096,-0.003618818,8302,8357.0,8433.0,8339.666667,8347.0,94850,참좋은여행,0,0
3,2017-01-05,8260,8330,8220,8300,18981,0.004842615,8308,8330.0,8428.5,8336.833333,8347.25,94850,참좋은여행,0,0
4,2017-01-06,8300,8330,8240,8330,22597,0.003614458,8300,8312.0,8424.5,8336.833333,8347.583333,94850,참좋은여행,0,0
5,2017-01-09,8330,8380,8280,8300,9787,-0.003601441,8296,8292.0,8417.5,8334.166667,8348.083333,94850,참좋은여행,0,0
6,2017-01-10,8310,8340,8260,8320,20086,0.002409639,8302,8297.0,8411.5,8332.166667,8349.833333,94850,참좋은여행,0,0
7,2017-01-11,8330,8410,8270,8380,28478,0.007211538,8326,8314.0,8409.0,8333.833333,8351.833333,94850,참좋은여행,0,0
8,2017-01-12,8360,8390,8300,8370,10607,-0.001193317,8340,8324.0,8404.0,8333.666667,8353.75,94850,참좋은여행,0,0
9,2017-01-13,8330,8370,8290,8350,10466,-0.002389486,8344,8322.0,8392.0,8335.333333,8355.5,94850,참좋은여행,0,0
10,2017-01-16,8320,8370,8250,8330,21856,-0.00239521,8350,8323.0,8377.0,8335.333333,8357.25,94850,참좋은여행,0,0
11,2017-01-17,8260,8400,8260,8390,32080,0.007202881,8364,8333.0,8364.5,8336.166667,8359.75,94850,참좋은여행,0,0
12,2017-01-18,8320,8430,8320,8420,19827,0.003575685,8372,8349.0,8353.0,8338.833333,8363.333333,94850,참좋은여행,0,0
13,2017-01-19,8390,8450,8320,8420,31743,0.0,8382,8361.0,8345.5,8343.166667,8366.833333,94850,참좋은여행,0,0
14,2017-01-20,8420,8420,8280,8400,33494,-0.002375297,8392,8368.0,8340.0,8343.333333,8370.416667,94850,참좋은여행,0,0
15,2017-01-23,8400,8410,8330,8390,8751,-0.001190476,8404,8377.0,8334.5,8342.666667,8374.583333,94850,참좋은여행,0,0
16,2017-01-24,8330,8560,8330,8540,77958,0.017878427,8434,8399.0,8348.0,8346.666667,8378.25,94850,참좋은여행,0,0
17,2017-01-25,8500,8640,8450,8540,64962,0.0,8458,8415.0,8364.5,8350.666667,8382.75,94850,참좋은여행,0,0
18,2017-01-26,8520,8720,8360,8700,95118,0.018735363,8514,8448.0,8386.0,8359.0,8389.333333,94850,참좋은여행,0,0
