,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,2955,2955,2905,2930,429277,-0.008460237,2935,2956.5,2994.75,2991.166667,2891.458333,50110,캠시스,0,0
1,2017-01-03,2925,2975,2895,2915,1024828,-0.005119454,2932,2954.5,2989.25,2994.0,2891.125,50110,캠시스,0,0
2,2017-01-04,2915,2930,2780,2795,2555882,-0.041166381,2903,2944.0,2978.75,2995.0,2889.583333,50110,캠시스,0,0
3,2017-01-05,2795,2940,2760,2940,2647109,0.051878354,2907,2939.5,2974.75,2998.083333,2888.791667,50110,캠시스,0,0
4,2017-01-06,3075,3100,2910,2910,4325382,-0.010204082,2898,2923.5,2968.5,3001.0,2887.833333,50110,캠시스,0,0
5,2017-01-09,2910,2975,2910,2925,779397,0.005154639,2897,2916.0,2964.25,3005.166667,2886.875,50110,캠시스,0,0
6,2017-01-10,2925,2935,2840,2840,735621,-0.029059829,2882,2907.0,2951.75,3009.333333,2885.0,50110,캠시스,0,0
7,2017-01-11,2855,2930,2840,2905,897036,0.022887324,2904,2903.5,2942.0,3014.25,2884.083333,50110,캠시스,0,0
8,2017-01-12,2945,2945,2855,2860,543712,-0.015490534,2888,2897.5,2934.25,3016.583333,2883.541667,50110,캠시스,0,0
9,2017-01-13,2855,2990,2855,2870,1653908,0.003496503,2880,2889.0,2926.25,3019.083333,2882.541667,50110,캠시스,0,0
10,2017-01-16,2920,2925,2830,2840,590412,-0.010452962,2863,2880.0,2918.25,3021.083333,2881.625,50110,캠시스,0,0
11,2017-01-17,2840,2895,2820,2820,533974,-0.007042254,2859,2870.5,2912.5,3021.916667,2880.458333,50110,캠시스,0,0
12,2017-01-18,2815,2940,2810,2865,1863654,0.015957447,2851,2877.5,2910.75,3023.5,2879.833333,50110,캠시스,0,0
13,2017-01-19,2870,2985,2870,2925,3076686,0.020942408,2864,2876.0,2907.75,3025.666667,2879.375,50110,캠시스,0,0
14,2017-01-20,2945,2970,2895,2895,751754,-0.01025641,2869,2874.5,2899.0,3026.833333,2879.0,50110,캠시스,0,0
15,2017-01-23,2900,2920,2830,2830,492021,-0.022452504,2867,2865.0,2890.5,3024.583333,2877.5,50110,캠시스,0,0
16,2017-01-24,2810,2845,2790,2805,633901,-0.008833922,2864,2861.5,2884.25,3022.416667,2875.625,50110,캠시스,0,0
17,2017-01-25,2815,2840,2560,2730,1218999,-0.026737968,2837,2844.0,2873.75,3017.833333,2873.458333,50110,캠시스,0,0
18,2017-01-26,2730,2855,2730,2830,724954,0.036630037,2818,2841.0,2869.25,3016.5,2872.458333,50110,캠시스,1,1
19,2017-01-31,2830,2915,2795,2830,799599,0.0,2805,2837.0,2863.0,3011.583333,2871.583333,50110,캠시스,0,0
20,2017-02-01,2870,2915,2840,2875,588737,0.01590106,2814,2840.5,2860.25,3007.75,2871.166667,50110,캠시스,0,0
21,2017-02-02,2875,2895,2760,2765,862430,-0.03826087,2806,2835.0,2852.75,3002.416667,2870.375,50110,캠시스,0,0
22,2017-02-03,2765,2780,2715,2730,513860,-0.012658228,2806,2821.5,2849.5,2997.083333,2868.375,50110,캠시스,0,0
23,2017-02-06,2700,2745,2660,2710,569840,-0.007326007,2782,2800.0,2838.0,2995.416667,2866.791667,50110,캠시스,0,0
24,2017-02-07,2690,2740,2680,2715,467852,0.001845018,2759,2782.0,2828.25,2991.5,2865.625,50110,캠시스,0,0
25,2017-02-08,2700,2715,2620,2620,635900,-0.034990792,2708,2761.0,2813.0,2987.083333,2863.583333,50110,캠시스,0,0
26,2017-02-09,2600,2680,2600,2655,435477,0.013358779,2686,2746.0,2803.75,2981.5,2862.125,50110,캠시스,0,0
27,2017-02-10,2660,2680,2610,2620,337992,-0.013182674,2664,2735.0,2789.5,2974.666667,2861.125,50110,캠시스,0,0
28,2017-02-13,2615,2705,2595,2675,448273,0.020992366,2657,2719.5,2780.25,2966.666667,2860.583333,50110,캠시스,0,0
29,2017-02-14,2675,2700,2650,2690,214841,0.005607477,2652,2705.5,2771.25,2955.5,2860.416667,50110,캠시스,0,0
30,2017-02-15,2690,2695,2645,2665,319444,-0.00929368,2661,2684.5,2762.5,2944.083333,2860.708333,50110,캠시스,0,0
31,2017-02-16,2670,2735,2660,2715,435192,0.018761726,2673,2679.5,2757.25,2932.083333,2861.5,50110,캠시스,0,0
32,2017-02-17,2735,2830,2670,2720,1141947,0.001841621,2693,2678.5,2750.0,2920.0,2862.583333,50110,캠시스,1,1
33,2017-02-20,2750,2850,2710,2750,1048089,0.011029412,2708,2682.5,2741.25,2911.166667,2864.458333,50110,캠시스,0,0
34,2017-02-21,2785,2890,2785,2815,2338412,0.023636364,2733,2692.5,2737.25,2904.083333,2865.458333,50110,캠시스,0,0
35,2017-02-22,2830,2860,2800,2815,450018,0.0,2763,2712.0,2736.5,2897.0,2867.875,50110,캠시스,0,0
36,2017-02-23,2805,2845,2765,2765,347378,-0.017761989,2773,2723.0,2734.5,2889.666667,2871.25,50110,캠시스,0,0
37,2017-02-24,2785,2795,2700,2700,477159,-0.023508137,2769,2731.0,2733.0,2880.25,2873.625,50110,캠시스,0,0
38,2017-02-27,2705,2725,2685,2695,275750,-0.001851852,2758,2733.0,2726.25,2871.083333,2876.041667,50110,캠시스,0,0
39,2017-02-28,2695,2715,2680,2680,303866,-0.005565863,2731,2732.0,2718.75,2861.333333,2878.041667,50110,캠시스,0,0
40,2017-03-02,2690,2710,2650,2655,383197,-0.009328358,2699,2731.0,2707.75,2854.25,2879.333333,50110,캠시스,0,0
41,2017-03-03,2630,2645,2500,2520,1058229,-0.050847458,2650,2711.5,2695.5,2845.833333,2878.666667,50110,캠시스,0,0
42,2017-03-06,2470,2625,2450,2595,560906,0.029761905,2629,2699.0,2688.75,2839.0,2877.208333,50110,캠시스,0,0
43,2017-03-07,2570,2630,2570,2590,159117,-0.001926782,2608,2683.0,2682.75,2831.833333,2875.916667,50110,캠시스,0,0
44,2017-03-08,2580,2600,2530,2545,244083,-0.017374517,2581,2656.0,2674.25,2823.666667,2875.416667,50110,캠시스,0,0
45,2017-03-09,2550,2580,2530,2530,277789,-0.00589391,2556,2627.5,2669.75,2815.666667,2875.291667,50110,캠시스,0,0
46,2017-03-10,2530,2610,2515,2575,402831,0.017786561,2567,2608.5,2665.75,2807.083333,2874.791667,50110,캠시스,0,0
47,2017-03-13,2570,2650,2560,2595,374536,0.00776699,2567,2598.0,2664.5,2798.666667,2874.0,50110,캠시스,0,0
48,2017-03-14,2635,2640,2585,2585,252956,-0.003853565,2566,2587.0,2660.0,2791.5,2872.916667,50110,캠시스,0,0
49,2017-03-15,2585,2645,2575,2615,345338,0.011605416,2580,2580.5,2656.25,2784.583333,2871.291667,50110,캠시스,0,0
50,2017-03-16,2625,2740,2620,2710,1374575,0.036328872,2616,2586.0,2658.5,2779.75,2870.541667,50110,캠시스,0,0
51,2017-03-17,2720,2760,2685,2705,366460,-0.001845018,2642,2604.5,2658.0,2775.916667,2869.625,50110,캠시스,0,0
52,2017-03-20,2690,2705,2660,2700,293392,-0.001848429,2663,2615.0,2657.0,2772.583333,2869.458333,50110,캠시스,0,0
53,2017-03-21,2700,2760,2675,2715,604011,0.005555556,2689,2627.5,2655.25,2768.083333,2869.0,50110,캠시스,0,0
54,2017-03-22,2715,2730,2665,2665,455452,-0.018416206,2699,2639.5,2647.75,2761.333333,2868.25,50110,캠시스,0,0
55,2017-03-23,2665,2750,2655,2675,618938,0.003752345,2692,2654.0,2640.75,2755.916667,2867.458333,50110,캠시스,0,0
56,2017-03-24,2675,2805,2655,2740,1642149,0.024299065,2699,2670.5,2639.5,2752.75,2867.708333,50110,캠시스,0,0
57,2017-03-27,2765,2765,2670,2685,701889,-0.020072993,2696,2679.5,2638.75,2748.5,2866.875,50110,캠시스,0,0
58,2017-03-28,2665,2725,2620,2705,1217874,0.00744879,2694,2691.5,2639.25,2744.916667,2865.875,50110,캠시스,0,0
59,2017-03-29,2735,2830,2735,2745,1670901,0.014787431,2710,2704.5,2642.5,2741.416667,2865.041667,50110,캠시스,0,0
60,2017-03-30,2775,2775,2715,2745,676451,0.0,2724,2708.0,2647.0,2738.333333,2864.75,50110,캠시스,1,2
61,2017-03-31,2770,2800,2720,2720,604823,-0.009107468,2720,2709.5,2657.0,2735.083333,2864.541667,50110,캠시스,0,0
62,2017-04-03,2720,2740,2675,2680,572836,-0.014705882,2719,2707.5,2661.25,2733.166667,2864.083333,50110,캠시스,0,0
63,2017-04-04,2705,2745,2685,2700,789393,0.007462687,2718,2706.0,2666.75,2729.166667,2863.625,50110,캠시스,0,0
64,2017-04-05,2705,2765,2680,2755,862186,0.02037037,2720,2715.0,2677.25,2726.583333,2863.791667,50110,캠시스,1,1
65,2017-04-06,2760,2815,2745,2750,1089684,-0.001814882,2721,2722.5,2688.25,2723.666667,2864.416667,50110,캠시스,0,0
66,2017-04-07,2745,2765,2710,2710,378808,-0.014545455,2719,2719.5,2695.0,2721.5,2865.416667,50110,캠시스,0,0
67,2017-04-10,2690,2710,2585,2600,785014,-0.040590406,2703,2711.0,2695.25,2716.416667,2865.333333,50110,캠시스,0,0
68,2017-04-11,2575,2645,2545,2605,424967,0.001923077,2684,2701.0,2696.25,2712.166667,2864.375,50110,캠시스,0,0
69,2017-04-12,2585,2610,2560,2580,446379,-0.009596929,2649,2684.5,2694.5,2707.333333,2863.208333,50110,캠시스,0,0
70,2017-04-13,2580,2710,2570,2690,693215,0.042635659,2637,2679.0,2693.5,2704.833333,2862.958333,50110,캠시스,0,0
71,2017-04-14,2690,2735,2635,2690,535564,0.0,2633,2676.0,2692.75,2702.666667,2862.291667,50110,캠시스,0,0
72,2017-04-17,2665,3095,2660,2925,29953747,0.087360595,2698,2700.5,2704.0,2703.666667,2863.583333,50110,캠시스,0,1
73,2017-04-18,3085,3130,2875,2900,14394687,-0.008547009,2757,2720.5,2713.25,2703.25,2864.458333,50110,캠시스,0,0
74,2017-04-19,2930,2945,2810,2820,4701057,-0.027586207,2805,2727.0,2721.0,2702.0,2864.416667,50110,캠시스,0,0
75,2017-04-20,2840,3020,2835,2890,9242546,0.024822695,2845,2741.0,2731.75,2703.0,2863.791667,50110,캠시스,0,0
76,2017-04-21,2910,3010,2880,2930,6799347,0.01384083,2893,2763.0,2741.25,2705.083333,2863.75,50110,캠시스,0,0
77,2017-04-24,2915,2960,2810,2820,2598032,-0.037542662,2872,2785.0,2748.0,2706.583333,2862.208333,50110,캠시스,0,0
78,2017-04-25,2855,2945,2820,2880,4205442,0.021276596,2868,2812.5,2756.75,2707.416667,2861.958333,50110,캠시스,0,0
79,2017-04-26,2870,2950,2870,2890,2662414,0.003472222,2882,2843.5,2764.0,2708.416667,2860.0,50110,캠시스,0,0
80,2017-04-27,2945,2980,2875,2875,4344317,-0.005190311,2879,2862.0,2770.5,2708.416667,2858.083333,50110,캠시스,0,0
81,2017-04-28,2880,2905,2805,2810,1607844,-0.022608696,2855,2874.0,2775.0,2709.166667,2855.791667,50110,캠시스,0,0
82,2017-05-02,2865,2870,2815,2835,1079518,0.008896797,2858,2865.0,2782.75,2710.916667,2854.0,50110,캠시스,0,0
83,2017-05-04,2805,2850,2805,2850,596303,0.005291005,2852,2860.0,2790.25,2713.25,2854.333333,50110,캠시스,0,0
84,2017-05-08,2835,2885,2830,2870,854181,0.007017544,2848,2865.0,2796.0,2715.833333,2853.666667,50110,캠시스,0,0
85,2017-05-10,2915,2940,2835,2835,1088856,-0.012195122,2840,2859.5,2800.25,2719.416667,2853.25,50110,캠시스,0,0
86,2017-05-11,2845,3035,2840,2920,2900916,0.029982363,2862,2858.5,2810.75,2723.833333,2852.666667,50110,캠시스,0,0
87,2017-05-12,2935,2970,2885,2955,1928929,0.011986301,2886,2872.0,2828.5,2729.416667,2852.041667,50110,캠시스,0,0
88,2017-05-15,2955,2965,2900,2930,1122771,-0.008460237,2902,2877.0,2844.75,2733.666667,2850.166667,50110,캠시스,0,0
89,2017-05-16,2940,3750,2885,3515,58965584,0.199658703,3031,2939.5,2891.5,2747.416667,2851.458333,50110,캠시스,1,1
90,2017-05-17,3540,3720,3330,3360,25886908,-0.044096728,3136,2988.0,2925.0,2759.0,2851.541667,50110,캠시스,0,1
91,2017-05-18,3325,3610,3250,3440,17666720,0.023809524,3240,3051.0,2962.5,2771.083333,2851.583333,50110,캠시스,1,2
92,2017-05-19,3435,3490,3265,3300,7228333,-0.040697674,3309,3097.5,2981.25,2780.75,2850.375,50110,캠시스,0,0
93,2017-05-22,3265,3385,3180,3240,6640276,-0.018181818,3371,3136.5,2998.25,2788.916667,2850.041667,50110,캠시스,0,0
94,2017-05-23,3270,3355,3215,3270,5639477,0.009259259,3322,3176.5,3020.75,2796.5,2850.291667,50110,캠시스,0,0
95,2017-05-24,3250,3280,3095,3115,5341325,-0.047400612,3273,3204.5,3032.0,2801.5,2849.25,50110,캠시스,0,0
96,2017-05-25,3100,3150,3070,3125,3094286,0.003210273,3210,3225.0,3041.75,2807.5,2848.583333,50110,캠시스,0,0
97,2017-05-26,3160,3175,3055,3055,3309870,-0.0224,3161,3235.0,3053.5,2813.416667,2846.833333,50110,캠시스,0,0
98,2017-05-29,3060,3100,2945,2945,3148758,-0.036006547,3102,3236.5,3056.75,2817.583333,2844.333333,50110,캠시스,0,0
99,2017-05-30,2950,3045,2945,2985,1994418,0.013582343,3045,3183.5,3061.5,2822.666667,2842.0,50110,캠시스,0,0
100,2017-05-31,2985,3055,2955,3000,2184147,0.005025126,3022,3147.5,3067.75,2828.416667,2841.333333,50110,캠시스,0,0
101,2017-06-01,3155,3175,2955,2955,5174904,-0.015,2988,3099.0,3075.0,2835.666667,2840.75,50110,캠시스,0,0
102,2017-06-02,2965,3015,2920,2940,1814690,-0.005076142,2965,3063.0,3080.25,2841.416667,2840.208333,50110,캠시스,0,0
103,2017-06-05,2910,2940,2890,2915,1357489,-0.008503401,2959,3030.5,3083.5,2846.833333,2839.333333,50110,캠시스,0,0
104,2017-06-07,2905,2930,2880,2900,1036234,-0.005145798,2942,2993.5,3085.0,2852.75,2838.208333,50110,캠시스,0,0
