,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,8420,9260,8410,8890,285768,0.060859189,8157.4,7730.7,6971.4,6246.55,6147.041667,89010,켐트로닉스,0,0
1,2017-01-03,8800,8870,8480,8700,180718,-0.021372328,8400.0,7913.1,7114.65,6272.816667,6177.283333,89010,켐트로닉스,0,0
2,2017-01-04,8600,9000,8260,8470,269461,-0.026436782,8524.0,8065.8,7244.95,6306.066667,6205.291667,89010,켐트로닉스,0,0
3,2017-01-05,8640,8800,8530,8740,120558,0.031877214,8636.0,8221.6,7387.35,6348.75,6235.075,89010,켐트로닉스,0,0
4,2017-01-06,8800,8880,8360,8540,137408,-0.022883295,8668.0,8306.8,7517.85,6392.4,6263.025,89010,켐트로닉스,0,0
5,2017-01-09,8540,8550,7920,8070,271137,-0.055035129,8504.0,8330.7,7617.2,6423.45,6286.508333,89010,켐트로닉스,0,0
6,2017-01-10,7990,8130,7800,7950,167296,-0.014869888,8354.0,8377.0,7698.6,6452.5,6307.875,89010,켐트로닉스,-1,1
7,2017-01-11,7970,8200,7790,8130,174752,0.022641509,8286.0,8405.0,7780.4,6484.55,6329.466667,89010,켐트로닉스,0,0
8,2017-01-12,8170,8200,7860,7860,83728,-0.033210332,8110.0,8373.0,7845.85,6510.983333,6348.333333,89010,켐트로닉스,0,0
9,2017-01-13,7840,8120,7790,7810,66594,-0.006361323,7964.0,8316.0,7904.5,6539.133333,6366.7,89010,켐트로닉스,0,0
10,2017-01-16,7780,7900,7330,7420,150198,-0.04993598,7834.0,8169.0,7949.85,6561.1,6382.85,89010,켐트로닉스,0,0
11,2017-01-17,7350,7650,7280,7390,60840,-0.004043127,7722.0,8038.0,7975.55,6580.166667,6399.866667,89010,켐트로닉스,0,0
12,2017-01-18,7470,7520,7140,7410,46125,0.00270636,7578.0,7932.0,7998.9,6602.6,6415.858333,89010,켐트로닉스,0,0
13,2017-01-19,7410,7740,7360,7710,87005,0.04048583,7548.0,7829.0,8025.3,6633.366667,6432.991667,89010,켐트로닉스,0,0
14,2017-01-20,7710,7900,7600,7600,60228,-0.014267185,7506.0,7735.0,8020.9,6662.15,6449.766667,89010,켐트로닉스,0,0
15,2017-01-23,7550,7760,7360,7360,46670,-0.031578947,7494.0,7664.0,7997.35,6686.616667,6464.383333,89010,켐트로닉스,0,0
16,2017-01-24,7360,7660,7300,7550,54298,0.025815217,7526.0,7624.0,8000.5,6719.65,6481.3,89010,켐트로닉스,0,0
17,2017-01-25,7640,7780,7580,7680,84290,0.017218543,7580.0,7579.0,7992.0,6753.583333,6498.983333,89010,켐트로닉스,0,0
18,2017-01-26,7700,7810,7690,7740,81900,0.0078125,7586.0,7567.0,7970.0,6793.45,6517.641667,89010,켐트로닉스,0,0
19,2017-01-31,7700,7850,7660,7750,67322,0.00129199,7616.0,7561.0,7938.5,6833.8,6536.625,89010,켐트로닉스,0,0
20,2017-02-01,7840,8140,7770,8100,190462,0.04516129,7764.0,7629.0,7899.0,6879.35,6556.85,89010,켐트로닉스,0,0
21,2017-02-02,8100,8100,7730,7850,122661,-0.030864198,7824.0,7675.0,7856.5,6916.283333,6573.725,89010,켐트로닉스,0,0
22,2017-02-03,7840,7850,7300,7350,123358,-0.063694268,7758.0,7669.0,7800.5,6944.233333,6585.875,89010,켐트로닉스,0,0
23,2017-02-06,7350,7820,7200,7520,134457,0.023129252,7714.0,7650.0,7739.5,6980.116667,6599.516667,89010,켐트로닉스,0,0
24,2017-02-07,7590,7700,7200,7380,66865,-0.018617021,7640.0,7628.0,7681.5,7009.85,6612.475,89010,켐트로닉스,0,0
25,2017-02-08,7490,7490,7200,7350,35643,-0.004065041,7490.0,7627.0,7645.5,7037.8,6625.341667,89010,켐트로닉스,1,2
