,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,1749,1754,1719,1722,43914,0.004667445,1714.2,1710.7,1710.75,1795.1,1924.075,4870,티웨이홀딩스,0,0
1,2017-01-03,1726,1726,1691,1704,38844,-0.010452962,1717.2,1710.7,1712.75,1790.6666670000002,1920.9416670000003,4870,티웨이홀딩스,0,0
2,2017-01-04,1704,1706,1676,1682,57106,-0.012910798000000001,1712.2,1708.5,1713.25,1786.7833329999999,1917.733333,4870,티웨이홀딩스,0,0
3,2017-01-05,1664,1726,1664,1702,44788,0.011890606000000001,1704.8,1706.5,1714.75,1783.7833329999999,1914.733333,4870,티웨이홀딩스,0,0
4,2017-01-06,1701,1719,1674,1687,52148,-0.008813161,1699.4,1704.0,1714.65,1781.1666670000002,1911.125,4870,티웨이홀딩스,0,0
5,2017-01-09,1701,1701,1661,1682,32500,-0.0029638409999999996,1691.4,1702.8,1710.4,1778.4666670000001,1907.266667,4870,티웨이홀딩스,0,0
6,2017-01-10,1701,1704,1686,1704,25197,0.013079667,1691.4,1704.3,1709.5,1777.1333329999998,1903.3416670000001,4870,티웨이홀딩스,0,0
7,2017-01-11,1706,1841,1706,1814,215786,0.06455399099999999,1717.8,1715.0,1715.1,1777.8833329999998,1900.1916670000003,4870,티웨이홀딩스,0,0
8,2017-01-12,1811,1857,1776,1852,69895,0.020948181,1747.8,1726.3,1722.25,1778.766667,1897.9,4870,티웨이홀딩스,0,0
9,2017-01-13,1852,1852,1816,1827,89553,-0.01349892,1775.8,1737.6,1725.65,1779.3166670000003,1895.483333,4870,티웨이홀딩스,0,0
10,2017-01-16,1806,1857,1786,1832,47145,0.002736727,1805.8,1748.6,1729.65,1779.6166670000002,1893.6666670000002,4870,티웨이홀딩스,0,0
11,2017-01-17,1831,1852,1816,1829,24137,-0.001637555,1830.8,1761.1,1735.9,1780.483333,1892.1,4870,티웨이홀딩스,0,0
12,2017-01-18,1821,1869,1821,1834,39021,0.0027337340000000003,1834.8,1776.3,1742.4,1781.1833329999997,1890.3833329999998,4870,티웨이홀딩스,0,0
