,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,11300,11400,11150,11350,104136,0.008888889,10900,10740.0,10483.0,11173.5,12282.16667,84730,팅크웨어,0,0
1,2017-01-03,11450,11500,11200,11300,86505,-0.004405286,11070,10825.0,10545.5,11157.66667,12281.33333,84730,팅크웨어,0,0
2,2017-01-04,11750,12350,11500,11500,674615,0.017699115,11240,10895.0,10618.0,11144.33333,12278.41667,84730,팅크웨어,0,0
3,2017-01-05,11500,11650,11300,11500,106423,0.0,11380,10980.0,10701.5,11129.33333,12270.08333,84730,팅크웨어,0,0
4,2017-01-06,11550,11800,11350,11450,106420,-0.004347826,11420,11075.0,10780.0,11110.16667,12259.25,84730,팅크웨어,0,0
5,2017-01-09,11450,11450,11200,11300,71675,-0.013100437,11410,11155.0,10832.5,11088.5,12237.16667,84730,팅크웨어,0,0
6,2017-01-10,11350,11500,11250,11350,87818,0.004424779,11420,11245.0,10875.0,11070.16667,12210.91667,84730,팅크웨어,0,0
7,2017-01-11,11400,11550,11100,11150,158120,-0.017621145,11350,11295.0,10910.0,11052.66667,12183.41667,84730,팅크웨어,0,0
8,2017-01-12,11200,11350,11050,11300,75887,0.013452915,11310,11345.0,10957.5,11033.5,12162.16667,84730,팅크웨어,0,0
9,2017-01-13,11300,11350,11100,11100,50298,-0.017699115,11240,11330.0,10990.0,11020.16667,12139.25,84730,팅크웨어,0,0
10,2017-01-16,11150,11500,11050,11150,120167,0.004504505,11210,11310.0,11025.0,11014.33333,12109.25,84730,팅크웨어,0,0
11,2017-01-17,11150,11250,10700,10900,204130,-0.022421525,11120,11270.0,11047.5,10986.0,12063.83333,84730,팅크웨어,0,0
12,2017-01-18,10900,11150,10850,10950,48630,0.004587156,11080,11215.0,11055.0,10963.5,12025.08333,84730,팅크웨어,0,0
13,2017-01-19,10950,11050,10500,10550,115932,-0.03652968,10930,11120.0,11050.0,10937.66667,11978.0,84730,팅크웨어,0,0
14,2017-01-20,10450,10550,10400,10450,48005,-0.009478673,10800,11020.0,11047.5,10911.0,11924.66667,84730,팅크웨어,0,0
15,2017-01-23,10500,10600,10300,10300,51437,-0.014354067,10630,10920.0,11037.5,10885.16667,11876.75,84730,팅크웨어,0,0
16,2017-01-24,10550,10950,10400,10650,247318,0.033980583,10580,10850.0,11047.5,10873.5,11832.16667,84730,팅크웨어,0,0
17,2017-01-25,10950,11450,10600,10600,496644,-0.004694836,10510,10795.0,11045.0,10858.5,11781.33333,84730,팅크웨어,0,0
18,2017-01-26,10650,10750,10400,10600,100787,0.0,10520,10725.0,11035.0,10855.16667,11739.66667,84730,팅크웨어,0,0
19,2017-01-31,10650,10900,10650,10850,89291,0.023584906,10600,10700.0,11015.0,10853.5,11700.08333,84730,팅크웨어,0,0
20,2017-02-01,10750,10950,10700,10900,62128,0.004608295,10720,10675.0,10992.5,10852.66667,11664.66667,84730,팅크웨어,0,0
21,2017-02-02,10800,10900,10450,10500,98076,-0.036697248,10690,10635.0,10952.5,10836.0,11625.5,84730,팅크웨어,0,0
22,2017-02-03,10500,10700,10450,10550,51079,0.004761905,10680,10595.0,10905.0,10820.16667,11585.91667,84730,팅크웨어,0,0
23,2017-02-06,10600,10700,10500,10500,47256,-0.004739336,10660,10590.0,10855.0,10813.5,11547.16667,84730,팅크웨어,0,0
24,2017-02-07,10550,10600,10250,10350,86356,-0.014285714,10560,10580.0,10800.0,10799.33333,11509.25,84730,팅크웨어,1,1
25,2017-02-08,10350,10350,10050,10150,131359,-0.019323671,10410,10565.0,10742.5,10781.83333,11474.66667,84730,팅크웨어,1,1
26,2017-02-09,10100,10300,10100,10250,74968,0.009852217,10360,10525.0,10687.5,10762.66667,11430.5,84730,팅크웨어,0,0
27,2017-02-10,10250,10300,10050,10100,95628,-0.014634146,10270,10475.0,10635.0,10739.33333,11395.08333,84730,팅크웨어,0,0
28,2017-02-13,10100,10200,10050,10150,44994,0.004950495,10200,10430.0,10577.5,10716.0,11364.66667,84730,팅크웨어,0,0
29,2017-02-14,10200,10350,10150,10300,87196,0.014778325,10190,10375.0,10537.5,10698.5,11335.5,84730,팅크웨어,1,1
30,2017-02-15,10250,10400,10200,10300,84041,0.0,10220,10315.0,10495.0,10676.0,11305.91667,84730,팅크웨어,0,0
31,2017-02-16,10400,10400,10150,10200,102534,-0.009708738,10210,10285.0,10460.0,10659.33333,11275.08333,84730,팅크웨어,0,0
32,2017-02-17,10150,10250,10100,10150,77981,-0.004901961,10220,10245.0,10420.0,10641.83333,11246.33333,84730,팅크웨어,0,0
33,2017-02-20,10200,10350,10200,10350,73807,0.019704433,10260,10230.0,10410.0,10630.16667,11215.5,84730,팅크웨어,0,0
34,2017-02-21,10300,10600,10300,10500,119562,0.014492754,10300,10245.0,10412.5,10628.5,11187.58333,84730,팅크웨어,1,1
35,2017-02-22,10500,10650,10400,10550,105113,0.004761905,10350,10285.0,10425.0,10626.83333,11170.5,84730,팅크웨어,0,0
36,2017-02-23,10550,10750,10400,10650,170526,0.009478673,10440,10325.0,10425.0,10623.5,11153.41667,84730,팅크웨어,0,0
37,2017-02-24,10800,10850,10400,10400,118523,-0.023474178,10490,10355.0,10415.0,10616.83333,11139.66667,84730,팅크웨어,1,1
38,2017-02-27,10450,10500,10350,10450,38534,0.004807692,10510,10385.0,10407.5,10611.0,11125.08333,84730,팅크웨어,0,0
39,2017-02-28,10450,10550,10200,10300,117130,-0.014354067,10470,10385.0,10380.0,10606.83333,11110.5,84730,팅크웨어,0,0
40,2017-03-02,10300,10350,10150,10200,41815,-0.009708738,10400,10375.0,10345.0,10606.83333,11093.41667,84730,팅크웨어,0,0
41,2017-03-03,10200,10300,9990,10300,134046,0.009803922,10330,10385.0,10335.0,10611.0,11079.25,84730,팅크웨어,0,0
42,2017-03-06,10200,10400,10150,10400,47873,0.009708738,10330,10410.0,10327.5,10616.83333,11070.91667,84730,팅크웨어,1,1
43,2017-03-07,10300,10400,10200,10250,54983,-0.014423077,10290,10400.0,10315.0,10623.83333,11059.25,84730,팅크웨어,0,0
44,2017-03-08,10250,10600,10200,10600,97965,0.034146341,10350,10410.0,10327.5,10635.83333,11051.75,84730,팅크웨어,0,0
