,Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명,emotion,count
0,2017-01-02,78700,79500,76900,77000,6266,-0.021601017,78360,78860,78905.0,75451.66667,77460.0,25540,한국단자,0,0
1,2017-01-03,76200,77300,73700,74100,32561,-0.037662338,77380,78320,78800.0,75396.66667,77357.5,25540,한국단자,0,0
2,2017-01-04,74000,75700,73000,73100,42134,-0.013495277,76080,77780,78595.0,75313.33333,77249.16667,25540,한국단자,0,0
3,2017-01-05,73300,74000,71400,73100,33486,0.0,75200,77240,78290.0,75243.33333,77145.83333,25540,한국단자,0,0
4,2017-01-06,73100,74900,72500,73900,8827,0.010943912,74240,76650,77940.0,75220.0,77045.83333,25540,한국단자,0,0
5,2017-01-09,73200,74800,72600,73000,12458,-0.01217862,73440,75900,77605.0,75198.33333,76947.5,25540,한국단자,0,0
6,2017-01-10,72500,73400,71800,72200,13687,-0.010958904,73060,75220,77215.0,75170.0,76838.33333,25540,한국단자,0,0
7,2017-01-11,71900,74500,71600,73300,9131,0.015235457,73100,74590,76895.0,75160.0,76734.16667,25540,한국단자,0,0
8,2017-01-12,74400,74400,72100,73600,7928,0.004092769,73200,74200,76640.0,75151.66667,76630.83333,25540,한국단자,0,0
9,2017-01-13,73600,73600,72500,73500,9793,-0.001358696,73120,73680,76385.0,75133.33333,76516.66667,25540,한국단자,0,0
10,2017-01-16,74000,74400,72200,73900,15885,0.005442177,73300,73370,76115.0,75151.66667,76409.16667,25540,한국단자,0,0
11,2017-01-17,73000,74400,73000,73000,4396,-0.01217862,73460,73260,75790.0,75155.0,76295.83333,25540,한국단자,0,0
12,2017-01-18,73000,75400,72300,75200,10202,0.030136986,73840,73470,75625.0,75196.66667,76184.16667,25540,한국단자,0,0
13,2017-01-19,74100,75200,73300,73500,12989,-0.022606383,73820,73510,75375.0,75201.66667,76048.33333,25540,한국단자,0,0
14,2017-01-20,74400,74700,73100,74700,7883,0.016326531,74060,73590,75120.0,75230.0,75924.16667,25540,한국단자,0,0
15,2017-01-23,74000,74900,73000,73300,9450,-0.018741633,73940,73620,74760.0,75231.66667,75803.33333,25540,한국단자,0,0
16,2017-01-24,73300,74300,72700,73800,3799,0.006821282,74100,73780,74500.0,75270.0,75689.16667,25540,한국단자,0,0
17,2017-01-25,74700,74700,72100,72100,9264,-0.02303523,73480,73660,74125.0,75296.66667,75562.5,25540,한국단자,0,0
18,2017-01-26,72300,73200,71200,72000,7230,-0.001386963,73180,73500,73850.0,75345.0,75445.83333,25540,한국단자,0,0
19,2017-01-31,71500,73400,71100,71900,6098,-0.001388889,72620,73340,73510.0,75361.66667,75329.16667,25540,한국단자,0,0
20,2017-02-01,72900,72900,71200,71900,7293,0.0,72340,73140,73255.0,75335.0,75226.66667,25540,한국단자,0,0
21,2017-02-02,71200,72200,70900,71700,16485,-0.002781641,71920,73010,73135.0,75321.66667,75125.0,25540,한국단자,0,0
22,2017-02-03,71300,72200,70300,70400,10815,-0.018131102,71580,72530,73000.0,75275.0,75014.16667,25540,한국단자,0,0
23,2017-02-06,71900,71900,70000,70000,8891,-0.005681818,71180,72180,72845.0,75215.0,74908.33333,25540,한국단자,0,0
24,2017-02-07,70600,70600,68500,70300,16746,0.004285714,70860,71740,72665.0,75181.66667,74802.5,25540,한국단자,0,0
25,2017-02-08,69600,70900,69100,70000,13561,-0.004267425,70480,71410,72515.0,75140.0,74695.83333,25540,한국단자,0,0
26,2017-02-09,69800,70000,68700,69200,15486,-0.011428571,69980,70950,72365.0,75078.33333,74602.5,25540,한국단자,0,0
27,2017-02-10,70000,70800,69200,70000,10495,0.011560694,69900,70740,72200.0,75011.66667,74546.66667,25540,한국단자,0,1
28,2017-02-13,71100,71400,70000,71100,11264,0.015714286,70120,70650,72075.0,74948.33333,74505.0,25540,한국단자,0,0
29,2017-02-14,71800,72800,70400,72700,11719,0.022503516,70600,70730,72035.0,74921.66667,74502.5,25540,한국단자,0,2
30,2017-02-15,72500,74000,72500,73400,7254,0.009628611,71280,70880,72010.0,74876.66667,74512.5,25540,한국단자,0,0
31,2017-02-16,74200,74200,71800,72700,12816,-0.009536785,71980,70980,71995.0,74843.33333,74514.16667,25540,한국단자,0,0
32,2017-02-17,72500,73500,71900,71900,4532,-0.011004127,72360,71130,71830.0,74808.33333,74509.16667,25540,한국단자,0,0
33,2017-02-20,71500,72300,70600,71700,9487,-0.002781641,72480,71300,71740.0,74785.0,74489.16667,25540,한국단자,0,0
34,2017-02-21,72300,72500,71300,71600,12991,-0.0013947,72260,71430,71585.0,74745.0,74448.33333,25540,한국단자,0,0
35,2017-02-22,71200,71900,71000,71100,5427,-0.00698324,71800,71540,71475.0,74696.66667,74419.16667,25540,한국단자,0,0
36,2017-02-23,72000,72100,71000,71000,7717,-0.00140647,71460,71720,71335.0,74656.66667,74380.0,25540,한국단자,0,0
37,2017-02-24,71800,71900,70300,71500,8223,0.007042254,71380,71870,71305.0,74625.0,74337.5,25540,한국단자,0,0
38,2017-02-27,72200,72200,71000,71300,3551,-0.002797203,71300,71890,71270.0,74558.33333,74299.16667,25540,한국단자,0,0
39,2017-02-28,71900,71900,70300,71000,8773,-0.004207574,71180,71720,71225.0,74498.33333,74261.66667,25540,한국단자,0,0
40,2017-03-02,72100,72100,69100,69800,18645,-0.016901408,70920,71360,71120.0,74426.66667,74213.33333,25540,한국단자,0,0
41,2017-03-03,69800,70700,69300,69800,8609,0.0,70680,71070,71025.0,74320.0,74170.0,25540,한국단자,0,0
42,2017-03-06,68900,71800,68900,70700,13805,0.012893983,70520,70950,71040.0,74211.66667,74145.0,25540,한국단자,0,0
43,2017-03-07,71600,71600,70300,70300,4692,-0.005657709,70320,70810,71055.0,74063.33333,74122.5,25540,한국단자,0,0
44,2017-03-08,70100,72400,69700,71500,9184,0.017069701,70420,70800,71115.0,73906.66667,74105.83333,25540,한국단자,0,0
45,2017-03-09,70900,71600,70500,71300,8713,-0.002797203,70720,70820,71180.0,73766.66667,74074.16667,25540,한국단자,0,0
46,2017-03-10,71100,71500,70100,70500,8439,-0.011220196,70860,70770,71245.0,73608.33333,74053.33333,25540,한국단자,0,0
47,2017-03-13,69800,71400,69800,70400,6030,-0.00141844,70800,70660,71265.0,73453.33333,74051.66667,25540,한국단자,0,0
48,2017-03-14,70100,70500,69700,69700,11420,-0.009943182,70680,70500,71195.0,73303.33333,74050.0,25540,한국단자,0,1
49,2017-03-15,69500,70100,68700,68900,13077,-0.011477762,70160,70290,71005.0,73141.66667,74038.33333,25540,한국단자,0,1
