Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,테마명
2017-01-02,19867,19976,19337,19409,176714,-0.021645559,19966.06667,20258.23333,20497.70833,20877.16111,21549.82292,345678,항공여행
2017-01-03,19437,19551,19070,19209,170298,-0.004930612,19785.01667,20077.10833,20446.20417,20834.97917,21521.64444,345678,항공여행
2017-01-04,19301,19469,19043,19282,190538,0.000893372,19626.81667,19924.59167,20388.64167,20795.90556,21492.44167,345678,항공여행
2017-01-05,19276,19761,19239,19664,232724,0.014752112,19524.73333,19846.90833,20360.14583,20761.08056,21464.27361,345678,항공여행
2017-01-06,19611,19872,19351,19721,651030,0.010280246,19457.46667,19789.025,20317.675,20728.82222,21438.69722,345678,항공여행
2017-01-09,19662,19820,19403,19556,305031,-0.006096267,19486.91667,19726.49167,20247.15,20693.73611,21411.51111,345678,항공여행
2017-01-10,19564,19727,19384,19549,203518,0.00301022,19554.78333,19669.9,20179.1,20659.16806,21385.70139,345678,항공여행
2017-01-11,19598,19733,19326,19485,175611,0.004826028,19595.4,19611.10833,20103.95417,20626.70278,21359.87847,345678,항공여행
2017-01-12,19542,19913,19357,19691,269223,0.011866469,19600.75,19562.74167,20043.275,20597.77222,21335.78194,345678,항공여행
2017-01-13,19640,20002,19538,19893,180753,0.000432165,19635.11667,19546.29167,19983.1125,20574.4125,21314.19583,345678,항공여행
2017-01-16,19958,20134,19726,20033,161048,0.00077405,19730.43333,19608.675,19933.45417,20551.10278,21294.81181,345678,항공여행
2017-01-17,20071,20271,19894,20061,134061,0.001050307,19832.96667,19693.875,19885.49167,20528.5,21277.02639,345678,항공여행
2017-01-18,20088,20345,19931,20247,181793,0.004073869,19985.38333,19790.39167,19857.49167,20518.44583,21261.54236,345678,항공여행
2017-01-19,20283,20414,20028,20200,207057,0.000184654,20087.2,19843.975,19845.44167,20508.48333,21247.11597,345678,항공여행
2017-01-20,20220,20402,19992,20280,185974,0.000791489,20164.61667,19899.86667,19844.44583,20493.85694,21231.22292,345678,항공여행
2017-01-23,20289,20482,20054,20356,192836,-0.000237574,20229.25,19979.84167,19853.16667,20478.7,21216.45139,345678,항공여행
2017-01-24,20299,20576,20053,20345,201790,-0.002329167,20285.91667,20059.44167,19864.67083,20465.68333,21198.74444,345678,항공여행
2017-01-25,20342,20435,19984,20205,187977,-0.008839892,20277.58333,20131.48333,19871.29583,20455.16667,21176.42986,345678,항공여행
2017-01-26,20206,20397,19903,20243,166085,0.009132181,20286.1,20186.65,19874.69583,20453.28472,21153.36806,345678,항공여행
2017-01-31,20214,20504,20009,20308,145463,0.002330558,20291.68333,20228.15,19887.22083,20446.36944,21132.94444,345678,항공여행
2017-02-01,20320,20636,20174,20524,172108,0.013997378,20325.33333,20277.29167,19942.98333,20437.19583,21119.54583,345678,항공여행
2017-02-02,20467,20960,20334,20634,267658,-0.002717658,20383.13333,20334.525,20014.2,20428.73056,21106.67222,345678,항공여행
2017-02-03,20686,21084,20336,20731,277313,-0.001632235,20488.36667,20382.975,20086.68333,20423.18889,21092.43819,345678,항공여행
2017-02-06,20793,21027,20552,20865,214144,0.003123197,20612.9,20449.5,20146.7375,20429.58889,21073.41875,345678,항공여행
2017-02-07,20846,21359,20659,21207,197318,0.018642943,20792.71667,20542.2,20221.03333,20437.22222,21055.75347,345678,항공여행
2017-02-08,21236,21627,21066,21383,195149,-0.002296349,20964.45,20644.89167,20312.36667,20447.24861,21037.45764,345678,항공여행
2017-02-09,21356,21579,20990,21332,152576,0.000666594,21104.18333,20743.65833,20401.55,20454.79167,21021.18472,345678,항공여행
2017-02-10,21390,21831,21256,21495,162713,0.008008326,21256.85,20872.60833,20502.04583,20462.1125,21013.79236,345678,항공여행
2017-02-13,21512,21762,21217,21500,171013,0.005512238,21383.78333,20998.34167,20592.49583,20464.49722,21008.25069,345678,항공여행
2017-02-14,21563,21688,21113,21513,157348,0.002003229,21444.93333,21118.825,20673.4875,20467.60417,21003.60139,345678,항공여행
2017-02-15,21510,21917,21287,21760,236634,-0.001465202,21520.41667,21242.43333,20759.8625,20478.64861,21003.03611,345678,항공여행
2017-02-16,21865,21920,21387,21605,199977,-0.003716095,21574.9,21339.54167,20837.03333,20487.94028,21005.62431,345678,항공여행
2017-02-17,21565,21731,21315,21504,264505,-0.003454249,21576.75,21416.8,20899.8875,20496.40972,21002.89306,345678,항공여행
2017-02-20,21494,21680,21178,21557,196983,-0.002735728,21588.1,21485.94167,20967.72083,20508.44861,21000.55903,345678,항공여행
2017-02-21,21579,22135,21468,22036,486872,0.026831862,21692.75,21568.84167,21055.52083,20533.68333,20997.98958,345678,항공여행
2017-02-22,22062,22308,21865,22206,414705,0.007735573,21781.96667,21651.19167,21148.04167,20559.7875,21002.10278,345678,항공여행
2017-02-23,22167,22658,22017,22526,575625,0.018599938,21966.28333,21770.59167,21257.125,20590.56806,21006.11597,345678,항공여행
2017-02-24,22575,22976,22351,22785,428414,0.006282775,22222.58333,21899.66667,21386.1375,20623.2125,21013.73125,345678,항공여행
2017-02-27,22854,23005,22250,22394,301205,-0.003722426,22390.1,21989.1,21493.72083,20647.7625,21014.32153,345678,항공여행
2017-02-28,22350,22790,22008,22574,286758,0.00747511,22497.65,22095.2,21607.0125,20681.35833,21012.95,345678,항공여행
2017-03-02,22525,22832,22109,22360,353843,-0.008738804,22528.41667,22155.19167,21698.8125,20713.16806,21011.41319,345678,항공여행
2017-03-03,21849,22156,20992,21397,577692,-0.035109193,22302.56667,22134.425,21736.98333,20732.4625,21005.23194,345678,항공여행
2017-03-06,21182,21540,20690,21333,308346,0.002051987,22012.16667,22117.375,21767.0875,20747.47083,21000.92639,345678,항공여행
2017-03-07,21307,21627,21090,21372,213652,0.00454144,21807.65,22098.875,21792.40833,20766.43056,20998.72917,345678,항공여행
2017-03-08,21319,21401,20824,21081,234974,-0.007745209,21509.03333,22003.34167,21786.09167,20774.93333,20996.29167,345678,항공여행
2017-03-09,21165,21678,21018,21482,289447,0.018952378,21333.41667,21930.91667,21791.05417,20783.52361,21000.46389,345678,항공여행
2017-03-10,21552,21858,21153,21575,286433,0.010423433,21369.01667,21835.79167,21803.19167,20794.61389,21004.58889,345678,항공여행
2017-03-13,21704,22026,21311,21600,251817,0.010014923,21422.33333,21717.25,21808.45833,20804.81944,21006.21389,345678,항공여행
2017-03-14,21609,21930,21405,21627,289286,0.000401499,21473.38333,21640.51667,21814.80833,20816.85972,21008.07014,345678,항공여행
2017-03-15,21602,21739,21175,21394,252574,-0.009728325,21536.1,21522.56667,21808.88333,20821.82778,21007.68264,345678,항공여행
2017-03-16,21434,21756,21122,21350,250267,0.007839125,21509.61667,21421.51667,21788.35417,20827.22361,21005.06458,345678,항공여행
2017-03-17,21345,22102,21153,21985,352638,0.019822077,21591.55,21480.28333,21807.35417,20843.29306,21004.07917,345678,항공여행
2017-03-20,21957,22191,21635,21981,258993,-0.004331055,21667.76667,21545.05,21831.2125,20862.86389,21003.34306,345678,항공여행
2017-03-21,21986,22728,21860,22568,548663,0.015369794,21855.93333,21664.65833,21881.76667,20898.30972,21005.04861,345678,항공여행
