Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,2020,2050,1995,2000,89381,-0.00990099,2023,2058,1991,2021.083333,2135,48550,SM C&C
2017-01-03,2035,2035,1975,1980,74729,-0.01,2008,2047.5,1997.75,2018,2131.5,48550,SM C&C
2017-01-04,1985,2015,1930,1950,247370,-0.015151515,1998,2032.5,2001.5,2014.583333,2127.666667,48550,SM C&C
2017-01-05,1970,1995,1950,1970,234138,0.01025641,1984,2019.5,2005.75,2011.333333,2123.958333,48550,SM C&C
2017-01-06,1960,2395,1950,2165,3087130,0.098984772,2013,2026,2019,2011.25,2121.916667,48550,SM C&C
2017-01-09,2240,2320,2165,2205,1473723,0.018475751,2054,2038.5,2032,2012,2120.458333,48550,SM C&C
2017-01-10,2205,2215,2145,2200,546568,-0.002267574,2098,2053,2045.75,2012.75,2118.833333,48550,SM C&C
2017-01-11,2200,2220,2100,2190,220981,-0.004545455,2146,2072,2057.5,2013.416667,2117.041667,48550,SM C&C
2017-01-12,2190,2230,2105,2195,329181,0.002283105,2191,2087.5,2068.75,2014.666667,2115.541667,48550,SM C&C
2017-01-13,2160,2285,2160,2200,288525,0.002277904,2198,2105.5,2081.25,2015.166667,2114.208333,48550,SM C&C
2017-01-16,2210,2215,2150,2195,135287,-0.002272727,2196,2125,2091.5,2015.75,2113.083333,48550,SM C&C
2017-01-17,2195,2195,2120,2175,145356,-0.009111617,2191,2144.5,2096,2016.5,2111.75,48550,SM C&C
2017-01-18,2130,2165,2085,2160,423324,-0.006896552,2185,2165.5,2099,2017.666667,2110.208333,48550,SM C&C
2017-01-19,2170,2170,2090,2150,247985,-0.00462963,2176,2183.5,2101.5,2019.25,2108.625,48550,SM C&C
2017-01-20,2125,2170,2110,2110,149242,-0.018604651,2158,2178,2102,2019.75,2106.208333,48550,SM C&C
2017-01-23,2115,2125,2050,2060,137998,-0.023696682,2131,2163.5,2101,2019.833333,2103.625,48550,SM C&C
2017-01-24,2030,2050,1950,2000,227977,-0.029126214,2096,2143.5,2098.25,2019.5,2100.75,48550,SM C&C
2017-01-25,1995,2090,1970,2055,322101,0.0275,2075,2130,2101,2020.416667,2099.041667,48550,SM C&C
2017-01-26,2030,2155,2030,2145,466359,0.04379562,2074,2125,2106.25,2024,2098.333333,48550,SM C&C
2017-01-31,2145,2160,2090,2145,209879,0,2081,2119.5,2112.5,2027.75,2097.583333,48550,SM C&C
2017-02-01,2140,2160,2090,2120,287213,-0.011655012,2093,2112,2118.5,2030.25,2097.666667,48550,SM C&C
2017-02-02,2140,2145,2040,2040,99379,-0.037735849,2101,2098.5,2121.5,2031.166667,2096.5,48550,SM C&C
2017-02-03,2020,2060,1960,1995,211409,-0.022058824,2089,2082,2123.75,2031.916667,2094.333333,48550,SM C&C
2017-02-06,2025,2070,1990,2000,200276,0.002506266,2060,2067,2125.25,2034.5,2091.625,48550,SM C&C
2017-02-07,2000,2060,1995,2025,92527,0.0125,2036,2058.5,2118.25,2034.166667,2089.25,48550,SM C&C
2017-02-08,2000,2050,2000,2000,132501,-0.012345679,2012,2052.5,2108,2032.833333,2086,48550,SM C&C
2017-02-09,2000,2030,1970,2000,109406,0,2004,2052.5,2098,2030.333333,2083.125,48550,SM C&C
2017-02-10,1995,2035,1975,2000,163112,0,2005,2047,2088.5,2028.583333,2080.083333,48550,SM C&C
2017-02-13,2015,2075,2000,2060,342239,0.03,2017,2038.5,2081.75,2027.583333,2077.625,48550,SM C&C
2017-02-14,2060,2135,2040,2085,262713,0.012135922,2029,2032.5,2076,2026.916667,2075.291667,48550,SM C&C
2017-02-15,2085,2115,2055,2090,90991,0.002398082,2047,2029.5,2070.75,2027.416667,2073.291667,48550,SM C&C
2017-02-16,2090,2125,2055,2095,120659,0.002392344,2066,2035,2066.75,2030.583333,2071.75,48550,SM C&C
2017-02-17,2095,2125,2070,2120,196574,0.011933174,2090,2047.5,2064.75,2033.416667,2070.625,48550,SM C&C
2017-02-20,2105,2110,1995,2035,326879,-0.04009434,2085,2051,2059,2035.083333,2069.083333,48550,SM C&C
2017-02-21,2040,2200,2040,2195,1121108,0.078624079,2107,2068,2063.25,2039.75,2068.75,48550,SM C&C
2017-02-22,2190,2275,2190,2195,811758,0,2128,2087.5,2070,2044.583333,2068.625,48550,SM C&C
2017-02-23,2210,2345,2195,2295,1635163,0.045558087,2168,2117,2084.75,2050.916667,2069.458333,48550,SM C&C
2017-02-24,2310,2350,2290,2305,719487,0.004357298,2205,2147.5,2097.25,2057.25,2070.541667,48550,SM C&C
2017-02-27,2345,2345,2240,2240,429241,-0.028199566,2246,2165.5,2102,2062.416667,2070.791667,48550,SM C&C
2017-02-28,2210,2265,2175,2265,457328,0.011160714,2260,2183.5,2108,2068.333333,2071.25,48550,SM C&C
2017-03-02,2250,2285,2200,2210,456229,-0.024282561,2263,2195.5,2112.5,2074,2071.208333,48550,SM C&C
2017-03-03,2155,2200,2060,2105,603643,-0.047511312,2225,2196.5,2115.75,2078.333333,2070.25,48550,SM C&C
2017-03-06,2080,2095,2020,2075,222132,-0.014251781,2179,2192,2119.75,2081.666667,2069.166667,48550,SM C&C
2017-03-07,2095,2140,2040,2080,322436,0.002409639,2147,2196.5,2123.75,2084.916667,2068.666667,48550,SM C&C
2017-03-08,2085,2100,2020,2085,233326,0.002403846,2111,2185.5,2126.75,2088,2068.291667,48550,SM C&C
2017-03-09,2100,2195,2085,2145,262000,0.028776978,2098,2180.5,2134,2091.333333,2069.25,48550,SM C&C
2017-03-10,2145,2245,2120,2240,550547,0.044289044,2125,2175,2146,2096.583333,2070.833333,48550,SM C&C
2017-03-13,2280,2315,2200,2210,360849,-0.013392857,2152,2165.5,2156.5,2100.833333,2071.916667,48550,SM C&C
2017-03-14,2220,2270,2175,2235,201881,0.011312217,2183,2165,2165.25,2105.25,2072.875,48550,SM C&C
2017-03-15,2255,2255,2150,2175,214048,-0.026845638,2201,2156,2169.75,2109,2072.833333,48550,SM C&C
2017-03-16,2175,2240,2175,2240,216740,0.029885057,2220,2159,2177.25,2113.166667,2073.416667,48550,SM C&C
2017-03-17,2240,2250,2175,2240,405066,0,2220,2172.5,2184.5,2115.75,2074.041667,48550,SM C&C
2017-03-20,2160,2200,2110,2130,635271,-0.049107143,2204,2178,2185,2116.25,2073.916667,48550,SM C&C
2017-03-21,2135,2155,2115,2150,202568,0.009389671,2187,2185,2190.75,2117.083333,2074,48550,SM C&C
2017-03-22,2150,2150,2050,2090,336199,-0.027906977,2170,2185.5,2185.5,2116.916667,2073.75,48550,SM C&C
2017-03-23,2090,2120,2065,2070,172415,-0.009569378,2136,2178,2179.25,2116.75,2073.333333,48550,SM C&C
2017-03-24,2070,2120,2045,2120,123955,0.024154589,2112,2166,2170.5,2117.833333,2073.708333,48550,SM C&C
2017-03-27,2120,2120,2050,2070,187652,-0.023584906,2100,2152,2158.75,2119,2073.375,48550,SM C&C
2017-03-28,2060,2135,2055,2115,139892,0.02173913,2093,2140,2152.5,2120.25,2073.25,48550,SM C&C
2017-03-29,2110,2235,2100,2115,326905,0,2098,2134,2145,2121.833333,2072.833333,48550,SM C&C
2017-03-30,2115,2150,2100,2120,237374,0.002364066,2108,2122,2140.5,2123.833333,2072.458333,48550,SM C&C
2017-03-31,2125,2215,2120,2215,396897,0.044811321,2127,2119.5,2146,2127.75,2072.875,48550,SM C&C
2017-04-03,2215,2225,2170,2210,314919,-0.002257336,2155,2127.5,2152.75,2132.083333,2073.333333,48550,SM C&C
2017-04-04,2215,2220,2155,2185,302827,-0.011312217,2169,2131,2158,2135.666667,2073.5,48550,SM C&C
2017-04-05,2180,2195,2145,2170,238357,-0.006864989,2180,2139,2162.25,2135.75,2073.5,48550,SM C&C
2017-04-06,2170,2170,2100,2140,261252,-0.013824885,2184,2146,2162,2134.666667,2073.333333,48550,SM C&C
2017-04-07,2140,2150,2060,2100,371718,-0.018691589,2161,2144,2155,2133,2072.875,48550,SM C&C
2017-04-10,2100,2115,2075,2080,174433,-0.00952381,2135,2145,2148.5,2131.166667,2072.291667,48550,SM C&C
2017-04-11,2075,2110,2075,2095,61170,0.007211538,2117,2143,2141.5,2129.5,2072.083333,48550,SM C&C
2017-04-12,2090,2100,2025,2065,233757,-0.014319809,2096,2138,2136,2127.25,2071.208333,48550,SM C&C
2017-04-13,2070,2105,2045,2090,204619,0.012106538,2086,2135,2128.5,2125.5,2070.625,48550,SM C&C
2017-04-14,2060,2095,2050,2055,150014,-0.016746411,2077,2119,2119.25,2123.5,2070,48550,SM C&C
2017-04-17,2055,2120,2055,2070,189862,0.00729927,2075,2105,2116.25,2122,2069.833333,48550,SM C&C
2017-04-18,2070,2095,2050,2070,189948,0,2070,2093.5,2112.25,2120.666667,2069.958333,48550,SM C&C
2017-04-19,2070,2095,2050,2095,163029,0.012077295,2076,2086,2112.5,2120.416667,2070.083333,48550,SM C&C
2017-04-20,2100,2115,2075,2090,163281,-0.002386635,2076,2081,2113.5,2120.916667,2070.375,48550,SM C&C
2017-04-21,2110,2130,2070,2085,107088,-0.002392344,2082,2079.5,2111.75,2122.333333,2070.916667,48550,SM C&C
2017-04-24,2090,2090,2055,2070,151607,-0.007194245,2082,2078.5,2111.75,2122.583333,2071.5,48550,SM C&C
2017-04-25,2070,2075,2060,2075,136680,0.002415459,2083,2076.5,2109.75,2121.416667,2072.708333,48550,SM C&C
2017-04-26,2065,2100,2050,2090,230468,0.007228916,2082,2079,2108.5,2120.5,2074.125,48550,SM C&C
2017-04-27,2070,2085,2070,2085,86640,-0.002392344,2081,2078.5,2106.75,2119.916667,2075.083333,48550,SM C&C
2017-04-28,2070,2080,2060,2065,99916,-0.009592326,2077,2079.5,2099.25,2120.333333,2075.75,48550,SM C&C
2017-05-02,2060,2070,2050,2065,209152,0,2076,2079,2092,2121.5,2076.708333,48550,SM C&C
2017-05-04,2080,2100,2055,2090,91451,0.012106538,2079,2081,2087.25,2123,2078.75,48550,SM C&C
2017-05-08,2095,2110,2075,2110,201190,0.009569378,2083,2082.5,2084.25,2124.416667,2079.291667,48550,SM C&C
2017-05-10,2110,2120,2095,2115,139668,0.002369668,2089,2085,2083,2126.333333,2079.583333,48550,SM C&C
2017-05-11,2115,2145,2090,2140,208568,0.011820331,2104,2090.5,2085,2128.666667,2079.5,48550,SM C&C
2017-05-12,2140,2175,2130,2165,289134,0.011682243,2124,2100,2089.25,2131.416667,2080,48550,SM C&C
2017-05-15,2160,2220,2135,2200,403173,0.016166282,2146,2112.5,2094.5,2133.75,2080.666667,48550,SM C&C
2017-05-16,2235,2295,2200,2290,1024266,0.040909091,2182,2132.5,2105.75,2137.166667,2082.041667,48550,SM C&C
2017-05-17,2330,2400,2300,2360,1471382,0.030567686,2231,2160,2119.25,2141.666667,2084.541667,48550,SM C&C
2017-05-18,2370,2420,2320,2370,869154,0.004237288,2277,2190.5,2135,2146.25,2088.416667,48550,SM C&C
2017-05-19,2375,2385,2290,2310,654646,-0.025316456,2306,2215,2147,2149.416667,2091.416667,48550,SM C&C
2017-05-22,2310,2345,2250,2285,526465,-0.010822511,2323,2234.5,2157.75,2153.583333,2094.333333,48550,SM C&C
2017-05-23,2260,2305,2220,2280,681438,-0.002188184,2321,2251.5,2167,2155,2097.375,48550,SM C&C
2017-05-24,2280,2325,2275,2325,350644,0.019736842,2314,2272.5,2178.75,2157.166667,2100.875,48550,SM C&C
2017-05-25,2325,2335,2230,2285,455485,-0.017204301,2297,2287,2188.75,2157,2103.958333,48550,SM C&C
2017-05-26,2285,2360,2250,2335,379548,0.021881838,2302,2304,2202,2157.5,2107.375,48550,SM C&C
2017-05-29,2345,2350,2270,2295,241940,-0.017130621,2304,2313.5,2213,2158.416667,2110.416667,48550,SM C&C
2017-05-30,2280,2310,2255,2260,277974,-0.015250545,2300,2310.5,2221.5,2158.333333,2113.333333,48550,SM C&C
2017-05-31,2260,2290,2240,2260,259026,0,2287,2300.5,2230.25,2159.166667,2116.583333,48550,SM C&C
