Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,170000,170000,166500,168000,5852,-0.008849558,169200,169950,165800,170933.3333,178429.1667,5610,SPC삼립
2017-01-03,168500,168500,160500,160500,25787,-0.044642857,167000,169000,165875,170433.3333,178183.3333,5610,SPC삼립
2017-01-04,162000,162500,159000,162000,29789,0.009345794,165600,168150,166075,170041.6667,177975,5610,SPC삼립
2017-01-05,163500,166000,161500,164000,11182,0.012345679,164800,167350,166500,169608.3333,177800,5610,SPC삼립
2017-01-06,164000,167000,163500,166000,11981,0.012195122,164100,167050,167200,169316.6667,177658.3333,5610,SPC삼립
2017-01-09,166000,166500,161000,161500,13611,-0.027108434,162800,166000,167625,168983.3333,177479.1667,5610,SPC삼립
2017-01-10,159500,161000,158500,161000,14947,-0.003095975,162900,164950,167425,168666.6667,177304.1667,5610,SPC삼립
2017-01-11,159500,161000,154000,154000,29559,-0.043478261,161300,163450,166850,168200,177087.5,5610,SPC삼립
2017-01-12,153000,158500,153000,156500,10115,0.016233766,159800,162300,166200,167816.6667,176875,5610,SPC삼립
2017-01-13,155500,161000,154500,160000,11238,0.022364217,158600,161350,165725,167533.3333,176691.6667,5610,SPC삼립
2017-01-16,158000,162000,157500,161000,19465,0.00625,158500,160650,165300,167283.3333,176412.5,5610,SPC삼립
2017-01-17,161500,162500,159500,161000,8161,0,158500,160700,164850,166991.6667,176179.1667,5610,SPC삼립
2017-01-18,162000,163000,161000,163000,5236,0.01242236,160300,160800,164475,166800,176000,5610,SPC삼립
2017-01-19,163000,164000,160500,161000,12492,-0.012269939,161200,160500,163925,166625,175750,5610,SPC삼립
2017-01-20,162500,172500,162000,170500,35688,0.059006211,163300,160950,164000,166583.3333,175529.1667,5610,SPC삼립
2017-01-23,172500,175000,171000,172000,16228,0.008797654,165500,162000,164000,166558.3333,175362.5,5610,SPC삼립
2017-01-24,171000,173500,170000,172500,10448,0.002906977,167800,163150,164050,166591.6667,175279.1667,5610,SPC삼립
2017-01-25,171000,174500,169500,170000,12936,-0.014492754,169200,164750,164100,166608.3333,175175,5610,SPC삼립
2017-01-26,170500,172000,166000,169500,9141,-0.002941176,170900,166050,164175,166691.6667,175141.6667,5610,SPC삼립
2017-01-31,170000,174000,169500,171000,12971,0.008849558,171000,167150,164250,166683.3333,175133.3333,5610,SPC삼립
2017-02-01,169000,172500,168500,171000,8777,0,170800,168150,164400,166550,175120.8333,5610,SPC삼립
2017-02-02,170000,173500,169500,173000,11765,0.011695906,170900,169350,165025,166475,175091.6667,5610,SPC삼립
2017-02-03,176000,181000,173500,178000,27115,0.028901734,172500,170850,165825,166466.6667,175125,5610,SPC삼립
