종목이름,종목코드,테마이름
액토즈소프트,52790,게임
네오위즈홀딩스,42420,게임
컴투스,78340,게임
더블유게임즈,192080,게임
웹젠,69080,게임
위메이드,112040,게임
네오위즈,95660,게임
조이시티,67000,게임
게임빌,63080,게임
넵튠,217270,게임
선데이토즈,123420,게임
데브시스터즈,194480,게임
미스터블루,207760,게임
넥슨지티,41140,게임
다날,64260,게임
게임테마,123456,게임
유한양행,100,겨울
한국가스공사,36460,겨울
한미약품,128940,겨울
영원무역,111770,겨울
녹십자,6280,겨울
SPC삼립,5610,겨울
동화약품,20,겨울
대성홀딩스,16710,겨울
지역난방공사,71320,겨울
광동제약,9290,겨울
삼천리,4690,겨울
겨울테마,234567,겨울
제주항공,89590,항공여행
티웨이홀딩스,4870,항공여행
AK홀딩스,6840,항공여행
대한항공,3490,항공여행
한진칼,180640,항공여행
아시아나항공,20560,항공여행
참좋은여행,94850,항공여행
모두투어,80160,항공여행
레드캡투어,38390,항공여행
하나투어,39130,항공여행
인터파크,35080,항공여행
SM C&C,48550,항공여행
항공여행테마,345678,항공여행
디에이테크놀로지,196490,자율주행차
팅크웨어,84730,자율주행차
켐트로닉스,89010,자율주행차
텔레칩스,54450,자율주행차
유니퀘스트,77500,자율주행차
한라홀딩스,60980,자율주행차
한국단자,25540,자율주행차
하이비젼시스템,126700,자율주행차
옵트론텍,82210,자율주행차
캠시스,50110,자율주행차
에이스테크,88800,자율주행차
엠씨넥스,97520,자율주행차
자율주행차테마,456789,자율주행차
싸이맥스,160980,인공지능
로보스타,90360,인공지능
에스티큐브,52020,인공지능
한화에어로스페이스,12450,인공지능
미래컴퍼니,49950,인공지능
큐렉소,60280,인공지능
네패스,33640,인공지능
고영,98460,인공지능
우리기술,32820,인공지능
인공지능테마,567890,인공지능
