Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,테마명
2017-01-02,81776,82206,79754,80348,60513,-0.01016741,83587.69091,83401.68182,82575.25455,86298.60303,98584.74015,234567,겨울
2017-01-03,80936,81494,79041,79557,86879,-0.009650225,82542.69091,83053.38182,82439.61364,86005.69848,98243.66894,234567,겨울
2017-01-04,79955,80911,79042,80341,96354,0.002400097,81641.09091,82776.81818,82330.45,85742.42727,97917.4303,234567,겨울
2017-01-05,80672,81873,79941,80925,98728,0.004196218,80723.23636,82521.27273,82431.00909,85476.88636,97604.45379,234567,겨울
2017-01-06,80497,81016,79728,80441,54312,-0.004062374,80322.81818,82309.68182,82517.62727,85242.97121,97293.44318,234567,겨울
2017-01-09,80544,80860,78729,79177,58131,-0.010941216,80088.78182,81838.23636,82496.59545,85015.15152,96978.2447,234567,겨울
2017-01-10,78865,79491,77982,78788,77005,-0.005510152,79934.96364,81238.82727,82360.95455,84796.29697,96664.49773,234567,겨울
2017-01-11,78691,79747,77818,78450,62787,-0.001975148,79556.83636,80598.96364,82125.24091,84579.84242,96346.76742,234567,겨울
2017-01-12,78359,79115,77333,78138,68848,-0.003193376,78999.41818,79861.32727,81875.21818,84354.12576,96026.66288,234567,겨울
2017-01-13,78048,80525,77668,79608,66717,0.009546817,78832.92727,79577.87273,81653.86818,84164.66212,95728.85455,234567,겨울
2017-01-16,79766,80369,78411,79303,50248,-0.00382419,78858.10909,79473.44545,81437.56364,83953.44394,95422.28864,234567,겨울
2017-01-17,79448,79934,78627,79012,61602,-0.001514833,78902.89091,79418.92727,81236.15455,83728.57424,95128.66288,234567,겨울
2017-01-18,79086,80081,78643,79330,45347,0.004783443,79078.87273,79317.85455,81047.33636,83542.60303,94828.76591,234567,겨울
2017-01-19,79340,79726,78260,78609,51295,-0.008606554,79172.96364,79086.19091,80803.73182,83356.52424,94548.32045,234567,겨울
2017-01-20,78708,81117,78384,80023,53315,0.008028949,79255.90909,79044.41818,80677.05,83179.58182,94263.61364,234567,겨울
2017-01-23,80251,80729,79270,79618,67104,-0.002187023,79318.89091,79088.5,80463.36818,83059.6803,93988.65379,234567,겨울
2017-01-24,79406,79893,78259,78863,72604,-0.007548139,79289,79095.94545,80167.38636,82956.42121,93742.52652,234567,겨울
2017-01-25,78741,79496,77434,77793,68730,-0.013188081,78981.56364,79030.21818,79814.59091,82847.8697,93484.09015,234567,겨울
2017-01-26,77868,78641,76807,77918,59123,0.003097696,78843.54545,79008.25455,79434.79091,82787.70303,93238.84242,234567,겨울
2017-01-31,77932,79176,77414,78072,47567,-0.000366922,78453.36364,78854.63636,79216.25455,82684.61515,92982.17348,234567,겨울
2017-02-01,78378,80206,77854,79832,55865,0.013835596,78496.12727,78907.50909,79190.47727,82580.89545,92743.5,234567,겨울
2017-02-02,79693,80369,78795,79430,62733,-0.004562508,78609.61818,78949.30909,79184.11818,82475.66818,92485.05379,234567,겨울
2017-02-03,79944,80581,78585,79437,57633,-0.004022677,78938.34545,78959.95455,79138.90455,82345.57879,92225.95455,234567,겨울
2017-02-06,79736,80989,78816,79905,76584,0.006784551,79335.58182,79089.56364,79087.87727,82261.47576,91949.67121,234567,겨울
2017-02-07,79696,81612,79419,81270,84673,0.01324193,79975.05455,79214.20909,79129.31364,82103.67424,91684.51667,234567,겨울
2017-02-08,80986,81795,79862,81358,72421,-0.003275082,80280.27273,79388.2,79238.35,81975.13788,91407.59848,234567,겨울
2017-02-09,81352,82033,80502,80916,67632,2.30E-05,80577.38182,79593.5,79344.72273,81826.04242,91140.01667,234567,겨울
2017-02-10,81482,82456,80749,81885,109587,0.007661995,81067.10909,80002.72727,79516.47273,81706.6697,90892.30379,234567,겨울
2017-02-13,82269,83508,81844,83105,114773,0.016570561,81707.25455,80521.41818,79764.83636,81606.78939,90666.10379,234567,겨울
2017-02-14,82737,83797,81955,83513,75254,0.002969409,82155.89091,81065.47273,79960.05455,81527.43485,90448.14924,234567,겨울
2017-02-15,83762,86413,82978,85985,120880,0.021776757,83081.21818,81680.74545,80294.12727,81520.64848,90261.05606,234567,겨울
2017-02-16,86307,86703,84188,85188,70833,-0.008615715,83935.61818,82256.5,80602.90455,81528.43182,90044.14167,234567,겨울
2017-02-17,84921,86797,84496,86145,88067,0.008186135,84787.6,82927.35455,80943.65455,81550.62121,89835.13258,234567,겨울
2017-02-20,86333,86712,84696,85474,50448,-0.00428552,85261.41818,83484.33636,81286.95,81600.41061,89616.73106,234567,겨울
2017-02-21,85151,86376,84814,85781,48859,0.006910749,85715.05455,83935.47273,81574.84091,81652.63333,89394.17576,234567,겨울
2017-02-22,86049,86560,85047,85450,63743,-0.002751503,85608.16364,84344.69091,81866.44545,81676.74697,89180.28788,234567,겨울
2017-02-23,85795,86983,84923,86039,78318,0.005557125,85778.54545,84857.08182,82225.29091,81708.87879,88972.41061,234567,겨울
2017-02-24,86276,88487,86015,88144,73964,0.01347139,86178.30909,85482.95455,82742.84091,81761.92727,88796.31591,234567,겨울
2017-02-27,88642,90488,88075,89382,122057,0.011253359,86959.83636,86110.62727,83316.02273,81835.87424,88631.51515,234567,겨울
2017-02-28,90081,90200,87290,89183,97382,-0.001018014,87640.29091,86677.67273,83871.57273,81930.61061,88465.11591,234567,겨울
2017-03-02,89521,89778,86488,87137,74715,-0.013764926,87977.56364,86792.86364,84236.80455,82000.84545,88275.39545,234567,겨울
2017-03-03,86850,87263,85036,86136,54664,-0.008911983,87996.87273,86887.70909,84572.10455,82065.27879,88087.63333,234567,겨울
2017-03-06,85585,86939,84852,85842,95963,0.000212359,87536.54545,86857.42727,84892.39091,82120.58182,87913.43258,234567,겨울
2017-03-07,85872,86860,84925,86468,70713,0.00506535,86953.63636,86956.73636,85220.53636,82246.47424,87747.57803,234567,겨울
2017-03-08,86609,87542,85201,85929,104417,0.00293159,86302.81818,86971.55455,85453.51364,82366.81818,87593.09015,234567,겨울
2017-03-09,85931,86985,85240,85851,93595,-0.001439829,86045.61818,87011.59091,85678.14091,82471.02879,87439.71136,234567,겨울
2017-03-10,86014,87267,85148,86453,89198,0.002736399,86109.07273,87052.97273,85955.02727,82553.56818,87287.22273,234567,겨울
2017-03-13,86713,87381,85665,86585,54511,-0.000970997,86257.65455,86897.1,86190.02727,82610.5803,87125.2197,234567,겨울
2017-03-14,86712,87451,85510,86209,73080,-0.008084744,86205.90909,86579.77273,86345.2,82661.75152,86928.65076,234567,겨울
2017-03-15,86414,87310,85063,86110,89112,-0.002132424,86242.12727,86272.47273,86475.07273,82696.33182,86720.56136,234567,겨울
2017-03-16,86531,87073,85460,85976,60220,0.002574266,86267.18182,86156.4,86474.63182,82735.44091,86499.85758,234567,겨울
2017-03-17,86429,87067,85602,86239,68518,0.003655886,86224.36364,86166.71818,86527.21364,82788.75758,86269.70758,234567,겨울
2017-03-20,86231,86814,85092,86194,43584,-0.001499228,86146.16364,86201.90909,86529.66818,82840.2197,86039.78636,234567,겨울
2017-03-21,86421,87001,84943,85866,102178,-0.006348444,86077.58182,86141.74545,86549.24091,82879.97424,85800.84621,234567,겨울
2017-03-22,85747,86968,84853,86187,70243,0.003433835,86092.92727,86167.52727,86569.54091,82940.47727,85566.3553,234567,겨울
2017-03-23,86665,87372,85331,86421,47514,0.001181847,86181.85455,86224.51818,86618.05455,82982.62273,85329.35152,234567,겨울
2017-03-24,86642,87717,86116,87319,58995,0.004392299,86397.76364,86311.06364,86682.01818,83024.89848,85185.95455,234567,겨울
2017-03-27,87111,89387,86656,88613,74324,0.014981959,86881.4,86513.78182,86705.44091,83087.62424,85079.38561,234567,겨울
