Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,11250,11300,11150,11150,41889,-0.017621145,11310,11275,11152.5,11088.33333,12293.75,95660,네오위즈
2017-01-03,11200,11550,11200,11550,101699,0.035874439,11360,11290,11215,11075.83333,12270.83333,95660,네오위즈
2017-01-04,11550,11600,11350,11550,61717,0,11410,11320,11272.5,11065,12245.41667,95660,네오위즈
2017-01-05,11600,11850,11500,11650,115268,0.008658009,11450,11365,11325,11053.33333,12215.83333,95660,네오위즈
2017-01-06,11650,11800,11500,11600,57021,-0.004291845,11500,11415,11360,11045.83333,12188.75,95660,네오위즈
2017-01-09,11550,11600,11250,11250,72886,-0.030172414,11520,11415,11365,11038.33333,12161.25,95660,네오위즈
2017-01-10,11250,11300,10850,10850,135491,-0.035555556,11380,11370,11345,11033.33333,12129.58333,95660,네오위즈
2017-01-11,10750,10850,10600,10700,135495,-0.013824885,11210,11310,11315,11027.5,12096.66667,95660,네오위즈
2017-01-12,10700,10750,10550,10650,91322,-0.004672897,11010,11230,11277.5,11020.83333,12065.83333,95660,네오위즈
2017-01-13,10650,10900,10650,10800,54806,0.014084507,10850,11175,11245,11013.33333,12037.08333,95660,네오위즈
2017-01-16,10900,10950,10600,10700,61038,-0.009259259,10740,11130,11202.5,11006.66667,12004.58333,95660,네오위즈
2017-01-17,10650,10850,10650,10650,40787,-0.004672897,10700,11040,11165,11000,11977.5,95660,네오위즈
2017-01-18,10600,10700,10550,10700,35526,0.004694836,10700,10955,11137.5,10994.16667,11947.5,95660,네오위즈
2017-01-19,10750,10850,10600,10650,70554,-0.004672897,10700,10855,11110,10990,11917.91667,95660,네오위즈
2017-01-20,10650,10750,10550,10650,43421,0,10670,10760,11087.5,10981.66667,11887.5,95660,네오위즈
2017-01-23,10450,10700,10350,10400,111295,-0.023474178,10610,10675,11045,10969.16667,11857.08333,95660,네오위즈
2017-01-24,10450,10600,10450,10550,57019,0.014423077,10590,10645,11007.5,10965,11828.33333,95660,네오위즈
2017-01-25,10500,10650,10500,10650,53195,0.009478673,10580,10640,10975,10960,11802.08333,95660,네오위즈
2017-01-26,10650,10700,10500,10600,32388,-0.004694836,10570,10635,10932.5,10961.66667,11775,95660,네오위즈
2017-01-31,10550,10800,10550,10700,55017,0.009433962,10580,10625,10900,10965,11747.91667,95660,네오위즈
2017-02-01,10700,11250,10700,11200,145571,0.046728972,10740,10675,10902.5,10974.16667,11726.66667,95660,네오위즈
2017-02-02,11250,11250,10950,11150,81796,-0.004464286,10860,10725,10882.5,10975.83333,11706.66667,95660,네오위즈
2017-02-03,11150,11200,10750,10850,38118,-0.02690583,10900,10740,10847.5,10974.16667,11682.08333,95660,네오위즈
2017-02-06,10850,11050,10800,10800,65401,-0.004608295,10940,10755,10805,10977.5,11657.5,95660,네오위즈
2017-02-07,10900,11100,10850,11000,58196,0.018518519,11000,10790,10775,10978.33333,11634.58333,95660,네오위즈
2017-02-08,11100,11100,10850,10850,44407,-0.013636364,10930,10835,10755,10977.5,11609.16667,95660,네오위즈
2017-02-09,10850,11100,10800,10900,92966,0.004608295,10880,10870,10757.5,10979.16667,11583.33333,95660,네오위즈
2017-02-10,11050,11500,11000,11400,212097,0.04587156,10990,10945,10792.5,10989.16667,11562.08333,95660,네오위즈
2017-02-13,11450,11450,11100,11200,231986,-0.01754386,11070,11005,10820,10988.33333,11538.33333,95660,네오위즈
2017-02-14,11200,11200,10900,10900,137653,-0.026785714,11050,11025,10825,10985,11512.91667,95660,네오위즈
2017-02-15,10900,11000,10800,11000,107289,0.009174312,11080,11005,10840,10980,11491.25,95660,네오위즈
2017-02-16,11050,11100,10850,10950,76119,-0.004545455,11090,10985,10855,10982.5,11471.25,95660,네오위즈
2017-02-17,11000,11150,10900,10950,87264,0,11000,10995,10867.5,10983.33333,11451.25,95660,네오위즈
2017-02-20,11000,11150,10900,11000,127062,0.00456621,10960,11015,10885,10985,11431.25,95660,네오위즈
2017-02-21,11000,11200,10950,11200,94881,0.018181818,11020,11035,10912.5,10995.83333,11414.58333,95660,네오위즈
2017-02-22,11250,11600,11250,11550,301029,0.03125,11130,11105,10970,11006.66667,11406.25,95660,네오위즈
2017-02-23,11650,11700,11150,11150,169142,-0.034632035,11170,11130,11000,11016.66667,11391.66667,95660,네오위즈
2017-02-24,11150,11550,11100,11550,171086,0.035874439,11290,11145,11045,11027.5,11381.25,95660,네오위즈
2017-02-27,11500,11600,11350,11450,86947,-0.008658009,11380,11170,11087.5,11036.66667,11368.75,95660,네오위즈
2017-02-28,11500,12100,11400,11900,468548,0.03930131,11520,11270,11147.5,11055.83333,11359.16667,95660,네오위즈
2017-03-02,12000,12000,11600,11650,229824,-0.021008403,11540,11335,11170,11075,11347.08333,95660,네오위즈
2017-03-03,11600,11750,11200,11300,145190,-0.030042918,11570,11370,11177.5,11091.66667,11332.08333,95660,네오위즈
2017-03-06,11250,11550,11200,11400,95660,0.008849558,11540,11415,11205,11108.33333,11320.83333,95660,네오위즈
2017-03-07,11300,11350,11050,11250,109811,-0.013157895,11500,11440,11227.5,11119.16667,11307.08333,95660,네오위즈
2017-03-08,11300,11500,11250,11350,100224,0.008888889,11390,11455,11245,11126.66667,11293.33333,95660,네오위즈
2017-03-09,11350,11700,11350,11550,173976,0.017621145,11370,11455,11280,11133.33333,11285,95660,네오위즈
2017-03-10,11500,11600,11150,11500,138289,-0.004329004,11410,11490,11310,11137.5,11271.66667,95660,네오위즈
2017-03-13,11600,11600,11300,11550,71253,0.004347826,11440,11490,11317.5,11141.66667,11260.83333,95660,네오위즈
2017-03-14,11500,11500,11300,11400,108415,-0.012987013,11470,11485,11327.5,11141.66667,11248.33333,95660,네오위즈
2017-03-15,11450,11450,11300,11400,63319,0,11480,11435,11352.5,11140.83333,11234.58333,95660,네오위즈
2017-03-16,11400,11600,11350,11400,76615,0,11450,11410,11372.5,11138.33333,11219.58333,95660,네오위즈
2017-03-17,11450,11800,11350,11700,192941,0.026315789,11490,11450,11410,11143.33333,11207.91667,95660,네오위즈
2017-03-20,11750,12000,11500,11850,198189,0.012820513,11550,11495,11455,11153.33333,11196.25,95660,네오위즈
2017-03-21,11900,12150,11750,11850,159717,0,11640,11555,11497.5,11164.16667,11186.66667,95660,네오위즈
2017-03-22,11650,11850,11600,11800,96879,-0.004219409,11720,11600,11527.5,11175.83333,11180,95660,네오위즈
2017-03-23,11900,11900,11550,11600,80129,-0.016949153,11760,11605,11530,11181.66667,11171.66667,95660,네오위즈
2017-03-24,11700,11750,11600,11700,49619,0.00862069,11760,11625,11557.5,11188.33333,11169.16667,95660,네오위즈
2017-03-27,11700,11900,11550,11650,77899,-0.004273504,11720,11635,11562.5,11194.16667,11164.58333,95660,네오위즈
