Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,16500,16600,16250,16250,12320,-0.015151515,16490,16410,16250,15936.66667,15612.91667,42420,네오위즈홀딩스
2017-01-03,16450,16450,16150,16350,15361,0.006153846,16470,16415,16285,15935.83333,15627.91667,42420,네오위즈홀딩스
2017-01-04,16250,16400,15600,16350,45945,0,16410,16420,16315,15934.16667,15642.5,42420,네오위즈홀딩스
2017-01-05,16350,16600,16200,16600,19448,0.01529052,16410,16450,16355,15937.5,15657.5,42420,네오위즈홀딩스
2017-01-06,16600,16650,16450,16600,8159,0,16430,16475,16392.5,15939.16667,15673.75,42420,네오위즈홀딩스
2017-01-09,16700,16900,16650,16750,14989,0.009036145,16530,16510,16425,15945,15692.08333,42420,네오위즈홀딩스
2017-01-10,16750,16750,16200,16500,34331,-0.014925373,16560,16515,16432.5,15946.66667,15707.08333,42420,네오위즈홀딩스
2017-01-11,16500,16600,16350,16550,12058,0.003030303,16600,16505,16442.5,15950,15722.91667,42420,네오위즈홀딩스
2017-01-12,16600,16600,16250,16550,11172,0,16590,16500,16450,15956.66667,15740.83333,42420,네오위즈홀딩스
2017-01-13,16550,16600,16200,16400,15001,-0.009063444,16550,16490,16452.5,15962.5,15758.75,42420,네오위즈홀딩스
2017-01-16,16400,16400,15950,15950,17187,-0.027439024,16390,16460,16435,15961.66667,15770,42420,네오위즈홀딩스
2017-01-17,16000,16100,15850,16050,15089,0.006269592,16300,16430,16422.5,15964.16667,15784.58333,42420,네오위즈홀딩스
2017-01-18,16150,16200,15950,16150,7922,0.00623053,16220,16410,16415,15965.83333,15800.41667,42420,네오위즈홀딩스
2017-01-19,16000,16200,15800,16100,14014,-0.003095975,16130,16360,16405,15969.16667,15815.41667,42420,네오위즈홀딩스
2017-01-20,16150,16150,15750,16050,14528,-0.00310559,16060,16305,16390,15971.66667,15829.58333,42420,네오위즈홀딩스
2017-01-23,15850,16050,15700,16000,34541,-0.003115265,16070,16230,16370,15974.16667,15842.91667,42420,네오위즈홀딩스
2017-01-24,16000,16100,15850,15900,12607,-0.00625,16040,16170,16342.5,15976.66667,15855,42420,네오위즈홀딩스
2017-01-25,16050,16050,15750,15900,15511,0,15990,16105,16305,15984.16667,15867.5,42420,네오위즈홀딩스
2017-01-26,16000,16100,15800,16050,10043,0.009433962,15980,16055,16277.5,16000.83333,15881.25,42420,네오위즈홀딩스
