Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,8500,8680,8370,8500,119188,0,8658,8608,8217.5,8028.166667,8461.083333,41140,넥슨지티
2017-01-03,8510,8720,8510,8720,159719,0.025882353,8650,8605,8280.5,8036.833333,8446.666667,41140,넥슨지티
2017-01-04,8720,8820,8630,8710,99691,-0.001146789,8630,8621,8341.5,8040.666667,8432.166667,41140,넥슨지티
2017-01-05,8740,8750,8600,8630,107118,-0.009184845,8612,8635,8398,8043.333333,8413.666667,41140,넥슨지티
2017-01-06,8590,8700,8520,8650,128439,0.002317497,8642,8667,8452,8050.333333,8395.75,41140,넥슨지티
2017-01-09,8670,8670,8470,8490,123870,-0.01849711,8640,8649,8494,8053.166667,8380.666667,41140,넥슨지티
2017-01-10,8450,8520,8180,8190,217256,-0.035335689,8534,8592,8515.5,8051.666667,8364.75,41140,넥슨지티
2017-01-11,8300,8340,8120,8340,146152,0.018315018,8460,8545,8525,8051,8348.416667,41140,넥슨지티
2017-01-12,8290,8380,8220,8240,86674,-0.011990408,8382,8497,8529,8049.666667,8333.333333,41140,넥슨지티
2017-01-13,8240,8420,8170,8390,109513,0.018203883,8330,8486,8530.5,8051.833333,8318.25,41140,넥슨지티
2017-01-16,8430,8890,8370,8890,476120,0.059594756,8410,8525,8566.5,8063.833333,8304.833333,41140,넥슨지티
2017-01-17,8970,9030,8710,8760,295290,-0.014623172,8524,8529,8567,8073.666667,8292.416667,41140,넥슨지티
2017-01-18,8720,9080,8720,9000,311649,0.02739726,8656,8558,8589.5,8089.333333,8282,41140,넥슨지티
2017-01-19,9000,9200,8990,9020,315663,0.002222222,8812,8597,8616,8104.666667,8270.5,41140,넥슨지티
2017-01-20,9000,9090,8780,8880,236852,-0.015521064,8910,8620,8643.5,8114.666667,8259.916667,41140,넥슨지티
2017-01-23,9040,9650,9020,9490,1419172,0.068693694,9030,8720,8684.5,8137.833333,8255.666667,41140,넥슨지티
2017-01-24,9360,9440,8950,9000,573198,-0.051633298,9078,8801,8696.5,8154.333333,8254.5,41140,넥슨지티
2017-01-25,9040,9190,8890,9130,253108,0.014444444,9104,8880,8712.5,8174.5,8255.5,41140,넥슨지티
2017-01-26,9160,9450,8960,9060,247678,-0.007667032,9112,8962,8729.5,8202.666667,8255.583333,41140,넥슨지티
2017-01-31,9080,9130,8820,9010,207282,-0.005518764,9138,9024,8755,8229.5,8255.666667,41140,넥슨지티
2017-02-01,8970,9210,8970,9050,152620,0.004439512,9050,9040,8782.5,8254,8261.25,41140,넥슨지티
