Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,157500,158000,154000,156000,12140,-0.006369427,157200,155800,151975,151116.6667,165162.5,6280,녹십자
2017-01-03,157500,157500,154500,155500,25213,-0.003205128,157200,156000,152650,150850,164887.5,6280,녹십자
2017-01-04,155500,158000,154500,157000,37624,0.009646302,157100,156200,153350,150633.3333,164633.3333,6280,녹십자
2017-01-05,157500,162000,157000,161000,63428,0.025477707,157300,156700,154425,150475,164404.1667,6280,녹십자
2017-01-06,160000,160000,158000,159000,19992,-0.01242236,157700,157250,155300,150400,164191.6667,6280,녹십자
2017-01-09,159500,160000,153000,154500,36571,-0.028301887,157400,157300,155875,150375,163975,6280,녹십자
2017-01-10,153500,153500,151000,151500,32687,-0.019417476,156600,156900,156100,150325,163725,6280,녹십자
2017-01-11,151000,152500,150500,152000,30547,0.00330033,155600,156350,155975,150308.3333,163487.5,6280,녹십자
2017-01-12,150000,151000,146000,147000,71792,-0.032894737,152800,155050,155500,150158.3333,163204.1667,6280,녹십자
2017-01-13,146500,151500,146000,149500,50182,0.017006803,150900,154300,155075,150125,162929.1667,6280,녹십자
2017-01-16,151000,151000,147000,147500,27721,-0.013377926,149500,153450,154625,150050,162641.6667,6280,녹십자
2017-01-17,148000,148500,147500,148000,12806,0.003389831,148800,152700,154350,150000,162366.6667,6280,녹십자
2017-01-18,148000,150500,147000,148000,24035,0,148000,151800,154000,150033.3333,162091.6667,6280,녹십자
2017-01-19,147500,148000,145000,146000,25545,-0.013513514,147800,150300,153500,150041.6667,161854.1667,6280,녹십자
2017-01-20,145000,148500,144500,145000,20295,-0.006849315,146900,148900,153075,149991.6667,161595.8333,6280,녹십자
2017-01-23,145500,145500,143500,144500,10384,-0.003448276,146300,147900,152600,149983.3333,161341.6667,6280,녹십자
2017-01-24,143500,144000,140000,141000,55648,-0.024221453,144900,146850,151875,150008.3333,161104.1667,6280,녹십자
2017-01-25,141000,142000,137000,138000,35772,-0.021276596,142900,145450,150900,149950,160841.6667,6280,녹십자
2017-01-26,137500,140500,137500,139000,24685,0.007246377,141500,144650,149850,150033.3333,160575,6280,녹십자
2017-01-31,139000,140500,137000,138000,29589,-0.007194245,140100,143500,148900,149983.3333,160304.1667,6280,녹십자
2017-02-01,138500,145000,138000,144500,33475,0.047101449,140100,143200,148325,149966.6667,160070.8333,6280,녹십자
2017-02-02,143000,144500,142000,142000,16745,-0.017301038,140300,142600,147650,149891.6667,159775,6280,녹십자
2017-02-03,144000,144000,141500,142500,15329,0.003521127,141200,142050,146925,149775,159491.6667,6280,녹십자
2017-02-06,143500,143500,139000,140500,27960,-0.014035088,141500,141500,145900,149650,159170.8333,6280,녹십자
2017-02-07,140000,142500,138500,142500,25275,0.014234875,142400,141250,145075,149291.6667,158854.1667,6280,녹십자
2017-02-08,142000,143500,139500,143000,28641,0.003508772,142100,141100,144500,149008.3333,158541.6667,6280,녹십자
2017-02-09,142500,143000,140000,140500,21375,-0.017482517,141800,141050,143950,148683.3333,158208.3333,6280,녹십자
2017-02-10,141000,142000,140000,141000,15211,0.003558719,141500,141350,143400,148366.6667,157883.3333,6280,녹십자
2017-02-13,141500,143500,141000,142000,23728,0.007092199,141800,141650,143150,148091.6667,157587.5,6280,녹십자
2017-02-14,141000,143000,140000,143000,15558,0.007042254,141900,142150,142825,147891.6667,157291.6667,6280,녹십자
2017-02-15,143500,149000,141500,147000,63087,0.027972028,142700,142400,142800,147766.6667,157041.6667,6280,녹십자
2017-02-16,147000,147500,144000,147000,24092,0,144000,142900,142750,147700,156762.5,6280,녹십자
2017-02-17,147000,149000,145000,147000,25728,0,145200,143350,142700,147633.3333,156483.3333,6280,녹십자
2017-02-20,148000,149500,146000,147500,22410,0.003401361,146300,144050,142775,147758.3333,156208.3333,6280,녹십자
2017-02-21,147000,148500,145500,147000,23718,-0.003389831,147100,144500,142875,147900,155937.5,6280,녹십자
2017-02-22,147000,148000,146000,146000,17231,-0.006802721,146900,144800,142950,148000,155704.1667,6280,녹십자
2017-02-23,146500,150500,146000,149500,56388,0.023972603,147400,145700,143375,148158.3333,155483.3333,6280,녹십자
2017-02-24,149500,153000,149000,152500,40560,0.02006689,148500,146850,144100,148316.6667,155295.8333,6280,녹십자
2017-02-27,152500,155000,152000,153500,42180,0.006557377,149700,148000,144825,148433.3333,155116.6667,6280,녹십자
2017-02-28,154500,154500,149000,151500,31490,-0.013029316,150600,148850,145500,148558.3333,154908.3333,6280,녹십자
2017-03-02,153000,153000,147500,148000,33433,-0.02310231,151000,148950,145675,148658.3333,154641.6667,6280,녹십자
2017-03-03,148500,150000,147000,149500,22186,0.010135135,151000,149200,146050,148783.3333,154400,6280,녹십자
2017-03-06,149000,151500,149000,149000,30438,-0.003344482,150300,149400,146375,148883.3333,154162.5,6280,녹십자
2017-03-07,150000,150500,149000,149500,16948,0.003355705,149500,149600,146825,149050,153920.8333,6280,녹십자
2017-03-08,149500,151000,148500,149500,23966,0,149100,149850,147175,149183.3333,153691.6667,6280,녹십자
2017-03-09,150500,152500,150000,150500,32815,0.006688963,149600,150300,147550,149308.3333,153466.6667,6280,녹십자
2017-03-10,149500,155000,149500,154500,46538,0.026578073,150600,150800,148250,149433.3333,153287.5,6280,녹십자
2017-03-13,154500,155000,152000,155000,33672,0.003236246,151800,151050,148950,149441.6667,153116.6667,6280,녹십자
2017-03-14,153500,154500,151000,151500,28825,-0.022580645,152200,150850,149425,149358.3333,152858.3333,6280,녹십자
2017-03-15,152000,153000,150000,152500,36216,0.00660066,152800,150950,149900,149266.6667,152591.6667,6280,녹십자
2017-03-16,153500,154500,152000,154000,28794,0.009836066,153500,151550,150250,149225,152350,6280,녹십자
2017-03-17,154000,155000,153000,154000,25098,0,153400,152000,150600,149233.3333,152091.6667,6280,녹십자
2017-03-20,154000,155500,152500,155000,23257,0.006493506,153400,152600,151000,149233.3333,151837.5,6280,녹십자
2017-03-21,156000,157500,153500,155500,28855,0.003225806,154200,153200,151400,149225,151575,6280,녹십자
2017-03-22,156000,156000,152500,152500,22081,-0.019292605,154200,153500,151675,149208.3333,151287.5,6280,녹십자
2017-03-23,153500,154000,150500,151000,27563,-0.009836066,153600,153550,151925,149158.3333,150991.6667,6280,녹십자
2017-03-24,151500,153000,150500,152500,21570,0.009933775,153300,153350,152075,149108.3333,150750,6280,녹십자
2017-03-27,150500,159500,150500,157500,61147,0.032786885,153800,153600,152325,149108.3333,150545.8333,6280,녹십자
2017-03-28,156500,159000,156000,158500,30010,0.006349206,154400,154300,152575,149083.3333,150362.5,6280,녹십자
2017-03-29,158000,158500,155000,158000,22601,-0.003154574,155500,154850,152900,149100,150225,6280,녹십자
2017-03-30,159000,160000,157000,158000,13036,0,156900,155250,153400,149133.3333,150125,6280,녹십자
2017-03-31,157000,160000,157000,158500,15699,0.003164557,158100,155700,153850,149183.3333,150016.6667,6280,녹십자
2017-04-03,158500,162000,157500,162000,45198,0.022082019,159000,156400,154500,149266.6667,149950,6280,녹십자
2017-04-04,162000,164000,161000,163500,35687,0.009259259,160000,157200,155200,149308.3333,149891.6667,6280,녹십자
2017-04-05,164000,165500,160500,162000,36714,-0.009174312,160800,158150,155825,149358.3333,149879.1667,6280,녹십자
2017-04-06,161500,164000,159500,163500,27451,0.009259259,161900,159400,156475,149508.3333,149941.6667,6280,녹십자
2017-04-07,163500,164500,161000,161500,19582,-0.012232416,162500,160300,156825,149675,150000,6280,녹십자
2017-04-10,160500,160500,158000,158000,20144,-0.021671827,161700,160350,156975,149775,150041.6667,6280,녹십자
2017-04-11,157500,161500,155500,158000,29589,0,160600,160300,157300,149958.3333,150058.3333,6280,녹십자
2017-04-12,157000,158000,152500,154000,35605,-0.025316456,159000,159900,157375,150033.3333,150079.1667,6280,녹십자
2017-04-13,153500,157000,153500,157000,26408,0.019480519,157700,159800,157525,150191.6667,150120.8333,6280,녹십자
2017-04-14,155000,158000,155000,156500,11950,-0.003184713,156700,159600,157650,150333.3333,150166.6667,6280,녹십자
2017-04-17,156500,158000,156500,158000,9529,0.009584665,156700,159200,157800,150500,150266.6667,6280,녹십자
2017-04-18,159500,162000,156500,161000,28077,0.018987342,157300,158950,158075,150750,150395.8333,6280,녹십자
2017-04-19,160500,161500,159000,161000,15856,0,158700,158850,158500,151016.6667,150504.1667,6280,녹십자
2017-04-20,161500,164000,160000,163500,30273,0.01552795,160000,158850,159125,151333.3333,150658.3333,6280,녹십자
2017-04-21,164000,164500,162500,164000,17859,0.003058104,161500,159100,159700,151716.6667,150862.5,6280,녹십자
2017-04-24,164000,164000,160500,162500,20364,-0.009146341,162400,159550,159950,152125,151037.5,6280,녹십자
2017-04-25,162500,164000,161500,163500,19648,0.006153846,162900,160100,160200,152533.3333,151283.3333,6280,녹십자
2017-04-26,164000,164000,160500,162000,19331,-0.009174312,163100,160900,160400,152933.3333,151458.3333,6280,녹십자
2017-04-27,161000,164500,160000,164500,26836,0.015432099,163300,161650,160725,153266.6667,151616.6667,6280,녹십자
2017-04-28,163000,164500,162000,164000,20844,-0.003039514,163300,162400,161000,153633.3333,151762.5,6280,녹십자
2017-05-02,164000,166000,160500,165000,28303,0.006097561,163800,163100,161150,154008.3333,151891.6667,6280,녹십자
2017-05-04,163500,166000,163500,166000,22687,0.006060606,164300,163600,161275,154433.3333,152041.6667,6280,녹십자
2017-05-08,166000,171000,166000,170000,65491,0.024096386,165900,164500,161675,154891.6667,152091.6667,6280,녹십자
2017-05-10,171000,173000,168000,170500,38752,0.002941176,167100,165200,162025,155350,152179.1667,6280,녹십자
2017-05-11,169500,176500,169500,176000,60855,0.032258065,169500,166400,162750,155941.6667,152312.5,6280,녹십자
2017-05-12,176000,176000,173000,175000,23971,-0.005681818,171500,167650,163600,156508.3333,152437.5,6280,녹십자
2017-05-15,175000,175000,172500,174500,13154,-0.002857143,173200,168750,164425,157050,152570.8333,6280,녹십자
2017-05-16,175000,175500,171000,173500,23047,-0.005730659,173900,169900,165400,157558.3333,152725,6280,녹십자
2017-05-17,171500,176000,171000,175000,21896,0.008645533,174800,170950,166300,158025,152895.8333,6280,녹십자
2017-05-18,173000,175000,171000,171000,18434,-0.022857143,173800,171650,167025,158425,153062.5,6280,녹십자
2017-05-19,171500,174000,171000,171000,13688,0,173000,172250,167675,158825,153229.1667,6280,녹십자
2017-05-22,170500,172500,170500,172500,15730,0.00877193,172600,172900,168250,159241.6667,153500,6280,녹십자
2017-05-23,172000,174000,171000,173000,18784,0.002898551,172500,173200,168850,159675,153787.5,6280,녹십자
2017-05-24,175000,177000,174000,176500,35056,0.020231214,172800,173800,169500,160183.3333,154091.6667,6280,녹십자
2017-05-25,177000,177500,175000,175500,19744,-0.005665722,173700,173750,170075,160616.6667,154387.5,6280,녹십자
2017-05-26,177000,177500,173500,176000,20662,0.002849003,174700,173850,170750,161008.3333,154662.5,6280,녹십자
2017-05-29,176500,176500,174000,174000,11558,-0.011363636,175000,173800,171275,161350,154891.6667,6280,녹십자
2017-05-30,174000,177500,173500,177000,30312,0.017241379,175800,174150,172025,161775,155166.6667,6280,녹십자
2017-05-31,177500,180500,176000,180000,42587,0.016949153,176500,174650,172800,162308.3333,155483.3333,6280,녹십자
2017-06-01,180000,180500,177000,180000,25851,0,177400,175550,173600,162816.6667,155800,6280,녹십자
2017-06-02,181000,181500,178500,180000,26786,0,178200,176450,174350,163333.3333,156108.3333,6280,녹십자
2017-06-05,181500,187000,180500,185000,72609,0.027777778,180400,177700,175300,163925,156487.5,6280,녹십자
2017-06-07,185000,188000,182500,185500,30476,0.002702703,182100,178950,176075,164525,156854.1667,6280,녹십자
2017-06-08,185500,187500,185500,186000,45369,0.002695418,183300,179900,176850,165116.6667,157212.5,6280,녹십자
2017-06-09,185500,185500,180000,180500,52685,-0.029569892,183400,180400,177075,165550,157491.6667,6280,녹십자
2017-06-12,180500,180500,175000,175000,39730,-0.030470914,182400,180300,177075,165883.3333,157662.5,6280,녹십자
2017-06-13,174000,181000,174000,180000,39030,0.028571429,181400,180900,177350,166358.3333,157858.3333,6280,녹십자
2017-06-14,180500,182000,176000,178000,37260,-0.011111111,179900,181000,177575,166783.3333,158025,6280,녹십자
2017-06-15,177000,179500,176000,177500,17611,-0.002808989,178200,180750,177700,167175,158200,6280,녹십자
2017-06-16,176000,176500,171000,172000,43873,-0.030985915,176500,179950,177750,167475,158354.1667,6280,녹십자
2017-06-19,171500,178500,171500,175000,28856,0.01744186,176500,179450,177950,167808.3333,158520.8333,6280,녹십자
2017-06-20,174000,179000,174000,177500,36594,0.014285714,176000,178700,178200,168175,158700,6280,녹십자
2017-06-21,178000,180500,177500,179000,28372,0.008450704,176200,178050,178500,168616.6667,158912.5,6280,녹십자
2017-06-22,180500,180500,176000,177000,17533,-0.011173184,176100,177150,178525,169050,159104.1667,6280,녹십자
2017-06-23,177000,183000,177000,181000,25917,0.02259887,177900,177200,178800,169525,159316.6667,6280,녹십자
2017-06-26,180000,181000,174000,176000,30028,-0.027624309,178100,177300,178800,169833.3333,159470.8333,6280,녹십자
2017-06-27,175000,179000,175000,178000,17303,0.011363636,178200,177100,179000,170158.3333,159620.8333,6280,녹십자
