Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,14850,14900,14300,14350,23801,-0.036912752,14580,14835,15252.5,20177.5,23522.91667,194480,데브시스터즈
2017-01-03,14350,14950,14250,14850,33712,0.034843206,14670,14720,15240,19990,23419.58333,194480,데브시스터즈
2017-01-04,14800,15550,14700,15450,61476,0.04040404,14860,14690,15242.5,19807.5,23323.33333,194480,데브시스터즈
2017-01-05,15550,15600,15200,15350,21220,-0.006472492,14980,14735,15265,19634.16667,23222.5,194480,데브시스터즈
2017-01-06,15350,15450,14900,15050,29200,-0.019543974,15010,14790,15220,19460,23127.08333,194480,데브시스터즈
2017-01-09,15100,15300,14650,14750,19650,-0.019933555,15090,14835,15155,19285,23029.16667,194480,데브시스터즈
2017-01-10,14700,14900,14200,14400,51395,-0.023728814,15000,14835,15082.5,19100,22930.83333,194480,데브시스터즈
2017-01-11,14400,14650,14300,14300,17995,-0.006944444,14770,14815,15002.5,18899.16667,22828.33333,194480,데브시스터즈
2017-01-12,14350,14600,14250,14250,15640,-0.003496503,14550,14765,14917.5,18704.16667,22727.08333,194480,데브시스터즈
2017-01-13,14250,14950,14250,14800,54531,0.038596491,14500,14755,14857.5,18520.83333,22630,194480,데브시스터즈
2017-01-16,15000,15050,14300,14300,35127,-0.033783784,14410,14750,14792.5,18330.83333,22530,194480,데브시스터즈
2017-01-17,14300,14550,14100,14300,24698,0,14390,14695,14707.5,18143.33333,22431.66667,194480,데브시스터즈
2017-01-18,14300,14700,14100,14700,26904,0.027972028,14470,14620,14655,17961.66667,22329.16667,194480,데브시스터즈
2017-01-19,14500,14700,14350,14600,14261,-0.006802721,14540,14545,14640,17801.66667,22227.5,194480,데브시스터즈
2017-01-20,14650,14650,14200,14350,18333,-0.017123288,14450,14475,14632.5,17631.66667,22120.83333,194480,데브시스터즈
2017-01-23,14200,14200,13750,13750,68420,-0.041811847,14340,14375,14605,17439.16667,22010.41667,194480,데브시스터즈
2017-01-24,13700,14150,13200,13300,66127,-0.032727273,14140,14265,14550,17227.5,21902.08333,194480,데브시스터즈
2017-01-25,13350,13450,12550,12700,81037,-0.045112782,13740,14105,14460,17019.16667,21791.25,194480,데브시스터즈
2017-01-26,12800,13000,12600,12900,25216,0.015748031,13400,13970,14367.5,16848.33333,21684.58333,194480,데브시스터즈
2017-01-31,12800,12850,12400,12800,51079,-0.007751938,13090,13770,14262.5,16690.83333,21572.08333,194480,데브시스터즈
2017-02-01,12750,14400,12500,14400,223603,0.125,13220,13780,14265,16540.83333,21475.83333,194480,데브시스터즈
2017-02-02,14650,14650,13850,13900,113359,-0.034722222,13340,13740,14217.5,16394.16667,21369.16667,194480,데브시스터즈
2017-02-03,14050,14350,13750,14250,66624,0.025179856,13650,13695,14157.5,16254.16667,21267.08333,194480,데브시스터즈
2017-02-06,14150,14300,13850,14200,34379,-0.003508772,13910,13655,14100,16137.5,21158.33333,194480,데브시스터즈
2017-02-07,14300,14300,13600,13900,48990,-0.021126761,14130,13610,14042.5,15994.16667,21046.25,194480,데브시스터즈
2017-02-08,13900,13900,13250,13350,55320,-0.039568345,13920,13570,13972.5,15837.5,20932.08333,194480,데브시스터즈
2017-02-09,13400,13750,13150,13650,27348,0.02247191,13870,13605,13935,15702.5,20823.33333,194480,데브시스터즈
2017-02-10,13650,14000,13500,13800,25984,0.010989011,13780,13715,13910,15574.16667,20718.75,194480,데브시스터즈
2017-02-13,13900,14200,13800,14000,32275,0.014492754,13740,13825,13897.5,15442.5,20615,194480,데브시스터즈
2017-02-14,14250,14250,13800,14000,18432,0,13760,13945,13857.5,15313.33333,20512.08333,194480,데브시스터즈
2017-02-15,13900,14150,13900,14050,26583,0.003571429,13900,13910,13845,15206.66667,20410.41667,194480,데브시스터즈
2017-02-16,13950,14100,13700,13900,19918,-0.010676157,13950,13910,13825,15115.83333,20305.83333,194480,데브시스터즈
2017-02-17,13650,13850,13450,13800,34083,-0.007194245,13950,13865,13780,15029.16667,20200.83333,194480,데브시스터즈
2017-02-20,13750,13750,13400,13600,18473,-0.014492754,13870,13805,13730,14951.66667,20092.5,194480,데브시스터즈
2017-02-21,13650,14200,13550,14050,41730,0.033088235,13880,13820,13715,14885.83333,19977.91667,194480,데브시스터즈
2017-02-22,14100,14400,14000,14300,50399,0.017793594,13930,13915,13742.5,14824.16667,19868.75,194480,데브시스터즈
2017-02-23,14250,14400,14050,14150,32550,-0.01048951,13980,13965,13785,14755.83333,19760,194480,데브시스터즈
2017-02-24,14200,14350,13950,14000,28300,-0.010600707,14020,13985,13850,14684.16667,19653.75,194480,데브시스터즈
2017-02-27,14000,14250,13850,13950,21382,-0.003571429,14090,13980,13902.5,14605.83333,19546.66667,194480,데브시스터즈
2017-02-28,13900,14200,13900,14000,21243,0.003584229,14080,13980,13962.5,14538.33333,19433.33333,194480,데브시스터즈
2017-03-02,14150,14150,13900,13900,21129,-0.007142857,14000,13965,13937.5,14485,19315.41667,194480,데브시스터즈
2017-03-03,13800,14000,13200,13250,47325,-0.04676259,13820,13900,13905,14454.16667,19194.16667,194480,데브시스터즈
2017-03-06,13150,13500,13150,13500,10531,0.018867925,13720,13870,13867.5,14422.5,19076.25,194480,데브시스터즈
2017-03-07,13300,13400,13000,13250,25421,-0.018518519,13580,13835,13820,14395,18955,194480,데브시스터즈
2017-03-08,13250,13350,13000,13200,17390,-0.003773585,13420,13750,13785,14349.16667,18821.25,194480,데브시스터즈
2017-03-09,13050,15500,13050,14950,306300,0.132575758,13630,13815,13865,14330.83333,18725,194480,데브시스터즈
2017-03-10,14500,15350,13450,14000,352822,-0.063545151,13780,13800,13882.5,14300,18617.08333,194480,데브시스터즈
2017-03-13,14000,14100,13750,13750,58924,-0.017857143,13830,13775,13880,14264.16667,18508.33333,194480,데브시스터즈
2017-03-14,13750,13850,13500,13500,44968,-0.018181818,13880,13730,13855,14223.33333,18399.58333,194480,데브시스터즈
2017-03-15,13700,13700,13250,13250,31565,-0.018518519,13890,13655,13817.5,14177.5,18288.75,194480,데브시스터즈
2017-03-16,13250,13550,13200,13400,18732,0.011320755,13580,13605,13785,14140.83333,18175,194480,데브시스터즈
2017-03-17,13300,13650,13250,13450,23030,0.003731343,13470,13625,13762.5,14098.33333,18066.66667,194480,데브시스터즈
2017-03-20,13450,13650,13400,13450,23830,0,13410,13620,13745,14060,17957.08333,194480,데브시스터즈
2017-03-21,13350,13850,13250,13750,24298,0.022304833,13460,13670,13752.5,14040.83333,17859.16667,194480,데브시스터즈
2017-03-22,13600,14000,13500,14000,29466,0.018181818,13610,13750,13750,14032.5,17765.41667,194480,데브시스터즈
2017-03-23,13900,14300,13750,13750,38235,-0.017857143,13680,13630,13722.5,14023.33333,17646.66667,194480,데브시스터즈
2017-03-24,13650,13850,13500,13750,27485,0,13740,13605,13702.5,14012.5,17525,194480,데브시스터즈
2017-03-27,14050,14050,13400,13500,32221,-0.018181818,13750,13580,13677.5,13995.83333,17407.91667,194480,데브시스터즈
2017-03-28,13400,13650,13350,13450,26658,-0.003703704,13690,13575,13652.5,13974.16667,17285.41667,194480,데브시스터즈
2017-03-29,13500,13800,13400,13550,28896,0.007434944,13600,13605,13630,13951.66667,17172.08333,194480,데브시스터즈
2017-03-30,13700,14300,13650,14000,54891,0.033210332,13650,13665,13635,13945.83333,17061.66667,194480,데브시스터즈
2017-03-31,14000,14250,13950,14000,23900,0,13700,13720,13672.5,13931.66667,16960.83333,194480,데브시스터즈
2017-04-03,14000,14400,13950,14100,45783,0.007142857,13820,13785,13702.5,13909.16667,16858.33333,194480,데브시스터즈
2017-04-04,14050,15000,14050,14750,125403,0.046099291,14080,13885,13777.5,13899.16667,16766.66667,194480,데브시스터즈
