Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,8160,8170,8060,8110,60571,-0.001231527,8038,7962,7833,7961.333333,8710.083333,20,동화약품
2017-01-03,8110,8170,8090,8110,32249,0,8074,7975,7860.5,7951.333333,8688.916667,20,동화약품
2017-01-04,8120,8190,8070,8150,74448,0.004932182,8124,7998,7888.5,7942.833333,8668.916667,20,동화약품
2017-01-05,8170,8250,8140,8210,52130,0.007361963,8140,8029,7925.5,7935.166667,8650.25,20,동화약품
2017-01-06,8300,8300,8140,8160,48364,-0.006090134,8148,8065,7959.5,7928.5,8632.416667,20,동화약품
2017-01-09,8210,8210,8010,8080,69546,-0.009803922,8142,8090,7986.5,7919.833333,8615.583333,20,동화약품
2017-01-10,8010,8080,7930,7950,96568,-0.016089109,8110,8092,7997,7912.333333,8597.666667,20,동화약품
2017-01-11,7950,8040,7910,7910,53542,-0.005031447,8062,8093,8001.5,7904,8579.833333,20,동화약품
2017-01-12,7890,7930,7790,7850,75632,-0.007585335,7990,8065,7999,7891.666667,8562.166667,20,동화약품
2017-01-13,7810,7970,7810,7900,52826,0.006369427,7938,8043,7997,7882.333333,8545.75,20,동화약품
2017-01-16,7910,8060,7810,7850,41817,-0.006329114,7892,8017,7989.5,7872.833333,8527.916667,20,동화약품
2017-01-17,7890,8170,7810,8170,216637,0.040764331,7936,8023,7999,7869.166667,8512.75,20,동화약품
2017-01-18,8200,8210,7990,8070,139534,-0.012239902,7968,8015,8006.5,7868.666667,8495,20,동화약품
2017-01-19,8050,8080,7920,7920,86675,-0.018587361,7982,7986,8007.5,7866.333333,8477.916667,20,동화약품
2017-01-20,7970,8020,7890,7950,44345,0.003787879,7992,7965,8015,7861.5,8461.5,20,동화약품
2017-01-23,8020,8400,7990,8350,288406,0.050314465,8092,7992,8041,7867.666667,8448.416667,20,동화약품
2017-01-24,8370,8450,8260,8330,159507,-0.00239521,8124,8030,8061,7876.833333,8437.916667,20,동화약품
2017-01-25,8320,8350,8150,8180,162192,-0.018007203,8146,8057,8075,7883.666667,8426,20,동화약품
2017-01-26,8180,8440,8170,8340,131628,0.019559902,8230,8106,8085.5,7899.666667,8415.75,20,동화약품
2017-01-31,8400,8400,8150,8210,86947,-0.01558753,8282,8137,8090,7910.833333,8404.916667,20,동화약품
2017-02-01,8200,8310,8130,8260,77835,0.006090134,8264,8178,8097.5,7922.166667,8395.25,20,동화약품
2017-02-02,8260,8320,8100,8120,96992,-0.016949153,8222,8173,8098,7930.833333,8385.25,20,동화약품
