Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,13550,14450,13395,14050,175859,0.036900369,12708,12486.5,12717,12693.33333,11084.75,196490,디에이테크놀로지
2017-01-03,14200,14200,13395,14050,129938,0,13199,12652,12784.75,12712.5,11125.04167,196490,디에이테크놀로지
2017-01-04,14050,14150,13800,14050,65416,0,13710,12822.5,12824.75,12730.83333,11167,196490,디에이테크놀로지
2017-01-05,14000,14550,13950,14505,147041,0.032384342,14041,13033.5,12880,12771,11212.75,196490,디에이테크놀로지
2017-01-06,14600,16460,14550,16010,481552,0.103757325,14533,13415,13010.5,12843.75,11268.375,196490,디에이테크놀로지
2017-01-09,16105,17110,16055,16560,240235,0.034353529,15035,13871.5,13178.5,12909,11327.33333,196490,디에이테크놀로지
2017-01-10,16510,16960,16310,16860,128787,0.018115942,15597,14398,13396.75,12975.83333,11388.625,196490,디에이테크놀로지
2017-01-11,16760,16760,15005,15505,384136,-0.080367734,15888,14799,13534.75,13015.91667,11438.29167,196490,디에이테크놀로지
2017-01-12,15555,16410,15155,16060,187867,0.035794905,16199,15120,13705.5,13061.08333,11493,196490,디에이테크놀로지
2017-01-13,16055,16760,15955,16260,105674,0.0124533,16249,15391,13868.5,13087,11550.20833,196490,디에이테크놀로지
2017-01-16,16360,16610,15505,15860,93640,-0.024600246,16109,15572,14029.25,13118,11604.33333,196490,디에이테크놀로지
2017-01-17,15654,16105,15054,16110,159404,0.015762926,15959,15778,14215,13149.75,11660.125,196490,디에이테크놀로지
2017-01-18,16510,17560,16360,16760,224180,0.04034761,16210,16049,14435.75,13185.66667,11721.41667,196490,디에이테크놀로지
2017-01-19,16860,16910,15804,15810,188275,-0.056682578,16160,16179.5,14606.5,13212.41667,11774.79167,196490,디에이테크놀로지
2017-01-20,15855,16155,15055,15810,221997,0,16070,16159.5,14787.25,13243.41667,11827,196490,디에이테크놀로지
2017-01-23,15655,16155,15355,15355,97601,-0.028779254,15969,16039,14955.25,13271.83333,11875.83333,196490,디에이테크놀로지
2017-01-24,15355,15805,15005,15055,136031,-0.01953761,15758,15858.5,15128.25,13317.83333,11920.16667,196490,디에이테크놀로지
2017-01-25,14955,15505,14800,15055,116018,0,15417,15813.5,15306.25,13368,11964.83333,196490,디에이테크놀로지
2017-01-26,15455,15705,14650,14655,134094,-0.026569246,15186,15673,15396.5,13414.83333,12006.33333,196490,디에이테크놀로지
2017-01-31,14649,15005,14400,14605,103142,-0.003411805,14945,15507.5,15449.25,13457.5,12044.5,196490,디에이테크놀로지
2017-02-01,14549,14749,14349,14755,69938,0.010270455,14825,15397,15484.5,13502.66667,12084.16667,196490,디에이테크놀로지
2017-02-02,14750,15705,14750,15005,146847,0.016943409,14815,15286.5,15532.25,13544.5,12130.83333,196490,디에이테크놀로지
2017-02-03,15355,15355,14650,14855,52482,-0.009996668,14775,15096,15572.5,13574.58333,12178.83333,196490,디에이테크놀로지
2017-02-06,14750,14955,14649,14805,35844,-0.00336587,14805,14995.5,15587.5,13617.25,12226,196490,디에이테크놀로지
2017-02-07,14955,15005,14550,14605,41590,-0.01350895,14805,14875,15517.25,13642.33333,12271.5,196490,디에이테크놀로지
2017-02-08,14450,14905,14450,14655,35902,0.003423485,14785,14805,15422,13685.83333,12317,196490,디에이테크놀로지
2017-02-09,14649,14955,14550,14705,35519,0.003411805,14725,14770,15314.25,13738.5,12366.375,196490,디에이테크놀로지
2017-02-10,14700,14800,14549,14655,36018,-0.003400204,14685,14730,15271.75,13788.66667,12416.33333,196490,디에이테크놀로지
2017-02-13,14500,14750,14400,14505,43028,-0.010235415,14625,14715,15194,13833,12465.04167,196490,디에이테크놀로지
2017-02-14,14500,14550,13650,13850,88181,-0.045156842,14474,14639.5,15073.5,13863.91667,12508.875,196490,디에이테크놀로지
2017-02-15,13700,13850,13095,13300,84970,-0.039711191,14203,14494,14945.5,13894,12545.16667,196490,디에이테크놀로지
2017-02-16,13295,14300,13045,14255,78399,0.071804511,14113,14419,14852.75,13938.33333,12588.75,196490,디에이테크놀로지
2017-02-17,14649,15205,14400,14505,120632,0.017537706,14083,14384,14740,13965.91667,12633.66667,196490,디에이테크놀로지
2017-02-20,14300,14800,14200,14255,45074,-0.017235436,14033,14329,14662.25,13996.91667,12678.5,196490,디에이테크놀로지
2017-02-21,14150,14750,14049,14705,47026,0.031567871,14204,14339,14607,14047.91667,12728.95833,196490,디에이테크놀로지
2017-02-22,14850,15005,14349,14455,42974,-0.01700102,14435,14319,14562,14085.58333,12777.75,196490,디에이테크놀로지
2017-02-23,14350,14500,13750,13750,82591,-0.048772051,14334,14223.5,14496.75,14097.25,12820,196490,디에이테크놀로지
2017-02-24,13650,13950,13195,13200,92579,-0.04,14073,14078,14404,14102.25,12857.41667,196490,디에이테크놀로지
2017-02-27,13345,14250,13294,13950,71899,0.056818182,14012,14022.5,14368.75,14124.83333,12900.75,196490,디에이테크놀로지
2017-02-28,13800,14150,13750,14000,35547,0.003584229,13871,14037.5,14338.5,14143.16667,12942.95833,196490,디에이테크놀로지
2017-03-02,14250,14250,13445,13600,54914,-0.028571429,13700,14067.5,14280.75,14160.75,12981.58333,196490,디에이테크놀로지
