Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,3860,3860,3785,3790,52392,-0.018134715,3853,3794,3625.25,3648.083333,3518.458333,207760,미스터블루
2017-01-03,3875,4150,3830,3995,227409,0.05408971,3881,3819,3656,3651.333333,3523.125,207760,미스터블루
2017-01-04,3975,4070,3975,4005,112215,0.002503129,3914,3852.5,3686.75,3654.75,3527.875,207760,미스터블루
2017-01-05,4045,4170,3995,4130,243526,0.031210986,3956,3898,3725,3657.25,3534.083333,207760,미스터블루
2017-01-06,4190,4190,3990,4140,76240,0.002421308,4012,3940,3763,3662.083333,3540.041667,207760,미스터블루
2017-01-09,4090,4165,4065,4075,68830,-0.015700483,4069,3961,3796,3665.75,3545.5,207760,미스터블루
2017-01-10,4025,4085,3980,4010,87788,-0.01595092,4072,3976.5,3826.75,3671.583333,3550.416667,207760,미스터블루
2017-01-11,4090,4090,3980,4030,44860,0.004987531,4077,3995.5,3858,3677.666667,3556.833333,207760,미스터블루
2017-01-12,4070,4070,3915,4040,60974,0.00248139,4059,4007.5,3885,3685.083333,3563.166667,207760,미스터블루
2017-01-13,4080,4085,4000,4015,47279,-0.006188119,4034,4023,3905.5,3692,3569.5,207760,미스터블루
2017-01-16,4015,4060,3940,3950,23603,-0.01618929,4009,4039,3916.5,3695.416667,3574.833333,207760,미스터블루
2017-01-17,3910,3985,3790,3815,82376,-0.034177215,3970,4021,3920,3694.833333,3578.291667,207760,미스터블루
2017-01-18,3815,3850,3750,3835,44399,0.005242464,3931,4004,3928.25,3693.916667,3581.916667,207760,미스터블루
2017-01-19,3835,3900,3785,3820,10928,-0.003911343,3887,3973,3935.5,3694.416667,3586,207760,미스터블루
2017-01-20,3820,3860,3700,3820,35513,0,3848,3941,3940.5,3691.916667,3590.5,207760,미스터블루
2017-01-23,3735,3765,3635,3715,72448,-0.027486911,3801,3905,3933,3687.666667,3594.125,207760,미스터블루
2017-01-24,3715,3745,3600,3610,61094,-0.028263795,3760,3865,3920.75,3683.416667,3596.625,207760,미스터블루
2017-01-25,3580,3965,3580,3755,213429,0.040166205,3744,3837.5,3916.5,3680.166667,3600.666667,207760,미스터블루
2017-01-26,3755,3790,3730,3770,27698,0.003994674,3734,3810.5,3909,3681.333333,3604.833333,207760,미스터블루
2017-01-31,3820,3820,3700,3805,41978,0.00928382,3731,3789.5,3906.25,3682.25,3608.958333,207760,미스터블루
2017-02-01,3755,3830,3755,3825,74847,0.005256242,3753,3777,3908,3684.416667,3613.583333,207760,미스터블루
2017-02-02,3850,3990,3785,3840,98632,0.003921569,3799,3779.5,3900.25,3687,3618.333333,207760,미스터블루
2017-02-03,3775,3855,3750,3750,42569,-0.0234375,3798,3771,3887.5,3689.333333,3622.166667,207760,미스터블루
2017-02-06,3790,3840,3730,3780,16782,0.008,3800,3767,3870,3697.083333,3625.666667,207760,미스터블루
2017-02-07,3800,3800,3510,3635,171991,-0.038359788,3766,3748.5,3844.75,3699.916667,3627.958333,207760,미스터블루
2017-02-08,3655,3660,3510,3535,88730,-0.027510316,3708,3730.5,3817.75,3698.833333,3629.541667,207760,미스터블루
2017-02-09,3580,3610,3530,3565,39279,0.008486563,3653,3726,3795.5,3697.583333,3631.416667,207760,미스터블루
2017-02-10,3605,3640,3510,3580,41712,0.004207574,3619,3708.5,3773,3697.583333,3633.625,207760,미스터블루
2017-02-13,3580,3605,3535,3585,34295,0.001396648,3580,3690,3750.25,3697.666667,3636,207760,미스터블루
2017-02-14,3835,4200,3545,3610,272172,0.006973501,3575,3670.5,3730,3696.833333,3638.416667,207760,미스터블루
2017-02-15,3595,3665,3590,3645,66738,0.009695291,3597,3652.5,3714.75,3698.666667,3641.333333,207760,미스터블루
2017-02-16,3740,3770,3640,3720,105580,0.020576132,3628,3640.5,3710,3702.333333,3645,207760,미스터블루
2017-02-17,3710,3770,3680,3720,51194,0,3656,3637.5,3704.25,3707.666667,3648.333333,207760,미스터블루
2017-02-20,3700,3755,3625,3625,58175,-0.025537634,3664,3622,3694.5,3712.083333,3650.875,207760,미스터블루
2017-02-21,3625,3695,3590,3600,82138,-0.006896552,3662,3618.5,3683.5,3714.25,3653.208333,207760,미스터블루
2017-02-22,3605,3675,3605,3655,37176,0.015277778,3664,3630.5,3680.5,3715.916667,3656.041667,207760,미스터블루
2017-02-23,3660,3675,3420,3565,136564,-0.024623803,3633,3630.5,3678.25,3716.916667,3658.208333,207760,미스터블루
