Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,11202,11518,11076,11456,27247,0.022583237,11228.6,11178.2,10786.8,10209.75,9580.458333,160980,싸이맥스
2017-01-03,11487,11487,11140,11172,49121,-0.024790503,11254,11194,10843.65,10236.05,9608.6,160980,싸이맥스
2017-01-04,11202,11202,10856,10983,65500,-0.016917293,11197.2,11194,10897.35,10260.25,9638.85,160980,싸이맥스
2017-01-05,11108,11171,10824,11109,45500,0.011472275,11184.6,11203.5,10963.65,10286.55,9659.633333,160980,싸이맥스
2017-01-06,11076,11297,10950,11140,15704,0.00279053,11172,11190.8,11017.3,10315.46667,9679.616667,160980,싸이맥스
2017-01-09,11140,11266,11045,11140,15891,0,11108.8,11168.7,11063.05,10340.71667,9703.541667,160980,싸이맥스
2017-01-10,11076,11550,11076,11267,61411,0.011400359,11127.8,11190.9,11112,10372.28333,9725.375,160980,싸이맥스
2017-01-11,11360,11487,11202,11298,48519,0.002751398,11190.8,11194,11149.85,10405.95,9747.733333,160980,싸이맥스
2017-01-12,11360,11360,11202,11235,32966,-0.005576208,11216,11200.3,11170.35,10440.15,9768.25,160980,싸이맥스
2017-01-13,11360,12150,11266,11866,260249,0.056163774,11361.2,11266.6,11208.2,10485.38333,9795.858333,160980,싸이맥스
2017-01-16,11928,12276,11802,11897,79760,0.002612506,11512.6,11310.7,11244.45,10530.61667,9823.725,160980,싸이맥스
2017-01-17,11802,11992,11676,11835,39940,-0.005211398,11626.2,11377,11285.5,10574.81667,9850.558333,160980,싸이맥스
2017-01-18,11802,12244,11708,12119,44018,0.02399662,11790.4,11490.6,11342.3,10622.68333,9878.441667,160980,싸이맥스
2017-01-19,12086,12434,12055,12308,52680,0.015595346,12005,11610.5,11407,10673.18333,9910,160980,싸이맥스
2017-01-20,12276,12623,12181,12561,80120,0.020555736,12144,11752.6,11471.7,10718.43333,9940.25,160980,싸이맥스
2017-01-23,12749,13064,12465,12529,102536,-0.002547568,12270.4,11891.5,11530.1,10760.51667,9968.133333,160980,싸이맥스
2017-01-24,12433,12938,12370,12623,60276,0.007502594,12428,12027.1,11609,10802.06667,9994.166667,160980,싸이맥스
2017-01-25,12623,13159,12623,12845,69805,0.017586944,12573.2,12181.8,11687.9,10848.36667,10021.25833,160980,싸이맥스
2017-01-26,12718,13159,12623,12971,68868,0.009809264,12705.8,12355.4,11777.85,10902.03333,10049.4,160980,싸이맥스
2017-01-31,12907,13064,12686,12813,39525,-0.012181019,12756.2,12450.1,11858.35,10955.16667,10078.59167,160980,싸이맥스
2017-02-01,12686,12718,11960,12087,430718,-0.056661203,12667.8,12469.1,11889.9,10994.61667,10100.94167,160980,싸이맥스
2017-02-02,12150,12307,11771,11929,124258,-0.013071895,12529,12478.5,11927.75,11017.75,10124.08333,160980,싸이맥스
2017-02-03,11960,12023,11613,11866,82233,-0.005281247,12333.2,12453.2,11971.9,11038.78333,10147.49167,160980,싸이맥스
2017-02-06,11866,11928,11676,11803,50024,-0.005309287,12099.6,12402.7,12006.6,11061.91667,10172.20833,160980,싸이맥스
2017-02-07,11802,12023,11392,11803,366040,0,11897.6,12326.9,12039.75,11083.48333,10197.19167,160980,싸이맥스
2017-02-08,11802,11928,11582,11835,83503,0.002711175,11847.2,12257.5,12074.5,11108.21667,10222.44167,160980,싸이맥스
2017-02-09,11834,11866,11613,11803,40895,-0.002703845,11822,12175.5,12101.3,11131.88333,10245.85,160980,싸이맥스
2017-02-10,11739,12150,11550,11771,129805,-0.002711175,11803,12068.1,12124.95,11157.65,10269.25,160980,싸이맥스
2017-02-13,11739,11771,11518,11740,34925,-0.002633591,11790.4,11945,12150.2,11179.73333,10291.86667,160980,싸이맥스
2017-02-14,11644,11834,11582,11677,47543,-0.005366269,11765.2,11831.4,12140.75,11200.76667,10315.53333,160980,싸이맥스
2017-02-15,11676,11992,11297,11519,125301,-0.013530873,11702,11774.6,12121.85,11217.6,10334.73333,160980,싸이맥스
