Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,13400,13400,12750,13100,36638,-0.018726592,13370,13465,12897.5,13527.5,16422.08333,52790,액토즈소프트
2017-01-03,13200,14050,12900,13850,55061,0.057251908,13350,13485,13002.5,13480,16372.08333,52790,액토즈소프트
2017-01-04,14000,14150,13550,14050,41209,0.014440433,13540,13580,13102.5,13433.33333,16324.58333,52790,액토즈소프트
2017-01-05,14000,14500,13800,14000,56226,-0.003558719,13670,13665,13177.5,13390,16261.66667,52790,액토즈소프트
2017-01-06,13900,14250,13900,14000,28155,0,13800,13715,13307.5,13352.5,16192.5,52790,액토즈소프트
2017-01-09,14400,14400,13700,13900,31498,-0.007142857,13960,13665,13430,13326.66667,16130,52790,액토즈소프트
2017-01-10,13900,14000,13500,13700,28926,-0.014388489,13930,13640,13520,13304.16667,16059.16667,52790,액토즈소프트
2017-01-11,13700,13900,13250,13900,16079,0.01459854,13900,13720,13610,13284.16667,15993.33333,52790,액토즈소프트
2017-01-12,13900,13950,13450,13650,31357,-0.017985612,13830,13750,13662.5,13259.16667,15925,52790,액토즈소프트
2017-01-13,13550,13800,13350,13450,29170,-0.014652015,13720,13760,13647.5,13242.5,15850.41667,52790,액토즈소프트
2017-01-16,13350,13550,13100,13500,15409,0.003717472,13640,13800,13632.5,13232.5,15766.66667,52790,액토즈소프트
2017-01-17,13350,13600,13000,13150,39677,-0.025925926,13530,13730,13607.5,13217.5,15689.16667,52790,액토즈소프트
2017-01-18,13150,13500,13150,13450,25951,0.022813688,13440,13670,13625,13205.83333,15618.75,52790,액토즈소프트
2017-01-19,13850,13850,13100,13250,26136,-0.014869888,13360,13595,13630,13184.16667,15550.41667,52790,액토즈소프트
2017-01-20,13200,13400,13100,13200,12465,-0.003773585,13310,13515,13615,13165,15480,52790,액토즈소프트
2017-01-23,13400,17150,13350,17150,1209071,0.299242424,14040,13840,13752.5,13220,15450.83333,52790,액토즈소프트
2017-01-24,17150,17400,16200,16300,577870,-0.049562682,14670,14100,13870,13277.5,15420,52790,액토즈소프트
2017-01-25,16500,16850,16150,16700,344868,0.024539877,15320,14380,14050,13335.83333,15394.16667,52790,액토즈소프트
2017-01-26,16450,16600,15500,15500,228559,-0.071856287,15770,14565,14157.5,13385.83333,15359.16667,52790,액토즈소프트
2017-01-31,15650,15950,15300,15750,135967,0.016129032,16280,14795,14277.5,13435.83333,15322.91667,52790,액토즈소프트
2017-02-01,15750,15900,15350,15800,146407,0.003174603,16010,15025,14412.5,13485.83333,15291.25,52790,액토즈소프트
2017-02-02,15600,16050,15400,16000,122461,0.012658228,15950,15310,14520,13530.83333,15267.08333,52790,액토즈소프트
2017-02-03,15850,16200,15500,15500,132866,-0.03125,15710,15515,14592.5,13562.5,15236.25,52790,액토즈소프트
2017-02-06,15400,16100,15200,16000,87174,0.032258065,15810,15790,14692.5,13611.66667,15203.33333,52790,액토즈소프트
2017-02-07,15800,16500,15750,16100,197030,0.00625,15880,16080,14797.5,13650,15171.25,52790,액토즈소프트
2017-02-08,16100,16250,15600,15850,72824,-0.01552795,15890,15950,14895,13688.33333,15141.66667,52790,액토즈소프트
2017-02-09,16300,17300,16000,16100,616823,0.015772871,15910,15930,15015,13728.33333,15114.16667,52790,액토즈소프트
2017-02-10,16300,16750,15900,16500,158401,0.02484472,16110,15910,15145,13778.33333,15090.83333,52790,액토즈소프트
2017-02-13,16600,18400,16500,17400,824580,0.054545455,16390,16100,15332.5,13833.33333,15072.91667,52790,액토즈소프트
2017-02-14,17500,17500,16650,16650,178547,-0.043103448,16500,16190,15492.5,13877.5,15050.83333,52790,액토즈소프트
2017-02-15,16750,17200,16600,17100,104563,0.027027027,16750,16320,15672.5,13941.66667,15037.08333,52790,액토즈소프트
2017-02-16,17100,17250,16600,16700,70448,-0.023391813,16870,16390,15850,14004.16667,15018.33333,52790,액토즈소프트
2017-02-17,16800,17350,16550,17050,90619,0.020958084,16980,16545,16030,14065,15004.58333,52790,액토즈소프트
2017-02-20,17000,18750,16900,18200,291859,0.06744868,17140,16765,16277.5,14151.66667,15000.83333,52790,액토즈소프트
2017-02-21,18100,18600,18000,18200,117340,0,17450,16975,16527.5,14243.33333,14995.41667,52790,액토즈소프트
2017-02-22,18450,19200,18300,18650,116698,0.024725275,17760,17255,16602.5,14348.33333,15000.83333,52790,액토즈소프트
2017-02-23,18800,19350,18350,19100,133376,0.024128686,18240,17555,16742.5,14460.83333,15007.91667,52790,액토즈소프트
2017-02-24,19350,20700,19300,20400,384948,0.068062827,18910,17945,16927.5,14594.16667,15030.83333,52790,액토즈소프트
2017-02-27,20200,20400,19200,19200,140446,-0.058823529,19110,18125,17112.5,14706.66667,15041.66667,52790,액토즈소프트
2017-02-28,19200,23700,19200,21350,1079741,0.111979167,19740,18595,17392.5,14848.33333,15065.41667,52790,액토즈소프트
