Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,3010,3155,3010,3140,219543,0.04145937,3024,3009.5,2924.5,3185.5,3744.708333,88800,에이스테크
2017-01-03,3160,3335,3125,3135,440683,-0.001592357,3048,3024,2947.25,3168.333333,3731.5,88800,에이스테크
2017-01-04,3145,3380,3110,3330,442803,0.062200957,3112,3061.5,2975,3154.083333,3720.291667,88800,에이스테크
2017-01-05,3325,3390,3290,3335,253488,0.001501502,3191,3093,3004.25,3142.166667,3709.458333,88800,에이스테크
2017-01-06,3350,3365,3265,3320,165568,-0.004497751,3252,3124,3031.5,3130.833333,3699.083333,88800,에이스테크
2017-01-09,3320,3350,3240,3300,158264,-0.006024096,3284,3154,3057.75,3119.25,3690.041667,88800,에이스테크
2017-01-10,3300,3410,3275,3340,287738,0.012121212,3325,3186.5,3082.25,3109.75,3679.791667,88800,에이스테크
2017-01-11,3340,3370,3250,3340,108368,0,3327,3219.5,3103,3100.083333,3669.541667,88800,에이스테크
2017-01-12,3340,3375,3275,3290,107471,-0.01497006,3318,3254.5,3124,3089.916667,3659.375,88800,에이스테크
2017-01-13,3290,3860,3290,3450,3267219,0.048632219,3344,3298,3146.75,3082.833333,3649,88800,에이스테크
2017-01-16,3415,3450,3310,3335,363414,-0.033333333,3351,3317.5,3163.5,3073.833333,3637.625,88800,에이스테크
2017-01-17,3330,3485,3320,3320,280495,-0.004497751,3347,3336,3180,3064.5,3626.541667,88800,에이스테크
2017-01-18,3290,3340,3160,3340,249954,0.006024096,3347,3337,3199.25,3055.5,3615.291667,88800,에이스테크
2017-01-19,3335,3335,3270,3280,145635,-0.017964072,3345,3331.5,3212.25,3047.333333,3604,88800,에이스테크
2017-01-20,3280,3310,3235,3275,83866,-0.00152439,3310,3327,3225.5,3037.5,3592.375,88800,에이스테크
2017-01-23,3280,3305,3125,3125,162946,-0.045801527,3268,3309.5,3231.75,3025.416667,3579.291667,88800,에이스테크
2017-01-24,3095,3220,3070,3160,91478,0.0112,3236,3291.5,3239,3015.916667,3565.791667,88800,에이스테크
2017-01-25,3160,3190,3135,3140,31658,-0.006329114,3196,3271.5,3245.5,3006.5,3552.583333,88800,에이스테크
