Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,6170,6360,6170,6340,558206,0.03257329,5980,5849,5578.5,5586.333333,6484.833333,82210,옵트론텍
2017-01-03,6320,6340,6170,6310,392379,-0.004731861,6106,5921,5643.5,5591,6486.25,82210,옵트론텍
2017-01-04,6320,6360,6190,6200,186057,-0.017432647,6182,5964,5699,5589.666667,6486.083333,82210,옵트론텍
2017-01-05,6170,6290,6080,6120,230894,-0.012903226,6222,5995,5751,5590.5,6485.916667,82210,옵트론텍
2017-01-06,6170,6240,6090,6240,257281,0.019607843,6242,6054,5802,5598.166667,6482.083333,82210,옵트론텍
2017-01-09,6270,6290,6130,6190,234295,-0.008012821,6212,6096,5847,5604.666667,6477.75,82210,옵트론텍
2017-01-10,6170,6200,5930,5970,309865,-0.035541195,6144,6125,5879.5,5606.166667,6470.25,82210,옵트론텍
2017-01-11,5970,6050,5920,5980,253491,0.001675042,6100,6141,5903.5,5610,6460.916667,82210,옵트론텍
2017-01-12,5980,6160,5920,6050,298057,0.011705686,6086,6154,5929,5613.166667,6452.25,82210,옵트론텍
2017-01-13,6050,6120,5780,5820,367705,-0.038016529,6002,6122,5942,5609.333333,6441.166667,82210,옵트론텍
2017-01-16,5820,5820,5610,5640,230402,-0.030927835,5892,6052,5950.5,5604.5,6428.083333,82210,옵트론텍
2017-01-17,5640,5730,5540,5580,176070,-0.010638298,5814,5979,5950,5597.666667,6417.166667,82210,옵트론텍
2017-01-18,5570,5720,5510,5680,137755,0.017921147,5754,5927,5945.5,5598.5,6403.75,82210,옵트론텍
2017-01-19,5730,5930,5600,5890,337940,0.036971831,5722,5904,5949.5,5605.166667,6393.75,82210,옵트론텍
2017-01-20,5880,5900,5730,5740,153724,-0.025466893,5706,5854,5954,5606.333333,6377.166667,82210,옵트론텍
2017-01-23,5730,6070,5730,5890,584389,0.026132404,5756,5824,5960,5611.666667,6361.833333,82210,옵트론텍
2017-01-24,5950,6280,5920,6190,1112246,0.050933786,5878,5846,5985.5,5622.833333,6349.166667,82210,옵트론텍
2017-01-25,6300,6800,6230,6780,2600306,0.095315024,6098,5926,6033.5,5645.166667,6340.333333,82210,옵트론텍
2017-01-26,6820,6850,6640,6780,1073572,0,6276,5999,6076.5,5672.833333,6334.25,82210,옵트론텍
2017-01-31,6820,6830,6600,6730,513359,-0.007374631,6474,6090,6106,5697.5,6324.083333,82210,옵트론텍
2017-02-01,6730,7140,6650,6970,1560982,0.035661218,6690,6223,6137.5,5724.166667,6314.166667,82210,옵트론텍
2017-02-02,7010,7040,6530,6590,771357,-0.054519369,6770,6324,6151.5,5743.833333,6302,82210,옵트론텍
2017-02-03,6670,6840,6520,6780,547820,0.028831563,6770,6434,6180.5,5765.166667,6293,82210,옵트론텍
2017-02-06,6790,7040,6750,6750,695766,-0.004424779,6764,6520,6212,5783.166667,6284.916667,82210,옵트론텍
2017-02-07,6830,6920,6500,6580,622771,-0.025185185,6734,6604,6229,5796,6275.166667,82210,옵트론텍
2017-02-08,6640,6660,6400,6650,332066,0.010638298,6670,6680,6252,5809.333333,6267.25,82210,옵트론텍
2017-02-09,6650,6720,6530,6530,285819,-0.018045113,6658,6714,6280,5825.333333,6259.833333,82210,옵트론텍
2017-02-10,6520,6670,6480,6500,291941,-0.004594181,6602,6686,6306,5840.833333,6248.333333,82210,옵트론텍
2017-02-13,6460,6520,6360,6370,363050,-0.02,6526,6645,6322,5850.833333,6236.583333,82210,옵트론텍
2017-02-14,6430,6630,6380,6630,440328,0.040816327,6536,6635,6362.5,5865.666667,6226,82210,옵트론텍
2017-02-15,6620,6670,6510,6540,407585,-0.013574661,6514,6592,6407.5,5881.833333,6215.833333,82210,옵트론텍
2017-02-16,6590,6600,6360,6450,352641,-0.013761468,6498,6578,6451,5898.833333,6207.75,82210,옵트론텍
2017-02-17,6370,6630,6350,6600,360184,0.023255814,6518,6560,6497,5918.166667,6199.166667,82210,옵트론텍
2017-02-20,6560,6820,6560,6770,589656,0.025757576,6598,6562,6541,5943.666667,6186.916667,82210,옵트론텍
2017-02-21,6790,6830,6620,6680,312122,-0.013293944,6608,6572,6588,5970.166667,6179.916667,82210,옵트론텍
2017-02-22,6690,6780,6600,6600,401771,-0.011976048,6620,6567,6623.5,5993.166667,6172,82210,옵트론텍
2017-02-23,6640,6640,6420,6430,359354,-0.025757576,6616,6557,6635.5,6015,6158.916667,82210,옵트론텍
2017-02-24,6400,6470,6230,6230,303265,-0.031104199,6542,6530,6608,6032.166667,6142.833333,82210,옵트론텍
2017-02-27,6240,6420,6220,6280,158192,0.008025682,6444,6521,6583,6048.5,6126.25,82210,옵트론텍
2017-02-28,6280,6410,6260,6270,107730,-0.001592357,6362,6485,6560,6062.666667,6111.75,82210,옵트론텍
2017-03-02,6350,6350,6100,6100,219891,-0.027113238,6262,6441,6516.5,6077.5,6092.75,82210,옵트론텍
2017-03-03,6110,6140,5950,6060,203943,-0.006557377,6188,6402,6490,6095,6075,82210,옵트론텍
2017-03-06,6060,6280,6010,6270,162830,0.034653465,6196,6369,6464.5,6114.666667,6060.083333,82210,옵트론텍
2017-03-07,6240,6390,6240,6250,166979,-0.003189793,6190,6317,6439.5,6134.166667,6047.833333,82210,옵트론텍
2017-03-08,6320,6540,6210,6490,325194,0.0384,6234,6298,6435,6155.333333,6036.75,82210,옵트론텍
2017-03-09,6560,6560,6440,6520,216113,0.004622496,6318,6290,6428.5,6175.833333,6031.416667,82210,옵트론텍
2017-03-10,6650,6760,6500,6500,506740,-0.003067485,6406,6297,6427,6195.5,6023.916667,82210,옵트론텍
2017-03-13,6470,6750,6430,6720,466428,0.033846154,6496,6346,6438,6215.833333,6018.25,82210,옵트론텍
2017-03-14,6720,6800,6640,6680,281131,-0.005952381,6582,6386,6453.5,6234.833333,6012,82210,옵트론텍
2017-03-15,6680,6710,6510,6570,245218,-0.016467066,6598,6416,6450.5,6251.666667,6006.916667,82210,옵트론텍
2017-03-16,6640,6700,6550,6690,242482,0.01826484,6632,6475,6458,6272,6002.583333,82210,옵트론텍
2017-03-17,6720,6790,6630,6730,291058,0.005979073,6678,6542,6472,6291,6000.75,82210,옵트론텍
2017-03-20,6780,6790,6600,6600,213191,-0.019316493,6654,6575,6472,6304.833333,5998.416667,82210,옵트론텍
2017-03-21,6590,6640,6470,6470,204139,-0.01969697,6612,6597,6457,6315.833333,5994.416667,82210,옵트론텍
2017-03-22,6380,6540,6340,6430,138739,-0.00618238,6584,6591,6444.5,6328.833333,5990.083333,82210,옵트론텍
2017-03-23,6430,6500,6180,6230,436197,-0.031104199,6492,6562,6426,6336.5,5982.083333,82210,옵트론텍
2017-03-24,6230,6290,6110,6250,252395,0.003210273,6396,6537,6417,6346,5977.333333,82210,옵트론텍
2017-03-27,6310,6370,6230,6230,172693,-0.0032,6322,6488,6417,6352.833333,5973.166667,82210,옵트론텍
2017-03-28,6270,6450,6260,6350,223058,0.019261637,6298,6455,6420.5,6360,5972.25,82210,옵트론텍
2017-03-29,6420,6500,6340,6370,236985,0.003149606,6286,6435,6425.5,6363.833333,5973.5,82210,옵트론텍
2017-03-30,6380,6380,6140,6210,316707,-0.025117739,6282,6387,6431,6361.666667,5974,82210,옵트론텍
2017-03-31,6270,6340,6220,6270,190066,0.009661836,6286,6341,6441.5,6361,5976,82210,옵트론텍
2017-04-03,6280,6360,6190,6360,148311,0.014354067,6312,6317,6446,6363.666667,5976.666667,82210,옵트론텍
2017-04-04,6430,6740,6370,6660,838728,0.047169811,6374,6336,6466.5,6372.666667,5981.583333,82210,옵트론텍
2017-04-05,6690,6740,6550,6650,342863,-0.001501502,6430,6358,6474.5,6379.5,5988.833333,82210,옵트론텍
2017-04-06,6670,6670,6510,6610,284729,-0.006015038,6510,6396,6479,6386.5,5995.583333,82210,옵트론텍
2017-04-07,6900,6900,6590,6640,806497,0.004538578,6584,6435,6486,6397.666667,6001.916667,82210,옵트론텍
2017-04-10,6620,6820,6520,6720,647821,0.012048193,6656,6484,6486,6410,6010,82210,옵트론텍
2017-04-11,6790,6950,6620,6870,1012219,0.022321429,6698,6536,6495.5,6423.666667,6018.416667,82210,옵트론텍
2017-04-12,6970,7040,6850,6860,645216,-0.001455604,6740,6585,6510,6441,6025.166667,82210,옵트론텍
2017-04-13,6800,7240,6800,7210,1652084,0.051020408,6860,6685,6536,6467.166667,6035.833333,82210,옵트론텍
2017-04-14,7210,7240,7040,7040,641139,-0.023578363,6940,6762,6551.5,6491.5,6044.583333,82210,옵트론텍
2017-04-17,7100,7310,7070,7270,797343,0.032670455,7050,6853,6585,6518,6058.25,82210,옵트론텍
2017-04-18,7460,7480,7130,7210,737777,-0.008253095,7118,6908,6622,6540,6072.583333,82210,옵트론텍
2017-04-19,7210,7210,6960,7070,568404,-0.019417476,7160,6950,6654,6562.166667,6084.25,82210,옵트론텍
2017-04-20,7090,7310,7030,7030,902034,-0.005657709,7124,6992,6694,6581.166667,6096.416667,82210,옵트론텍
2017-04-21,7070,7150,6860,7150,606622,0.017069701,7146,7043,6739,6597.166667,6110,82210,옵트론텍
2017-04-24,7170,7270,7030,7220,606983,0.00979021,7136,7093,6788.5,6604.5,6124.833333,82210,옵트론텍
2017-04-25,7270,7460,7240,7330,763281,0.015235457,7160,7139,6837.5,6613.666667,6143.25,82210,옵트론텍
2017-04-26,7380,7400,7160,7160,507985,-0.02319236,7178,7169,6877,6620.833333,6159.166667,82210,옵트론텍
2017-04-27,7220,7300,7110,7240,358393,0.011173184,7220,7172,6928.5,6625.333333,6174.75,82210,옵트론텍
2017-04-28,7270,7320,7150,7170,189352,-0.009668508,7224,7185,6973.5,6635,6189.416667,82210,옵트론텍
2017-05-02,7170,7260,7030,7060,251332,-0.015341702,7192,7164,7008.5,6639.666667,6202.416667,82210,옵트론텍
2017-05-04,7130,7280,7130,7240,385454,0.025495751,7174,7167,7037.5,6647.833333,6215.5,82210,옵트론텍
2017-05-08,7450,7750,7420,7680,1572471,0.060773481,7278,7228,7089,6666.166667,6231.083333,82210,옵트론텍
2017-05-10,7680,7750,7570,7670,416998,-0.001302083,7364,7292,7142,6683.166667,6246.25,82210,옵트론텍
2017-05-11,7670,7930,7490,7620,1039733,-0.006518905,7454,7339,7191,6701.333333,6263.333333,82210,옵트론텍
2017-05-12,7510,7580,7350,7460,602181,-0.020997375,7534,7363,7228,6717.333333,6279.083333,82210,옵트론텍
2017-05-15,7460,7600,7420,7530,443718,0.009383378,7592,7383,7261,6736.666667,6293.75,82210,옵트론텍
2017-05-16,7450,7490,7300,7350,632800,-0.023904382,7526,7402,7285.5,6748.666667,6307.166667,82210,옵트론텍
2017-05-17,7350,7500,7350,7470,263873,0.016326531,7486,7425,7298.5,6764.166667,6323,82210,옵트론텍
2017-05-18,7250,7500,7250,7490,353949,0.002677376,7460,7457,7321,6781.5,6340.166667,82210,옵트론텍
2017-05-19,7490,7820,7440,7510,962797,0.002670227,7470,7502,7333,6796.666667,6357.416667,82210,옵트론텍
2017-05-22,7610,7650,7490,7520,268813,0.001331558,7468,7530,7348.5,6809.166667,6376.416667,82210,옵트론텍
2017-05-23,7490,7510,7370,7450,375819,-0.009308511,7488,7507,7367.5,6822,6396.083333,82210,옵트론텍
2017-05-24,7490,7500,7390,7420,195256,-0.004026846,7478,7482,7387,6835.666667,6414.416667,82210,옵트론텍
2017-05-25,7440,7460,7190,7210,456330,-0.028301887,7422,7441,7390,6848.666667,6431.833333,82210,옵트론텍
2017-05-26,7200,7320,7100,7220,289547,0.001386963,7364,7417,7390,6865.166667,6448.666667,82210,옵트론텍
2017-05-29,7280,7500,7280,7340,580524,0.016620499,7328,7398,7390.5,6882.833333,6465.666667,82210,옵트론텍
2017-05-30,7340,7350,7230,7230,286729,-0.014986376,7284,7386,7394,6898.833333,6480.75,82210,옵트론텍
2017-05-31,7280,7400,7240,7260,323095,0.004149378,7252,7365,7395,6918.166667,6497.833333,82210,옵트론텍
2017-06-01,7300,7350,7180,7290,238378,0.004132231,7268,7345,7401,6938.666667,6516.833333,82210,옵트론텍
2017-06-02,7330,7540,7320,7450,652009,0.021947874,7314,7339,7420.5,6958.333333,6536.5,82210,옵트론텍
2017-06-05,7480,7480,7170,7200,626879,-0.033557047,7286,7307,7418.5,6974.166667,6554.166667,82210,옵트론텍
2017-06-07,7240,7710,7230,7680,1881247,0.066666667,7376,7330,7418.5,6994,6574.666667,82210,옵트론텍
2017-06-08,7660,8070,7630,8070,1944324,0.05078125,7538,7395,7438.5,7019.833333,6597.833333,82210,옵트론텍
2017-06-09,8150,8270,7950,8080,1152926,0.001239157,7696,7482,7461.5,7046.166667,6620.833333,82210,옵트론텍
2017-06-12,8000,8350,7920,8080,878195,0,7822,7568,7492.5,7068.833333,6642.333333,82210,옵트론텍
2017-06-13,8130,8480,8130,8290,997212,0.025990099,8040,7663,7530.5,7095.666667,6665.25,82210,옵트론텍
2017-06-14,8340,8380,8160,8350,547211,0.007237636,8174,7775,7580.5,7125.333333,6688.5,82210,옵트론텍
2017-06-15,8450,8520,8260,8400,679065,0.005988024,8240,7889,7627,7153.833333,6712.916667,82210,옵트론텍
