Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,테마명
2017-01-02,18347,18792,18112,18441,189020,0.012861934,18183.23333,18073.375,17886.97083,17849.14028,18393.36806,456789,자율주행차
2017-01-03,18443,18737,17961,18243,247621,-0.008740744,18256.18333,18106.68333,17948.31667,17841.3,18393.80208,456789,자율주행차
2017-01-04,18241,18623,17914,18099,409072,-0.004969836,18248.38333,18134.9,17989.02083,17829.05556,18392.02986,456789,자율주행차
2017-01-05,18146,18391,17768,18176,369139,0.009913109,18271.23333,18164.25,18022.96667,17816.99722,18391.16042,456789,자율주행차
2017-01-06,18277,18645,17965,18281,505785,0.004945468,18248.35,18191.85,18043.55833,17814.63194,18390.62153,456789,자율주행차
2017-01-09,18195,18533,17851,18075,291047,-0.004661471,18175,18179.11667,18053.3125,17807.31667,18388.76528,456789,자율주행차
2017-01-10,17988,18339,17820,18087,221940,-0.000535432,18143.86667,18200.025,18062.09583,17802.23194,18386.49653,456789,자율주행차
2017-01-11,18032,18472,17694,18078,246136,0.00478414,18139.76667,18194.075,18070.79583,17796.86667,18383.88542,456789,자율주행차
2017-01-12,18181,18376,17715,18134,187628,-0.002575494,18131.45,18201.34167,18083.775,17792.60972,18382.19375,456789,자율주행차
2017-01-13,18133,18383,17829,18058,524716,-0.00219267,18086.83333,18167.59167,18090.3125,17789.01806,18378.88194,456789,자율주행차
2017-01-16,18115,18278,17661,17911,192115,-0.023099536,18054.18333,18114.59167,18093.98333,17787.11806,18374.46042,456789,자율주행차
2017-01-17,17841,18189,17633,17844,158661,-0.003614879,18005.53333,18074.7,18090.69167,17782.84444,18368.97153,456789,자율주행차
2017-01-18,17935,18700,17715,18467,287957,0.021091508,18083.3,18111.53333,18123.21667,17791.06389,18367.12292,456789,자율주행차
2017-01-19,18415,18903,18155,18461,456523,0.004637452,18148.63333,18140.04167,18152.14583,17799.24306,18362.85347,456789,자율주행차
2017-01-20,18474,18695,18110,18476,191088,-0.008643122,18232.21667,18159.525,18175.6875,17807.12639,18355.93264,456789,자율주행차
2017-01-23,18401,18710,18127,18245,176993,-0.011960369,18298.93333,18176.55833,18177.8375,17809.49722,18349.13542,456789,자율주행차
2017-01-24,18212,18577,17932,18261,258144,0.008362185,18382.35,18193.94167,18196.98333,17815.58611,18342.61528,456789,자율주행차
2017-01-25,18440,18731,17888,18127,464597,0.012696215,18314.35,18198.825,18196.45,17821.83056,18333.76875,456789,자율주행차
2017-01-26,18248,18451,17809,18071,242113,0.004962677,18236.48333,18192.55833,18196.95,17835.66528,18324.37153,456789,자율주행차
2017-01-31,18057,18306,17752,17975,180138,-0.003279969,18136.21667,18184.21667,18175.90417,17841.90278,18311.02778,456789,자율주행차
2017-02-01,18037,18296,17805,18133,264150,0.015120149,18113.76667,18206.35,18160.47083,17846.10417,18299.62778,456789,자율주행차
