Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,8280,8350,8220,8320,16392,-0.005973716,8288,8431,8443,8350.166667,8348.416667,94850,참좋은여행
2017-01-03,8300,8330,8200,8290,22740,-0.003605769,8292,8396,8440,8343.833333,8347.666667,94850,참좋은여행
2017-01-04,8240,8300,8220,8260,12096,-0.003618818,8302,8357,8433,8339.666667,8347,94850,참좋은여행
2017-01-05,8260,8330,8220,8300,18981,0.004842615,8308,8330,8428.5,8336.833333,8347.25,94850,참좋은여행
2017-01-06,8300,8330,8240,8330,22597,0.003614458,8300,8312,8424.5,8336.833333,8347.583333,94850,참좋은여행
2017-01-09,8330,8380,8280,8300,9787,-0.003601441,8296,8292,8417.5,8334.166667,8348.083333,94850,참좋은여행
2017-01-10,8310,8340,8260,8320,20086,0.002409639,8302,8297,8411.5,8332.166667,8349.833333,94850,참좋은여행
2017-01-11,8330,8410,8270,8380,28478,0.007211538,8326,8314,8409,8333.833333,8351.833333,94850,참좋은여행
2017-01-12,8360,8390,8300,8370,10607,-0.001193317,8340,8324,8404,8333.666667,8353.75,94850,참좋은여행
2017-01-13,8330,8370,8290,8350,10466,-0.002389486,8344,8322,8392,8335.333333,8355.5,94850,참좋은여행
2017-01-16,8320,8370,8250,8330,21856,-0.00239521,8350,8323,8377,8335.333333,8357.25,94850,참좋은여행
2017-01-17,8260,8400,8260,8390,32080,0.007202881,8364,8333,8364.5,8336.166667,8359.75,94850,참좋은여행
2017-01-18,8320,8430,8320,8420,19827,0.003575685,8372,8349,8353,8338.833333,8363.333333,94850,참좋은여행
2017-01-19,8390,8450,8320,8420,31743,0,8382,8361,8345.5,8343.166667,8366.833333,94850,참좋은여행
2017-01-20,8420,8420,8280,8400,33494,-0.002375297,8392,8368,8340,8343.333333,8370.416667,94850,참좋은여행
2017-01-23,8400,8410,8330,8390,8751,-0.001190476,8404,8377,8334.5,8342.666667,8374.583333,94850,참좋은여행
2017-01-24,8330,8560,8330,8540,77958,0.017878427,8434,8399,8348,8346.666667,8378.25,94850,참좋은여행
2017-01-25,8500,8640,8450,8540,64962,0,8458,8415,8364.5,8350.666667,8382.75,94850,참좋은여행
2017-01-26,8520,8720,8360,8700,95118,0.018735363,8514,8448,8386,8359,8389.333333,94850,참좋은여행
2017-01-31,8730,8770,8650,8740,63272,0.004597701,8582,8487,8404.5,8362.333333,8397,94850,참좋은여행
2017-02-01,8730,8780,8650,8750,33485,0.001144165,8654,8529,8426,8366.833333,8406,94850,참좋은여행
2017-02-02,8750,8820,8660,8790,86931,0.004571429,8704,8569,8451,8373.333333,8415.166667,94850,참좋은여행
2017-02-03,8790,8790,8690,8770,20790,-0.002275313,8750,8604,8476.5,8382.666667,8420.083333,94850,참좋은여행
