Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,87900,91000,87300,91000,74084,0.043577982,88260,87550,85990,89313.33333,99729.16667,78340,컴투스
2017-01-03,91300,96500,91100,96000,175469,0.054945055,90080,88390,86865,89278.33333,99473.33333,78340,컴투스
2017-01-04,96400,96600,93800,96300,84341,0.003125,91640,89210,87750,89240,99206.66667,78340,컴투스
2017-01-05,96300,96300,94100,94200,77746,-0.021806854,92940,89950,88445,89195,98940,78340,컴투스
2017-01-06,94200,96900,93900,94000,70967,-0.002123142,94300,90740,88990,89206.66667,98703.33333,78340,컴투스
2017-01-09,93600,95500,93000,94600,67739,0.006382979,95020,91640,89425,89175,98481.66667,78340,컴투스
2017-01-10,95000,95000,91500,91600,95972,-0.031712474,94140,92110,89710,89103.33333,98254.16667,78340,컴투스
2017-01-11,92000,93200,91500,92500,49985,0.009825328,93380,92510,90035,89071.66667,98027.5,78340,컴투스
2017-01-12,92000,93300,91000,91000,43059,-0.016216216,92740,92840,90120,89021.66667,97830,78340,컴투스
2017-01-13,91300,92700,91300,91600,42075,0.006593407,92260,93280,90275,88953.33333,97635.83333,78340,컴투스
2017-01-16,92500,92500,89600,91200,49388,-0.004366812,91580,93300,90425,88881.66667,97421.66667,78340,컴투스
2017-01-17,90900,91700,88600,88700,57881,-0.027412281,91000,92570,90480,88765,97186.66667,78340,컴투스
2017-01-18,89600,89900,88800,89900,35130,0.013528749,90480,91930,90570,88656.66667,96952.5,78340,컴투스
2017-01-19,90400,91000,88000,88300,41514,-0.017797553,89940,91340,90645,88488.33333,96705.83333,78340,컴투스
2017-01-20,88300,89700,88000,89200,36149,0.010192525,89460,90860,90800,88316.66667,96486.66667,78340,컴투스
2017-01-23,89700,93400,89400,91500,115616,0.025784753,89520,90550,91095,88206.66667,96285.83333,78340,컴투스
2017-01-24,91600,92000,88700,89200,55608,-0.025136612,89620,90310,91210,88110,96090.83333,78340,컴투스
2017-01-25,89200,89400,85600,86300,84180,-0.032511211,88900,89690,91100,88008.33333,95855.83333,78340,컴투스
2017-01-26,86300,88800,86300,87700,51917,0.01622248,88780,89360,91100,87933.33333,95636.66667,78340,컴투스
2017-01-31,86700,87400,85300,85500,58330,-0.025085519,88040,88750,91015,87808.33333,95409.16667,78340,컴투스
2017-02-01,84900,87900,84900,87700,63028,0.025730994,87280,88400,90850,87723.33333,95212.5,78340,컴투스
2017-02-02,87200,89300,86900,87400,36126,-0.003420753,86920,88270,90420,87576.66667,95022.5,78340,컴투스
2017-02-03,87500,88100,85700,86200,34165,-0.013729977,86900,87900,89915,87421.66667,94804.16667,78340,컴투스
2017-02-06,85700,89100,84500,89100,70019,0.033642691,87180,87980,89660,87465,94560,78340,컴투스
2017-02-07,89300,92100,89300,91000,121176,0.021324355,88280,88160,89510,87548.33333,94373.33333,78340,컴투스
2017-02-08,92200,107900,90000,100900,608768,0.108791209,90920,89100,89825,87833.33333,94290.83333,78340,컴투스
2017-02-09,101300,106600,100400,105900,459079,0.049554014,94620,90770,90540,88221.66667,94265.83333,78340,컴투스
2017-02-10,105900,108500,104500,105600,165229,-0.002832861,98500,92700,91195,88605,94249.16667,78340,컴투스
2017-02-13,105700,109500,105600,108200,141876,0.024621212,102320,94750,92055,88981.66667,94250,78340,컴투스
2017-02-14,109000,109800,106500,109500,136603,0.012014787,106020,97150,92950,89353.33333,94275.83333,78340,컴투스
2017-02-15,108600,110000,107400,110000,97011,0.00456621,107840,99380,93890,89766.66667,94335.83333,78340,컴투스
2017-02-16,110200,111900,107700,111700,114790,0.015454545,109000,101810,95040,90225,94376.66667,78340,컴투스
2017-02-17,110000,115200,110000,110300,150182,-0.012533572,109940,104220,96060,90613.33333,94428.33333,78340,컴투스
2017-02-20,110300,113500,109800,112000,79822,0.015412511,110700,106510,97245,91035,94456.66667,78340,컴투스
2017-02-21,112800,113000,109800,111400,79539,-0.005357143,111080,108550,98355,91435,94485,78340,컴투스
2017-02-22,112600,114900,111000,114800,101755,0.030520646,112040,109940,99520,91898.33333,94544.16667,78340,컴투스
2017-02-23,114600,116000,112000,112000,87361,-0.024390244,112100,110550,100660,92298.33333,94590.83333,78340,컴투스
2017-02-24,112100,114200,112000,113500,65442,0.013392857,112740,111340,102020,92760,94676.66667,78340,컴투스
2017-02-27,113100,113900,108100,108100,103825,-0.047577093,111960,111330,103040,93155,94660,78340,컴투스
2017-02-28,108600,110600,106800,109500,84775,0.012950971,111580,111330,104240,93580,94642.5,78340,컴투스
2017-03-02,110000,115000,109500,111300,151354,0.016438356,110880,111460,105420,94086.66667,94648.33333,78340,컴투스
2017-03-03,111500,113800,110100,111400,80301,0.000898473,110760,111430,106620,94635,94639.16667,78340,컴투스
2017-03-06,112500,112500,107800,107900,94617,-0.031418312,109640,111190,107705,95123.33333,94615,78340,컴투스
2017-03-07,105200,110400,104100,110100,113171,0.020389249,110040,111000,108755,95620,94595.83333,78340,컴투스
2017-03-08,110400,110800,107900,107900,51405,-0.019981835,109720,110650,109600,96033.33333,94582.5,78340,컴투스
2017-03-09,108300,110700,107000,107000,60260,-0.008341057,108860,109870,109905,96385,94595,78340,컴투스
2017-03-10,107800,113100,107200,112700,155293,0.053271028,109120,109940,110245,96831.66667,94681.66667,78340,컴투스
2017-03-13,113100,113600,112200,112900,57253,0.001774623,110120,109880,110610,97280,94770.83333,78340,컴투스
2017-03-14,113500,114000,110800,112600,49505,-0.002657219,110620,110330,110830,97668.33333,94855,78340,컴투스
2017-03-15,112600,112600,109500,110400,41999,-0.019538188,111120,110420,110875,98033.33333,94898.33333,78340,컴투스
2017-03-16,111500,113400,111100,112900,58027,0.022644928,112300,110580,111020,98445,94979.16667,78340,컴투스
2017-03-17,112500,113600,111200,113100,61222,0.001771479,112380,110750,111090,98870,95056.66667,78340,컴투스
2017-03-20,113100,113600,110700,110700,62850,-0.021220159,111940,111030,111110,99246.66667,95123.33333,78340,컴투스
2017-03-21,110400,113100,110400,112400,54183,0.01535682,111900,111260,111130,99673.33333,95208.33333,78340,컴투스
2017-03-22,112000,118500,112000,117100,208383,0.041814947,113240,112180,111415,100190,95339.16667,78340,컴투스
2017-03-23,118500,120700,118200,119500,121117,0.020495303,114560,113430,111650,100755,95492.5,78340,컴투스
2017-03-24,120100,122300,120000,121500,89750,0.016736402,116240,114310,112125,101331.6667,95671.66667,78340,컴투스
2017-03-27,122300,122500,119400,121600,100797,0.000823045,118420,115180,112530,101883.3333,95855.83333,78340,컴투스
2017-03-28,122100,122300,118400,118400,85133,-0.026315789,119620,115760,113045,102395,96008.33333,78340,컴투스
2017-03-29,118700,119200,116200,118300,78218,-0.000844595,119860,116550,113485,102913.3333,96170.83333,78340,컴투스
2017-03-30,118700,120500,117900,118700,40556,0.003381234,119700,117130,113855,103375,96344.16667,78340,컴투스
2017-03-31,118300,121100,118300,121100,69563,0.02021904,119620,117930,114340,103793.3333,96535.83333,78340,컴투스
2017-04-03,122500,124300,120200,124300,75804,0.026424443,120160,119290,115160,104260,96750,78340,컴투스
2017-04-04,124300,124900,122700,123500,64777,-0.006436042,121180,120400,115830,104748.3333,96971.66667,78340,컴투스
2017-04-05,124800,132900,124100,129000,258458,0.044534413,123320,121590,116885,105331.6667,97269.16667,78340,컴투스
2017-04-06,129600,132300,127500,130100,120461,0.008527132,125600,122650,118040,105923.3333,97549.16667,78340,컴투스
2017-04-07,130800,131000,128900,130400,69309,0.002305919,127460,123540,118925,106570,97836.66667,78340,컴투스
