Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,65200,65400,63900,63900,106098,-0.033282905,65560,66610,69090,67516.66667,69737.5,39130,하나투어
2017-01-03,64000,64000,62500,62800,133330,-0.017214397,64880,65730,68810,67413.33333,69612.5,39130,하나투어
2017-01-04,63100,64000,62600,64000,76802,0.01910828,64580,65200,68545,67325,69485.83333,39130,하나투어
2017-01-05,64000,66700,64000,66500,155160,0.0390625,64660,65220,68410,67280,69379.16667,39130,하나투어
2017-01-06,66700,66700,65700,66500,47696,0,64740,65340,68170,67236.66667,69284.16667,39130,하나투어
2017-01-09,66500,67100,65800,66700,57747,0.003007519,65300,65430,67800,67183.33333,69195.83333,39130,하나투어
2017-01-10,66700,66900,65800,66000,53448,-0.010494753,65940,65410,67435,67131.66667,69112.5,39130,하나투어
2017-01-11,66100,66700,64500,64600,60683,-0.021212121,66060,65320,67020,67063.33333,69010,39130,하나투어
2017-01-12,65100,66400,64600,65800,51174,0.018575851,65920,65290,66710,67013.33333,68911.66667,39130,하나투어
2017-01-13,65200,67300,65200,67000,76723,0.018237082,66020,65380,66415,66990,68837.5,39130,하나투어
2017-01-16,67300,68400,66800,68300,88500,0.019402985,66340,65820,66215,66995,68775.83333,39130,하나투어
2017-01-17,68400,69000,67900,68000,60886,-0.004392387,66740,66340,66035,67008.33333,68716.66667,39130,하나투어
2017-01-18,68000,69400,67700,69300,86840,0.019117647,67680,66870,66035,67133.33333,68673.33333,39130,하나투어
2017-01-19,69500,69600,68600,69000,54877,-0.004329004,68320,67120,66170,67221.66667,68633.33333,39130,하나투어
2017-01-20,69100,70400,69100,70300,81621,0.01884058,68980,67500,66420,67301.66667,68610.83333,39130,하나투어
2017-01-23,70600,71100,70000,70200,52847,-0.001422475,69360,67850,66640,67375,68595,39130,하나투어
2017-01-24,70000,71900,70000,71800,101688,0.022792023,70120,68430,66920,67496.66667,68587.5,39130,하나투어
2017-01-25,71900,72100,70300,71700,72489,-0.001392758,70600,69140,67230,67641.66667,68601.66667,39130,하나투어
2017-01-26,71400,71600,70000,71300,117985,-0.005578801,71060,69690,67490,67800,68607.5,39130,하나투어
2017-01-31,70800,72400,70700,72000,64826,0.009817672,71400,70190,67785,67925,68621.66667,39130,하나투어
2017-02-01,71800,72200,70900,71900,59673,-0.001388889,71740,70550,68185,68008.33333,68652.5,39130,하나투어
2017-02-02,71100,72900,71000,72700,156120,0.011126565,71920,71020,68680,68088.33333,68687.5,39130,하나투어
