Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,15200,15250,14550,14700,645361,-0.042345277,15250,15510,15972.5,16760,17415.83333,180640,한진칼
2017-01-03,14700,14800,14350,14550,589308,-0.010204082,15110,15355,15882.5,16709.16667,17405,180640,한진칼
2017-01-04,14750,15000,14650,14750,496767,0.013745704,15000,15230,15785,16668.33333,17397.08333,180640,한진칼
2017-01-05,14900,15450,14850,15200,591448,0.030508475,14910,15170,15735,16630,17390,180640,한진칼
2017-01-06,15100,15850,14800,15500,1305894,0.019736842,14940,15150,15670,16600.83333,17388.75,180640,한진칼
2017-01-09,15500,15550,15250,15300,342798,-0.012903226,15060,15155,15602.5,16570,17372.08333,180640,한진칼
2017-01-10,15400,15450,15200,15300,288737,0,15210,15160,15547.5,16540,17355.41667,180640,한진칼
2017-01-11,15400,15550,15200,15350,328756,0.003267974,15330,15165,15497.5,16515.83333,17341.25,180640,한진칼
2017-01-12,15350,16000,15250,15850,561665,0.03257329,15460,15185,15462.5,16505,17334.16667,180640,한진칼
2017-01-13,15850,15900,15600,15700,344878,-0.009463722,15500,15220,15427.5,16490,17325,180640,한진칼
2017-01-16,15750,15850,15300,15600,373961,-0.006369427,15560,15310,15410,16476.66667,17316.66667,180640,한진칼
2017-01-17,15700,15750,15350,15700,280598,0.006410256,15640,15425,15390,16456.66667,17307.08333,180640,한진칼
2017-01-18,15800,15850,15550,15700,299282,0,15710,15520,15375,16440,17297.5,180640,한진칼
2017-01-19,15700,15800,15400,15450,419645,-0.015923567,15630,15545,15357.5,16422.5,17284.16667,180640,한진칼
2017-01-20,15400,15800,15250,15700,444266,0.01618123,15630,15565,15357.5,16402.5,17270,180640,한진칼
2017-01-23,15550,15700,15300,15700,455993,0,15650,15605,15380,16380.83333,17253.75,180640,한진칼
2017-01-24,15600,15700,15300,15450,623497,-0.015923567,15600,15620,15390,16356.66667,17230.41667,180640,한진칼
2017-01-25,15400,15450,14800,14800,606791,-0.042071197,15420,15565,15365,16314.16667,17199.16667,180640,한진칼
2017-01-26,14800,15200,14700,15100,282582,0.02027027,15350,15490,15337.5,16286.66667,17175,180640,한진칼
2017-01-31,15100,15400,14950,15250,332512,0.009933775,15260,15445,15332.5,16262.5,17158.33333,180640,한진칼
2017-02-01,15300,15500,15150,15450,321290,0.013114754,15210,15430,15370,16240.83333,17143.33333,180640,한진칼
2017-02-02,15300,15550,15200,15300,309589,-0.009708738,15180,15390,15407.5,16218.33333,17125.41667,180640,한진칼
2017-02-03,15450,16000,15250,15450,780943,0.009803922,15310,15365,15442.5,16187.5,17106.25,180640,한진칼
2017-02-06,15600,15900,15300,15900,306750,0.029126214,15470,15410,15477.5,16167.5,17087.91667,180640,한진칼
2017-02-07,15750,15950,15700,15850,197434,-0.003144654,15590,15425,15495,16151.66667,17059.58333,180640,한진칼
2017-02-08,15800,15800,15500,15700,285433,-0.009463722,15640,15425,15515,16149.16667,17022.5,180640,한진칼
2017-02-09,15750,16100,15650,16000,333325,0.01910828,15780,15480,15550,16147.5,16988.75,180640,한진칼
2017-02-10,15950,16050,15750,16050,285180,0.003125,15900,15605,15585,16125,16971.25,180640,한진칼
2017-02-13,16100,16100,15850,15950,167620,-0.00623053,15910,15690,15590,16094.16667,16951.25,180640,한진칼
2017-02-14,16000,16000,15700,15700,279688,-0.015673981,15880,15735,15590,16050.83333,16929.58333,180640,한진칼
2017-02-15,15800,16250,15650,16200,588160,0.031847134,15980,15810,15620,16017.5,16910.41667,180640,한진칼
2017-02-16,16200,16400,15850,15950,267383,-0.015432099,15970,15875,15632.5,15980,16902.5,180640,한진칼
2017-02-17,16000,16100,15800,15900,273313,-0.003134796,15940,15920,15642.5,15948.33333,16887.91667,180640,한진칼
2017-02-20,15900,16050,15700,15950,241616,0.003144654,15940,15925,15667.5,15913.33333,16876.66667,180640,한진칼
2017-02-21,16000,16500,15900,16500,773999,0.034482759,16100,15990,15707.5,15890,16865,180640,한진칼
2017-02-22,16550,16700,16400,16700,512114,0.012121212,16200,16090,15757.5,15875,16854.58333,180640,한진칼
2017-02-23,16700,17050,16550,16900,568344,0.011976048,16390,16180,15830,15866.66667,16837.08333,180640,한진칼
2017-02-24,16950,16950,16500,16650,320685,-0.014792899,16540,16240,15922.5,15854.16667,16817.5,180640,한진칼
2017-02-27,16600,16700,16400,16650,242659,0,16680,16310,16000,15835,16789.58333,180640,한진칼
2017-02-28,16650,16950,16400,16900,293231,0.015015015,16760,16430,16082.5,15835.83333,16758.75,180640,한진칼
2017-03-02,16850,16900,16450,16550,276103,-0.020710059,16730,16465,16137.5,15826.66667,16729.58333,180640,한진칼
2017-03-03,16300,16350,15700,15750,964844,-0.048338369,16500,16445,16160,15816.66667,16697.08333,180640,한진칼
2017-03-06,15500,15800,15300,15750,379885,0,16320,16430,16175,15800.83333,16668.33333,180640,한진칼
2017-03-07,15750,15800,15550,15750,319067,0,16140,16410,16167.5,15793.33333,16639.58333,180640,한진칼
2017-03-08,15700,15850,15400,15850,297494,0.006349206,15930,16345,16167.5,15777.5,16618.33333,180640,한진칼
