Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,43850,44850,43750,44750,333831,0.029919448,43380,43780,43680,52325.83333,55882.08333,12450,한화에어로스페이스
2017-01-03,44650,47550,44600,46950,977418,0.049162011,44220,44035,43945,52018.33333,55816.66667,12450,한화에어로스페이스
2017-01-04,47250,48500,46600,46700,797712,-0.005324814,44970,44250,44160,51706.66667,55748.33333,12450,한화에어로스페이스
2017-01-05,47200,47250,46250,47200,343584,0.010706638,45810,44480,44397.5,51398.33333,55693.33333,12450,한화에어로스페이스
2017-01-06,46950,48400,46650,48250,445549,0.022245763,46770,44970,44692.5,51137.5,55637.91667,12450,한화에어로스페이스
2017-01-09,48250,48350,46650,46950,393611,-0.026943005,47210,45295,44910,50826.66667,55580.83333,12450,한화에어로스페이스
2017-01-10,46550,46750,45350,46400,370770,-0.01171459,47100,45660,44995,50505,55526.66667,12450,한화에어로스페이스
2017-01-11,46700,47800,46650,47500,317594,0.023706897,47260,46115,45182.5,50175,55482.5,12450,한화에어로스페이스
2017-01-12,47500,48300,47400,47500,335679,0,47320,46565,45322.5,49843.33333,55425.83333,12450,한화에어로스페이스
2017-01-13,47250,47850,46550,47150,322657,-0.007368421,47100,46935,45395,49500.83333,55365.41667,12450,한화에어로스페이스
2017-01-16,47150,47350,46100,46100,262764,-0.022269353,46930,47070,45425,49149.16667,55301.25,12450,한화에어로스페이스
2017-01-17,45900,45950,44450,44500,772049,-0.034707158,46550,46825,45430,48815.83333,55226.25,12450,한화에어로스페이스
2017-01-18,44800,45200,44500,44800,284749,0.006741573,46010,46635,45442.5,48485.83333,55149.58333,12450,한화에어로스페이스
2017-01-19,44500,45150,44050,44100,310914,-0.015625,45330,46325,45402.5,48137.5,55069.58333,12450,한화에어로스페이스
2017-01-20,43700,43950,43000,43400,404126,-0.015873016,44580,45840,45405,47795.83333,54982.91667,12450,한화에어로스페이스
2017-01-23,43600,44450,43500,44050,192357,0.014976959,44170,45550,45422.5,47461.66667,54899.16667,12450,한화에어로스페이스
2017-01-24,43900,44050,43000,43100,270301,-0.021566402,43890,45220,45440,47116.66667,54775,12450,한화에어로스페이스
2017-01-25,43400,43400,41650,41700,458905,-0.032482599,43270,44640,45377.5,46973.33333,54638.33333,12450,한화에어로스페이스
2017-01-26,41850,42300,41200,41900,264416,0.004796163,42830,44080,45322.5,46863.33333,54492.5,12450,한화에어로스페이스
2017-01-31,41750,42300,41300,41700,295705,-0.00477327,42490,43535,45235,46728.33333,54346.66667,12450,한화에어로스페이스
2017-02-01,41700,43700,41700,43700,548913,0.047961631,42420,43295,45182.5,46653.33333,54198.33333,12450,한화에어로스페이스
2017-02-02,44250,44250,42750,42900,346659,-0.018306636,42380,43135,44980,46567.5,54036.66667,12450,한화에어로스페이스
2017-02-03,42950,42950,41500,41650,536765,-0.029137529,42370,42820,44727.5,46485.83333,53870.41667,12450,한화에어로스페이스
2017-02-06,41800,42350,41800,42250,329810,0.014405762,42440,42635,44480,46381.66667,53719.16667,12450,한화에어로스페이스
2017-02-07,42050,42950,41350,42900,324006,0.015384615,42680,42585,44212.5,46248.33333,53565.83333,12450,한화에어로스페이스
2017-02-08,43000,43050,41700,41700,316865,-0.027972028,42280,42350,43950,46078.33333,53405,12450,한화에어로스페이스
2017-02-09,41700,42000,41300,41350,348659,-0.008393285,41970,42175,43697.5,45867.5,53251.25,12450,한화에어로스페이스
2017-02-10,41500,41700,39900,40000,760896,-0.032648126,41640,42005,43322.5,45640.83333,53082.91667,12450,한화에어로스페이스
2017-02-13,40000,41100,39200,40750,513395,0.01875,41340,41890,42985,45400,52921.66667,12450,한화에어로스페이스
2017-02-14,40800,41450,40250,41050,474070,0.007361963,40970,41825,42680,45160.83333,52776.25,12450,한화에어로스페이스
2017-02-15,41450,42100,41300,41800,377396,0.018270402,40990,41635,42465,44935.83333,52626.25,12450,한화에어로스페이스
2017-02-16,41550,41700,40900,41100,288213,-0.016746411,40940,41455,42295,44724.16667,52475.41667,12450,한화에어로스페이스
2017-02-17,41050,41800,40800,41150,296471,0.001216545,41170,41405,42112.5,44513.33333,52327.5,12450,한화에어로스페이스
