Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,41500,53300,41500,53300,1220584,0.6,41780.0,40410.0,39395.0,41786.66666,49984.16666,0.0,0
2017-01-03,53400,54500,51800,53400,741572,0.0037523459999999997,45100.0,41720.0,40215.0,41890.0,49930.83334,0.0,0
2017-01-04,53200,54700,52500,53900,459946,0.018726592,48120.0,43150.0,41080.0,42008.33334,49860.83334,0.0,0
2017-01-05,53200,53700,51100,52800,437466,-0.040816326,50880.0,44470.0,41880.0,42103.33334,49786.66666,0.0,0
2017-01-06,57200,58500,52400,53000,1173352,0.007575758,53280.0,45930.0,42705.0,42225.0,49700.0,0.0,0
2017-01-09,54000,54100,52000,52800,338708,-0.00754717,53180.0,47480.0,43435.0,42346.66666,49610.0,0.0,0
2017-01-10,52400,52400,49800,50000,551404,-0.106060606,52500.0,48800.0,43985.0,42440.0,49477.5,0.0,0
2017-01-11,50000,50700,49400,50100,205594,0.004,51740.0,49930.0,44495.0,42591.66666,49355.0,0.0,0
2017-01-12,50300,50400,47700,48000,292918,-0.083832336,50780.0,50830.0,44905.0,42691.66666,49230.83334,0.0,0
2017-01-13,48300,49000,46800,48000,310304,0.0,49780.0,51530.0,45305.0,42786.66666,49090.83334,0.0,0
2017-01-16,46800,47000,45300,45300,576768,-0.1125,48280.0,50730.0,45570.0,42838.33334,48935.83334,0.0,0
2017-01-17,45300,46300,43800,44100,296862,-0.052980132,47100.0,49800.0,45760.0,42880.0,48770.0,0.0,0
2017-01-18,44600,45300,43900,44500,183130,0.01814059,45980.0,48860.0,46005.0,42953.33334,48616.66666,0.0,0
2017-01-19,44700,45200,43600,43600,220114,-0.040449438,45100.0,47940.0,46205.0,42991.66666,48441.66666,0.0,0
2017-01-20,43400,44400,41200,41400,392466,-0.10091743199999999,43780.0,46780.0,46355.0,42983.33334,48254.16666,0.0,0
2017-01-23,41500,42700,41300,41900,190714,0.02415459,43100.0,45690.0,46585.0,43003.33334,48079.16666,0.0,0
2017-01-24,42600,43800,40800,40800,349040,-0.052505965999999994,42440.0,44770.0,46785.0,43005.0,47904.16666,0.0,0
2017-01-25,41000,42000,40600,40800,120604,0.0,41700.0,43840.0,46885.0,42995.0,47707.5,0.0,0
2017-01-26,41500,41700,40300,40700,99794,-0.00490196,41120.0,43110.0,46970.0,42980.0,47516.66666,0.0,0
2017-01-31,41200,41500,39500,39500,149680,-0.058968058,40740.0,42260.0,46895.0,42950.0,47320.0,0.0,0
2017-02-01,39700,40800,39500,40700,132014,0.060759494000000004,40500.0,41800.0,46265.0,42953.33334,47155.83334,0.0,0
2017-02-02,40700,40900,39500,39500,124350,-0.058968058,40240.0,41340.0,45570.0,42861.66666,46977.5,0.0,0
2017-02-03,39600,40200,38600,39200,125124,-0.015189873999999999,39920.0,40810.0,44835.0,42775.0,46801.66666,0.0,0
2017-02-06,38200,40000,36700,39400,246234,0.010204082,39660.0,40390.0,44165.0,42738.33334,46615.83334,0.0,0
2017-02-07,39800,40400,39200,39500,79450,0.0050761420000000005,39660.0,40200.0,43490.0,42686.66666,46440.0,0.0,0
2017-02-08,39400,39700,38600,39500,63304,0.0,39420.0,39960.0,42825.0,42598.33334,46259.16666,0.0,0
2017-02-09,39900,41400,39500,41000,199552,0.075949368,39720.0,39980.0,42375.0,42541.66666,46087.5,0.0,0
2017-02-10,40700,40900,40100,40200,104516,-0.03902439,39920.0,39920.0,41880.0,42475.0,45926.66666,0.0,0
2017-02-13,40300,43900,40300,43600,607306,0.16915422800000002,40760.0,40210.0,41660.0,42463.33334,45802.5,0.0,0
2017-02-14,43400,43600,42100,42600,213524,-0.04587156,41380.0,40520.0,41390.0,42435.0,45671.66666,0.0,0
2017-02-15,42900,45200,41100,41100,591718,-0.070422536,41700.0,40560.0,41180.0,42386.66666,45538.33334,0.0,0
2017-02-16,41200,42000,41100,41400,84274,0.01459854,41780.0,40750.0,41045.0,42343.33334,45410.83334,0.0,0
2017-02-17,41400,42200,40700,41400,106586,0.0,42020.0,40970.0,40890.0,42290.0,45284.16666,0.0,0
2017-02-20,41800,42900,41600,42500,117544,0.053140096,41800.0,41280.0,40835.0,42268.33334,45169.16666,0.0,0
2017-02-21,42600,42600,41700,42100,115840,-0.01882353,41700.0,41540.0,40870.0,42263.33334,45019.16666,0.0,0
2017-02-22,42700,43300,41900,42600,167802,0.02375297,42000.0,41850.0,40905.0,42250.0,44893.33334,0.0,0
2017-02-23,42700,42800,41600,41600,123426,-0.046948356,42040.0,41910.0,40945.0,42230.0,44755.83334,0.0,0
2017-02-24,41500,42100,41300,41300,80890,-0.014423076000000002,42020.0,42020.0,40970.0,42211.66666,44594.16666,0.0,0
2017-02-27,41300,41500,40300,40400,94090,-0.043583536,41600.0,41700.0,40955.0,42201.66666,44430.83334,1.0,8
2017-02-28,40000,40700,39600,40000,74418,-0.01980198,41180.0,41440.0,40980.0,42191.66666,44282.5,1.0,52
2017-03-02,39900,40200,39200,39200,83644,-0.04,40500.0,41250.0,40905.0,42188.33334,44118.33334,1.0,4
2017-03-03,38500,41400,38500,40000,138232,0.040816326,40180.0,41110.0,40930.0,42238.33334,43965.83334,1.0,48
2017-03-06,40000,40500,39500,40000,39240,0.0,39920.0,40970.0,40970.0,42295.0,43816.66666,1.0,2
2017-03-07,39400,39800,38400,39200,138778,-0.04,39680.0,40640.0,40960.0,42335.0,43685.0,1.0,6
2017-03-08,39300,39600,38600,38800,74764,-0.020408164,39440.0,40310.0,40925.0,42373.33334,43548.33334,1.0,48
2017-03-09,39400,40000,39000,39500,76074,0.036082473999999996,39500.0,40000.0,40925.0,42395.0,43437.5,1.0,78
2017-03-10,39800,39900,38700,39900,47608,0.020253164,39480.0,39830.0,40870.0,42410.0,43328.33334,1.0,82
2017-03-13,40200,41200,39900,40700,75804,0.04010025,39620.0,39770.0,40895.0,42423.33334,43225.0,1.0,4
2017-03-14,40100,40600,39700,39800,64384,-0.044226044000000006,39740.0,39710.0,40705.0,42423.33334,43113.33334,1.0,48
2017-03-15,40100,40100,39200,39200,54260,-0.030150754,39820.0,39630.0,40535.0,42410.0,42990.83334,1.0,28
2017-03-16,39900,40200,39400,39500,35492,0.015306122,39820.0,39660.0,40455.0,42401.66666,42873.33334,1.0,22
2017-03-17,39500,39800,39000,39400,49678,-0.0050632920000000005,39720.0,39600.0,40355.0,42386.66666,42762.5,1.0,42
2017-03-20,39400,39600,38400,38900,65458,-0.02538071,39360.0,39490.0,40230.0,42375.0,42655.83334,1.0,2
2017-03-21,39100,39300,38900,39000,38080,0.005141388,39200.0,39470.0,40055.0,42365.0,42547.5,1.0,40
2017-03-22,39000,39800,38400,39000,67362,0.0,39160.0,39490.0,39900.0,42375.0,42436.66666,1.0,18
2017-03-23,39000,39600,37700,38000,141888,-0.051282052,38860.0,39340.0,39670.0,42386.66666,42316.66666,1.0,12
2017-03-24,38200,38200,37300,37600,96850,-0.021052632,38500.0,39110.0,39470.0,42400.0,42200.0,1.0,50
2017-03-27,37600,38400,37600,38100,56304,0.026595743999999998,38340.0,38850.0,39310.0,42388.33334,42087.5,0.0,0
2017-03-28,38100,38700,38100,38400,38598,0.015748032,38220.0,38710.0,39210.0,42378.33334,41982.5,1.0,24
2017-03-29,38600,38700,38000,38000,61834,-0.020833334,38020.0,38590.0,39110.0,42328.33334,42000.83334,1.0,46
2017-03-30,38000,38500,37600,37800,55068,-0.010526316,37980.0,38420.0,39040.0,42070.0,41928.33334,1.0,42
2017-03-31,38300,41100,38200,40500,250016,0.142857142,38560.0,38530.0,39065.0,41855.0,41872.5,1.0,52
2017-04-03,40800,40800,39900,40800,96788,0.014814813999999999,39100.0,38720.0,39105.0,41636.66666,41822.5,1.0,2
2017-04-04,41000,41300,40300,40900,86820,0.00490196,39600.0,38910.0,39190.0,41438.33334,41770.83334,1.0,32
2017-04-05,41200,41700,40800,41500,112060,0.029339854,40300.0,39160.0,39325.0,41246.66666,41735.83334,1.0,26
2017-04-06,41500,41600,40400,41100,57222,-0.019277108,40960.0,39470.0,39405.0,41051.66666,41699.16666,1.0,22
2017-04-07,41400,42700,40700,41900,137004,0.03892944,41240.0,39900.0,39505.0,40916.66666,41678.33334,1.0,28
2017-04-10,41900,42300,40700,41700,74366,-0.00954654,41420.0,40260.0,39555.0,40776.66666,41684.16666,1.0,8
2017-04-11,41200,42100,40200,40800,70416,-0.043165468,41400.0,40500.0,39605.0,40656.66666,41674.16666,1.0,34
2017-04-12,41200,41400,40400,41400,50430,0.029411764,41380.0,40840.0,39715.0,40546.66666,41666.66666,1.0,26
2017-04-13,41000,42700,41000,41600,78494,0.009661836,41480.0,41220.0,39820.0,40485.0,41661.66666,1.0,52
2017-04-14,41200,42100,40600,40900,54900,-0.033653846,41280.0,41260.0,39895.0,40431.66666,41655.83334,1.0,56
2017-04-17,41200,41900,40600,41600,58354,0.034229828,41260.0,41340.0,40030.0,40383.33334,41668.33334,1.0,2
2017-04-18,41600,42100,41300,42000,62406,0.01923077,41500.0,41450.0,40180.0,40356.66666,41674.16666,1.0,18
2017-04-19,41600,44400,41600,44100,387110,0.1,42040.0,41710.0,40435.0,40401.66666,41692.5,1.0,34
2017-04-20,43600,44300,43000,44100,138898,0.0,42540.0,42010.0,40740.0,40438.33334,41720.83334,1.0,34
