Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,8480,8510,8420,8430,51854,-0.01056338,8542,8447,8339,8470.333333,8887.416667,0,0
2017-01-03,8410,8580,8390,8500,87754,0.008303677,8524,8465,8359,8463,8874.916667,0,0
2017-01-04,8470,8630,8460,8600,132740,0.011764706,8524,8493,8381,8454,8863.416667,0,0
2017-01-05,8630,8780,8580,8730,161610,0.015116279,8556,8535,8419,8447,8853.333333,0,0
2017-01-06,8790,8790,8620,8650,71585,-0.009163803,8582,8564,8445,8442.333333,8843.25,0,0
2017-01-09,8650,8700,8600,8600,78033,-0.005780347,8616,8579,8464,8437.666667,8833.666667,0,0
2017-01-10,8620,8750,8620,8700,152098,0.011627907,8656,8590,8486.5,8435.666667,8823.333333,0,0
2017-01-11,8690,8700,8500,8600,125837,-0.011494253,8656,8590,8495,8432.166667,8813.416667,0,0
2017-01-12,8610,8640,8500,8570,118345,-0.003488372,8624,8590,8506,8428,8803.75,1,1
2017-01-13,8510,8710,8510,8710,101222,0.016336056,8636,8609,8523.5,8427,8795.083333,0,0
2017-01-16,8710,8740,8600,8650,74333,-0.006888634,8646,8631,8539,8426.333333,8785.916667,0,0
2017-01-17,8650,8690,8560,8570,102336,-0.009248555,8620,8638,8551.5,8425.5,8776.583333,1,1
2017-01-18,8600,8640,8520,8600,51842,0.003500583,8620,8638,8565.5,8426.833333,8768.166667,0,0
2017-01-19,8660,8660,8540,8550,62582,-0.005813953,8616,8620,8577.5,8430,8760.583333,0,0
2017-01-20,8550,8650,8520,8590,57801,0.004678363,8592,8614,8589,8429.833333,8753.333333,0,0
2017-01-23,8610,8620,8510,8510,64278,-0.009313155,8564,8605,8592,8430.833333,8745,0,0
2017-01-24,8510,8520,8450,8510,71159,0,8552,8586,8588,8434.833333,8737.166667,0,0
2017-01-25,8510,8540,8300,8310,110395,-0.023501763,8494,8557,8573.5,8434.5,8727.75,1,1
2017-01-26,8310,8320,8150,8220,86804,-0.010830325,8428,8522,8556,8436.166667,8719,0,0
2017-01-31,8190,8280,8190,8260,38979,0.00486618,8362,8477,8543,8437.333333,8710.166667,0,0
2017-02-01,8260,8370,8200,8360,50086,0.012106538,8332,8448,8539.5,8438.5,8703.25,0,0
2017-02-02,8320,8360,8240,8250,63075,-0.013157895,8280,8416,8527,8437,8695.333333,0,0
2017-02-03,8250,8290,8130,8130,97083,-0.014545455,8244,8369,8503.5,8433,8685.75,0,0
2017-02-06,8140,8320,8140,8280,56139,0.018450185,8256,8342,8481,8435,8676.583333,0,0
2017-02-07,8280,8400,8270,8400,61482,0.014492754,8284,8323,8468.5,8432.5,8668.75,0,0
2017-02-08,8340,8440,8080,8280,84070,-0.014285714,8268,8300,8452.5,8427.666667,8659.083333,0,0
2017-02-09,8320,8430,8200,8400,70220,0.014492754,8298,8289,8437.5,8423.333333,8651.25,0,0
2017-02-10,8480,8580,8400,8530,128343,0.01547619,8378,8311,8434,8420.833333,8645,0,0
2017-02-13,8530,8770,8490,8750,202630,0.025791325,8472,8364,8443,8419.833333,8641.416667,0,0
2017-02-14,8790,8990,8750,8970,228087,0.025142857,8586,8435,8456,8422,8641.25,0,0
2017-02-15,8940,9210,8940,9090,259784,0.013377926,8748,8508,8478,8426.833333,8643.166667,0,0
