Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,8370,8380,8120,8250,122208,-0.003623188,8188,8094,7865,7333.666667,7601.916667,0,0
2017-01-03,8280,8370,8160,8300,176212,0.006060606,8252,8134,7918,7342.333333,7606.083333,0,0
2017-01-04,8480,8830,8390,8790,666439,0.059036145,8380,8261,7985.5,7361.5,7614.333333,1,2
2017-01-05,8880,9030,8690,8810,397865,0.002275313,8486,8321,8054.5,7378,7622.833333,0,0
2017-01-06,8830,8900,8720,8840,92800,0.003405221,8598,8395,8113.5,7398,7632.083333,0,0
2017-01-09,8890,9150,8750,9100,335001,0.029411765,8768,8478,8184,7420,7643.333333,0,0
2017-01-10,9180,9180,8800,8970,203635,-0.014285714,8902,8577,8252.5,7438.166667,7652.833333,0,0
2017-01-11,8970,9160,8820,9060,193992,0.010033445,8956,8668,8315.5,7463.166667,7662.083333,0,0
2017-01-12,9090,9170,8990,9160,158910,0.011037528,9026,8756,8383,7489.166667,7672.166667,0,0
2017-01-13,9150,9220,8870,9080,154988,-0.008733624,9074,8836,8445.5,7514.833333,7681.416667,0,0
2017-01-16,9080,9080,8800,8830,153684,-0.02753304,9020,8894,8494,7536.333333,7687.833333,0,0
2017-01-17,8820,8930,8680,8710,148889,-0.013590034,8968,8935,8534.5,7560.666667,7690.833333,0,0
2017-01-18,8690,9120,8620,9050,237853,0.039035591,8966,8961,8611,7589,7696.5,0,0
2017-01-19,9050,9190,8910,9100,185202,0.005524862,8954,8990,8655.5,7619.666667,7704.333333,0,0
2017-01-20,9010,9160,8970,9120,138929,0.002197802,8962,9018,8706.5,7648.333333,7710,0,0
2017-01-23,9120,9470,9060,9420,389456,0.032894737,9080,9050,8764,7686,7718.166667,0,0
2017-01-24,9820,10000,9560,9950,816603,0.05626327,9328,9148,8862.5,7734.333333,7730,0,0
2017-01-25,10000,10150,9720,9870,387335,-0.008040201,9492,9229,8948.5,7782.166667,7742.416667,0,0
2017-01-26,9850,9980,9770,9900,220260,0.003039514,9652,9303,9029.5,7837,7756.166667,0,0
2017-01-31,9990,10350,9980,10200,364110,0.03030303,9868,9415,9125.5,7894.5,7771.166667,0,0
2017-02-01,10200,10200,9850,9910,316424,-0.028431373,9966,9523,9208.5,7945.666667,7785.25,0,0
2017-02-02,9960,10100,9720,9760,221608,-0.015136226,9928,9628,9281.5,7991,7801.833333,0,0
2017-02-03,9840,9980,9720,9800,150772,0.004098361,9914,9703,9332,8039.333333,7818.25,0,0
2017-02-06,9800,9860,9390,9550,277946,-0.025510204,9844,9748,9369,8088.5,7831.25,0,0
2017-02-07,9560,9970,9370,9920,261508,0.038743455,9788,9828,9423,8139.833333,7847.416667,0,0
2017-02-08,9900,10000,9770,9980,161811,0.006048387,9802,9884,9467,8191.666667,7863.666667,0,0
2017-02-09,9900,9930,9450,9680,276786,-0.03006012,9786,9857,9502.5,8241.5,7877.416667,0,0
2017-02-10,9600,9700,9400,9610,161958,-0.007231405,9748,9831,9530,8291.333333,7893.833333,0,0
2017-02-13,9610,10050,9510,10050,343930,0.04578564,9848,9846,9574.5,8345.833333,7910.833333,0,0
2017-02-14,10150,10150,9790,9800,252258,-0.024875622,9824,9806,9610.5,8395.166667,7925.666667,0,0
2017-02-15,9850,10150,9760,10000,253104,0.020408163,9828,9815,9669,8449.5,7944.666667,0,0
2017-02-16,10200,10250,9990,10150,158808,0.015,9922,9854,9741,8508,7963.833333,0,0
2017-02-17,10100,10200,9920,10050,187419,-0.009852217,10010,9879,9791,8564.833333,7982.416667,0,0
2017-02-20,10050,10200,9890,10150,185436,0.009950249,10030,9939,9843.5,8627.333333,8001.666667,0,0
2017-02-21,10200,10200,10000,10000,148621,-0.014778325,10070,9947,9887.5,8691,8020.25,0,0
2017-02-22,10050,10450,10000,10400,367770,0.04,10150,9989,9936.5,8759.666667,8043.666667,0,0
2017-02-23,10300,10350,10050,10100,205649,-0.028846154,10140,10031,9944,8814.833333,8064.833333,0,0
2017-02-24,10100,10200,9780,9780,222186,-0.031683168,10086,10048,9939.5,8862,8083.416667,0,0
2017-02-27,9790,10050,9430,9980,215634,0.020449898,10052,10041,9943.5,8908.666667,8102.5,0,0
2017-02-28,10000,10050,9760,9840,103698,-0.014028056,10020,10045,9925.5,8953.5,8120.25,0,0
2017-03-02,9800,9870,9560,9600,169683,-0.024390244,9860,10005,9910,8994.5,8136,0,0
2017-03-03,9510,9710,9510,9590,104229,-0.001041667,9758,9949,9901.5,9033.666667,8151.75,0,0
2017-03-06,9520,10050,9520,10000,226601,0.042752868,9802,9944,9911.5,9076.333333,8173,0,0
2017-03-07,10000,10200,9920,10050,139290,0.005,9816,9934,9936.5,9120,8195.75,0,0
2017-03-08,10050,10100,9930,9990,93816,-0.005970149,9846,9933,9940,9158.833333,8218,1,3
2017-03-09,9990,10150,9950,10000,105637,0.001001001,9926,9893,9941,9197.333333,8242.5,0,0
2017-03-10,10050,10150,9960,10000,118366,0,10008,9883,9957,9237.333333,8265.083333,0,0
2017-03-13,10100,10150,9920,10100,155764,0.01,10028,9915,9981.5,9275.666667,8287.166667,0,0
2017-03-14,10150,10250,10000,10050,194390,-0.004950495,10028,9922,9981.5,9313,8308.416667,0,0
2017-03-15,10100,10150,9850,9850,164941,-0.019900498,10000,9923,9984,9346.666667,8326.583333,0,0
2017-03-16,9990,10100,9840,9870,110150,0.002030457,9974,9950,9977.5,9380.166667,8344.083333,0,0
2017-03-17,9860,9910,9660,9830,212483,-0.004052685,9940,9974,9961.5,9412.333333,8361.416667,0,0
2017-03-20,9940,9940,9630,9670,143432,-0.016276704,9854,9941,9942.5,9448.166667,8379.5,0,0
2017-03-21,9670,9740,9460,9690,206854,0.002068252,9782,9905,9919.5,9472.833333,8396.416667,0,0
2017-03-22,9670,9860,9570,9680,66332,-0.001031992,9748,9874,9903.5,9499.166667,8411.083333,0,0
2017-03-23,9740,9740,9470,9570,126907,-0.011363636,9688,9831,9862,9520.833333,8423.666667,0,0
2017-03-24,9610,9930,9550,9910,163832,0.035527691,9704,9822,9852.5,9553,8440.25,0,0
2017-03-27,9980,10050,9800,9800,169968,-0.011099899,9730,9792,9853.5,9580.5,8454.333333,0,0
2017-03-28,9930,9950,9740,9950,79568,0.015306122,9782,9782,9852,9608.333333,8469.666667,0,0
2017-03-29,10000,10100,9910,9970,140530,0.00201005,9840,9794,9858.5,9636.5,8484.083333,0,0
2017-03-30,10100,10950,10050,10900,1192158,0.09327984,10106,9897,9923.5,9680.666667,8507.166667,0,0
2017-03-31,10850,11050,10750,10950,409585,0.004587156,10314,10009,9991.5,9724.833333,8533.583333,0,0
2017-04-03,10950,11000,10700,11000,266255,0.00456621,10554,10142,10041.5,9761.666667,8561.583333,0,0
2017-04-04,10900,11000,10600,10600,262982,-0.036363636,10684,10233,10069,9791.5,8584.75,0,0
2017-04-05,10600,10850,10550,10650,182193,0.004716981,10820,10330,10102,9821.666667,8609.833333,0,0
