Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,8350,8350,7975,8125,68544,-0.006116208,8205,8532.5,9001.25,9569.583333,10102.08333,0,0
2017-01-03,8200,8275,7975,8150,154224,0.003076923,8165,8462.5,8923.75,9526.25,10082.5,0,0
2017-01-04,8200,8325,8050,8300,122186,0.018404908,8175,8390,8876.25,9482.5,10064.16667,0,0
2017-01-05,8500,8525,8275,8400,49243,0.012048193,8230,8340,8818.75,9444.166667,10046.66667,0,0
2017-01-06,8375,8475,8275,8425,40159,0.00297619,8280,8292.5,8768.75,9407.916667,10029.375,0,0
2017-01-09,8500,8500,8325,8475,49318,0.005934718,8350,8277.5,8711.25,9372.083333,10012.5,0,0
2017-01-10,8475,8475,8150,8350,51561,-0.014749263,8390,8277.5,8628.75,9333.75,9994.583333,0,0
2017-01-11,8250,8500,8175,8350,42482,0,8400,8287.5,8566.25,9295.833333,9976.666667,0,0
2017-01-12,8350,10700,8350,8700,3835209,0.041916168,8460,8345,8530,9266.25,9961.666667,0,0
2017-01-13,8750,11300,8500,10100,23433300,0.16091954,8795,8537.5,8573.75,9260.416667,9958.333333,0,0
2017-01-16,10350,11325,9875,10425,8526404,0.032178218,9185,8767.5,8650,9261.666667,9957.708333,0,0
2017-01-17,10550,10750,10075,10325,2824792,-0.009592326,9580,8985,8723.75,9262.5,9956.25,0,0
2017-01-18,10225,10550,9600,9700,5447844,-0.060532688,9850,9125,8757.5,9254.166667,9949.583333,0,0
2017-01-19,9750,9925,9400,9775,1910426,0.007731959,10065,9262.5,8801.25,9249.166667,9943.541667,0,0
2017-01-20,9650,9725,9275,9350,1356507,-0.043478261,9915,9355,8823.75,9238.333333,9933.958333,0,0
2017-01-23,9250,9375,8800,8800,2275367,-0.058823529,9590,9387.5,8832.5,9220.833333,9919.791667,0,0
2017-01-24,8800,9225,8500,8525,2099905,-0.03125,9230,9405,8841.25,9202.083333,9903.333333,0,0
2017-01-25,8575,8825,8375,8525,786110,0,8995,9422.5,8855,9182.5,9886.875,0,0
2017-01-26,8650,8950,8550,8625,427017,0.011730205,8765,9415,8880,9165.416667,9871.25,0,0
2017-01-31,8625,9225,8425,9075,1294862,0.052173913,8710,9312.5,8925,9155,9859.375,0,0
2017-02-01,11700,11775,11675,11775,3453730,0.297520661,9305,9447.5,9107.5,9187.5,9870,1,8
2017-02-02,11750,12650,11100,12075,27766706,0.025477707,10015,9622.5,9303.75,9224.166667,9883.125,0,0
2017-02-03,11550,11625,10900,11375,7093695,-0.057971014,10585,9790,9457.5,9250,9890.416667,0,0
2017-02-06,11500,12150,11175,11500,9078002,0.010989011,11160,9962.5,9612.5,9281.666667,9898.75,0,0
2017-02-07,12275,14125,12125,12950,43898541,0.126086957,11935,10322.5,9838.75,9337.083333,9919.166667,0,0
2017-02-08,12150,12425,11225,11225,10450361,-0.133204633,11825,10565,9976.25,9363.75,9925.208333,1,1
2017-02-09,11150,13525,11150,12050,30471705,0.073496659,11820,10917.5,10161.25,9404.583333,9938.125,1,1
2017-02-10,11925,13475,11875,12575,17135720,0.043568465,12060,11322.5,10372.5,9457.5,9955.416667,1,1
2017-02-13,12450,13175,12200,12400,8062405,-0.013916501,12240,11700,10557.5,9510.833333,9971.25,0,0
2017-02-14,12350,12800,11650,11825,4780479,-0.046370968,12015,11975,10643.75,9555.833333,9982.291667,0,0
2017-02-15,12150,12450,11400,11500,5085787,-0.027484144,12070,11947.5,10697.5,9600.833333,9991.458333,0,0
2017-02-16,11575,11975,11300,11875,3515699,0.032608696,12035,11927.5,10775,9649.166667,9999.583333,0,0
2017-02-17,12050,12200,11375,11400,3343452,-0.04,11800,11930,10860,9687.916667,10002.29167,0,0
2017-02-20,11600,11750,11075,11225,2796704,-0.015350877,11565,11902.5,10932.5,9722.916667,10004.16667,1,2
2017-02-21,11275,11675,11075,11675,4751470,0.040089087,11535,11775,11048.75,9764.583333,10011.25,0,0
2017-02-22,12675,13250,11800,11800,12385126,0.010706638,11595,11832.5,11198.75,9807.5,10018.125,0,0
2017-02-23,11650,11900,11475,11900,2016119,0.008474576,11600,11817.5,11367.5,9845.416667,10025.41667,0,0
2017-02-24,11750,11900,11025,11025,2546769,-0.073529412,11525,11662.5,11492.5,9865,10025.625,0,0
2017-02-27,10950,11100,10500,10650,1664446,-0.034013605,11410,11487.5,11593.75,9877.916667,10015.20833,0,0
2017-02-28,10650,10950,10475,10725,1475557,0.007042254,11220,11377.5,11676.25,9896.25,10011.875,0,0
2017-03-02,10725,10900,10174,10175,1365421,-0.051282051,10895,11245,11596.25,9901.666667,10003.95833,0,0
2017-03-03,10075,10424,9924,10225,1261141,0.004914005,10560,11080,11503.75,9910.416667,9996.666667,0,0
2017-03-06,10300,10525,10000,10500,1155076,0.026894866,10455,10990,11460,9931.25,9989.583333,1,1
2017-03-07,10600,10725,10175,10200,1250590,-0.028571429,10365,10887.5,11395,9942.083333,9981.458333,0,0
2017-03-08,10200,10350,10100,10175,534555,-0.00245098,10255,10737.5,11256.25,9954.583333,9972.708333,0,0
2017-03-09,10375,12125,10375,10900,19489798,0.071253071,10400,10647.5,11240,9975.833333,9970.208333,0,3
2017-03-10,10750,10775,10000,10450,3402822,-0.041284404,10445,10502.5,11160,9983.333333,9966.666667,0,0
2017-03-13,10450,10675,10325,10325,1939910,-0.011961722,10410,10432.5,11047.5,9995.416667,9963.125,0,0
2017-03-14,10400,10450,10075,10225,1323393,-0.00968523,10415,10390,10938.75,10008.75,9959.791667,0,0
2017-03-15,10275,10650,10050,10300,1903040,0.007334963,10440,10347.5,10862.5,10026.66667,9958.541667,0,0
2017-03-16,10425,10550,10175,10325,1231420,0.002427184,10325,10362.5,10803.75,10050.41667,9956.458333,0,0
