Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,4443,4494,4411,4428,239908,-0.005614193,4421.6,4349.3,4162.1,4148.866667,4573.3,0,0
2017-01-03,4485,4627,4443,4520,749492,0.020776874,4453,4378.3,4202.6,4145.9,4578.691667,0,0
2017-01-04,4526,4593,4502,4528,301673,0.001769912,4483,4404.1,4243.35,4143.066667,4584.316667,0,0
2017-01-05,4526,4593,4518,4528,357191,0,4491.4,4431.6,4273,4140.633333,4589.516667,0,0
2017-01-06,4510,4552,4469,4486,339941,-0.009275618,4498,4454.1,4302.9,4139.583333,4593.333333,0,0
2017-01-09,4485,4502,4385,4428,357879,-0.012929113,4498,4459.8,4328.75,4138.35,4586.616667,0,0
2017-01-10,4402,4469,4385,4403,219550,-0.00564589,4474.6,4463.8,4346.3,4137.983333,4576.333333,0,0
2017-01-11,4435,4460,4385,4411,285724,0.001816943,4451.2,4467.1,4362.3,4136.6,4567.733333,0,0
2017-01-12,4402,4469,4394,4428,331876,0.003854001,4431.2,4461.3,4378.45,4135.216667,4559.916667,0,0
2017-01-13,4427,4510,4411,4445,282439,0.003839205,4423,4460.5,4391.5,4135.416667,4554.058333,0,0
2017-01-16,4485,4485,4369,4386,226909,-0.013273341,4414.6,4456.3,4402.8,4138.4,4548.608333,0,0
2017-01-17,4385,4394,4261,4303,278258,-0.018923849,4394.6,4434.6,4406.45,4139.616667,4542.466667,0,0
2017-01-18,4294,4302,4227,4229,256994,-0.017197304,4358.2,4404.7,4404.4,4140.25,4538.041667,0,0
2017-01-19,4261,4302,4245,4245,228285,0.0037834,4321.6,4376.4,4404,4143.216667,4532.916667,0,0
2017-01-20,4227,4253,4186,4204,255647,-0.009658422,4273.4,4348.2,4401.15,4143.95,4528.741667,1,2
2017-01-23,4194,4435,4194,4220,803985,0.003805899,4240.2,4327.4,4393.6,4146.1,4524.441667,0,0
2017-01-24,4734,5316,4601,5143,25683238,0.218720379,4408.2,4401.4,4432.6,4166.1,4526.083333,1,2
2017-01-25,4992,5050,4485,4486,8906397,-0.127746451,4459.6,4408.9,4438,4174.65,4524.066667,1,4
2017-01-26,4552,4651,4443,4478,2442048,-0.001783326,4506.2,4413.9,4437.6,4186.55,4521.533333,1,1
2017-01-31,4618,4701,4443,4469,2464615,-0.002009826,4559.2,4416.3,4438.4,4197.083333,4518.591667,0,0
2017-02-01,4419,4560,4419,4494,1534491,0.005594093,4614,4427.1,4441.7,4206.4,4516.575,0,0
2017-02-02,4469,4485,4269,4287,1566646,-0.046061415,4442.8,4425.5,4430.05,4211.35,4511.733333,0,0
2017-02-03,4310,4369,4269,4279,657248,-0.001866107,4401.4,4430.5,4417.6,4216.316667,4497.041667,0,0
2017-02-06,4261,4402,4261,4378,784290,0.023136247,4381.4,4443.8,4410.1,4227,4484.991667,0,0
2017-02-07,4402,4552,4385,4486,1463007,0.024668799,4384.8,4472,4410.1,4236.183333,4474.808333,0,0
2017-02-08,4494,4535,4411,4428,535554,-0.012929113,4371.6,4492.8,4410.1,4244.8,4466.083333,0,0
2017-02-09,4469,4601,4443,4561,1441195,0.030036134,4426.4,4434.6,4418,4250.583333,4459.05,0,0
2017-02-10,4585,4618,4452,4494,685083,-0.014689761,4469.4,4435.4,4422.15,4255.1,4451.65,0,0
2017-02-13,4477,4601,4460,4594,715008,0.022251891,4512.6,4447,4430.45,4259.866667,4444.891667,0,0
2017-02-14,4560,4609,4502,4502,613659,-0.020026121,4515.8,4450.3,4433.3,4261.666667,4437.5,0,0
2017-02-15,4543,4635,4535,4536,1145146,0.007552199,4537.4,4454.5,4440.8,4269.083333,4430.516667,0,0
2017-02-16,4577,4577,4494,4511,388261,-0.005511464,4527.4,4476.9,4451.2,4277.4,4425.475,0,0
2017-02-17,4535,4577,4502,4561,553010,0.011084017,4540.8,4505.1,4467.8,4285.766667,4418.441667,0,0
2017-02-20,4568,4627,4518,4520,711883,-0.008989257,4526,4519.3,4481.55,4293.966667,4412.175,0,0
2017-02-21,4510,4660,4411,4603,1849564,0.018362832,4546.2,4531,4501.5,4304.583333,4406.983333,0,0
2017-02-22,4651,4743,4585,4585,1814723,-0.003910493,4556,4546.7,4519.75,4315.016667,4402.808333,0,0
2017-02-23,4601,4609,4502,4502,557378,-0.018102508,4554.2,4540.8,4487.7,4324.333333,4397.691667,0,0
2017-02-24,4502,4535,4419,4428,511031,-0.016437139,4527.6,4534.2,4484.8,4332.95,4392.991667,0,0
2017-02-27,4402,4485,4402,4411,482898,-0.003839205,4505.8,4515.9,4481.45,4341.4,4388.208333,0,0
2017-02-28,4411,4477,4377,4403,380426,-0.001813648,4465.8,4506,4478.15,4350.033333,4383.558333,0,0
2017-03-02,4411,4485,4402,4411,468838,0.001816943,4431,4493.5,4474,4359.266667,4379.55,0,0
2017-03-03,4402,4443,4261,4270,499135,-0.031965541,4384.6,4469.4,4473.15,4368.6,4373.725,0,0
