Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,9990,10050,9880,9950,17238,-0.005,9948,9954,9852.5,9673,9446.583333,0,0
2017-01-03,9850,10050,9850,10000,9899,0.005025126,9980,9969,9871,9680.166667,9453.5,0,0
2017-01-04,10050,10050,9920,9960,14944,-0.004,9982,9980,9884,9689.666667,9460.083333,0,0
2017-01-05,9940,9940,9830,9860,20772,-0.010040161,9954,9966,9894.5,9696.666667,9466.083333,0,0
2017-01-06,9850,9930,9750,9850,11735,-0.001014199,9924,9936,9901,9705.833333,9472.166667,0,0
2017-01-09,9890,9890,9690,9760,16820,-0.009137056,9886,9917,9907,9708.333333,9477.5,0,0
2017-01-10,9810,9810,9500,9570,24272,-0.019467213,9800,9890,9891,9712,9480.916667,0,0
2017-01-11,9670,9670,9490,9560,11309,-0.001044932,9720,9851,9869,9712.833333,9484.333333,0,0
2017-01-12,9560,9620,9510,9550,8547,-0.001046025,9658,9806,9853,9708.166667,9488.166667,0,0
2017-01-13,9550,9700,9550,9690,12227,0.014659686,9626,9775,9851,9709.333333,9493.083333,0,0
2017-01-16,9800,9800,9560,9720,16913,0.003095975,9618,9752,9853,9709.666667,9498.083333,0,0
2017-01-17,9720,9770,9530,9710,12886,-0.001028807,9646,9723,9846,9708,9503.333333,0,0
2017-01-18,9700,9740,9600,9730,14093,0.002059732,9680,9700,9840,9704.333333,9508.166667,0,0
2017-01-19,9640,9710,9590,9690,9243,-0.004110997,9708,9683,9824.5,9705.833333,9512.166667,0,0
2017-01-20,9720,9720,9390,9600,26053,-0.009287926,9690,9658,9797,9709.166667,9515.333333,0,0
2017-01-23,9600,9600,9400,9570,13487,-0.003125,9660,9639,9778,9710.166667,9516,0,0
2017-01-24,9570,9570,9280,9310,27376,-0.027168234,9580,9613,9751.5,9711.5,9513.583333,0,0
2017-01-25,9280,9400,9200,9200,22059,-0.011815252,9474,9577,9714,9713.833333,9511.583333,0,0
2017-01-26,9160,9350,9140,9350,13389,0.016304348,9406,9557,9681.5,9721.666667,9510.583333,0,0
2017-01-31,9250,9340,9140,9290,13293,-0.006417112,9344,9517,9646,9728.5,9508.25,0,0
